Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Brutal, Merciless, Unstoppable	YV	YV01_Brutal_Merciless_Unstoppable	Y	Battle						R	1		Remove 3 counters from your Resource -> One of your Yuuzhan Vong in any arena gets Ferocity, Precision, and Tenacity X until end of turn, where X is the number of Yuuzhan Vong in that arena. (Whenever this unit does less than X damage, after damage prevention, for its first attack each turn, it may attack the same target again without tapping.)		YV	
Devotion to the Cosmic Lord, Yun-Yuuzhan	YV	YV02_Devotion_to_the_Cosmic_Lord_Yun_Yuuzhan	Y	Mission - Campaign		3				R	2		You can only have one copy of this Campaign in play. | Whenever one of your Yuuzhan Vong is damaged, put 1 damage counter on this Campaign. | Remove 1 damage counter from this Campaign -> Put 1 build counter on a partially built card. | As long as you have at least X damage counters on this Campaign, where X is a number of counters listed below, each of your Yuuzhan Vong units/unit cards gets the following up to X: 6 counters: "Foresight: Draw a card."; 12 counters: "Deploy: Gain 1 build point."; 24 counters: Overkill		YV	
Devotion to the Modeler, Yun-Ne'Shel	YV	YV03_Devotion_to_the_Modeler_Yun_Ne_Shel	Y	Mission - Campaign		3				R	3		You can only have one copy of this Campaign in play. | Whenever you complete or attach an Equipment, put 1 credit counter on this Campaign. | Remove 1 credit counter from this Campaign -> Add 1 counter to your Resource. | As long as you have at least X credit counters on this Campaign, where X is a number of counters listed below, each of your Yuuzhan Vong gets the following up to X: 3 counters: Precision; 6 counters: "Adapt: Parry 1/Riposte 1"; 12 counters: Overload 2		YV	
Elite Yuuzhan Vong Commander	YV	YV04_Elite_Yuuzhan_Vong_Commander	Y	Ground/Character	Yuuzhan Vong Warrior Officer	7	40	5	5	R	4		Adapt: Accuracy 1/Armor | Bounty: You may tap one of your Yuuzhan Vong to put 1 40/3/3 Elite Yuuzhan Vong Warrior Subordinate with "Adapt: Armor/Fury 2" into its arena. | Consume (This unit gets +10 speed, +1 power, and +1 health for each face-down card beneath it. | Whenever damage from this unit causes another unit to be discarded, put its top card face-down beneath this unit. )		YV	
Elite Yuuzhan Vong Master Shaper	YV	YV05_Elite_Yuuzhan_Vong_Master_Shaper	Y	Character	Yuuzhan Vong Master Shaper	6	40	3	5	R	5		Reduced Cost 5: If a Location is in play. | Stealth | [Tap] -> Choose one: Move 1 counter of any type from a unit in any arena to a face-up card in your build zone. Or: Move 1 counter of any type from a face-up card in your build zone to a unit in any arena. Or: Search your deck for an Equipment card, reveal it, put it into your hand, and shuffle.		YV	
Exodus	YV	YV06_Exodus	Y	Event						R	6		During setup, each player chooses to gain 2 Force or add 2 counters to their Resource. | Each Yuuzhan Vong unit card gets "Deploy: Each player may choose to gain 1 Force or add 1 counter to their Resource."		YV	
Forgiven in Victory	YV	YV07_Forgiven_in_Victory	Y	Mission		0				R	7		When this turn ends, if you have 6 Campaigns with "Devotion" in their names that have all reached their final counter threshold and have a Yuuzhan Vong | Supreme Leader in any arena, you win the game.		YV	
Legacy of Torment (B)	YV	YV08_Legacy_of_Torment_B	Y	Space	Yuuzhan Vong Station - Capital Ship - Flagship	12	20	11	11	R	8		Shields 1 | Barrage 11 | INSERT: Adapt: Precision/Overkill		YV	
Nen Yim (C)	YV	YV09_Nen_Yim_C	Y	Character	Yuuzhan Vong Master Shaper	5	30	1	5	R	9		[Tap], Remove 1 counter from your Resource or one of your Campaigns -> Choose an arena. | Whenever damage counters would be put on a Yuuzhan Vong in the chosen arena this turn, put half the number of damage counters on that unit instead (rounded up).		YV	
Nom Anor (G)	YV	YV10_Nom_Anor_G	Y	Character	Yuuzhan Vong Agent - Spy	7	40	6	6	R	10		Hidden Cost 5 | Cunning | Stealth | [Tap] -> Disrupt a non-Force activated effect. | [Tap] -> Your opponent discards a card at random. | INSERT: When Nom would be discarded, return him to your hand instead.		YV	
Onimi (B)	YV	YV11_Onimi_B	Y	Character	Yuuzhan Vong Force Sensitive Supreme Leader	9	40	8	8	R	11		Adapt: Overkill/Pay 2 Force -> Absorb 2 | Each of your Yuuzhan Vong gets "Bounty: Add 1 counter to your Resource or a Campaign." | You may stack Onimi beneath Shimrra Jamaane. | Onimi can't be on top of Shimrra's stack. | INSERT: Consume		YV	
Shimrra Jamaane (D)	YV	YV12_Shimrra_Jamaane_D	Y	Character	Yuuzhan Vong Supreme Leader - Warrior	11	30	8	8	R	12		Ferocity | Intimidation | When Shimrra taps, reveal your opponent's hand. | Each of your Yuuzhan Vong gets Tenacity 1. | Remove 2 counters from your Resource or one of your Campaigns -> Deflect 2		YV	
Shimrra’s Slayers (C)	YV	YV13_Shimrra_s_Slayers_C	Y	Ground/Character	Yuuzhan Vong Force Sensitive Warrior Squad	9	60	6	6	R	13		Hidden Cost 6 | Switch: Barrage 6/Bombard 6 | Consume (This unit gets +10 speed, +1 power, and +1 health for each face-down card beneath it. Whenever damage from this unit causes another unit to be discarded, put its top card face-down beneath this unit.) | INSERT: Pay 2 Force -> Absorb 2		YV	
Slivilith	YV	YV14_Slivilith	Y	Space/Ground	Yuuzhan Vong Dragon Creature	6	40	5	5	R	14		Switch: Velocity 30/Barrage 3 | Adapt: Stun 2/Surge 2 | Your opponent builds all cards face-up. | This unit can attack any unit with Stealth. | Remove 2 counters from your Resource -> Evade 2		YV	
The True Way	YV	YV15_The_True_Way	Y	Resource		4				R	15		Whenever you would gain X Force, add X counters to this Resource instead. | Whenever you would lose or pay X Force, remove X counters from this Resource instead. | Add 1 counter to this Resource -> Search your deck for a Mission card, reveal it, put it into your build zone with 1 build counter on it, and shuffle. Play only during your build step. | Remove 5 counters from one of your Campaigns -> Add 5 counters to this Resource. | Remove 5 counters from this Resource -> Put 2 counters of any type on one of your cards.		YV	
Tsavong Lah (E)	YV	YV16_Tsavong_Lah_E	Y	Character	Yuuzhan Vong Warrior Officer	7	30	6	6	R	16		Each of your Yuuzhan Vong gets Overload 3. | Remove 4 counters from your Resource -> Take 1 Yuuzhan Vong Subordinate and put it into its arena. Play only during your build step. | INSERT: Remove 2 counters from your Resource or do | 2 damage to one of your other Warriors -> Absorb 2		YV	
Umrach	YV	YV17_Umrach	Y	Ground	Yuuzhan Vong Umrach Creature	6	40	5	7	R	17		This unit can attack a Creature in any arena. | Double Damage | [Tap] -> Ambush 5		YV	
Vagh Rodiek	YV	YV18_Vagh_Rodiek	Y	Ground/Character	Rodian Slave - Yuuzhan Vong Mutant Creature	3	20	2	3	R	18		Upkeep: Remove 1 counter from your Resource or Campaign, pay 1 build point, or tap this unit. | Armor | Double Strike | [Tap] -> Intercept and Retaliate 2 | Pay 1 build point, tap a Mutant -> Meditate		YV	
Woe to Our Enemies	YV	YV19_Woe_to_Our_Enemies	Y	Battle						R	19		Discard the top card from your deck -> Choose one: One of your units in any arena gets Area Damage 2 and Overkill until end of turn. Or: Each of your units in one arena gets Fury 2 and Overload 1 until end of turn.		YV	
Yo’gand (A)	YV	YV20_Yo_gand_A	Y	Character	Yuuzhan Vong Warrior - Supreme Leader	8	30	6	7	R	20		Armor | Each of your Yuuzhan Vong gets Bombard 2. | [Tap] -> Discard a Location from any arena. Play only when Yo'gand would attack. | Remove 1 counter from your Resource -> Absorb 1		YV	
Yuuzhan Vong Advance Scout Ship	YV	YV21_Yuuzhan_Vong_Advance_Scout_Ship	Y	Space	Yuuzhan Vong Capital Ship - Cruiser	5	50	5	5	R	21		Hidden Cost 3 | Deploy: Look at your opponent's hand, and you may discard a card from their hand. | Last Stand: You may remove 2 counters from your Resource to put 1 60/3/2 Coralskipper Scout Subordinate with "Double Damage" into this arena. | Remove 2 counters from your Resource -> This unit gets Double Damage for this attack.		YV	
Yuuzhan Vong Galaxy	YV	YV22_Yuuzhan_Vong_Galaxy	Y	Location	Space - Yuuzhan Vong Star System	2				R	22		When you complete this Location and when your build step starts, you may search your deck for a Yuuzhan Vong unit card. If you do, reveal it, put it into your build zone with 1 build counter on it, and shuffle your deck.		YV	
Yuuzhan Vong Navy (A)	YV	YV23_Yuuzhan_Vong_Navy_A	Y	Space/Ground	Yuuzhan Vong Fleet	20	10	20	20	R	23		Alternative Cost: Remove 20 counters from your Resource. | Stack: Any Yuuzhan Vong Space unit. | Yuuzhan Vong Navy's stack size has no limit. | Pay 4 Force -> During your build step, choose one: Put a unit card with printed build cost 5 or less from Yuuzhan Vong Navy's stack into play untapped. Or: Put 1 40/4/4 Yuuzhan Vong Detachment Subordinate with "Pay 1 Force -> Intercept" into this arena.		YV	
Yuuzhan Vong Priestess	YV	YV24_Yuuzhan_Vong_Priestess	Y	Character	Yuuzhan Vong Priest - Seer	3	50	2	3	R	24		Reduced Cost 2: If a Campaign is in play. | As long as another Priest is in play, you may make a total of 2 predictions for each Priest's Foresight. | Foresight: Take 1 50/1/3 Yuuzhan Vong Seer Subordinate with "Foresight: Put 1 counter of any type on a card." and put it into the Character arena. | Remove 1 counter from a Campaign -> Redirect		YV	
Yuuzhan Vong War	YV	YV25_Yuuzhan_Vong_War	Y	Mission - Campaign		2				R	25		When each turn starts, if you have less Yuuzhan Vong in play then you have total damage counters on all your units, your Yuuzhan Vong cost 1 less build counter to deploy and your Yuuzhan Vong Subordinates cost 1 less build or Force or counter to be put into play this turn. | Whenever a player puts 1 or more cards into their discard pile, they may draw a card.		YV	
Blast Bug	YV	YV26_Blast_Bug	Y	Equipment	Ground/Character - Biological Explosive Weapon	1				U	26		Remove 1 counter from your Resource or one of your Campaigns -> Equip | Equipped Yuuzhan Vong gets "During your build step, you may choose a unit in this arena. If you do, drop Blast Bug from at least 30 centimeters above the playing area. If Blast Bug lands so that it touches the chosen unit, put 2 counters of any type on the chosen unit. Then discard Blast Bug."		YV	
Darth Vua (A)	YV	YV27_Darth_Vua_A	D	Character	Yuuzhan Vong One Sith Apprentice	7	30	6	6	U	27		This card can be put in a Yuuzhan Vong deck. | Adapt: Area Damage 2/Resilience 2 | Overload 2 | Pay 2 Force -> Absorb 2, and Vua gets Ferocity for his next attack.		YV	
Devotion to the Slayer, Yun-Yammka	YV	YV28_Devotion_to_the_Slayer_Yun_Yammka	Y	Mission - Campaign		3				U	28		You can only have one copy of this Campaign in play. | Whenever one of your Yuuzhan Vong damages a unit, put 1 captivity counter on this Campaign. | Remove 1 captivity counter from this Campaign -> Put 1 captivity counter on a unit. | As long as you have at least X captivity counters on this Campaign, where X is a number of counters listed below, each of your Yuuzhan Vong gets the following up to X: 3 counters: "Bounty: Put 1 captivity counter on a card."; 9 counters: Fury 1; 12 counters: Ferocity		YV	
Devotion to the Trickster, Yun-Harla	YV	YV29_Devotion_to_the_Trickster_Yun_Harla	Y	Mission - Campaign		3				U	29		You can only have one copy of this Campaign in play. | Whenever a Trap triggers or unique unit with Cunning taps, put 1 corruption counter on this Campaign. | Remove 1 corruption counter from this Campaign -> Put 1 corruption counter on a unit. | As long as you have at least X corruption counters on this Campaign, where X is a number of counters listed below, each of your Yuuzhan Vong gets the following up to X: 3 counters: Cunning; 9 counters: Focus 1; 12 counters: Stealth, if its speed is 40 or higher.		YV	
Fero Xyn	YV	YV30_Fero_Xyn	Y	Ground	Yuuzhan Vong Fero Xyn Creature	6	60	5	5	U	30		Fury 2 | Damage Control 1 | Put 1 damage counter on this unit -> Put 1 damage counter on a unit in the Ground arena. Play only when the Ground battle step ends.		YV	
Master Your Fear	YV	YV31_Master_Your_Fear	N	Battle						U	31		Pay 2 Force -> Put 2 corruption, captivity, damage, or mastery counters on any damaged unit. | Enhance: Remove 4 counters from your Resource -> Also, tap or untap that unit.		YV	
Nagme (B)	YV	YV32_Nagme_B	Y	Character	Yuuzhan Vong Master Shaper	5	40	4	4	U	32		Deploy: You may remove 2 counters from your Resource to take 1 Yuuzhan Vong Subordinate and put it into its arena. | Adapt: Cunning, Stealth/Surge 1, Riposte 2 | Reserves: [Tap] -> One of the Battle or Mission cards in your discard pile gets "Remove 7 counters from your Resource -> Meditate" until end of turn. Play only during your build step.		YV	
Nas Choka (B)	YV	YV33_Nas_Choka_B	Y	Character	Yuuzhan Vong Warrior Officer	8	30	6	8	U	33		Adapt: Accuracy 1, Precision/Armor, Parry 1 | Each of your Yuuzhan Vong gets Focus 2. | Each of your units with any amount of Fury gets that much Focus instead. | [Tap] -> Draw 2 cards.		YV	
Nei Rin (A)	YV	YV34_Nei_Rin_A	L	Character	Yuuzhan Vong Master Shaper	6	30	3	6	U	34		Nei Rin cards can be put in a Yuuzhan Vong deck. | Alternative Cost: Pay 6 Force. | Tap X of your Yuuzhan Vong, up to 3 -> Put X+1 redemption counters on any card or remove X+1 counters of any type from a unit. | Pay 2 Force -> Persuade 2		YV	
Radank Claw	YV	YV35_Radank_Claw	Y	Equipment	Ground/Character - Biological Device - Escalation	1				U	35		Put X damage counters, up to 3, on one of your units -> Equip to that unit. | Equipped Yuuzhan Vong Warrior or Officer gets Tenacity X and Critical Hit X. | Equipped Tsavong Lah also gets Resilience X.		YV	
Refugee Crisis	YV	YV36_Refugee_Crisis	Y	Mission - Trap		1				U	36		When a Yuuzhan Vong causes an opponent's unit to be discarded from any arena, take 1 30/0/1 War Refugees Subordinate with "Upkeep: Pay 1 build point or tap one of your other units in this arena." and put it into that arena under your opponent's control.		YV	
Sgauru and Tu-Scart (A)	YV	YV37_Sgauru_and_Tu_Scart_A	Y	Ground	Yuuzhan Vong Creature Squad	14	40	10	10	U	37		Stack: Any Yuuzhan Vong Creature. | Adapt: Armor/Ferocity | Adapt: Overkill/Pay 2 Force -> Absorb 2 | Consume (This unit gets +10 speed, +1 power, and +1 health for each face-down card beneath it. Whenever damage from this unit causes another unit to be discarded, put its top card face-down beneath this unit.)		YV	
Spiked Razor Bug	YV	YV38_Spiked_Razor_Bug	Y	Equipment	Ground/Character - Biological Weapon	1				U	38		Remove 2 counters from your Resource or one of your Campaigns -> Equip | Equipped Yuuzhan Vong gets "Pay 0 Force -> Retaliate 2." | If the equipped Yuuzhan Vong doesn't already have this Lucky X ability, it also gets Lucky X, up to 5, where X is the number of Biological Weapons attached to this unit.		YV	
Steng (A)	YV	YV39_Steng_A	Y	Character	Yuuzhan Vong Warrior Officer	8	30	7	6	U	39		Armor | Each of your Yuuzhan Vong gets Ion Cannon 2. | [Tap] -> Search your deck for a Location card, reveal it, put it into your hand, and shuffle your deck. | Remove 1 counter from your Resource -> Persuade 1		YV	
Thud Bug Attack	YV	YV40_Thud_Bug_Attack	Y	Mission - Trap		3				U	40		When one of your Yuuzhan Vong Characters or Squads attacks, take 1 60/4/2 Thud Bug Swarm Subordinate and put it into that arena. When that Subordinate's first attack ends, you may return it to your supply to take 1 Weapon with "Bug" in its name from outside the game and attach it to the unit that triggered this Trap without paying the build or equip costs. That Weapon gains that unit's card types as subtypes until end of game.		YV	
Tkun	YV	YV41_Tkun	Y	Character	Yuuzhan Vong Tkun Creature	3	70	5	1	U	41		You may choose not to untap this unit during your untap step. If you do not untap this unit, the last unit this unit attacked gets "Upkeep: Do 4 dice of damage to this unit or tap it." until this unit untaps or is discarded.		YV	
Vol’Chaka -Class Gunship	YV	YV42_Vol_Chaka_Class_Gunship	Y	Space/Ground	Yuuzhan Vong Gunship	5	40	4	4	U	42		Switch: Bombard 2/Ion Cannon 2 | Shields 1 | Remove 1 counter from your Resource -> One of your other units in this arena gets Parry 1 until end of turn.		YV	
Voxyn Queen (C)	YV	YV43_Voxyn_Queen_C	Y	Ground	Yuuzhan Vong Voxyn Creature - Queen	11	50	6	6	U	43		Riposte 2 | Each of your Voxyn can attack units with Stealth, and each gets Tenacity 3 and Precision when attacking a Force Sensitive, Jedi, or Sith. | Pay 1 build point -> Take 1 60/3/3 Voxyn Clone Subordinate with "Riposte 2" and put it into the Ground arena. Play only during your build step.		YV	
Ychna	YV	YV44_Ychna	Y	Space	Yuuzhan Vong Ychna Creature	10	30	8	10	U	44		Consume (This unit gets +10 speed, +1 power, and +1 health for each face-down card beneath it. | Whenever damage from this unit causes another unit to be discarded, put its top card face-down beneath this unit.) | Tenacity 4 (Whenever this unit does less than 4 damage, after damage prevention, for its first attack each turn, it may attack the same target again without tapping.)		YV	
Yuuzhan Vong Dreadnoughts	YV	YV45_Yuuzhan_Vong_Dreadnoughts	Y	Space	Yuuzhan Vong Capital Ship Fleet	6	30	4	6	U	45		Armor | Double Strike		YV	
Yuuzhan Vong Elite (A)	YV	YV46_Yuuzhan_Vong_Elite_A	Y	Ground	Yuuzhan Vong Agent Priest Shaper Warrior Squad	11	50	8	8	U	46		Stack: Any unique Yuuzhan Vong Character. | Each of your unique Yuuzhan Vong costs 1 less build counter to deploy. | When you deploy another card to this stack, choose an ability on that card for Yuuzhan Vong Elite to get until discarded.		YV	
