Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Canderous Ordo's Grit (A)	15TH	15thpromo_Canderous_Ordo_s_Grit_A	N	Equipment	Character - Trait	2				P			When one of your Mandalorian is damaged, attach Canderous Ordo's Grit to that Mandalorian. | Equipped Mandalorian gets +2 power and Resilience 1. | Equipped Canderous Ordo also gets Damage Control 1 and Fury X, where X is the number of Equipment attached to him.		TOR
Confronting the Progenitor	15TH	15thpromo_Confronting_the_Progenitor	N	Mission		2				P			Choose one: Remove 1 damage counter from each of your damaged units, and you may also remove 1 more damage counter from one of your Creatures. | Or: If there are 2 more build counters on Confronting the Progenitor, players can't remove damage counters from units until end of game.		TOR
Czerka Corporation	15TH	15thpromo_Czerka_Corporation	N	Resource		4				P			Add 1 counter -> Search your deck for a non-Skill, non-Trait Equipment card, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck. | Remove 4 counters -> Take 2 40/2/2 Czerka Guard Subordinates with “Tap -> A unit in this arena loses game text granted by non-Skill, non-Trait Equipment attached to it until end of turn.” and put them into the Ground or Character arena. Play only during your build step."	<s><l>Spawn 2 Czerka Guards</l><f>/spawn Czerka Guard;/spawn Czerka Guard;/s uses Czerka Corporation to spawn 2 Czerka Guard subordinates and MUST remove 4 counters from their Resource</f></s>	TOR
Czerka Guard	15TH	15thpromo_Czerka_Guard	N	Subordinate	Ground/Character - Merchant Bodyguard		40	2	2	P			Tap -> A unit in this arena loses game text granted by non-Skill, non-Trait Equipment attached to it until end of turn.		TOR
Drexl	15TH	15thpromo_Drexl	N	Ground	Drexl Creature	6	30	6	4	P			Upkeep: This unit does 1 damage to one of your opponent's units in the Character arena. | Ferocity		TOR
Force Suppression	15TH	15thpromo_Force_Suppression	N	Battle						P			Pay 6 Force. Tap one of your Force Sensitives, Jedi, or Sith in any arena -> Each player can't gain Force and can't spend Force until end of turn. Play only when the battle phase starts.		TOR
HK-47 (C)	15TH	15thpromo_HK_47_C	N	Character	Assassin Droid	6	40	4	4	P			Armor | HK-47 gets Double Strike when attacking a non-Droid. | INSERT: Ferocity		TOR
Hunt for the Star Maps	15TH	15thpromo_Hunt_for_the_Star_Maps	N	Mission - Campaign		1				P			When each of your build steps ends, if you completed another card with “Star Map” in its name or completed a Location this turn, gain 1 Force, and you may draw a card.		TOR
Hutt Cartel Cruiser	15TH	15thpromo_Hutt_Cartel_Cruiser	N	Space	Hutt Crime Lord Cruiser	6	20	4	6	P			Reduced Cost 5: If you have 2 or more Subordinates in any arena. | Shields 1 | When you deploy this unit, you may pay 4 Force. If you do, take 1 Neutral Subordinate with printed power 4 or less and put it into its arena. | Tap one of your Subordinates -> Evade 2		TOR
Jedi Meditation Trance	15TH	15thpromo_Jedi_Meditation_Trance	L	Equipment	Ground/Character - Skill	2				P			Gain 2 Force -> Equip | Equipped Jedi gets “You may choose not to untap this unit during your untap step. If you do, gain 1 Force.”, and “Play with the top card of your deck revealed if this unit is tapped, and if that top card is a Battle card, you may play it as if it were in your hand.”		TOR
Memory Wipe	15TH	15thpromo_Memory_Wipe	N	Mission - Trap		1				P			When your opponent adds a unit to a unique unit's stack or rearranges a unique unit's stack by putting another card from that stack on top of that stack, put that card face-down beneath one of your unique units' stacks instead. That unit of your gets +10 speed, +1 power. And +1 health until it is discarded.		TOR
Old Republic Strike Team (A)	15TH	15thpromo_Old_Republic_Strike_Team_A	N	Ground/Character	Old Republic Squad	11	50	6	6	P			Stack: Any unique Agent, Bounty Hunter, Jedi, Sith, Smuggler, and Soldier. | Old Republic Strike Team gets the following if a card with a listed subtype is in its stack: Agent: Cunning; Bounty Hunter: Armor; Jedi: “Pay 1 Force -> Deflect 1”; Sith: Fury 3; Smuggler: Lucky 2; Soldier: Shields 1. | Pay 2 Force -> Evade 2		TOR
Star Forge Viewing Platform	15TH	15thpromo_Star_Forge_Viewing_Platform	D	Location	Character - Rakatan Imperial Sith Facility	2				P			Each of your Dark Jedi and Sith Characters gets “Pay 2 Force, discard on of your other Characters with remaining health X -> Remove up to X damage counters from this unit. Play only when no unit is attacking.”		TOR
Vibro-mop	15TH	15thpromo_Vibro_mop	N	Equipment	Character - Device	1				P			Pay 0 Force -> Equip | Equipped Character gets “Tap, Remove 2 cards from your discard pile from the game -> Put 2 credit counters on this unit.” and “Remove X credit counters from this unit, where X is 4 or less -> Gain X build points. Play only during your build step.”		TOR
Visions and Prophecy	15TH	15thpromo_Visions_and_Prophecy	N	Event						P			When setup starts, each player rolls a die. If it is a tie, each player rerolls his or her die until a player rolls higher. When the roll for build points is made each turn, players alternate turns choosing a number from 1 to 6, starting on the first turn with the player who rolled higher during setup. Each player gets X build points for that turn, where X is the chosen number.		TOR
Changeling's Transformation	15TH	15thpromo_Changeling_s_Transformation	N	Equipment	Character - Skill	1				P			Discard a card from your hand -> Equip | Equipped Bounty Hunter gets “When you build step starts you may choose a Force-activated ability with a printed cost of 2 Force or less from any unit in the Character arena. If you do, this unit gets the chosen ability until end of turn.” | Equipped Zam Wesell also gets Damage Control 1.		REP
Coruscant Outlander Club	15TH	15thpromo_Coruscant_Outlander_Club	N	Location	Character - Coruscant Merchant Facility	2				P			When you complete this Location, you may add 2 counters to your Resource. | Each of your opponent's Characters gets -1 power.		REP
Experience	15TH	15thpromo_Experience	N	Equipment	Space/Ground/Character - Trait	2				P			When you add a card to one of your unique unit's stack, attach this Trait to that unit. | Equipped unique unit gets “Pay 4 Force -> Return a non-unit card from any discard pile to your hand.”		REP
Gardulla's Pet Krayt Dragon (A)	15TH	15thpromo_Gardulla_s_Pet_Krayt_Dragon_A	N	Subordinate	Ground/Character - Hutt Dragon Creature		40	4	4	P			Critical Hit 2 | Armor		REP, CW
Gardulla the Hutt (B)	15TH	15thpromo_Gardulla_the_Hutt_B	N	Ground/Character	Hutt Crime Lord	6	20	2	6	P			Hidden Cost 4 | Each of your Dragons and units with “Dragon” in their names get +1 power and Riposte 1. | Tap, Pay 4 Force -> Take 1 40/4/4 Gardulla's Pet Krayt Dragon Subordinate with “Critical Hit 2” and “Armor” and put it into the Ground or Character arena. Play only during your build step. | Pay 0 Force -> Redirect	<s><l>Tap and pay 3 Force to Spawn Gardulla's Pet Krayt Dragon</l><f>/spawn Gardulla's Pet Krayt Dragon (A);/player stat1 -3;/cr90;/s taps Gardulla the Hutt (B) and pays 3 Force to spawn Gardulla's Pet Krayt Dragon (A) subordinate</f></s>	REP, CW
Globe of Peace (A)	15TH	15thpromo_Globe_of_Peace_A	L	Equipment	Ground/Character - Device	2				P			Each player gains 1 Force -> Equip | Equipped Light Side Ground unit or Character gets “Upkeep: Gain 1 Force.” and “Whenever any player gains control of an arena, you may draw a card.”		REP
I Have the High Ground	15TH	15thpromo_I_Have_the_High_Ground	L	Mission - Trap		2				P			Choose one: When damage counters would be put on a Light Side unit as a result of a Dark Side unit's attack, and the damage that caused those damage counters was unpreventable, put those damage counters on the attacking Dark Side unit instead. | Or: When a Light Side unit is attacked, it gets “Pay 1 Force -> Deflect 3” until the attack ends.		REP, CW
Obi-Wan's Starfighter (C)	15TH	15thpromo_Obi_Wan_s_Starfighter_C	L	Space	Republic Jedi Starfighter	5	60	3	3	P			Alternative Cost: Pay 8 Force. | Foresight: Gain 1 Force. | Forewarning: Gain 1 Force. | Lucky 1 | Parry 1 | Pay 1 Force -> Evade 1 | INSERT: Obi-Wan Kenobi gets +10 speed.		REP, CW
OOM-9's AAT (A)	15TH	15thpromo_OOM_9_s_AAT_A	D	Ground	Trade Federation Droid Tank	7	40	4	4	P			Armor | Intimidation | Each of your Trade Federation Ground units cost 1 less build counter to deploy.		REP
Outer Rim Sieges	15TH	15thpromo_Outer_Rim_Sieges	N	Mission - Campaign		3				P			When each turn starts, if damage from one of your Armies, Fleets, Squads, or Squadrons caused one of your opponent's units to be discarded last turn, you may choose one of your Armies, Fleets, Squads, or Squadrons. If you do, the chosen unit gets +10 speed, Accuracy 1, Damage Control 1, and “Pay 4 Force -> This unit gets Double Strike until end of turn.” until end of turn.		REP, CW
Sifo-Dyas (A)	15TH	15thpromo_Sifo_Dyas_A	L	Character	Republic Jedi Master - Council Member	5	40	4	5	P			Stealth | When Sifo-Dyas is discarded, search your deck for any card and put it into your hand. Shuffle your deck. | Tap, Pay 4 Force -> Replace an Event you have in play with another Event from your supply. Play only when the battle phase starts.		REP
The Clone Wars	15TH	15thpromo_The_Clone_Wars	N	Event						P			Republic and Separatist deployments can't be disrupted. | When each player's build step starts, that player may pay 1 build point. If that player does, he or she searches his or her deck for any unit card, shows it to his or her opponent, put it into his or her hand and then shuffles his or her deck.		REP, CW
The Prophecy of the Chosen One	15TH	15thpromo_The_Prophecy_of_the_Chosen_One	L	Resource		5				P			Whenever you gain 1 or more Force, add 1 counter to this Resource. | Remove 1 counter -> One of your unique Jedi gets Inspiration until end of turn. | Remove 10 counters -> Choose one of your unique Jedi with 4 or more cards in its stack and roll a die. If your roll a 5 or 6, you win the game. If you roll a 4 or less, discard the chosen Jedi. Play only if your Force total is higher than your opponent's Force total.		REP, CW, REB
Train the Boy	15TH	15thpromo_Train_the_Boy	L	Mission		1				P			Gain 1 Force and take an Anakin Skywalker unit card from your discard pile or outside the game, show it to your opponent, and put it into your hand. | Enhance: Pay X Force, where X is that unit card's printed build cost -> Put that unit card into its arena untapped.		REP, CW
Unlimited Power!	15TH	15thpromo_Unlimited_Power	D	Battle						P			Pay 2 Force, do up to 3 damage to one of your Sith in the Character arena -> Put X+1 damage counters on one of your opponent's Characters, where X is the amount of damage done to that Sith this way. Play only when no unit is attacking.		REP, CW
Aphra's Team (A)	15TH	15thpromo_Aphra_s_Team_A	N	Ground/Character	Explorer Assassin Droid Squad	7	50	5	5	P			Treat Aphra's Team as Imperial. | Switch: Damage Control 1/Parry 1 | Accuracy 1 | Pay 2 Force -> Absorb 2		REB
BD-1 (A)	15TH	15thpromo_BD_1_A	L	Subordinate	Character - Explorer Droid		70	1	2	P			INSERT: Damage Control 1		REB
Cal Kestis (A)	15TH	15thpromo_Cal_Kestis_A	L	Character	Jedi Padawan Explorer	6	60	5	5	P			Stack: BD-1. | When your build step starts, if BD-1 is not in play or stacked beneath Cal, you may pay 1 Force. If you do, take 1 70/1/2 BD-1 Subordinate with “ INSERT: Damage Control 1” and put it into the Character arena or stack it beneath Cal. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1	it's quite 	REB
Corruption	15TH	15thpromo_Corruption	D	Resource		5				P			Add 2 counters -> Put 1 corruption counter on one of your opponent's units, and that unit gets Resilience -1 until end of turn. Play only during your build step. | Remove X counters, remove X corruption counters from one of your opponent's units with total build cost X -> Gain control of that unit until end of game.		REB, EP456
Etiquette and Protocol	15TH	15thpromo_Etiquette_and_Protocol	N	Equipment	Space/Ground/Character - Skill	2				P			Discard a card from your hand -> Equip | Equipped Diplomat gets “Each of your opponent's units in this Arena gets -10 speed, -1 power, and loses Stealth.” | Equipped Protocol Droid gets “Tap -> Tap one of your opponent's units in the Character arena. Play only when no unit is attacking.”		REB
Galactic Civil War	15TH	15thpromo_Galactic_Civil_War	N	Mission - Campaign		3				P			When each battle phase starts, if a Location is in any arena, you may draw a card. You may also choose an arena with a Location. If you do, choose one. If your opponent has an Imperial or Rebel in the chosen arena, you may choose both option instead: Put 1 counter of any type on one of your opponent's units in the chosen arena. | Or: Remove 1 counter of any type from one of your units in the chosen arena.		REB
Imperial Occupied Coruscant	15TH	15thpromo_Imperial_Occupied_Coruscant	D	Location	Space/Ground/Character - Imperial Coruscant City	2				P			When your build step starts, gain 1 build point.		REB
Lando Calrissian's Charm (A)	15TH	15thpromo_Lando_Calrissian_s_Charm_A	N	Equipment	Character – Trait	2				P			When one of your Smugglers is attacked, attach Lando Calrissian's Charm to that Smuggler. | Equipped Smuggler gets Lucky 1 and “Tap -> Disrupt an attack against this unit.” | Equipped Lando Calrissian also gets Cunning and “Each of your other Bespin, Rebels, and Smugglers gets Lucky 1 and 'Roll a die -> Evade 1 if you roll a 5 or a 6.”		REB, EP456
Lars Family (A)	15TH	15thpromo_Lars_Family_A	L	Ground	Tatooine Desert Farmer Squad	4	30	3	5	P			Stack: Any unique unit with “Lars” in its name and Luke Skywalker. | As long as a Luke Skywalker unit card is in Lars Family's stack, it gets the Force Sensitive subtype and “Upkeep: Gain 1 Force.” | Tap -> Remove up to 2 damage counters from one of your Droids. Play only during your build step.		REB, EP456
Life Day	15TH	15thpromo_Life_Day	N	Event						P			Whenever a unit taps without attacking during the battle phase, each player gains 1 Force. | Return Life Day to your supply -> Each player choose one: He or she shuffles his or her discard pile into his or her deck. Play only during your build step. | Or: He or she takes a unit card from outside the game, shows it to his or her opponent, and puts it into his or her hand. Play only during your build step.		REB, EP456
More Powerful Than You Can Possibly Imagine	15TH	15thpromo_More_Powerful_Than_You_Can_Possibly_Imagine	L	Mission - Trap		2				P			When one of your unique Jedi Masters is discarded from any arena, gain 2 Force and take a Jedi Spirit unit card from outside the game and put it into its arena untapped. That Spirit can't lose its printed game text and can't be discarded from its arena until end of game.		REB, EP456
Size Matters Not	15TH	15thpromo_Size_Matters_Not	L	Battle						P			Pay 2 Force -> Choose one of your Force Sensitives or Jedi. Whenever the chosen unit is being attacked by or is attacking a unit with higher printed health this turn, each of the chosen unit's Force-activated abilities can't be disrupted and costs 2 less Force to play. | Pay 2 Force -> Meditate, and Size Matters Not can't be disrupted.		REB, EP456
Vader's Fist	15TH	15thpromo_Vader_s_Fist	D	Mission		3				P			To complete Vader's Fist, you must also have Darth Vader in any arena. Each of your units with “501st” in its name gets +2 power, Accuracy 1, Ferocity, and “Pay 3 Force -> This unit gets Double Damage for this attack.” until end of turn. | Pay 3  build points -> Meditate		REB
Wedge's X-wing (C)	15TH	15thpromo_Wedge_s_X_wing_C	L	Space	Rebel Starfighter	5	60	3	3	P			Accuracy 1 | Precision | Wedge's X-wing gets Critical Hit 3 when attacking a Battle Station. | INSERT: Lucky 2		REB, EP456
Yoda's Stick (A)	15TH	15thpromo_Yoda_s_Stick_A	L	Equipment	Character - Device	2				P			Pay 1 build point, 1 Force -> Equip | Equipped Jedi gets +20 speed. | Equipped Yoda also gets Stun 3 and “Upkeep: Gain 1 Force.”		REB, EP456
Chimaera Bridge	15TH	15thpromo_Chimaera_Bridge	D	Location	Character - Imperial Bridge	2				P			Your opponent plays with his or her hand revealed and build his or her cards face-up		NEW
