Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Anakin Skywalker (G)	AAA	AAA001_Anakin_Skywalker_G_V2	L	Character	Republic Jedi Padawan	5	60	5	4	R	1		Alternative Cost: Pay 2 Force, tap a Padawan. | As long as Ferus Olin is in any arena, Anakin gets Focus 2 and “Pay  1 Force -> Deflect 1.” | Pay 1 Force -> Up to 2 of your Padawans each get Critical Hit 1 until end of turn | INSERT: Pay 1 Force -> Absorb 1 		REP
Bando Gora Temple	AAA	AAA002_Bando_Gora_Temple_V2	D	Location	Character - Bando Gora Cultist Kohlma Facility	2				R	2		Your opponent's units can't retreat from the Character arena. | Each of your Bando Gora gets the Assassin and Force Sensitive subtype, +2 power, Precision, and “Pay 1 Force -> Retaliate 2.”		REP
Darth Maul (Q)	AAA	AAA003_Darth_Maul_Q	D	Character	Zabrak Dark Jedi Assassin – Sith Lord - Apprentice	7	60	4	5	R	3		Hidden Cost 4 | Double Strike | Pay 4 Force -> Maul gets Double Damage for this attack. Play only if Darth Sidious is in any arena. | Pay 1 Force -> Absorb 1 | Pay 1 Force -> Evade 1   		REP
Darth Plagueis (B)	AAA	AAA004_Darth_Plagueis_B	D	Ground/Character	Muun Dark Jedi Master - Sith Lord	10	50	6	6	R	4		Switch: Ferocity/Overkill | As long as your Force total is 4 or more, each of your opponent's units gets Backfire 2. | Pay 2 Force -> Absorb 2 | Pay 1 Force -> Retaliate 2		REP, CW
Darth Sidious (P)	AAA	AAA005_Darth_Sidious_P	D	Character	Dark Jedi Master - Sith Lord	10	30	6	8	R	5		Parry 1 | Riposte 1 | As long as your have another unique Sith in the Character arena, Sidious can't be attacked. | Each of your other Dark Jedi and Sith gets Critical Hit 1 and Lucky 1. | [Tap] -> Untap one of your Apprentices. | Pay 1 Force -> Evade 2		REP, CW
Death Warrant	AAA	AAA006_Death_Warrant	N	Equipment	Space/Ground/Character - Trait	1				R	6		When one of your Assassins or Bounty Hunters attacks one of your opponent's units, attach this Trait to the defending unit. | Equipped unit gets "Each unit gets Precision when attacking this unit." and "When this unit is discarded, your opponent gains 4 build points when his or her build step starts."		REP
Dooku (A)	AAA	AAA007_Dooku_A	L	Character	Republic Jedi Master - Council Member	9	50	7	6	R	7		Stack: Any Council Member | [Tap] -> Choose one: Draw 2 card. Or: Put 2 build counters on a partially built card in your build zone. | Pay 2 Force -> Persuade 2 		REP, CW
Ferus Olin (D)	AAA	AAA008_Ferus_Olin_D	L	Character	Republic Jedi Padawan	5	60	4	5	R	8		Alternative Cost: Pay 2 Force, tap a Padawan. | As long as Anakin Skywalker is in any arena, Ferus gets Accuracy 1 and "Pay 1 Force -> Deflect 1." | INSERT: Pay 1 Force -> Absorb 1		REP
General Ashaar Khorda (A)	AAA	AAA009_General_Ashaar_Khorda_A	D	Character	Annoo-Dat Assassin - Independent Officer	7	40	5	5	R	9		Riposte 2 | [Tap] -> Choose one: Discard a Location from any arena. Or: Search your opponent's deck for a Location card and discard it. If you find none, gain 2 Force. Your opponent shuffles his or her deck. | Discard the top card from your deck -> Absorb 1		REP
Grand Entrance	AAA	AAA010_Grand_Entrance	N	Event						R	10		Unit deployments can't be disrupted | Whenever a player's unit is deployed or put into an arena, that unit gets +X power for its next attack, where X is the number of units that player's opponent has in that arena.		REP
Granta Omega (A)	AAA	AAA011_Granta_Omega_A	D	Character	Independent Assassin - Crime Lord	6	40	5	5	R	11		Hidden Cost 3 | Stealth | Granta gets Fury 3 when attacking a Jedi. | Remove 1 counter from your Resource -> Granta gets -10 speed until end of turn		REP
Hell's Anvil (B)	AAA	AAA012_Hell_s_Anvil_B	N	Space	Mandalorian Bounty Hunter Cruiser	7	50	6	5	R	12		Upkeep: Discard the top card from your deck or tap Hell's Anvil. | Hell's Anvil gets Ferocity when attacking a damaged unit. | Discard the top card from your deck -> Deflect 1		REP
Infant of Shaa (A)	AAA	AAA013_Infant_of_Shaa_A	N	Equipment	Character - Device	4				R	13		Each player gains 2 Force -> Equip | Equipped Character gets "Pay 10 Force, remove Infant of Shaa and this unit from the game -> Discard all units from the Character arena. Play only when the battle phase ends."		REP
Infinity Wave	AAA	AAA014_Infinity_Wave	N	Battle						R	14		Pay 8 Force -> Discard all Location from each arena. Put 1 damage counter on each arena and build zone for each Location discarded this way.		REP
Jango Fett (L)	AAA	AAA015_Jango_Fett_L	N	Character	Mandalorian Bounty Hunter	9	70	7	7	R	15		Upkeep: Pay 1 build point or tap Jango. | Bounty: Gain 1 build point. | Armor | When your build step starts, if Jango attacked last turn, gain 1 build point, and your opponent loses 1 Force.		REP
Jango Fett (M)	AAA	AAA016_Jango_Fett_M	N	Character	Farmer Boy - Mandalorian Foundling Child	4	60	2	2	R	16		Each of your Mandalorians gets Focus 2 | During your build step, you may remove this card from your hand from the game. If you do, reveal a partially built Mandalorian unit card in your build zone to your opponent and put 2 build counters on it.		REP
Jaster Mereel (B)	AAA	AAA017_Jaster_Mereell_B	N	Character	Mandalorian - Mandalore	9	50	6	8	R	17		Armor | Each of your Mandalorians gets Fury 1 When Jaster is discarded, you may untap one of your Mandalorians in the Character arena. | Discard the top card from your deck -> Intercept | Discard 2 cards from your hand -> Protect 4		REP
