Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Aayla Secura (D)	AGD	AGD001_Aayla_Secura_D	L	Character	Twi'lek Jedi Knight - Republic Officer	5	50	3	3	R	1		Aayla gets +10 speed for each of your other Jedi in the Character arena. | Aayla gets +1 power for each of your Clones in the Character arena. | Aayla gets +1 health for each of your Lurmen in the Character arena. | Pay 1 Force -> Deflect 1		REP, CW
Adi Gallia (B)	AGD	AGD002_Adi_Gallia_B	L	Character	Jedi Master - Republic Officer	5	50	3	4	R	2		When you deploy Adi, you may take a Jedi Character unit card from your discard pile and put it into your hand. | Pay 2 Force -> Evade 2 | Pay 1 Force -> Prevent 1 damage to one of your other Jedi Characters.		REP, CW
Admiral Trench (A)	AGD	AGD003_Admiral_Trench_A	D	Character	Separatist Harch Officer	6	30	5	4	R	3		Flagship Pilot. The Flagship gets: - This unit gets +2 power when attacking a Capital Ship.  - Tap -> Choose one of your opponent's Transports in the Space arena. Your opponent discards that Transport. Play only when this unit would attack.		REP, CW
Ahsoka's Starfighter (A)	AGD	AGD004_Ahsoka_s_Starfighter_A	L	Space	Republic Jedi Starfighter	4	50	3	3	R	4		Elude | Lucky 1 | Each of your Clones in the Space arena gets Elude | Pay 1 Force -> Evade 1		REP, CW
Ahsoka Tano (A)	AGD	AGD005_Ahsoka_Tano__A	L	Character	Togruta Jedi Padawan - Republic Officer	5	50	4	4	R	5		Fury 1 | Lucky 2 | Pay 1 Force -> Evade 1 | Pay 2 Force -> Retreat Ahsoka. Play only when no unit is attacking.		REP, CW
Ahsoka Tano (B)	AGD	AGD006_Ahsoka_Tano_B	L	Character	Togruta Jedi Padawan - Republic Officer	5	40	4	4	R	6		Lucky 1 | Parry 1 | Pay 1 Force -> Evade 1 | Pay 0 Force -> Intercept | Pay 1 Force -> Prevent up to 2 damage to one of your Clone Characters.		REP, CW
Anakin's Starfighter (B)	AGD	AGD007_Anakin_s_Starfighter_B	L	Space	Republic Jedi Starfighter	5	60	3	3	R	7		Accuracy 1 | Elude | Pay 1 Force -> Deflect 1		REP, CW
Anakin Skywalker (V)	AGD	AGD008_Anakin_Skywalker_V	L	Character	Jedi Knight - Republic Officer	7	60	6	6	R	8		Lucky 1 | When you deploy Anakin, you may search your deck for an Ahsoka Tano unit card, show it to your opponent, and put it into your hand. Shuffle your deck. | Pay 2 Force -> Evade 2		REP, CW
Anakin Skywalker (W)	AGD	AGD009_Anakin_Skywalker_W	L	Character	Jedi Knight - Republic Officer	9	60	6	6	R	9		Anakin gets +1 power and +1 health for each Force Spirit and Force-Wielder you have in the Character arena. | Damage from Anakin can't be prevented. | Remove one of your Force-Wielders in the Character arena from the game -> Anakin gets +X power for this attack, when X is your Force total. | Discard one of your Force Spirits from the Character arena -> Prevent all damage from Anakin		REP, CW
Angel	AGD	AGD010_Angel	N	Character	Iego Refugee	5	60	0	5	R	10		Your opponent can't attack this unit unless he or she pays 4 Force. | Whenever one of your Characters would be discarded, you may pay 2 Force. If you do, add that Character card to your hand instead. | Tap -> Gain 2 Force. Play only during your build step.	<s><l>Tap to gain 2 Force</l><f>/cr90;/player stat1 +2;/s taps Angel to gain 2 Force</f></s>	REP, CW
Asajj's Starfighter (C)	AGD	AGD011_Asajj_s_Starfighter_C	D	Space	Geonosian Dark Jedi - Separatist Starfighter	8	70	3	4	R	11		Fury 2 | Inspiration | Pay 1 Force -> Evade 2		REP, CW
