Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Admiral Motti (A)	ANH	ANH001_Admiral_Motti_A	D	Character	Imperial Naval Officer	3.0	30.0	3.0	3.0	R	1.0	"Text erratum | Motti's ability takes precedence over abilities that can be activated ""when this unit would attack""."	Anytime a Jedi Character (Yours or your opponent's) can attack Motti, that Character must do so.		WOTC, REB, EP456	
Beru Lars (A)	ANH	ANH002_Beru_Lars_A	L	Character	Tatooine Farmer	3.0	10.0	1.0	3.0	R	2.0		Discard Beru from the Character arena -> Return a Character card from your discard pile to your hand. Play only during your Build step.		WOTC, REB, EP456	
Blaster Barrage	ANH	ANH003_Blaster_Barrage	D	Battle						R	3.0	Text erratum | The damage to those units is determined after the hits are divided. | The hits on both units is considered coming from the attacking unit, but the second unit chosen is not considered to have been attacked and is therefore not a defending unit.	Pay 5 Force -> For this attack, you may divide the hits from the attacking unit between the defending unit and another of your opponent's units in the same arena as the defending unit. Play only when one of your units is attacking (before you roll attack dice).		WOTC, REB, EP456	
Capture the Falcon	ANH	ANH004_Capture_the_Falcon	D	Mission		3.0				R	4.0		Choose one of your opponent's untapped Space units. Tap that unit.		WOTC, REB, EP456	
Contingency Plan	ANH	ANH005_Contingency_Plan	L	Mission		1.0				R	5.0	Those units remain in the build zone and are still considered partially built even though they have no build counters on them.	Remove all build counters from each partially built card in your build zone. You get that many extra build points this turn.		WOTC, REB, EP456	
Dannik Jerriko (A)	ANH	ANH006_Dannik_Jerriko_A	N	Character	Anzati Bounty Hunter	5.0	40.0	3.0	5.0	R	6.0	Damages means damage done after damage prevention. | You can't remove more than 1 damage counter each time Dannik damages a Character, even if he does 2 or more damage. | Dannik gets the effect even if he manages to damage himself.	Stun 3 | When Dannik damages a Character, remove 1 damage counter from Dannik.		WOTC, REB, EP456	
Darth Vader (A)	ANH	ANH007_Darth_Vader_A	D	Character	Dark Jedi Knight - Sith Lord	8.0	50.0	6.0	6.0	R	7.0		When Vader attacks a Character other than a Jedi Knight or a Jedi Master, you may pay Force equal to that Character's total build cost. If you do, that Character retreats when Vader's attack ends. | Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept		WOTC, REB, EP456	
Desperate Confrontation	ANH	ANH008_Desperate_Confrontation	N	Mission		2.0				R	8.0	This only affects units in play at the time Desperate confrontation is played.	"Each of your units gets ""Pay 1 Force -> This unit gets +2 power for this attack"" until end of turn."		WOTC, REB, EP456	
Destroy Alderaan	ANH	ANH009_Destroy_Alderaan	D	Mission		10.0				R	9.0		Your opponent discards his or her hand.		WOTC, REB, EP456	
Dianoga (A)	ANH	ANH010_Dianoga_A	D	Character	Vodran Creature	5.0	30.0	4.0	4.0	R	10.0	"The phrase ""play only during battle"" has no special significance. Simply play the ability according to the normal rules for activated abilities."	[tap] -> Choose an untapped Character with power 4 or less. Tap that Character. Play only during battle.		WOTC, REB, EP456	
Disturbance in the Force	ANH	ANH011_Disturbance_in_the_Force	N	Mission		4.0				R	11.0	Works best in tandem with Surprise Attack.	Your opponent can't play activated abilities this turn.		WOTC, REB, EP456	
It's Not Over Yet	ANH	ANH012_It_s_Not_Over_Yet	N	Battle						R	12.0	Anything that triggers at the start of the Battle step will trigger. Play before the end of the battle step after all units have tapped..	Pay 5 Force -> Choose an arena. Untap all units in that arena. Begin another battle step in that arena. Play only if all units in all arenas are tapped.		WOTC, REB, EP456	
EG-6 Power Droid	ANH	ANH013_EG_6_Power_Droid	N	Character	Service Droid	4.0	10.0	1.0	4.0	R	13.0		[tap] -> Untap one of your other Droids in the Character arena. Play only when this unit would attack and only once per turn.		WOTC, REB, EP456	
Elite Stormtrooper Squad	ANH	ANH014_Elite_Stormtrooper_Squad	D	Ground	Imperial Clone Stormtrooper	6.0	40.0	4.0	5.0	R	14.0	This unit's Accuracy does not increase its chance of getting a Critical Hit.	Critical Hit 1 | Accuracy 1		WOTC, REB, EP456	
