Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
2-1B Medical Droid (A)	ESB	2_1B_Medical_Droid_A	L	Character	Rebel Medical Droid	4	20	1	4	R	1		Pay 1 build point -> Remove 1 damage counter from one of your Characters. You may play this ability any number of times during your build step.	
Admiral Firmus Piett (B)	ESB	Admiral_Firmus_Piett_B	D	Character	Imperial Officer	5	40	5	5	R	2	Text erratum	When an Imperial Officer is discarded from any arena, you may pay 4 force. If you do, put this card from your hand into the Character arena. Play only if Admiral Piett is in your hand.	
AT-AT Assault Group	ESB	At_at_Assault_Group	D	Ground	Imperial Assault Walker Squad	13	20	10	12	R	3	This unit may be piloted by Walker pilots.	Put 2 damage counters on this unit -> Prevent all damage to this unit.	
Avenger (A)	ESB	Avenger_A	D	Space	Imperial Capital Ship	7	30	8	6	R	4		When Avenger attacks, your opponent may retreat the defending unit. If he or she does, the attack ends. | Armor	
Blizzard Force Snowtrooper	ESB	Blizzard_Force_Snowtrooper	D	Character	Imperial Clone Stormtrooper	3	50	3	1	R	5		As long as you have more Imperial Characters in the Character arena than your opponent has Rebel Characters in the Character arena, this unit gets +2 power. | Armor	
Blizzard One (A)	ESB	Blizzard_One_A	D	Ground	Imperial Assault Walker	9	40	6	6	R	6		Armor | Critical Hit 2	
C-3PO (E)	ESB	C_3PO_E	L	Character	Rebel Protocol Droid	2	30	1	2	R	7	All cards stacked with him refers to all cards in his stack and attached Equipment.	When C-3PO is discarded from the Character arena, shuffle him and any cards stacked with him into your deck.	
Captain Lorth Needa (A)	ESB	Captain_Lorth_Needa_A	D	Character	Imperial Officer	2	30	2	2	R	8	If piloting Executor (C), Needa's "discard himself" ability will apply to both the first and second defending unit chosen. If one or both of the defending units are not discarded, Needa will be discarded. If only one unit is chosen as the first and second defending unit, from my ruling above, all damage counters from the damage done by the two sets of attack dice will be applied all at once after both sets are rolled. There will then be only one opportunity (or check) instead of two to see if Needa will be discarded.	[Pilot] Capital Ship Pilot. The Capital Ship gets: * Accuracy 1. * When this Capital Ship attacks, if the defending unit isn't discarded, discard Needa.	
Carbon-Freezing Chamber	ESB	Carbon_Freezing_Chamber	D	Location	Character	4				R	9		When the Character battle step starts, choose one of your opponent's Characters in any arena or his or her build zone. Return that Character to your opponent's hand unless he or she pays 3 Force.	
Chewbacca (E)	ESB	Chewbacca_E	L	Character	Rebel Wookiee	8	40	5	7	U	10		Pay 3 Force -> Retaliate 8 | Pay any number of build points -> Remove that many damage counters from each of your Space or Ground units. Play only during your build step.	
Chewbacca (G)	ESB	Chewbacca_G	L	Character	Rebel Wookiee	6	40	5	7	R	11	**RESTRICTED**: This card has been restricted to one copy per deck in tournament play. | You may play the effect only once per turn.	Pay 1 build point -> Put a Droid Character card from you discard pile into the Character arena. Put 1 damage counter on it. Play only during your build step. | Pay 3 Force -> Retaliate 6	
Dack Ralter (A)	ESB	Dack_Ralter_A	L	Character	Rebel Gunner	2	30	2	2	R	12	The second ability Dack grants to the Speeder gives +2 power to units that are in the arena at the time the Speeder is discarded.	Any Speeder with Dack on it can have an extra Pilot. [Pilot] Speeder Pilot. The Speeder gets: * Pay 1 Force -> Intercept. * When this Speeder is discarded from the Ground arena, each of your other units in the Ground arena gets +2 power until end of turn.	
Dangerous Gamble	ESB	Dangerous_Gamble	L	Mission		0				R	13	Ignore the subtype and version letter of the card named. | This card works best when you have effectively reduced your opponent's deck to a few cards (especially just one) and know what those cards are.	Your opponent shuffles his or her deck. Then you name a card. Your opponent reveals the top card of his or her deck and puts it into his or her hand. If you named that card, you gain 10 build points.	
Dark Cave	ESB	Dark_Cave	D	Location	Character	3				R	14		Whenever a Light Side Character attacks, put a Corruption counter on Dark Cave. When the Character battle step starts, you may remove all Corruption counters from Dark Cave. If you do, choose one of your opponent's units in the Character arena with build cost equal to or less than the number of counters removed. You gain control of that unit until end of turn.	
Darth Vader (H)	ESB	Darth_Vader_H	D	Character	Imperial Dark Jedi Knight - Sith Lord	7	50	5	5	R	15	Regarding Vader's second ability, even when no damage is done because it was prevented can cause your units to be discarded.	Each of your other units gets +2 power. | Whenever any of your other units attacks but does no damage, discard it. | Pay 2 Force -> Evade 2	
Darth Vader (I)	ESB	Darth_Vader_I	D	Character	Imperial Dark Jedi Knight - Sith Lord	8	50	6	6	R	16		Pay 2 Force -> Search your deck. You may take a Dark Side Battle Card from your deck, show it to your opponent, and put it into your hand. Then shuffle your deck. | Pay 2 Force -> Evade 2	
Decoy Tactics	ESB	Decoy_Tactics	L	Battle						R	17	If the unit you put into the arena moves out of that arena before the end of the turn, you do not have to discard it.	Discard one of your units from any arena; Pay X Force, where X is the build cost of a card of that arena in your hand -> Put the card from your hand into the arena. When the turn ends, discard it from the arena. Play only if no unit is attacking.	
Desperate Times	ESB	Desperate_Times	L	Battle						R	18		Discard your hand -> Disrupt a Battle card.	
Echo Base	ESB	Echo_Base	L	Ground	Rebel Fortification	12	10	8	10	R	19		Each of your other Rebel units in the Ground arena gets +10 speed and +1 power. When a unit attacks one of your Rebel units in the Ground arena, you may make it attack this unit instead.	
Emperor's Bidding	ESB	Emperors_Bidding	D	Mission		8				R	20	Emperor's Bidding has no effect if R2-D2's Heroism was played this turn.	When the turn ends, if your opponent has no Jedi in any arena, you win the game.	
Emperor's Prize	ESB	Emperors_Prize	D	Battle						R	21	Text erratum | To play Emperor's Prize, the damage counters must be at least 1 more than twice the unit's health. (health x 2 + 1)	Pay 1 Force -> Choose a card in your discard pile that was discarded by total damage more than twice its total health the last time it was discarded this turn. Put that card into its arena.	
Executor (A)	ESB	Executor_A	D	Space	Imperial Flagship Capital Ship	11	10	10	10	R	22		As long as this unit is in the Space arena, each of your Imperials gets +2 power.	
Failed for the Last Time	ESB	Failed_for_the_Last_Time	D	Mission		5				R	23	The entire type line of the card must match. 	Discard one of your units from any arena. Put a card with a different name but the same complete type line from your hand into that arena.	
Future Sight	ESB	Future_Sight	N	Mission		0				R	24		Pay any amount of Force. Look at that many cards from the top of your deck. Put 1 of those cards into your hand for each build counter on Future Sight. Discard the rest.	
FX-7 Medical Assistance Droid (A)	ESB	FX_7_Medical_Assistance_Droid_A	L	Character	Rebel Medical Droid	2	10	1	3	R	25		If you would remove any number of damage counters from one of your units, remove up to twice that many damage counters instead.	
General Carlist Rieekan (A)	ESB	General_Carlist_Rieekan_A	L	Character	Rebel Officer	4	30	4	3	R	26		Discard one of your Locations from any arena -> Each of your units in that arena gets "Retreat this unit -> Prevent all damage to it" until end of turn. Play only during your build step.	
General Maximilian Veers (B)	ESB	General_Maximilian_Veers_B	D	Character	Imperial Officer	5	40	4	4	R	27		[tap] -> Reveal the top card of your deck. If it's a Ground card, put it into the Ground arena. When the Ground battle step ends, discard it. Play only during your build step.	
Go for the Legs	ESB	Go_for_the_Legs	L	Battle						R	28		Tap one of your untapped units in the Ground arena -> Choose one of your units in the Ground arena. The chosen unit gets +1 power, Accuracy 1, and Stun 1 for this attack. | Enhance: Tap another of your untapped units in the Ground arena -> The chosen unit gets +2 power, Accuracy 2, and Stun 2 for this attack instead.	
Han Solo (G)	ESB	Han_Solo_G	L	Character	Rebel Smuggler	6	40	6	6	R	29		Whenever one of your Diplomats would be damaged, you may prevent that damage. If you do, put 2 damage counters on Han. | Accuracy 1	
Jedi Test	ESB	Jedi_Test	L	Mission		1				R	30		Roll 2 dice. If their total is 10 or more, you gain 10 force. | Enhance: if there are at least 2 extra build counters on Jedi Test, roll 3 dice instead.	
Jedi's Failure	ESB	Jedis_Failure	N	Battle						R	31	If the targeted Jedi is returned to hand or discarded, the opponent does not gain control of that Jedi.	Pay 2 Force -> One of your Jedi gets +8 power for this attack. When the next turn starts, your opponent gains control of that Jedi until the game ends.	
K-3PO (A)	ESB	K_3PO_A	L	Character	Rebel Protocol Droid	3	20	1	2	R	32	You draw a card when you deploy K-3PO, but it does not get the cost reduction when deployed.	Each of your Droids costs 1 fewer build counter to deploy. | Whenever you deploy a Droid, draw a card.	
Kiss from Your Sister	ESB	Kiss_from_Your_Sister	L	Battle						R	33		Tap Princess Leia -> Remove all damage counters from Luke Skywalker. You gain 4 Force. Play only if Leia is in the Character arena.	
Lando Calrissian (A)	ESB	Lando_Calrissian_A	N	Character	Bespin Smuggler Diplomat	6	40	5	6	R	34		Pay 1 build point -> Remove 1 damage counter from Lando. Play only during your build step. | Pay 2 build points -> Draw a card. Play only during your build step. | Pay 3 build points -> Return a unit card from your discard pile to your hand. Play only during your build step.	
Lando Calrissian (D)	ESB	Lando_Calrissian_D	N	Character	Bespin Smuggler Diplomat	2	50	4	5	R	35	If your opponent controls Lando, you may not stack any more copies on Lando, but your opponent can. When the card is returned to its original controller, all cards stacked with it go as well.	When the Character battle step starts, you and your opponent each secretly bid Force. the player who wins the bid gains control of Lando until end of turn. If it's a tie, you win the bid. | Accuracy 1	
Lieutenant Wes Janson (A)	ESB	Lieutenant_Wes_Janson_A	L	Character	Rebel Officer Gunner	4	40	3	3	R	36		Any Speeder with Wes on it can have an extra Pilot. [Pilot] Speeder Pilot. The Speeder gets Critical Hit 4 as long as it's attacking an Assault Walker.	
Lobot (A)	ESB	Lobot_A	N	Character	Bespin Cyborg	4	30	3	4	R	37		Treat Lobot as a Droid. | [tap] -> Choose a player. That player discards the top 5 cards of his or her deck, then draws a card.	
Luke Skywalker (J)	ESB	Luke_Skywalker_J	L	Character	Rebel Officer Jedi Padawan	8	60	5	4	R	38		Whenever you prevent damage to one of your units, draw a card. | Pay 4 Force -> Evade 2	
