Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Battle at Exegol	BAE	BAE001_Battle_at_Exegol	N	Event						R	1		Attacks from Dark Side and Light Side Space units can't be disrupted. | Each Dark Side Space unit gets +1 power, and each Light Side Space unit gets +1 health. | Each Dark Side and Light Side Space unit also gets Area Damage 2.		RES
Blue Ace (A)	BAE	BAE002_Blue_Ace_A	L	Space	Resistance Racer Entertainer Starfighter	5	60	3	3	R	2		Accuracy 1 | Velocity 30 | When Blue Ace does 2 or less damage (after damage prevention) for its first attack each turn, it may attack again. | Pay 2 Force -> Evade 2		RES
Colossus (A)	BAE	BAE003_Colossus_A	L	Space	Resistance Racer Entertainer Station	10	10	7	9	R	3		Armor | Shields 1 | Each of your units gets Velocity 10, and you may choose their Velocity to be cumulative or selective. | [Tap] -> Gain 1 Force and Search your deck for a unit card with Velocity or printed speed 60 or higher, reveal it, and put it into your hand. Shuffle your deck. Play only during your build step.		RES
Comeuppance (A)	BAE	BAE004_Comeuppance_A	L	Space	Independent Crime Lord Starfighter	5	50	3	4	R	4		Hidden Cost 5 | Accuracy 1 | Armor | Lucky 1 | Comeuppance gets Critical Hit 2 when attacking a Capital Ship or Fleet		RES
Derriphan (B)	BAE	BAE005_Derriphan_B	D	Space/Ground	Final Order Sith Eternal Capital Ship	11	30	8	8	R	5		Switch: Bombard 7/Barrage 7 | Shields 2		RES
Elite Sith Jet Trooper	BAE	BAE006_Elite_Sith_Jet_Trooper	D	Ground	Final Order Sith Eternal Stormtrooper	5	40	5	4	R	6		Reduced Cost 4: If you have a Fleet in any arena. | Velocity 20 | Accuracy 1 | Pay 1 Force -> Evade 1 | Pay 1 Force -> Protect 1		RES
Emperor Palpatine (Y)	BAE	BAE007_Emperor_Palpatine_Y	D	Character	Final Order Clone Dark Jedi Master - Sith Lord	11	30	5	7	R	7		Double Strike | [Tap], Pay 2 Force -> Palpatine does 4 damage to another unit of your choice in this arena. | This damage can only be prevented by a Jedi. Play only when Palpatine would attack. | Pay 2 Force -> Absorb 2		RES
Emperor Palpatine's Force Lightning (A)	BAE	BAE008_Emperor_Palpatine_s_Force_Lightning_A	D	Equipment	Character - Skill	2				R	8		Pay 2 Force -> Equip | Equipped Sith Lord gets Ion Cannon 6 | Equipped Emperor Palpatine also gets "Pay 6 Force -> Untap Palpatine. Play only when no unit is attacking."		RES
Exegol Citadel Throne Room	BAE	BAE009_Exegol_Citadel_Throne_Room	D	Location	Character - Final Order Sith Eternal Exegol Facility	3				R	9		Reduced Cost 2: If Emperor Palpatine or Rey is in the Character arena. | When the battle phase starts, you may put 1 corruption counter on a unit in this arena. If you do, gain 1 Force for each unit with at least 1 corruption counter on it in this arena.		RES
Exegol Navigation Tower (A)	BAE	BAE010_Exegol_Navigation_Tower_A	D	Ground	Final Order Sith Eternal Fortification	5	10	0	5	R	10		Armor | When the Space battle step starts, put 1 mastery counter on each of your Final Order Capital Ships and Fleets. | Each of your Final Order Capital Ships and Fleets gets +X power, where X is the number or mastery counters on that unit.		RES
Exegol System	BAE	BAE011_Exegol_System	D	Location	Space - Sith Eternal Exegol Star System	5				R	11		Hidden Cost 3 | Upkeep: Gain 1 Force. | Each of your Final Order units and Sith Eternal costs 1 less build counter to deploy.		RES
Final Order Sith Fleet (C)	BAE	BAE012_Final_Order_Sith_Fleet_C	D	Space/Ground	Final Order Sith Eternal Fleet	15	10	11	13	R	12		Switch: Bombard 8/Ion Cannon 8 | Hidden Cost 12 | Ferocity | Pay 3 Force -> Absorb 3		RES
Final Order TIE Swarm	BAE	BAE013_Final_Order_TIE_Swarm	D	Space	Final Order Sith Eternal Squadron	7	50	4	6	R	13		Bounty: Put 1 damage counter on a unit in the Space or Ground arena. | Double Damage | Surge 1 | This unit gets Cunning and Overkill when attacking a unit with lower total build cost.		RES
Final Order Victory	BAE	BAE014_Final_Order_Victory	D	Mission		3				R	14		When this turn ends, if you control the Space arena and have Final Order Sith Fleet and Emperor Palpatine in any arena, and if your opponent doesn't have a unique Jedi in the Character arena, you win the game.		RES
Finn (O)	BAE	BAE015_Finn_O	L	Ground/Character	Resistance Officer	7	50	5	6	R	15		Switch: Ion Cannon 5/Inspiration | Cunning | Lucky 3 | INSERT: Treat Finn as a Force Sensitive.		RES
