Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Anakin Skywalker (A2)	BEP	BEP001_Anakin_Skywalker_A2	L	Character	Force Sensitive Child - Tatooine Podracer Entertainer	3	60	1	2	R	1		Alternative Cost: Pay 2 Force, tap a Speeder. | [Pilot] Speeder Pilot. The Speeder gets: *Velocity 50 *Damage Control 1 *Pay 1 Force -> Evade 1		REP
Anakin's Podracer (B)	BEP	BEP002_Anakin_s_Podracer_B	L	Ground	Tatooine Podracer Entertainer Speeder	4	90	2	4	R	2		Reduced Cost 3: If a Speeder Pilot is in any arena. | Velocity 40 | Fortitude | Pay 1 Force -> Absorb 1		REP
Boonta Eve Classic	BEP	BEP003_Boonta_Eve_Classic	N	Event						R	3		When the battle phase ends, the player who has the unit with the highest total speed in any arena gain 1 build point when their next build step starts. Tie's don't count. | Each unit without Velocity gets Velocity 10.		REP
Now This is Podracing!	BEP	BEP004_Now_This_is_Podracing	N	Mission - Campaign		1				R	4		When the battle phase starts, choose up to 2 of your Speeders and/or Starfighters. Each chosen unit gets the Podracer subtype. | When the battle phase starts, if a Podracer is in the Ground arena, roll a die for up to 2 Podracer in that arena. Each of those Podracers can attack before all non-Podracers this turn, determined by their order as per the dice roll. A roll of 1 goes first and a roll of 6 goes last. You decide the order for any tied results.		REP
Podracing Victory	BEP	BEP005_Podracing_Victory	N	Mission		6				R	5		When this turn's battle phase ends for the third time in a row from now, if you have a Podracer Entertainer Speeder that is the unit with the highest total speed in any arena, have had the same unique Podracer Pilot on it in the Ground arena when the battle phase ended for the last 3 turns, and have had a Location in that arena for those 3 turns, you win the game.		REP
Queen's Royal Starship (B)	BEP	BEP006_Queen_s_Royal_Starship_B	L	Space/Ground	Naboo Queen Diplomat Transport	5	20	2	5	R	6		Switch: Shields 1/Inspiration | During your build step, you may remove this card from your hand from the game. If you do, reveal a partially built Pilot or Speeder unit card in your build zone and put 2 build counters on it.		REP
Quick Reflexes	BEP	BEP007_Quick_Reflexes	N	Equipment	Space/Ground/Character - Trait	2				R	7		When a Force Sensitive, Jedi, or Podracer is attacked, attach this Trait to that unit. | Equipped unit gets +20 speed, "Foresight: Gain 1 Force.", "Forewarning: Prevent up to 2 damage to this unit.", and if that unit doesn't have Parry, it gets Parry 1 .		REP
Sebulba (B)	BEP	BEP008_Sebulba_B	N	Character	Dug Tatooine Podracer Entertainer	4	50	4	3	R	8		Sebulba and any unit he's Piloting gets Ferocity. | [Pilot] Speeder Pilot. The Speeder gets: *Velocity 45 *Pay 1 Force -> Ambush 3 *Pay 1 Force -> Retaliate 3		REP
Sebulba 's Podracer (B)	BEP	BEP009_Sebulba_s_Podracer_B	N	Ground	Tatooine Podracer Entertainer Speeder	4	80	2	4	R	9		Hidden Cost 3 | Velocity 40 | Pay 2 Force -> Deflect 1, and the target of this Deflect gets -20 speed until end of turn.		REP
Shmi Skywalker (B)	BEP	BEP010_Shmi_Skywalker_B	L	Character	Tatooine Caretaker	3	30	1	3	R	10		Each unit with "Anakin" in its name costs 1 less build counter to deploy. | [Tap] -> Search your deck for a unit card with "Anakin" in its name, reveal it, and put it into your hand. That card gets Hidden Cost 1 until end of turn. Play only during your build step.		REP
