Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Battlefront	BF	BF001_Battlefront	N	Event						R	1		Each player can have 1 Location in each arena at the same time. | Whenever a player completes a Location, don't discard another player's Location (if any) in the same arena. | As long as a player controls an arena, his or her opponent's Location in that arena loses its game text.		REB
Berserker	BF	BF002_Berserker	N	Equipment	Space/Ground/Character - Trait	1				R	2		When one of your units damages one of your opponent's units (after damage prevention), attach this Trait to that unit of yours. | Equipped unit gets Area Damage 4. (Whenever damage from this unit's attack causes a unit in this arena to be discarded, this unit may do 4 dice of damage to another unit in this arena.)		REB
Climate Disruption Array	BF	BF003_Climate_Disruption_Array	D	Space	Imperial Fortification	4	20	2	5	R	3		[tap] -> One of your opponent's Locations loses its game text until end of turn. Play only during your build step. | Pay 2 Force -> Choose one: Disrupt a Space unit's activated ability. Or: Remove 1 counter from your opponent's Resource.		REB
Commander Gideon Hask (A)	BF	BF004_Commander_Gideon_Hask_A	D	Character	Imperial Officer	6	50	5	5	R	4		Reduced Cost 4: If Inferno Squad is in any arena. (Gideon's build cost is 4 if the listed condition is met.) | When Gideon would be discarded from any arena, you may discard a card from your hand. If you do, return him to your hand instead. | Discard a card from your hand -> One of your Officers or Squads gets Ferocity for this attack.		REB
Commander Iden Versio (A)	BF	BF005_Commander_Iden_Versio_A	D	Character	Imperial Officer	6	60	5	5	R	5		When the battle phase starts, if Dio is not in play, take 1 70/2/1 Dio Subordinate with "Critical Hit 2" and put it into the Character arena. | [Pilot] Squad, Squadron, and Starfighter Pilot. The Squad, Squadron, or Starfighter gets:  - +3 power  - Avenge X, where X is this unit's total power.	<s><l>Spawn Dio (A)</l><f>/spawn Dio (A);/s spawns Dio (A) subordinate using Commander Iden Versio (A)</f></s>	REB
Commander Iden Versio (B)	BF	BF006_Commander_Iden_Versio_B	L	Character	Rebel Officer	6	60	5	5	R	6		When the battle phase starts, if Dio is not in play, take 1 70/2/1 Dio Subordinate with "Stun 3" and put it into the Character arena. | [Pilot] Squad, Squadron, and Starfighter Pilot. The Squad, Squadron, or Starfighter gets:  - Foresight: Tap the defending unit.  - Pay 0 Force -> Retaliate 3	<s><l>Spawn Dio (B)</l><f>/spawn Dio (B);/s spawns Dio (B) subordinate using Commander Iden Versio (B)</f></s>	REB
Corvus (A)	BF	BF007_Corvus_A	D	Space	Imperial Capital Ship	7	30	5	5	R	7		Shields 1 | Corvus gets Ferocity when attacking a Light side unit. | Whenever damage from Corvus's attack causes a unit to be discarded, take 1 50/2/2 Inferno TIE Fighter Subordinate with "Fury 2" and put it into the Space arena. | Bombard 3	<s><l>Spawn Inferno TIE Fighter</l><f>/spawn Inferno TIE Fighter;/s Spawns Inferno TIE Fighter subordinate because damage from Corvus (A) caused a unit to be discarded</f></s>	REB
Corvus (B)	BF	BF008_Corvus_B	L	Space	New Republic Capital Ship	8	30	5	5	R	8		Damage Control 2 | Inspiration | Corvus gets +1 power and Ferocity when attacking a Dark Side unit. | Bombard 3		REB
Danger Squadron (A)	BF	BF009_Danger_Squadron_A	L	Space/Ground	Rebel Squadron	6	50	5	5	R	9		Reduced Cost 5: If you have a Capital Ship in any arena. (Danger Squadron's build cost is 5 if the listed condition is met.) | Whenever Damage Squadron is attacked, you may pay 3 Force. If you do, take 1 50/3/2 Danger X-wing  Subordinate with "Switch: Critical Hit 1/Armor" and "Pay 1 Force -> Intercept" and put it into the Space or Ground arena.	<s><l>Pay 3 Force to spawn Danger X-wing</l><f>/spawn Danger X-wing;/player stat1 -3;/s pays 3 Force to spawn Danger X-wing subordinate because Danger Squadron (A) was attacked</f></s>	REB
Darth Vader (E2)	BF	BF010_Darth_Vader_E2	D	Character	Imperial Dark Jedi Knight - Sith Lord	10	50	6	6	R	10		Armor | Each of your Subordinates gets Critical Hit 1. | Pay 1 Force -> Defect 1 | Pay 1 Force -> Protect 1 | INSERT: Pay 3 build points -> Take 1 Stormtrooper Subordinate with printed power 4 or less and put it into its arena. Play only during your build step.		REB
