Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Assassin's Training	BH	BH001_Assassin_s_Training	N	Equipment	Character - Skill	1				R	1		Pay 1 build point -> Equip | Equipped Character gets the Assassin subtype, Stealth, "This unit's speed is 40.", and "This unit can't gain or lose speed."		REB
Boba Fett (L)	BH	BHpromo001_Boba_Fett_L	N	Character	Mandalorian Clone Bounty Hunter	8	50	5	5	P	1	 Armor | Pay 2 Force -> Boba gets +3 power until end of turn. | Pay 2 Force -> Boba gets Critical Hit 3 until end of turn.  			REB
Aurra's Starfighter (A)	BH	BH002_Aurra_s_Starfighter_A	D	Space	Bounty Hunter Starfighter	5	60	4	4	R	2		Treat Aurra's Starfighter as a Dark Jedi. | Critical Hit 3 | Pay 1 Force -> Evade 1		REP, CW
Hunting Party	BH	BHpromo002_Hunting_Party	N	Ground	Bounty Hunter Squad	5	50	3	4	P	2		Critical Hit 1 | Armor | You may equip Space or Character Equipment to this unit for 1 extra build point to get its bonuses as if this unit were a Space or Character unit.		REP, CW
Bounty Hunters' Arsenal	BH	BH003_Bounty_Hunters_Arsenal	N	Resource		4				R	3		Add 1 counter -> One of your Bounty Hunters gets Accuracy 1 until end of turn. | Remove 1 counter -> Search your deck for an Equipment card, show it to your opponent, and put it in your hand. Shuffle your deck.| Remove 6 counters -> Each of your Bounty Hunters with 1 or more Equipment attached get +2 power and Critical Hit 3 until end of turn.		REB
Smuggler-for-Hire	BH	BHpromo003_Smuggler_for_Hire	N	Character	Independent Smuggler	5	30	3	3	P	3		[Pilot] Patrol ship, Starfighter, and Transport Pilot. The Patrol Ship, Starfighter or Transport gets: * +1 Power; * When the space battle phase starts, roll a die. if you roll a 4 or more, this unit gets "Whenever this unit would be damaged, prevent that damage unless your opponent pays 1 Force." until end of turn.		TOR
Bounty Hunters' Guild	BH	BH004_Bounty_Hunters_Guild	N	Resource		4	 			R	4		Add 1 counter -> One of your Assassins or Bounty Hunters gets +2 power and "Attacks from this unit can't be disrupted" until end of turn. | Remove 5 counters -> Each of your Assassins and Bounty Hunters gets "Whenever this unit first does damage (after damage prevention) this turn, gain 1 build point when your next build step starts." until end of turn.		REB
Brutal Assassination	BH	BH005_Brutal_Assassination	N	Mission		4	 			R	5		To complete Brutal Assassination, you must also tap one of your Assassins or Bounty Hunters with printed power 5 or more in any arena and discard 2 cards from your hand. | Discard one of your opponent's units with printed power 5 or less from that arena.		REP, CW
Cad Bane (A)	BH	BH006_Cad_Bane_A	N	Character	Duros Bounty Hunter	9	60	6	6	R	6		Hidden Cost 3 | Critical Hit 2 | When Cad attacks or is attacked, you may search your deck for a Battle card and set it aside face-up. Then shuffle your deck. You may play that card as if it were in your hand during this attack and discard it. If it has not been played when the attack ends, discard it.		REP, CW
Cad Bane's Blaster Pistols (A)	BH	BH007_Cad_Bane_s_Blaster_Pistols_A	N	Equipment	Character - Blaster Weapon	2				R	7		You may attach Cad Bane's Blaster Pistols to Cad Bane during the battle phase. | Pay 2 Force -> Equip | Equipped Character gets: +2 power and Stun 2. | Equipped Cad Bane also gets: Overkill and "When the battle phase ends, if Cad damaged at least 2 units (after damage prevention) this turn, draw a card."		REP, CW
Cade Skywalker (A)	BH	BH008_Cade_Skywalker_A	N	Character	Force Sensitive Bounty Hunter - Smuggler	7	60	5	6	R	8		Pay 2 Force, put 2 corruption counters on Cade -> Remove up to 4 damage counters from one of your other Characters. Play only when that Character would be discarded. | Pay 2 Force -> Evade 2		LEG
Calo Nord (A)	BH	BH009_Calo_Nord_A	N	Character	Bounty Hunter	9	50	7	7	R	9		Accuracy 1 | Armor | When you deploy Calo, you may search your deck for an Equipment card. If you do, show it to your opponent and put it into your hand. Shuffle your deck. | Pay 0 Force -> Retaliate 1		TOR
Dengar (B)	BH	BH010_Dengar_B	N	Character	Corellian Cyborg Bounty Hunter	8	50	7	7	R	10	To finish building Dengar, your opponent chooses one of your other units. Retreat that unit during the retreat step. (Even if it's tapped) | Critical Hit 2 | Armor			REB
Elite Bounty Hunters	BH	BH011_Elite_Bounty_Hunters	N	Ground	Bounty Hunter Squad	6	60	5	5	R	11		Critical Hit 3 | Armor | When the Ground battle step starts, your opponent may discard 1 card from his or her hand or pay 3 Force. If he or she does, tap this unit.		REB
Hunter's Trap	BH	BH012_Hunter_s_Trap	N	Battle				 		R	12		Pay 4 Force, discard a card from your hand -> Choose one: Disrupt an attack. Or: One of your units gets +5 power until end of turn.		REP, CW
IG-2000 (B)	BH	BH013_IG_2000_B	N	Space	Bounty Hunter - Droid Starfighter	5	50	5	4	R	13		When you deploy IG-2000, each of your opponent's Space units gets +1 power until end of turn. | Armor | When IG-2000 damages a Space unit, roll a die. If you roll a 3, 4, 5 or 6, you may pay 2 Force. If you do, IG-2000 may attack a Pilot on the defending unit with 4 power plus any other effects.		REB
Intimidate	BH	BH014_Intimidate	N	Battle					 	R	14	You may activate one or the other effect, not both.	Choose one: Pay 4 Force -> Retreat an attacking unit. Its attack ends. (It is considered to have attacked.) Play only if the defending unit's remaining health is higher than the attacking unit's remaining health. | Or: Pay 6 Force -> Choose one of your opponent's units. Tap that unit and move it into the build zone. Play only if you have a unit in the same arena with higher remaining health than the chosen unit.		REP, CW
I Work Alone	BH	BH015_I_Work_Alone	N	Battle					 	R	15		Pay 5 Force -> One of your Agents, Assassins, Bounty Hunters, or Spies with printed power 6 or less in any arena gets Double Strike and Overkill until end of turn. Play only if you have no other units in that arena.		REP, CW
Jango Fett (I)	BH	BH016_Jango_Fett_I	N	Character	Bounty Hunter	9	60	7	6	R	16		Critical Hit 2 | Bounty: Reveal the top 5 cards of your deck. If you revealed any Character Equipment cards, attach one of them to Jango without paying the equip cost. Put the rest on the bottom of your deck in any order.		REP
Jango Fett's Armor (A)	BH	BH017_Jango_Fett_s_Armor_A	N	Equipment	Character - Armor Defense	2				R	17		Pay 2 Force -> Equip | Equipped Character unit gets Armor. | Equipped Jango Fett also gets "Whenever Jango would be damaged by an attacking unit, prevent 1 of that damage. If the attack does no damage (after damage prevention), you may pay 4 Force. If you do, untap Jango."		REP
Jango Fett's Blaster Pistols (A)	BH	BH018_Jango_Fett_s_Blaster_Pistols_A	N	Equipment	Character - Blaster Weapon	2				R	18		Pay 2 Force, discard a card from your hand -> Equip | Equipped Character gets: +1 power and Fury 2. | Equipped Jango Fett also gets "Whenever Jango damages the defending unit (after damage prevention), your opponent may pay 2 Force. If he or she doesn't, tap that unit, and it doesn't untap during your opponent's next untap step."		REP
Jaster's Legacy (A)	BH	BH019_Jaster_s_Legacy_A	N	Space	Mandalorian Bounty Hunter Transport	6	40	6	5	R	19		Upkeep: Pay 1 build point, discard a card from your hand, or tap Jaster's Legacy. | Critical Hit 2 | Armor | When Jaster's Legacy is discarded from the Space arena, you may search your deck for a Slave I card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.		REP
Mist Hunter (B)	BH	BH020_Mist_Hunter_B_V2	N	Space/Ground	Bounty Hunter Transport	5	40	5	5	R	20		Switch: Accuracy 1/+10 speed and Critical Hit 2 | Upkeep: Pay 1 build point or tap Mist Hunter. | The Mist Hunter can be piloted only by Droids and Bounty Hunters. | Shields 1		REB
Montross (A)	BH	BH021_Montross_A	N	Character	Mandalorian Bounty Hunter	9	50	7	6	R	21		Upkeep: Discard 3 cards from the top of your deck. | Fury 4 | Armor | When Montross attacks, if the defending unit has 1 or more damage counters on it, Montross does 2 damage to that unit.		REP, CW
Shae Vizla (A)	BH	BH022_Shae_Vizla_A	N	Character	Mandalorian Bounty Hunter	6	60	5	5	R	22		To finish building Shae Vizla, you must also pay 2 Force. | Hidden Cost 4 | Bounty: You may choose one of your Bounty Hunters with power 5 or less. If you do, that Bounty Hunter gets Double Strike until end of turn. | Armor		TOR
Slave I (H)	BH	BH023_Slave_I_H	N	Space	Patrol Ship	6	50	5	4	R	23	Slave I's second ability triggers whether Slave I is discarded or "put into the discard pile".| Slave I's last ability works while in the discard pile.	As long as this card is on top or beneath the top card of Slave I's stack, Slave I gets"Treat Slave I as a Bounty Hunter" and "Slave I gets +1 health for each Equipment card attached to it." | When this card is discarded, lose 3 Force. | As long as this card is in your discard pile, you don't have to pay the equip costs to attach Equipment to your Assassins or Bounty Hunters.		REB, NEW
Underworld Kingpin	BH	BH024_Underworld_Kingpin	N	Character	Crime Lord	6	30	3	5	R	24	The type line includes both the type and the subtype. | The unit card put into its arena is now considered a unit.	Pay 1 build point and discard one of your neutral units -> Reveal cards from the top of your deck until you reveal a neutral unit card with a different name but the same complete type line as the card you discarded. Put that unit card into its arena. Shuffle the other revealed cards and put them on the bottom of your deck . | As long as this unit is in the Character arena, you don't have to pay the Upkeep costs of your Assassins, Bounty Hunters, Smugglers, or Spies.		TOR, REP, CW, REB, NEW, LEG
Virago (B)	BH	BH025_Virago_B	N	Space	Crime Lord Starfighter	4	70	0	4	R	25		Armor | Whenever Virago attacks, you may a die. If you do, and roll a 1) Your opponent gains control of Virago until end of game; 2) Virago  doesn't untap during your next untap step; 3) Virago does 1 damage; 4) Virago does 2 damage; 5) Virago does 3 damage; 6) Put 4 damage counters on the defending unit, and that unit doesn't untap next turn. If Virago has Lucky, roll 2 dice separately instead, and choose either result.		REB
Aurra Sing (D)	BH	BH026_Aurra_Sing_D	D	Character	Bounty Hunter	6	50	5	5	U	26		Treat Aurra as a Dark Jedi. | When the Character battle step starts, you may choose a Character. If you do, Aurra gets +2 power and Overkill when attacking that Character until end of turn and your opponent may draw a card. | Pay 1 Force -> Evade 1		REP, CW
Aurra Sing's Blaster Pistols (A)	BH	BH027_Aurra_Sing_s_Blaster_Pistols_A	D	Equipment	Character - Blaster Weapon	1				U	27		Pay 1 build point, 1 Force -> Equip | Equipped Character unit gets +1 power and +1 health. | Equipped Aurra Sing also gets Fury 3 and "Pay 4 Force -> Untap Aurra."		REP, CW
Boba Fett's Blaster Carbine (A)	BH	BH028_Boba_Fett_s_Blaster_Carbine_A	N	Equipment	Character - Blaster Weapon	2				U	28		Pay 1 build point -> Equip | Equipped Character unit gets +2 power. | Equipped Boba Fett also gets "Whenever Boba attacks a Character and does more than 5 damage (after damage prevention), discard that unit."		REB
Bossk (B)	BH	BH029_Bossk_B	N	Character	Trandoshan Bounty Hunter	6	40	5	5	U	29		Armor | As long as this card is on top or beneath the top card of Bossk's stack, Bossk gets "Pay 5 Force -> Bossk gets Double Strike until end of turn."		CW, REB
Cad Bane (B)	BH	BH030_Cad_Bane_B	N	Character	Duros Bounty Hunter	6	40	6	4	U	30		Critical Hit 1 | Stealth		REP, CW
Cad Bane's Posse (A)	BH	BH031_Cad_Bane_s_Posse_A	N	Ground	Bounty Hunter Squad	6	40	5	5	U	31		Armor | As long as Cad Bane is in the Character arena, Cad Bane's Posse gets +2 power and Critical Hit 2.		REP, CW
Death Watch Assassin	BH	BH032_Death_Watch_Assassin	N	Character	Death Watch Assassin	5	40	5	4	U	32		Armor | Pay 1 build point -> Choose one of your opponent's Characters. This unit gets +2 power and Accuracy 1 when attacking the chosen Character until end of game. Play this ability only once per Character and only during your build step.		REP, CW
Dual Wielding	BH	BH033_Dual_Wielding	N	Equipment	Character - Skill	1				U	33		Pay 2 build points -> Equip | Equipped Character with printed power 5 or more gets "As long as this unit has 2 or more Equipment attached with "Pistol" in their names, this unit gets Double Strike."		TOR
Exit Strategy	BH	BH034_Exit_Strategy	N	Battle					 	U	34		Pay 1 Force -> Prevent up to 2 damage to a Bounty Hunter, Assassin, Crime Lord, or Smuggler. | Enhance: Pay 2 more Force -> Prevent up to 2 more damage to that unit.		REP, CW
Guri (B)	BH	BH035_Guri_B	N	Character	Black Sun Assassin Droid	8	60	7	7	U	35		To finish building Guri, reveal your hand to your opponent. | Bounty: Remove all damage counters from Guri or one of your Crime Lords. | As long as you have a Crime Lord in the Character arena, Guri gets Accuracy 1 and "Pay 1 Force -> Intercept".		REB
HK-47 (A)	BH	BH036_HK_47_A	N	Character	Bounty Hunter - Assassin Droid	6	40	5	5	U	36		To finish building HK-47, put the top 2 cards of your deck into the discard pile. | Stealth | Reveal the top card of your deck -> HK-47 gets +2 power until end of turn.		TOR
Hunter's Gambit	BH	BH037_Hunter_s_Gambit	N	Battle					 	U	37	The Location disrupt can help protect your Locations from being replaced.	Pay 4 Force, discard a card from your hand -> Choose one: Disrupt a Location placement. Or: Choose one of your opponent's units in his or her build zone and put it into its arena tapped.		REP, CW
Hunter's Instinct	BH	BH038_Hunter_s_Instinct	N	Battle				 		U	38		Pay 4 Force, discard a card from your hand -> Choose one: Disrupt a Battle card. Or: When one of your opponent's units attacks and does damage to one of your units this turn, do that much damage to the attacking unit.		REP, CW
Hunter's Stand	BH	BH039_Hunter_s_Stand	N	Battle					 	U	39		Pay 4 Force, discard a card from your hand -> Choose one: Disrupt a Mission. Or: One of your units gets +2 power, Accuracy 1, and Overkill until end of turn.		REP, CW
Hunter's Wisdom	BH	BH040_Hunter_s_Wisdom	N	Battle					 	U	40		Pay 4 Force, discard a card from your hand -> Choose one: Disrupt an activated ability. Or: One of your opponent's units gets -5 power until end of turn.		REP, CW
IED Vehicle	BH	BH041_IED_Vehicle	N	Ground	Crime Gang Vehicle	3	50	2	2	U	41		When you deploy this unit, your opponent gains control of it. | Units in the Ground arena can't retreat. | Your opponent may pay 1 build point during his or her next build step. If he or she does, discard this unit and do 2 damage to each of your units in the Ground arena.		REB
