Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
501st Legion (F)	BL	BL001_501st_Legion_F	L	Ground	Republic Clone Army	9	30	8	8	R	1		Accuracy 1 | Armor | When the battle phase starts, you may move 1 damage counter from one unit to another unit in the same arena.		REP, CW
Ahsoka Tano (E)	BL	BL002_Ahsoka_Tano_E	L	Character	Togruta Jedi Padawan - Republic Officer	7	60	5	5	R	2		Focus 2 | Whenever Ahsoka attacks, choose a unit in the Character arena. When this attack ends, Ahsoka does X dice of damage to the chosen unit, where X is the number of misses rolled  (after reroll effects) for the last attack. | Pay 2 Force -> Evade 2		REP, CW
Ahsoka Tano (F)	BL	BL003_Ahsoka_Tano_F	L	Character	Togruta Jedi Padawan - Republic Officer	6	40	4	5	R	3		Lucky 1 | Stealth | Ahsoka can't lose speed, power, her subtype, or her game text. | When you deploy Ahsoka, gain 1 Force. | Pay 1 Force -> Evade 1		REP, CW
Ahsoka's Lethality 	BL	BL004_Ahsoka_s_Lethality	L	Battle						R	4		Pay 1 Force -> Ahsoka Tano gets Accuracy 1 until end of turn. | Enhance: Pay 1 more Force -> Ahsoka Tano gets Accuracy 2 until end of turn instead. | Enhance: Pay 6 more Force -> Ahsoka Tano also gets Double Strike and Overkill until end of turn.		REP, CW
Anakin Skywalker (X)	BL	BL005_Anakin_Skywalker_X	L	Character	Jedi Knight - Republic Officer	8	40	6	6	R	5		Focus 1 | Fury 1 | Stealth | Pay 2 Force -> Ambush 2 (If your opponent deploys, moves, or puts a unit into this arena, Anakin does 2 dice of damage to that unit.) | Pay 2 Force -> Protect 2 (Prevent up to 2 damage to one of your other units in this arena.)		REP, CW
Anakin's Methods	BL	BL006_Anakin_s_Methods	L	Battle						R	6		Pay 4 Force -> Look at your opponent's hand, and you may tap one of your opponent's damaged units in any arena. | Enhance: Pay 1 more Force -> Also do 1 damage to that unit.		REP, CW
Asajj Ventress (F)	BL	BL007_Asajj_Ventress_F	N	Character	Dark Jedi - Nightsister	9	70	7	5	R	7		Whenever one of your other Nightsisters is attacked, Asajj does 1 dice of damage to the attacking unit. | Pay 2 Force -> Asajj gets Fury 2 and Avenge 1 until end of turn. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1 | Pay 1 Force -> Retaliate 2		REP, CW
Asajj Ventress (G)	BL	BL008_Asajj_Ventress_G	N	Ground/Character	Dark Jedi Bounty Hunter - Nightsister	9	60	5	7	R	8		Bounty: Choose one: Gain 2 build points. OR: Draw 2 cards. | Double Strike | Pay 2 Force -> Ambush 2 (If your opponent deploys, moves, or puts a unit into this arena, Asajj does 2 dice of damage to that unit.) | Pay 3 Force -> Evade 2 | Pay 1 Force -> Intercept		REP, CW
Bo-Katan Kryze (A)	BL	BL009_Bo_Katan_Kryze_A	N	Character	Death Watch Mandalorian Warrior - Officer	8	50	6	5	R	9		Hidden Cost 5 | Damage Control 2 | Discard the top card from your opponent's deck -> Remove all captivity counters from one of your Characters. | Pay 1 Force -> Retaliate 3		REP, CW
Bounty Hunter Box	BL	BL010_Bounty_Hunter_Box	N	Resource		2				R	10		During your build step, you may have one of your Bounter Hunters attack one of your other Bounty Hunters in the same arena. If you do, add X counters to this Resource, where X is the amount of damage done by that attack (after damage prevention). | Remove 5 counters -> Gain 2 build points, draw a card, and one of your Bounty Hunters gets +2 power and Fury 2 until end of turn. Play only during your build step.		REP, CW
Bounty Hunter Gang (B)	BL	BL011_Bounty_Hunter_Gang_B	N	Ground	Bounty Hunter Squad - Gang - Droid	11	40	8	8	R	11		Upkeep: Pay 1 build point or tap Bounty Hunter Gang. | Accuracy 1 | Bounty: Gain 3 build points. | Critical Hit 2 | Armor | Pay 1 Force -> Evade 1		REP, CW
Captain Rex (C)	BL	BL012_Captain_Rex_C	L	Character	Republic Clone Officer	6	40	4	6	R	12		Armor | INSERT: Put 1 damage counter on Rex -> Protect 2 (Prevent up to 2 damage to one of your other units in this arena.)		REP, CW
Captain Rex's Blasters (A)	BL	BL013_Captain_Rex_s_Blasters_A	L	Equipment	Ground/Character - Blaster Weapon	3				R	13		Discard a card from your hand -> Equip | Equipped Clone gets +2 power. | Equipped Captain Rex also gets "When the battle phase starts, choose one: Rex gets Focus 2 until end of turn. Or: Rex gets Precision and Overkill until end of turn."		REP, CW
Captain Tarpals (D)	BL	BL014_Captain_Tarpals_D	L	Character	Gungan Aquatic Officer	5	40	4	4	R	14		Tap, Pay 2 build points -> Take 2 50/2/2 Gungan Sentry Squad Subordinates with "Accuracy 1" and put them into the Ground arena. Play only during your build step. | INSERT: Discard Tarpals from this arena -> Choose one: Protect 4 (Prevent up to 4 damage to one of your other units in this arena.) Or: Untap one of your Gungans in this arena.	<s><l>Tap and pay 2BP to Spawn Gungan Sentry Squad</l><f>/spawn Gungan Sentry Squad;/player stat2 -2;/cr90;/s Taps Captain Tarpals (D) and pays 2 BP to spawn Gungan Sentry Squad subordinate</f></s>	REP, CW
Cin Drallig (B)	BL	BL015_Cin_Drallig_B	L	Character	Jedi Master - Republic Officer	7	50	4	5	R	15		Forewarning: Gain 2 Force. | Each of your Subordinates gets "Pay 1 Force -> Protect 1 (Prevent 1 damage to one of your other units in this arena.) | Tap, Pay 3 Force -> Take 1 40/2/3 Jedi Temple Guard Subordinate with "Armor" and "Double Strike" and put it into the Character arena. Play only during your build step.	<s><l>Tap and pay 3 Force to Spawn Jedi Temple Guard</l><f>/spawn Jedi Temple Guard;/player stat1 -3;/cr90;/s Taps Cin Drallig (B) and pays 3 Force to spawn Jedi Temple Guard subordinate</f></s>	REP, CW
Combined Meditation	BL	BL016_Combined_Meditation	L	Mission		3				R	16		To complete Combined Meditation, you must also have 2 or more Jedi in the Character arena. Gain 4 Force and draw 3 cards. If Combined Meditation is disrupted, gain 3 Force and draw 2 cards instead. | Discard 3 cards from your hand -> Meditate		REP, CW
Commander Thorn (A)	BL	BL017_Commander_Thorn_A	L	Ground/Character	Republic Clone Officer	9	50	5	5	R	17		Switch: Inspiration/Accuracy 1 | Thorn gets +1 power for each damage counter on him. | As long as Thorn is the only unit you have in this arena, he gets Accuracy 1 and Overkill.		REP, CW
Commander Wolffe (B)	BL	BL018_Commander_Wolffe_B	L	Character	Republic Clone Officer	6	50	5	5	R	18		Armor | As long as Plo Koon is in any arena, Wolffe gets Damage Control 1 and "Pay 1 Force -> Intercept". | INSERT: Wolfpack gets Precision. | INSERT: Reserves: Wolfpack gets "Forewarning: Prevent 1 damage to Wolfpack."		REP, CW
Conspiracy	BL	BL019_Conspiracy	D	Mission		5				R	19		To complete Conspiracy, you must also have a Clone or Sith in the Character arena. | Tap one of your opponent's units in the Character arena and put 2 damage counters on it. If this damage causes that unit to be discarded, also gain 3 Force.		REP, CW
Crucible (A)	BL	BL020_Crucible_A	L	Space	Republic Jedi Transport	6	40	1	5	R	20		Tap -> Search your deck for a Force Sensitive or Jedi Padawan unit card, show it to your opponent, and put it into your build zone with 2 build counters on it. Crucible doesn't untap during your next untap step. Shuffle your deck. Play only during your build step. | Pay 2 Force -> Retreat Crucible. Play only when no unit is attacking.		REP, CW
Daka (A)	BL	BL021_Daka_A	N	Character	Force Sensitive Master - Nightsister	6	20	3	5	R	21		Focus 2 | Pay 3 Force -> Take 1 40/3/2 Undead Nightsister Subordinate with "Fury 2" and put it into the Character arena. Play up to 3 times per turn and only during your build step. | Return one of your Subordinates to your supply -> Evade 4	<s><l>Pay 3 Force to Spawn Undead Nightsister</l><f>/spawn Undead Nightsister;/player stat1 -3;/s pays 3 Force to spawn Undead Nightsister subordinate using Daka (A)</f></s>	REP, CW
Dark Reflection	BL	BL022_Dark_Reflection	N	Battle						R	22		Tap one of your units with remaining health X -> That unit attacks itself, with X power, Fury 2, and no other effects. If you roll X or more hits for this attack, do X damage to that unit. If you roll less than X hits for this attack, gain 2 Force, prevent all damage that unit would do for this attack, and it gets +20 speed, +2 power, and +2 health until it is discarded. Play only when no unit is attacking.		REP, CW
Darksaber (A)	BL	BL023_Darksaber_A	N	Equipment	Character - Lightsaber Weapon	2				R	23		Pay 1 build point, 2 Force -> Equip | Equipped Character gets +1 power, Parry 1, and Avenge 1. | Equipped Darth Maul or Pre Vizsla also gets Inspiration.		REP, CW
Darth Bane's Spirit (A)	BL	BL024_Darth_Bane_s_Spirit_A	D	Character	Sith Spirit	4	40	0	2	R	24		Darth Bane's Spirit doesn't count toward controlling the Character arena. | Prevent all damage to and from Darth Bane's Spirit. | Whenever one of your opponent's units in the Character arena is discarded or returned to your opponent's hand, gain 2 Force.		REP, CW
