Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Bacta Tank	BOBF	BOBF001_Bacta_Tank	N	Equipment	Character - Device	2				R	1		Pay 2 build points -> Equip, you may remove 1 damage counter from this unit. | Equipped Character can only have one Bacta Tank attached to it. | Equipped Character without Damage Control gets +1 health, Damage Control 2, and "Reserves: [Tap], Pay 1 build point -> Remove up to 4 counters of any type from this unit. Play only during your build step."		NEW, MV
Beast Taming	BOBF	BOBF002_Beast_Taming	N	Equipment	Character - Skill	2				R	2		Pay 1 Force -> Equip | Equipped Character gets "[Tap] -> Choose one: Disrupt an attack from a Creature. Or: One of your Creatures without Accuracy gets +2 power, Accuracy 1, and Precision until end of turn."		NEW, MV
Blaster Quick Draw	BOBF	BOBF003_Blaster_Quick_Draw	N	Battle						R	3		Pay 3 Force -> Choose one of your Bounty Hunters or Smugglers in the Ground or Character arena. Blaster Quick Draw does 4 dice of damage to each of your opponent's units in that arena with total speed less than your chosen unit.		NEW, MV
Boba Fett (A2)	BOBF	BOBF004_Boba_Fett_A2	N	Character	Mandalorian Clone - Tatooine Crime Lord	9	30	6	7	R	4		Armor | Inspiration | [Tap] -> Untap one of your other unique Neutral units. | Discard a card from your hand -> Boba gets +30 speed and Precision until end of turn. | Discard the top card from your deck -> | Pay 0 Force -> Retaliate 2		NEW, MV
Boba Fett (B2)	BOBF	BOBF005_Boba_Fett_B2	N	Character	Independent Mandalorian Clone	7	30	5	6	R	5		Each of your Tatooine units and Tuskens costs 1 less build counter to deploy | As long as you have a Tatooine Location in any arena, each of your Tuskens gets Damage Control 1. | Discard a card from your hand -> Absorb 1 | INSERT: Treat Boba as a Tatooine Tusken Warrior.		NEW, MV
Boba Fett's Gaderffii (A)	BOBF	BOBF006_Boba_Fett_s_Gaderffii_A	N	Equipment	Ground/Character - Melee Weapon	2				R	6		Pay 1 build point, discard a card from your hand -> Equip | Equipped Tatooine unit or Tusken gets Riposte 2 | Equipped Boba Fett also gets "Discard 2 cards from your hand -> Put 2 damage counters on the attacking unit. Play only when Boba's Riposte is triggered. This ability can't be played next turn."		NEW, MV
Boba's Entourage (A)	BOBF	BOBF007_Boba_s_Entourage_A	N	Ground/Character 	Tatooine Crime Gang Mandalorian Squad	8	50	6	6	R	7		Stack: Boba Fett, Din Djarin, and any Tatooine Character. | Armor | Pay 2 build points -> Take 1 Tatooine Ground or Character Subordinate and put it into its arena. Play only during your build step. | Tap one of your units in this arena -> Persuade 2		NEW, MV
Boba's Rancor (A)	BOBF	BOBF008_Boba_s_Rancor_A	N	Ground/Character 	Rancor Tatooine Creature	9	40	9	8	R	8		Armor | Intimidation | When the battle phase starts, if Boba's Rancor doesn't have a Pilot, it does 2 damage to itself unless you pay 2 Force or tap it.		NEW, MV
Boba's Ultimatum	BOBF	BOBF009_Boba_s_Ultimatum	N	Mission		3				R	9		Choose one: Discard a Location or Resource unless your opponent discard one of their units. Or: Discard a unit with 6 or more credit counters on it.		NEW, MV
Book of Boba Fett	BOBF	BOBF010_Book_of_Boba_Fett	N	Resource		3				R	10		When your build step starts, add X counters to this Resource, where X is the number of Neutral units with printed power 3 or more you have in any arena. | Remove 3 counters -> Choose one: Gain 1 build point.  Play only during your build step. Or: Put 1 credit counter on a unit in any arena. Play only during your build step. | Remove 8 counters -> Each of your Neutral units gets +2 power until end of turn.		NEW, MV
Cad Bane (G)	BOBF	BOBF011_Cad_Bane_G	N	Character	Duros Crime Gang Bounty Hunter Assassin	8	60	4	7	R	11		Hidden Cost 3 | Upkeep: Put 1 corruption counter on one of your units. | Fury X, where X is the number of units with 1 or more redemption counters on them. | Double Strike | Pay 1 Force -> Retaliate X, where X is the number of units with 1 or more corruption counters on them.		NEW, MV
Cad Bane's Posse (B)	BOBF	BOBF012_Cad_Bane_s_Posse_B	N	Ground/Character 	Pyke Crime Gang Bounty Hunter Squad	8	40	6	6	R	12		Stack: Cad Bane and any Pyke Character | Accuracy 1 | Pay 2 Force -> Take 1 30/2/2 Back Shooter Subordinate with "Pay 0 Force -> Ambush 2" and put it into the Ground or Character arena. Play only during your build step. | Tap one of your units in this arena -> Absorb 2	<s><l>Pay 2 Force to spawn Back Shooter</l><f>/spawn Back Shooter;/player stat1 -2;/s pays 2 Force to spawn a Back Shooter Subordinate using Cad Bane's Posse (B)</f></s>	NEW, MV
Claiming the Throne	BOBF	BOBF013_Claiming_the_Throne	N	Event						R	13		Each unit gets Cunning. | When each turn starts, if a player controls an arena, that player may choose a unit in any arena. If that player does, the chosen unit gets +2 power until end of turn.		NEW, MV
Din Djarin (I)	BOBF	BOBF014_Din_Djarin_I	N	Character	Mandalorian Bounty Hunter	7	30	4	6	R	14		Armor | Whenever your attach an Equipment to Din, put 1 mastery counter on him. | Din gets +10 speed and +1 power for each mastery counter on him.		NEW, MV
Din's Clan (D)	BOBF	BOBF015_Din_s_Clan_D	L	Ground	Mandalorian Bounty Hunter Squad	6	40	5	5	R	15		Treat Din's Clan as a Force Sensitive Child. | Stack: Din Djarin and Grogu. | Armor | You can attach Character Equipment with "Din" or "Grogu" in its game text to Din's Clan as if it were a Character with the name "Din Djarin" or "Grogu" for abilities granted by those Equipment		NEW, MV
Din's N-1 Starfighter (A)	BOBF	BOBF016_Din_s_N_1_Starfighter_A	N	Space/Ground	Mandalorian Bounty Hunter Naboo Starfighter	5	60	3	3	R	16		Switch: +1 power/+1 health | Each unit with total speed less than Din's N-1 Starfighter loses its game text and power gained from effects when attacking Din's N-1 Starfighter | Pay 1 Force -> Absorb 1		NEW, MV
Drash (A)	BOBF	BOBF017_Drash_A	N	Character	Tatooine Crime Gang Cyborg	5	50	3	4	R	17		Parry 1 | Double Strike | Pay 1 -> Evade 1 | Reserves: [Tap] -> Choose a unit in the Character arena, or a unit chosen by one of your other Cyborg's abilities. Drash attacks the chosen unit using 3 power with Accuracy 1. Play only when no unit is attacking.		NEW, MV
Enjoy the Trappings	BOBF	BOBF018_Enjoy_the_Trappings	N	Mission - Trap		1				R	18		When a Crime Lord taps, put 2 credit counters on a unit. That Crime Lord gets "Remove 1 credit counter from a unit -> Gain 1 build point. Play only during your build step." until it is discard. | Remove 4 counters from your Resource -> Meditate, and you may search your deck for a Trap card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		NEW, MV
Fennec Shand (D)	BOBF	BOBF019_Fennec_Shand_D	N	Character	Tatooine Crime Gang Cyborg Assassin	8	40	6	6	R	19		Precision | Stealth | [Tap] -> Put 2 damage counters on a Neutral Character, a Character with Stealth, or a Character Subordinate. If it is discarded or has 1 remaining health, untap Fennec. Play only when Fennec would attack. | INSERT: Discard a card from your hand -> Absorb 1		NEW, MV
From the Desert Comes a Stranger	BOBF	BOBF020_From_the_Desert_Comes_a_Stranger	N	Mission - Trap		1				R	20		To complete From the Desert Comes a Stranger, there must be a Location in the Ground or Character arena. When the battle phase starts, search your deck and/or discard pile for a unit card with "Cad Bane" in its name, show it to your opponent, and choose one: Put it into your build zone with 3 build counters on it. Or: Put it into your hand and gain 3 Force. Or: Shuffle it into your deck and do 3 damage to one of your opponent's Ground units or Characters.		NEW, MV
Garsa Fwip (A)	BOBF	BOBF021_Garsa_Fwip_A	N	Character	Twi'lek Tatooine Entertainer	2	30	1	2	R	21		Upkeep: Put 1 credit counter on one of your Locations. | Reserves: [Tap] -> Put 1 credit counter on a unit. Play only during your build step and only if you have a Location in any arena.		NEW, MV
Glavis Ringworld	BOBF	BOBF022_Glavis_Ringworld	N	Location	Space - Independent Station	1				R	22		Enhance: If there is at least 1 more build counter on Glavis Ring World when you complete it, put 2 credit counters on a unit. | When your build step starts, you may put 1 credit counter on a unit in the Space or Character arena.		NEW, MV
Grogu (I)	BOBF	BOBF023_Grogu_I	L	Character	Force Sensitive Child	5	10	0	5	R	23		[Tap], Pay 2 Force -> Tap one of your opponent's Ground units or Characters. Play only when no unit is attacking. | INSERT: Pay 3 Force -> Persuade 2		NEW, MV
Grogu's Armor (A)	BOBF	BOBF024_Grogu_s_Armor_A	L	Equipment	Character - Armor Clothing Defense	2				R	24		Pay 2 Force -> Equip | Equipped Force Sensitive Child gets "Treat this unit as a Mandalorian Foundling." and Armor. | Equipped Grogu gets "Upkeep: Put 1 mastery counter on Grogu, Din Djarin, or Din's Clan."		NEW, MV
