Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Battle of Crait	BOC	BOC001_Battle_of_Crait	N	Event						R	1		Each Dark Side Ground unit gets +1 power and "Remove a card from your discard pile from the game -> This unit gets Ferocity for this attack." | Each Light side Ground unit gets +1 health and "Put 1 damage counter on this unit -> Protect 2."		RES
BB-8's Analysis (A)	BOC	BOC002_BB_8_s_Analysis_A	L	Equipment	Character - Skill	3				R	2		Pay 1 Force -> Equip | Equipped Droid gets "Your opponent plays with his or her hand revealed." | Equipped BB-8 also gets "Tap -> Search your deck for a non-unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step."		RES
But Not to Me	BOC	BOC003_But_Not_to_Me	N	Battle						R	3		Prevent all damage to one of your opponent's units. That unit can't be attacked until end of turn. Then choose one: Gain 3 Force. Or: Add 3 counters to your Resource. Or: Gain 2 build points when your next build step starts.		RES
Captain Phasma (E)	BOC	BOC004_Captain_Phasma_E	D	Character	First Order Stormtrooper Officer	8	40	7	4	R	4		Armor | Tap -> Each of your First Order Stormtroopers gets Ferocity until end of turn. Phasma doesn't untap during your next untap step. Play only during your build step. | Pay 5 Force -> Untap Phasma. Play only when no unit is attacking.		RES
Chewbacca's Porg (B)	BOC	BOC005_Chewbacca_s_Porg_B	L	Character	Porg Creature	4	10	0	2	R	5		Transport Pilot. The Transport gets:  -This unit can have an extra Pilot.  - Whenever this unit is attacked, you may move Chewbacca's Porg from this unit to your build zone tapped. If you do, untap this unit. Play only if this unit has 2 or more Pilots.		RES
Commander Larma D'Acy (B)	BOC	BOC006_Commander_Larma_D_Acy_B	L	Character	Resistance Officer	5	30	3	5	R	6		Tap -> Each Character unit card in your discard pile gets "Pay X+2 Force -> Meditate, where X is this unit's printed build cost." until end of turn. Play only during your build step.		RES
Crait Base (B)	BOC	BOC007_Crait_Base_B	L	Ground	Resistance Fortification	10	10	5	10	R	7		Armor | Riposte 2 | Pay 1 Force -> Redirect | INSERT: Pay 1 build point -> Take 1 30/2/2 Resistance Base Troopers Subordinate with "Armor" and put it into the Ground or Character arena. Play only during your build step.	<s><l>Pay 1BP to Spawn Resistance Base Troopers</l><f>/spawn Resistance Base Troopers;/player stat2 -1;/s pays 1BP to spawn a Resistance Base Troopers Subordinate using Crait Base (B)</f></s>	RES
D'Qar Resistance Fleet (C)	BOC	BOC008_D_Qar_Resistance_Fleet_C	L	Space	Resistance Fleet	8	30	4	8	R	8		Stack: Any Transport | As long as Vice Admiral Amilyn Holdo is in any arena, each of your Resistance Transports costs 1 less build counter to deploy. | Discard a Transport card from D'Qar Resistance Fleet's stack -> Prevent all damage to D'Qar Resistance Fleet, and you may add 2 counters to your Resource.		RES
Every Gun We Have	BOC	BOC009_Every_Gun_We_Have	D	Resource		4				R	9		Add 1 counter -> One of your First Order Ground units gets +2 power and Focus 2 for this attack. | Remove 4 counters -> Each of your First Order units in the Ground arena can attack your opponent's units in the Character arena until end of turn.		RES
Everything We Need	BOC	BOC010_Everything_We_Need	L	Resource		4				R	10		Add 1 counter -> Gain 1 build point. Play only during your build step. | Remove 4 counters -> Each of your Resistance units gets "Pay 2 Force -> Evade 2" until end of turn. Play only during your build step.		RES
Finn (I)	BOC	BOC011_Finn_I	L	Character	Resistance Soldier	6	40	4	5	R	11		When the Character battle step starts, choose one of your units in the Ground or Character arena. The chosen unit gets "Pay 2 Force -> Protect 2" until end of turn. | Pay 1 Force -> One of your units gets +2 power for this attack.		RES
Finn's Shuttle (A)	BOC	BOC012_Finn_s_Shuttle_A	L	Space/Ground	Resistance Transport	5	40	2	4	R	12		Hidden Cost 3 | When you deploy Finn's Shuttle, you may choose one your Characters. If you do, prevent all damage to the chosen Character this turn.		RES
Finn's Ski Speeder (A)	BOC	BOC013_Finn_s_Ski_Speeder_A	L	Ground	Resistance Speeder	4	70	1	4	R	13		Resilience 3 | When Finn's Ski Speeder is discarded from the Ground arena, you may put 2 damage counters on one of your opponent's units in the Ground arena.		RES
Fire on That Cruiser!	BOC	BOC014_Fire_on_That_Cruiser	D	Battle						R	14		Pay 3 Force -> Choose one: Disrupt a Trap card. Or: One of your Capital Ships or Fleets gets Critical Hit 3 for this attack. | Pay 3 Force -> Meditate		RES
First Order Assault Force	BOC	BOC015_First_Order_Assault_Force	D	Ground	First Order Walker Squad	8	20	7	7	R	15		Alternative Cost: Remove 8 counters from your Resource. | Armor | When you deploy this unit, you may pay 1 build point. If you do, take 1 20/3/3 First Order Walker Subordinate with "Critical Hit 2" and "Armor" and put it into the Ground arena. | Overkill	<s><l>Pay 1BP to Spawn First Order Walker</l><f>/spawn First Order Walker;/player stat2 -1;/s pays 1BP to spawn a First Order Walker Subordinate on deployment of First Order Assault Force</f></s>	RES
Follow Him	BOC	BOC016_Follow_Him	L	Mission		3				R	16		One of your unique non-Jedi Officers without Inspiration gets Inspiration and "Pay 1 Force -> Protect 1" until it is discarded. | Pay 3 build points -> Meditate		RES
Force Contest	BOC	BOC017_Force_Contest	N	Mission		1				R	17		Each player secretly bids Force. (Players can't bid more Force than they have.) The player whose bid is higher wins the bid (If it's a tie, you win the bid.) and must pay the amount of Force he or she bid. Then he or she searches his or her deck for up to 5 non-unit cards, shows them to his or her opponent, puts them into his or her hand, and shuffles his or her deck.		RES
General Leia Organa Solo (F2)	BOC	BOC018_General_Leia_Organa_Solo_F2	L	Character	Force Sensitive Resistance Officer 	4	20	3	5	R	18		Hidden Cost 2 | Forewarning: Search your deck for a unit card with "Leia" in its name, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck.		RES
Guns are Hot	BOC	BOC019_Guns_are_Hot	L	Mission - Trap		2				R	19		When one of your Speeders attacks a unit with higher total build cost, that Speeder gets +3 power and Critical Hit 3 for that attack.		RES
Hope Lives in the Galaxy	BOC	BOC020_Hope_Lives_in_the_Galaxy	L	Resource		4				R	20		When your build step starts, if you have a unit with "Leia", "Luke", or "Twins" in its name in any arena, add 3 counters to this Resource. | Remove 6 counters -> Remove up to 2 damage counters from each of your units. Play only during your build step.		RES
How Did He Get In Here?	BOC	BOC021_How_Did_He_Get_In_Here	L	Mission		4				R	21		To complete How Did He Get In Here?, you must also pay 4 Force. Put a unit card with printed build cost 9 or less from your discard pile into its arena untapped. | Pay 4 build points -> Meditate		RES
Hyperspace Ramming	BOC	BOC022_Hyperspace_Ramming	L	Equipment	Space - Skill	1				R	22		Discard the top card from your opponent's deck -> Equip | Equipped Capital Ship or Cruiser gets "Discard this unit -> Put 5 damage counters on one of your opponent's Space units. Play only when no unit is attacking."		RES
It's Nice That Way	BOC	BOC023_It_s_Nice_That_Way	L	Mission		0				R	23		To complete It's Nice That Way, you must also remove 2 cards from your discard pile from the game. Take a unique Character unit card from your discard pile and put it into your build zone with 3 build counters on it.		RES
Kaydel Ko Connix (B)	BOC	BOC024_Kaydel_Ko_Connix_B	L	Character	Resistance Officer	6	20	3	4	R	24		When you deploy Kaydel, take 1 20/2/2 Crait Comms Soldier Subordinate with "Resilience 1" and put it into the Character arena. | Whenever you put a Subordinate into the Character arena, you may remove 1 damage counter from one of your Ground units. | Each of your Subordinates with Resilience gets Parry 1.	<s><a>y</a><l>Spawn Crait Comms Soldier</l><f>/spawn Crait Comms Soldier;/s spawns Crait Comms Soldier Subordinate on deployment of Kaydel Ko Connix (B)</f></s> 	RES
Kiss From Your Brother	BOC	BOC025_Kiss_From_Your_Brother	L	Battle						R	25		Reduced Cost 2: If you have Luke Skywalker and a unit with "Leia" in its name in the Character arena. | Pay 4 Force -> Prevent all damage to one of your units in the Ground or Character arena. | Pay 4 Force -> Meditate		RES
Kylo Ren (K)	BOC	BOC026_Kylo_Ren_K	D	Character	First Order Supreme Leader - Dark Jedi	8	60	6	5	R	26		Bounty: Your opponent loses 2 Force. | Ferocity | Whenever damage from Kylo causes a Jedi to be discarded, remove that Jedi from the game. | Pay 3 Force -> Evade 3		RES
Kylo's Shuttle (C)	BOC	BOC027_Kylo_s_Shuttle_C	D	Space/Ground	First Order Dark Jedi Transport	4	40	2	5	R	27		Whenever your opponent uses Hidden Cost to deploy a unit to the Character arena, you may search your deck for a Character unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.		RES
