Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
181st Imperial Fighter Group (A)	BOE	181st_Imperial_Fighter_Group_A	D	Space	Imperial Squadron	7	60	6	6	R	1		Lucky 2 | Pay 2 Force -> Deflect 1		REB, EP456
Admiral Ackbar (B)	BOE	Admiral_Ackbar_B	L	Character	Rebel Mon Calamari Officer	5	30	3	5	R	2		[Pilot] Capital Ship and Fleet Pilot. The Capital Ship or Fleet gets: * Shields 2. * When the Space battle step begins, choose one of your opponent's units in the Space arena. Each of your Rebel units gets Critical Hit 2 as long as it's attacking that unit until end of turn.		REB, EP456
Admiral Firmus Piett (D)	BOE	Admiral_Firmus_Piett_D	D	Character	Imperial Officer	5	40	3	4	R	3		[Pilot] Capital Ship, Flagship, and Fleet Pilot. The Capital Ship, Flagship, or Fleet gets: * +1 health. * When the Space battle step begins, choose one of your Imperial units in the Space arena. Damage from that unit can't be prevented until end of turn.		REB, EP456
Alliance Assault Fleet	BOE	Alliance_Assault_Fleet	L	Space	Rebel Fleet	9	30	9	9	R	4		As long as your opponent has more units in the Space arena than you, this unit gets -2 power and Accuracy 1. | Damage from this unit can't be prevented.		REB, EP456
Blast Doors	BOE	Blast_Doors	N	Equipment	Ground	2				R	5		Pay 2 build point -> Equip | Equipped Fortification gets "Put 2 damage counters on this unit -> Prevent all damage to this unit. This ability can't be disrupted."		REB, EP456
Captain Gilad Pellaeon (A)	BOE	Captain_Gilad_Pellaeon_A	D	Character	Imperial Naval Officer	5	30	4	4	R	6		Pay 1 Force -> Retreat one of your Imperial units from any arena. Play only when no unit is attacking. | [Pilot] Capital Ship Pilot. The Capital Ship gets: * +2 power. * [tap], Pay 2 Force -> Prevent all damage to this unit.		REB
Chewbacca's Ewok Squad (A)	BOE	Chewbaccas_Ewok_Squad_A	L	Ground	Endor Ewok - Rebel Wookiee Squad	6	40	5	5	R	7	Text erratum	[tap] -> Choose one of your opponent's units with no Pilot on it in the Ground arena, and one of your Pilots in the Character arena that can Pilot the chosen unit's subtype. Gain control of that unit and move that Pilot onto it. If the unit is tapped, untap it. When the Ground battle step ends, return that Pilot to the Character arena tapped, and return the Ground unit to your opponent's control. | Pay 3 Force -> Retaliate 5		REB, EP456
Chief Chirpa (B)	BOE	Chief_Chirpa_B	L	Character	Endor Ewok Warrior	5	30	3	4	R	8		Each of your other Ewoks gets "Pay 0 Force -> Intercept." | [tap] -> Search your deck for an Ewok card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step.		REB, EP456
Chimaera (A)	BOE	Chimaera_A	D	Space	Imperial Capital Ship	7	30	7	7	R	9		Upkeep: Pay 1 build point or discard the top card of your deck. Each of your other Imperial units gets +10 speed and Stun 2.		REB, EP456
Darth Vader (X)	BOE	Darth_Vader_X	D	Character	Imperial Dark Jedi Knight - Sith Lord	8	50	6	6	R	10		Parry 1 | Pay 2 Force -> For this attack, Vader gets +X power, where X is the number of corruption counters on the defending unit. Play only if Vader is attacking. | Pay 2 Force -> Evade 2		REB, EP456
Darth Vader's Lightsaber (A)	BOE	Darth_Vaders_Lightsaber_A	D	Equipment	Character	2				R	11		Pay 1 build point, 2 Force -> Equip | Equipped Jedi or Sith gets +2 power. | Equipped Darth Vader also gets "Pay 2 Force -> Deflect 2."		REB, EP456
Death Star II (C)	BOE	Death_Star_II_C	D	Space	Imperial Battle Station	12	10	14	14	R	12		The Death Star II gets Overkill as long as it's attacking a Capital Ship. | [tap] -> Disrupt a Mission card. Gain Force equal to that Mission card's total build cost.		REB, EP456
Emperor Palpatine (G)	BOE	Emperor_Palpatine_G	D	Character	Imperial Dark Jedi Master - Sith Lord	7	30	4	5	R	13	Text erratum	Each of your other Imperial units gets "Bounty: Draw a card and this unit gets "Pay 0 Force -> Intercept" until end of turn." | Pay 3 Force -> Evade 2		REB, EP456
Emperor Palpatine (H)	BOE	Emperor_Palpatine_H	D	Character	Imperial Dark Jedi Master - Sith Lord	7	30	5	5	R	14		Pay 2 Force -> Put a corruption counter on one of your opponent's Jedi Characters. | [tap], Pay 2 Force -> Choose one of your opponent's Characters. Palpatine does X damage to that Character, where X is equal to the number of corruption counters on that Character. Play only when Palpatine would attack. | Pay 2 Force -> Evade 2		REB, EP456
