Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
501st Legion (B)	BOH	BOH001_501st_Legion_B	D	Ground	Imperial Clone Stormtrooper Army	8	30	6	6	R	1		Reveal a Stormtrooper card from your hand -> 501st Legion gets +2 power for this attack. | As long as Darth Vader is in the Character arena, 501st Legion gets Armor.		REB
501st Legion Dark Trooper	BOH	BOH002_501st_Legion_Dark_Trooper	D	Ground/Character	Imperial Clone Stormtrooper Cyborg	4	30	3	3	R	2	BANNED in Vintage	Switch: Critical Hit 1/Fury 1 | Treat this unit as a Droid. | Armor		VB, REB
Alliance Assault Craft	BOH	Alliance_Assualt_Craft	L	Ground	Arctic Rebel Gunship	4	60	3	2	R	3		Critical Hit 2 | Damage from this unit can't be prevented.		REB
Chewbacca (O)	BOH	Chewbacca_O	L	Character	Rebel Wookiee	7	40	5	6	R	4		Critical Hit 2 | Pay 1 Force -> When the attack ends, retreat Chewbacca and put 2 damage counters on the attacking unit. Play only when Chewbacca is attacked and only before dice are rolled for this attack.		REB, EP456
Command Post	BOH	BOH005_Command_Post	N	Equipment	Space/Ground -Relay	1				R	5		Pay 1 build point -> Equip | Equipped Battle Station, Capital Ship, or Fortification gets "Each of your units in the same arena as this unit gets +1 power and Critical Hit 1" and "When this unit is discarded, your opponent may pay 4 Force. If your opponent does, he or she gains control of Command Post until end of game."		REB, EP456
Crossfire	BOH	BOH006_Crossfire	D	Battle						R	6		Pay 2 Force -> One of your Walkers gets +2 power and Critical Hit 1 until end of turn. Play only if you have another Walker in the Ground arena. | Enhance: Pay 2 more Force, tap one of your untapped Walkers in the Ground arena -> One of your Walkers gets +4 power, Critical Hit 1, and Overkill until end of turn instead.		REB, EP456
Dash Rendar (C)	BOH	BOH007_Dash_Rendar_C	N	Character	Rebel Smuggler	6	40	5	5	R	7		While this card is in play or stacked under Dash Rendar, Dash or the unit he is piloting gets Critical Hit 2 and "When this unit attacks, the defending unit loses Lucky for that attack."		REB
Death Squadron TIE Bomber	BOH	Death_Squadron_TIE_Bomber	D	Space/Ground	Imperial Starfighter	4	40	2	3	R	8	BANNED in Vintage	Switch: Bombard 2/+10 speed, +1 power | Double Strike		VB, REB
Echo Base Trooper	BOH	Echo_Base_Trooper	L	Ground/Character	Rebel Soldier	4	50	3	2	R	9	BANNED in Vintage	Switch: Critical Hit 2/+1 health | Stun 2		VB, REB, EP456
Environmental Modifications	BOH	BOH010_Environmental_Modifications	N	Equipment	Space/Ground/Character - Modification	1				R	10	You can equip Environmental Modifications to a unit and then equip it to another unit and the first unit will keep the Location's subtype until end of game, but if it has Upkeep, it will again have to pay the Upkeep.	Pay 2 Force -> Equip | When you Equip Environmental Modifications to a unit, choose a Location in any arena. The Equipped unit gets the subtype of that Location until end of game. | Equipped unit loses Upkeep.		REB, EP456
