Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Battle of Starkiller Base	BOSB	BOSB001_Battle_of_Starkiller_Base	N	Event						R	1		Battle Station and Fortification deployments can't be disrupted. | Each unit gets Critical Hit 1 when attacking a Battle Station or Fortification. | Each Battle Station and Fortification gets Damage Control 1. | Each unit in the same arena as a Battle Station or Fortification gets "Put 1 damage counter on this unit -> Protect 1."		RES
Blow It Up	BOSB	BOSB002_Blow_It_Up	L	Battle						R	2		Pay 8 Force -> One of your units gets +2 power and Critical Hit X for this attack, where X is the number of units you have in any arena.		RES
Blue Three (B)	BOSB	BOSB003_Blue_Three_B	L	Space/Ground	Resistance Fighter	6	60	3	3	R	3		Switch: Accuracy 1/Double Damage | When you deploy Blue Three, you may search your deck for a Jessika Pava unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.		RES
Bow to the First Order!	BOSB	BOSB004_Bow_to_the_First_Order	D	Mission		X				R	4		Choose an arena. X of your First Order units in the chosen arena each gets +2 power until end of turn. | Enhance: Pay 2 Force -> Also, one of your unique First Order units in the chosen arena gets Inspiration until end of turn. Play only if you have more units in the chosen arena than your opponent does.		RES
Chewbacca (V)	BOSB	BOSB005_Chewbacca_V	L	Character	Wookiee Resistance Smuggler	8	30	6	7	R	5		Ferocity (Damage from Chewbacca can't be prevented.) | Avenge X, where X is Chewbacca's total power.		RES
Duel on Starkiller Base	BOSB	BOSB006_Duel_on_Starkiller_Base	N	Battle						R	6		Tap one of your units with a Lightsaber Weapon attached in the Character arena -> Tap one of your opponent's units in the Character arena. Each of those units gets "Pay 1 Force -> Do 2 dice of damage to one of your opponent's tapped units in the Character arena. If this unit has a Weapon attached, it does 4 dice of damage instead. Play only when no unit is attacking." until end of turn.		RES
General Armitage Hux (C)	BOSB	BOSB007_General_Armitage_Hux_C	D	Character	First Order Officer	6	30	4	5	R	7		Inspiration | Each of your First Order Stormtroopers gets "Pay 0 Force -> Retaliate 1."		RES
General Leia Organa Solo (W)	BOSB	BOSB008_General_Leia_Organa_Solo_W	L	Character	Force Sensitive Resistance Officer 	7	30	3	5	R	8		Forewarning: Gain 1 Force. | Parry 1 | When your build step starts, if you have a Location in the Ground or Character arena, gain 1 build point, and you may draw a card.		RES
Han Solo (W)	BOSB	BOSB009_Han_Solo_W	L	Character	Resistance Smuggler	7	40	5	6	R	9		Ferocity (Damage from Chewbacca can't be prevented.) | Stealth | Tap -> One of your opponent's units loses Shields, and each of your units gets +2 power when attacking the chosen unit until end of turn.		RES
Hosnian Cataclysm	BOSB	BOSB010_Hosnian_Cataclysm	D	Event						R	10		Whenever a unit's Force-activated ability is used, each player may discard a card at random from his or her opponent's hand.		RES
I Need Some Help Here!	BOSB	BOSB011_I_Need_Some_Help_Here	L	Mission - Trap		1				R	11		When the Space Battle Step starts, if your opponent has more units in the Ground arena than you do, remove X counters from your Resource and put a Starfighter unit card with printed build cost X from your hand into its arena untapped.		RES
In Charge	BOSB	BOSB012_In_Charge	L	Mission - Trap		2				R	12		When you deploy a unit, choose one: Put 2 captivity counters on a unit in the same arena. Or: Tap a unit in the same arena. | Pay 3 Force -> Meditate		RES
