Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Battle of the Sarlacc	BOTS	BOTS001_Battle_of_the_Sarlacc	N	Event						R	1		Each unit gets Surge 1 | Once per player per turn, when a unit's Surge is triggered, a player may choose one: Pay 1 Force to put 1 captivity counter on a unit in that arena. Or: Pay 1 Force to remove 1 captivity counter from a unit in that arena.		REB, EP456
Bib Fortuna (B)	BOTS	BOTS002_Bib_Fortuna_B	N	Character	Twi'lek Tatooine Crime Gang Smuggler	5	20	2	5	R	2		Jabba the Hutt can't be attacked unless your opponent pays 3 Force | [Tap] -> Draw 3 cards and the discard a card from your hand. Play only during your build step.		REB, EP456
Boba Fett (U)	BOTS	BOTS003_Boba_Fett_U	N	Character	Mandalorian Clone Bounty Hunter	8	50	6	5	R	3		Hidden Cost 1 | Bounty: Gain 2 build points. | Armor | Pay 1 Force -> Ambush 3 | Pay 1 Force -> Retaliate 3		REB, EP456
C-3PO (T)	BOTS	BOTS004_C_3PO_T	L	Character	Tatooine Rebel Protocol Droid	3	20	1	3	R	4		[Tap] -> Search your deck for a card with "Luke" in its name, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step. | Pay 1 Force -> Redirect		REB, EP456
Chewbacca (G2)	BOTS	BOTS005_Chewbacca_G2	L	Character	Wookiee Rebel Soldier	8	20	5	8	R	5		Surge 2 | Pay 2 Force -> Absorb 2 | Pay 2 Force -> Retaliate 4		REB, EP456
Crime Lord's Cruelty	BOTS	BOTS006_Crime_Lord_s_Cruelty	N	Equipment	Ground/Character - Trait	2				R	6		When you deploy or put a non-Crime Lord unit into any arena, put 1 damage counter on it and attach this Trait to one of your Crime Gang units or Crime Lords. | Equipped Crime Gang unit or Crime Lord gets +1 power, Fury 2, and "Discard one of your units with printed build cost X from this arena -> Add X counters to your Resource. Play only during your build step or when this arena's battle step starts."		REB, EP456
Criminal Empire	BOTS	BOTS007_Criminal_Empire	N	Resource		3				R	7		When your build step starts, add X counters to this Resource, where X is the number of different Crime Gangs, Crime Lords, and Tatooine units you have in any arena. | Remove 3 counters -> Put 1 captivity or damage counter on a unit in any arena. Play only during your build step. | Remove 8 counters -> Gain 2 build points. Play only during your build step.		REB, EP456
Don't Forget the Droids	BOTS	BOTS008_Don_t_Forget_the_Droids	L	Mission		1				R	8		Return up to 2 unique Droid unit cards from your discard pile to your hand. | Enhance: Pay 2 Force -> Also, put those Droid unit cards into your build zone with 1 build counter on each of them.		REB, EP456
Falcon Flight (A)	BOTS	BOTS009_Falcon_Flight_A	L	Space	Rebel Jedi Smuggler Squadron	7	50	6	6	R	9		Stack: Luke's X-wing and the Millennium Falcon. | Lucky 2 | Pay X+1 Force -> Take a Luke's X-wing card with printed build cost X from Falcon Flight's stack and put it into the Space arena untapped. Play only during your build step. | Pay 2 Force -> Persuade 2		REB, EP456
Favorite Decoration	BOTS	BOTS010_Favorite_Decoration	N	Mission		1				R	10		To complete Favorite Decoration, you must also have a Location in the Character arena. Put one of your opponent's Characters with 4 or more captivity counters on it face-down beneath that Location. When that Location is discarded, remove all captivity counters from that face-down card and put it into the Character arena untapped.		REB, EP456
