Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Artoo's Repairs	BOY	Artoos_Repairs	L	Battle						R	1		Pay 3 Force -> Prevent up to 2 damage to one of your Space or Ground units and remove up to 2 damage counters from that unit. Play only if you have a Droid in any arena.		WOTC, REB, EP456
Blow This Thing	BOY	Blow_This_Thing	L	Battle						R	2	This effect replaces the number of dice rolled for an attack, setting it to one. | If the 1-die attack results in a hit, that damage may still be prevented. If the damage is prevented, Blow This Thing has no effect. | Accuracy, Armor, and Lucky can affect the roll, and the roll still determines Critical Hit and Parry. | Because it is an attack, players may still apply Retaliate and Overkill to this 1-die attack. | Since the effect overrides the attacking unit's power, Shields and power adjustments have no effect on the 1-die attack roll.	Pay 8 Force -> For this attack, roll only 1 of your dice instead of a number of dice equal to the attacking unit's power. If the attacking unit damages the defending unit, the defending unit is discarded. Play only if one of your units is attacking.		WOTC, REB, EP456
Celebrate the Victory	BOY	Celebrate_the_Victory	L	Mission		3				R	3	Text erratum divding draw from completion text. Face-down cards in a build zone aren't units and have no effect on whether or not you can complete Celebrate the Victory.	You can complete Celebrate the Victory only if your opponent has no units in the Space arena and no Space units in play in his or her build zone. | Draw 5 cards.		WOTC, REB, EP456
Chariot Light Assault Vehicle	BOY	Chariot_Light_Assault_Vehicle	D	Ground	Imperial Assault Speeder	6	40	5	5	R	4	This unit can only apply its effect to a unit with equal or faster speed unless it untaps during the attack POP of a slower unit's attack. | This unit can only apply its effect to other units unless this unit manages to untap during the attack POP while it is attacking a unit.	[tap] -> One of your units in the Ground arena gets Accuracy 1 for this attack. Play only when that unit is attacking.		WOTC, REB
Chewbacca (B)	BOY	Chewbacca_B	L	Character	Independent Wookiee	6	30	5	6	R	5	Chewbacca's ability to remove damage counters triggers whenever you draw a card, whether that is during your draw at the beginning of your build step or as an effect that happens at some other time. But his effect doesn't resolve until all cards are drawn and the card draw effect ends. For example, If an ability causes you to "draw 2 cards then discard 2 cards," Chewbacca (B)'s damage removal effect triggers for each card drawn, but doesn't resolve until the draw effect resolves after 2 cards are discarded.	When you draw a card, if Chewbacca is in the Character arena, remove 1 damage counter from one of your Space or Ground units. | Pay 1 Force -> Retaliate 2		WOTC, REB, EP456
Chewbacca (A)	BOY	Chewbacca_A	L	Character	Independent Wookiee	8	40	6	8	R	6		Pay 1 Force -> Intercept | Pay 3 Force -> Retaliate 6		WOTC, REB, EP456
Chief Bast (A)	BOY	Chief_Bast_A	D	Character	Imperial Soldier	3	30	2	3	R	7		[tap] -> Look at your opponent's hand. Play only during your build step.		WOTC, REB, EP456
Colonel Wullf Yularen (A)	BOY	Colonel_Wullf_Yularen_A	D	Character	Imperial Soldier	4	30	3	3	R	8	If no roll for build points is made, Wullf's first ability has no effect.	When the roll for build points is made, if Yularen is in the Character arena and your opponent doesn't have at least one unit in each arena, you get +1 build point this turn.		WOTC, REB, EP456
Darth Vader (D)	BOY	Darth_Vader_D	D	Character	Dark Jedi Knight - Sith Lord	8	40	6	6	R	9		Pay 3 Force -> Evade 3 | [Pilot] Starfighter Pilot. The Starfighter gets: * +20 speed. * +2 power. * Pay 2 Force -> Evade 2		WOTC, REB, EP456
Death Star (A)	BOY	Death_Star_A	D	Space	Imperial Battle Station	15	10	15	15	R	10		Each Starfighter gets Critical Hit 3 as long as it's attacking the Death Star. | Bombard 8		WOTC, REB, EP456
