Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
41st Elite Corps (A)	CAD	CAD001_41st_Elite_Corps_A	L	Ground	Republic Clone Squad	7	30	7	6	R	1		As long as you have a Location in the Ground arena, 41st Elite Corps gets +30 speed. | Tap -> 41st Elite Corps does 4 damage to one of your opponent's Droids in the Ground or Character arena. Play only during your build step.		REP, CW
41st Elite Corps (B)	CAD	CAD002_41st_Elite_Corps_B	L	Ground	Republic Clone Squad	9	30	5	6	R	2		Double Damage (Double the damage, after damage prevention, done by this unit.) | As long as you have a Republic Officer in any arena, 41st Elite Corps gets Damage Control 2. (When your build step starts, you may remove up to 2 damage counters from this unit.)		REP, CW
212th Attack Battalion (A)	CAD	CAD003_212th_Attack_Battalion_A	L	Ground	Republic Clone Squad	6	40	6	4	R	3		Stack: Commander Cody and Obi-Wan Kenobi. | Elude | Stealth | As long as you have a Jedi in any arena, 212th Attack Battalion gets Parry 1.		REP, CW
501st Legion (D)	CAD	CAD004_501st_Legion_D	D	Ground/Character	Imperial Clone Army	8	30	6	6	R	4		Switch: +1 power/Elude | Tap -> Put 2 damage counters on one of your opponent's Jedi in the Ground or Character arena with printed build cost 5 or less. Play only during your build step. If that Jedi is discarded as a result of this damage, you may draw a card.		REP, CW
Analysis Droids	CAD	CAD005_Analysis_Droids	L	Character	Republic Droid	4	40	2	4	R	5		Reserves: Tap -> Search your opponent's deck for an Equipment card and discard it. Your opponent shuffles his or her deck. Play only during your build step. | Reserves: Pay 1 Force -> Search your deck for up to 2 Equipment cards, show them to your opponent, and put them into your hand. Shuffle your deck. Play only during your build step.		REP, CW
Artoo's Trickery	CAD	CAD006_Artoo_s_Trickery	L	Battle						R	6		Choose one: Pay 3 Force, tap one of your Astromech Droids -> Disrupt a Battle card. If that Astromech Droid is R2-D2, you may also draw a card. | Or: Pay 1 Force, tap R2-D2 -> R2-D2 does 2 dice of damage to each of your opponent's Droids in the Character arena. Play only when no unit is attacking.		REP, CW
Clan Fett (B)	CAD	CAD007_Clan_Fett_B	N	Ground/Character	Bounty Hunter - Clone Boy	9	50	6	6	R	7		Stack: Boba Fett and Jango Fett | Armor | Bounty: Clan Fett gets Double Damage (Double the damage, after damage prevention, done by this unit.) until end of turn. | Pay 0 Force -> Clan Fett gets Critical Hit X and Fury X for this attack, where X is the number of cards in Clan Fett's stack.		REP
Clone Leadership	CAD	CAD008_Clone_Leadership	L	Equipment	Ground/Character - Skill	3				R	8		Pay 1 build point -> Equip | You can only have one Clone Leadership in play. | Equipped unique Clone gets Inspiration.		REP, CW
Clone Production Line	CAD	CAD009_Clone_Production_Line	L	Resource		4				R	9		Add 1 counter -> Reveal a partially build Clone unit card in your build zone to your opponent and put 1 build counter on it. | Remove 3 counters -> Search your deck for up to 2 Clone unit cards, show them to your opponent, and put them into your hand. Those cards gets Hidden Cost 4 until end of turn. Shuffle your deck.		REP, CW
Clone Reserve Platoon	CAD	CAD010_Clone_Reserve_Platoon	L	Ground/Character	Republic Clone Squad	8	50	6	6	R	10		Hidden Cost 5 | If this card is in your discard pile, you may pay 1 build point. If you do, return this card to your hand. | When one of your opponent's effects causes you to discard this card from your hand, you may put this card into the Ground or Character arena from your discard pile. 		REP, CW
Darth Tyranus (O)	CAD	CAD011_Darth_Tyranus_O	D	Ground/Character	Dark Jedi Master - Sith Lord	13	30	4	9	R	11		Switch: Pay 2 Force -> Deflect 2 / Parry 4 | Inspiration | Whenever your opponent uses Hidden Cost to deploy a unit to the Ground or Character arena, tap that unit. If that unit is a Clone, you may also draw a card. | Whenever your build step starts, you may reveal a partially built Droid unit card in your build zone to your opponent. If you do, the revealed card gets Hidden Cost 3 until end of turn.		REP, CW
