Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Anakin Skywalker (T)	CWSO	SO001_Anakin_Skywalker_T	L	Character	Jedi Knight - Republic Officer	9	50	7	7	R	1		Hidden Cost 4 | Fury 2 | Put 1 damage counter on Anakin -> Disrupt a Battle card.  Or:  Disrupt a Mission card.  Or: Disrupt a Resource's activated effect. | Pay 3 Force -> Evade 3		REP, CW
ARC LAATI Gunship	CWSO	SO002_ARC_LAATi_Gunship	L	Ground	Republic Clone Gunship	6	40	6	5	R	2		Pay 1 Force -> This unit gets +40 speed until end of turn. | Tap, Pay 2 Force -> Do 5 dice of damage to a unit in the Character arena. Play only when this unit would attack.		REP, CW
Containment	CWSO	SO003_Containment	L	Resource		4				R	3		Add 1 counter -> Tap one of your opponent's units. Play only if you have a Location in that unit's arena and only during your build step. | Remove 1 counter -> Chooise a Location in play. Treat the chosen Location as if it has a printed build cost of 0 until end of turn. | Remove 4 counters -> Choose an arena. Your opponent's units can't move to or from the chosen arena and can't retreat from the chosen arena until end of turn.		REP, CW
Darth Sidious (M)	CWSO	SO004_Darth_Sidious_M	D	Character	Dark Jedi Master - Sith Lord	6	20	4	4	R	4		When the battle phase ends, you may remove 1 damage counter from Sidious. | Put 1 damage counter on Sidious -> Choose one: Disrupt a Battle card. Or: Disrupt a Mission card. Or: Disrupt a Resource's activated effect. | Pay 1 Force -> Evade 1		REP, CW
Fear, Surprise, Intimidation	CWSO	SO005_Fear_Surprise_Intimidation	D	Mission		3				R	5		Choose an arena. Each of your opponent's non-Force Sensitives and non-Jedi units in the chosen arena gets -3 power and can't use activated abilities until the end of turn.		REP, CW
Force Crush	CWSO	SO006_Force_Crush	N	Battle						R	6		Pay 2 Force -> Do 3 damage to the attacking unit. Play only if you have a Jedi or Sith in any arena and only before dice are rolled for that unit's attack. | Enhance: Pay 3 more Force -> This damage also can't be prevented.		REP, CW
Galactic Expansion	CWSO	SO007_Galactic_Expansion	D	Resource		4				R	7		Add 1 counter -> Search your deck for a Location card, show it to your opponent, and put it into your hand. Shuffle your deck. | Remove 1 counter -> One of your units gets +3 power for this attack. Play only if you have a Location in that unit's arena. | Remove 4 counters -> Choose an arena. Tap each of your opponent's units in the chosen arena. Play only if you have a Location in the chosen arena and only during your build step.		REP, CW
General Grievous (G)	CWSO	SO008_General_Grievous_G	D	Ground/Character	Separatist Cyborg Officer	10	50	6	6	R	8		Treat Grievous as a Dark Jedi Droid. | Switch: Critical Hit 2/Fury 3, Overkill | Armor | Pay 1 Force -> Evade 1		REP, CW
General Grievous (H)	CWSO	SO009_General_Grievous_H	D	Character	Separatist Cyborg Officer	8	50	6	5	R	9		Treat Grievous as a Dark Jedi Droid | Hidden Cost 4 | Parry 2 | As long as your opponent has more units in that Character arena than you do, Grievous gets +2 power, Precision and Overkill.		REP, CW
General Oro Dassyne (A)	CWSO	SO010_General_Oro_Dassyne_A	D	Character	Hoorivar Separatist Officer	5	40	3	3	R	10		Reserves: Tap -> Choose the Ground or Character arena. Each of your Separatists in the chosen arena gets +1 power and Critical Hit 1 until end of turn. When the battle phase ends, if your opponent controls the chosen arena, discard Oro. Play only during your build step.		REP, CW
