Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Admiral Saul Karath (A)	DAN	DAN001_Admiral_Saul_Karath_A	L	Character	Old Republic Officer	5	30	4	4	R	1		Alternative Cost: Discard 4 cards from your hand. | Capital Ship and Fleet Pilot. The Capital Ship or Fleet gets:    - Focus 3  - Tap -> Tap up to 3 units with an ability that would discard or put cards from a player's deck or hand into his or her discard pile. Play only when the Space battle step starts.		TOR
Arkoh Adasca (A)	DAN	DAN002_Arkoh_Adasca_A	N	Character	Rakanian Diplomat	8	40	5	6	R	2		When your build step starts, gain X build points, where X is the number of Creatures your opponent has in any arena. | Tap -> Put a Creature unit card from your hand or build zone into its arena untapped. When the battle phase ends, remove that Creature from the game. Arkoh doesn't untap during your next untap step. Play only when the battle phase starts.		TOR
Cassus Fett (A)	DAN	DAN003_Cassus_Fett_A	N	Character	Mandalorian Warrior - Officer	9	60	7	7	R	3		Focus 3 | Pay 4 build points -> Take 1 50/5/3 Mandalorian Neo-Crusader Subordinate with "Accuracy 1" and "Armor" and put it into the Ground or Character arena. Play only during your build step.	<s><l>Pay 4BP to spawn Mandalorian Neo-Crusader</l><f>/spawn Mandalorian Neo-Crusader;/player stat2 -4;/s Pays 4BP to spawn Mandalorian Neo-Crusader subordinate using Cassus Fett (A)</f></s>	TOR
Cassus Fett's Armor (A)	DAN	DAN004_Cassus_Fett_s_Armor_A	N	Equipment	Character - Armor Defense	2				R	4		Pay 2 build points -> Equip | Equipped Character gets Armor. | Equipped Cassus Fett also gets +1 health and "Bounty: Add 1 counter to your Resource and gain 2 build points."		TOR
Celeste Morne (D)	DAN	DAN005_Celeste_Morne_D	N	Character	Independent Jedi Master	6	30	4	5	R	5		Each of your Rakghouls gets "Damage from this unit  can't be prevented." | Each of your opponent's Rakghouls gets "Prevent all damage from this unit." | Pay 2 Force -> Evade 2		TOR
Chantique (A)	DAN	DAN006_Chantique_A	N	Character	Zeltron Force Sensitive Crime Lord	7	50	5	5	R	6		Focus 3| Pay 2 Force -> Remove 1 damage counter from Chantique. Play any number of times per turn and only when no unit is attacking. | Pay 1 Force -> Retaliate 2		TOR
Courageous (A)	DAN	DAN007_Courageous_A	L	Space	Old Republic Capital Ship - Flagship	11	20	7	7	R	7		Courageous can have up to 3 Pilots. | Inspiration | Whenever damage from Courageous causes one of your opponent's units to be discarded, you may untap one of your other Space units.		TOR
Crucible Syndicate	DAN	DAN008_Crucible_Syndicate_v2	N	Resource		4				R	8		Add 1 counter -> Take 1 70/1/1 Skyreaper Drone Subordinate with "Whenever this unit attacks, put 1 captivity counter on the defending unit." and put it into any arena. Play only during your build step. | Remove 2 counters -> Tap a damaged unit with 2 or more captivity counters on it. | Remove 4 counters -> Put 1 damage counter on each unit with 1 or more captivity counters on it.	<s><l>Spawn Skyreaper Drone</l><f>/spawn Skyreaper Drone;/s spawns Skyreaper Drone subordinate by adding a counter to Crucible Syndicate</f></s>	TOR
Demagol (A)	DAN	DAN009_Demagol_A	N	Character	Zeltron Mandalorian Scientist	6	20	4	5	R	9		Armor | When your build step starts, you may choose one of your opponent's Characters with 1 or more captivity counters on it. If you do, one of your Mandalorian Characters gets the chosen Character's Force-activated abilities until end of turn.		TOR
Dorjander Kace (A)	DAN	DAN010_Dorjander_Kace_A	N	Character	Mandalorian Jedi Master	10	60	6	6	R	10		Inspiration | Avenge 1 | Pay 2 build points, 2 Force -> Take 1 60/4/4 Mandalorian Knight Subordinate with "Avenge 1" and "Pay 2 Force -> Deflect 1" and put it into the Ground or Character arena. Play only during your build step. | Pay 2 Force -> Deflect 1	<s><l>Pay 2BP and 2 Force to spawn Mandalorian Knight</l><f>/spawn Mandalorian Knight;/player stat2 -2;/player stat1 -2;/s Pays 2BP and 2 Force to spawn Mandalorian Knight subordinate using Dorjander Kace (A)</f></s>	TOR
