Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Arc Hammer (B)	EAW	EAW01_Arc_Hammer_B	D	Space	Imperial Capital Ship - Flagship	7	40	3	6	R	1		Stealth | [Tap], Pay 2 Force -> Take 1 60/2/2 Phase 1 Dark Trooper Subordinate with "When you put this unit into any arena, it gets +2 power until end of turn." and put it into the Character arena. | [Tap], Pay 4 Force -> Take 1 General Rom Mohc unit from your supply and put it in the Character arena. Play only if General Rom Mohc isn't in any arena or build zone and only when this unit would attack.		
Eclipse (B)	EAW	EAW02_Eclipse_B	D	Space	Imperial Dark Jedi Capital Ship - Sith Flagship	7	10	2	7	R	2		As long as Emperor Palpatine is in the Character arena, each of your Imperials costs 2 less build counters to deploy. | Pay 1 Force -> Redirect		
Empire At War	EAW	EAW03_Empire_At_War	N	Event						R	3		When the roll for build points is made, if a player controls the Space arena, each of their units gets "Pay 1 Force -> Evade 1" until end of turn. If a player controls the Ground arena, each of their units gets Fury 1 until end of turn. If a player controls the Character arena, each of their units gets Parry 1 until end of turn.		
Tyber Zann (A)	EAW	EAW04_Tyber_Zann_A	N	Character	Consortium Crime Lord	7	50	4	5	R	4		Each other Consortium unit gets "Upkeep: Put 1 corruption counter on this unit." and "Whenever this unit attacks, it gets +1 power for that attack unless your opponent put 1 corruption counter on the defending unit." | Remove 4 corruption counters from a unit -> Choose an ability on that unit. That unit loess the chosen ability until end of turn.		
Defiler	EAW	EAW05_Defiler	N	Ground/Character	Consortium Crime Gang Agent	5	50	3	5	U	5		Upkeep: Pay 1 build point or tap this unit | Double Strike | Whenever this unit attack, it gets Accuracy 1, Critical Hit 2, and Ferocity for that attack unless your opponent put X corruption counters on the defending unit, where X is the amount of time this unit has attacked this turn.		
Forces of Corruption	EAW	EAW06_Forces_of_Corruption	N	Resource		3				U	6		Add 1 counter -> Choose a unit without the Consortium subtype. The chosen unit gets the Consortium subtype and "Discard 2 cards from hand -> Remove all corruption counters from this unit." until it is discarded. | Remove 4 counters, remove 7 corruption counters from a unit -> Discard that unit. Play any time.		
General Rom Mohc (B)	EAW	EAW07_General_Rom_Mohc_B	D	Character	Imperial Officer	5	40	3	4	U	7		Treat this unit as a Droid | You put up to 4 copies of Rom in your supply instead of your deck. | When you put or deploy Rom into any arena he gets +4 power +30 speed, and Ferocity until end of turn.		
Silri (A)	EAW	EAW08_Silri_A	N	Character	Consortium Nightsister - Agent	5	30	4	4	U	8		Ferocity | Pay 2 Force -> Evade 2 | [Pilot] Creature Pilot. The Creature gets: *+20 speed *Fury 2 *Pay 1 Force -> Absorb 2		
Sundered Heart (A)	EAW	EAW09_Sundered_Heart_A	L	Space	Rebel Capital Ship	5	40	4	5	U	9		Shields 1 | Each of your Starfighters gets +10 speed, +1 power, and Surge 1. | Pay 2 Force -> Sundered Heart gets +30 speed until end of turn.		
Urai Fen (A)	EAW	EAW10_Urai_Fen_A	N	Character	Talortai Consortium Bodyguard - Crime Gang Agent	4	40	3	4	U	10		As long as Tyber Zann is in the Character Arena, Urai gets Parry 1, Riposte 2, and "Pay 1 Force -> Intercept." | Pay 2 Force -> Evade 2		
Expanding Our Empire	EAW	EAW11_Expanding_Our_Empire	N	Mission		1				C	11		Add 2 counter to your Resource. | Pay 2 Force -> Meditate		
Exploitation	EAW	EAW12_Exploitation	N	Mission		2				C	12		This turn, you may use up to two of your Resource's activated effects or use one of its activated effects twice.		
Lancet Aerial Artillery	EAW	EAW13_Lancet_Aerial_Artillery	D	Ground	Imperial Starfighter	4	70	4	3	C	13		This unit can attack units in the Character arena. | This unit can be attacked by units in the Space arena. | Whenever this unit is attacked by a unit in the Ground or Character arena, the attack ends unless your opponent pays 2 Force.		
Sabotage Their Resources	EAW	EAW14_Sabotage_Their_Resources	N	Mission		1				C	14		Remove up to 2 counters from your opponent's Resource. | Pay 2 Force -> Meditate		
StarViper Assault Fighter	EAW	EAW15_StarViper_Assault_Fighter	N	Space	Consortium Crime Gang Starfighter	3	60	3	2	C	15		Shields 1 | Remove 1 corruption from one of your opponent's units in this arena -> This unit gets Critical Hit 1 until end of turn.		
T4-B Heavy Tank	EAW	EAW16_T4_B_Heavy_Tank	L	Ground	Rebel Vehicle	4	50	2	3	C	16		Critical Hit 1 | Armor | Double Strike | Pay 2 Force -> This unit gets Focus 2 until end of turn.		
TIE Mauler	EAW	EAW17_TIE_Mauler	D	Ground	Imperial Assault Vehicle	4	70	3	3	C	17		This unit gets Fury 2 when attacking a unit with lower total speed. | Discard a card from your hand -> This unit gets +3 power and can attack a unit in the Character arena for this attack. When this attack ends, discard this unit		
Phase 1 Dark Trooper	EAW	EAWsub_Phase_1_Dark_Trooper	D	Subordinate	Character  - Imperial Droid		60	2	2	S			When you put this unit into any arena, it gets, +2 power until end of turn.		
