Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Bodo Baas's Holocron (A)	EE	EE001_Bodo_Baas_s_Holocron_A	L	Equipment	Character - Device	2				R	1		Pay 4 Force -> Equip | Equipped Jedi gets +10 speed and "Upkeep: Gain 1 Force". | Equipped Leia Organa Solo or Luke Skywalker also gets +1 power, +1 health, and "Pay X Force -> Remove X corruption counters from a unit in any arena."		
Byss Citadel	EE	EE002_Byss_Citadel	D	Location	Character - Imperial Dark Jedi Sith Byss Facility	2				R	2		When you complete this Location, you may search your deck for an Emperor Palpatine unit card. If you do, show it to your opponent, and put it into your hand. Shuffle your deck. | Whenever one of your opponent's Ground units or Character causes one of your units to be discarded, you may pay 1 Force. If you do, put 1 corruption counter on that opponent's unit.		
Byss System	EE	EE003_Byss_System	D	Location	Space - Imperial Byss Star System	3				R	3		When the battle phase starts, your opponent loses 2 Force. | Each of your Imperial Capital Ships, Battle Stations, and World Devastators, costs 1 less build counter to deploy.		
Carnor Jax (A)	EE	EE004_Carnor_Jax_A	D	Character	Imperial Force Sensitive Bodyguard	9	50	8	6	R	4		Critical Hit 2 | Parry 2 | Put 2 damage counters on one of your Dark Jedi Masters or Sith Lords in the Character arena -> Remove up to 4 damage counters from Carnor. Play only when no unit is attacking.		
Crimson Justice	EE	EE005_Crimson_Justice	N	Battle						R	5		Pay 2 Force -> One of your Characters gets +2 power and Precision until end of turn. | Enhance: Pay 1 more Force -> That Character also gets Accuracy 2 when attacking a damaged unit with the same subtype until end of turn.		
Defiance (A)	EE	EE006_Defiance_A	L	Space	New Republic Capital Ship - Flagship	9	20	7	7	R	6		Upkeep: Put 1 damage counter on Defiance. | Armor | Inspiration | As long as  you have a New Republic Officer in any arena, Defiance gets Accuracy 1.		
Eclipse (A)	EE	EE007_Eclipse_A	D	Space 	Imperial Dark Jedi Capital Ship - Sith Flagship	14	10	13	13	R	7		Stack: Eclipse II. | Inspiration | Your opponent's Space units can't retreat. | When Eclipse is discarded, lose 4 Force.		
Empatojayos Brand (A)	EE	EE008_Empatojayos_Brand_A	L	Character	Cyborg Jedi Knight	7	10	5	6	R	8		Armor | Tap -> Choose one: Search your opponent's deck for a Jedi or Sith unit card and remove it from the game, and your opponent shuffles his or her deck. Or: Return a Jedi unit card from your discard pile to your hand. | Pay 3 Force -> Empatojayos gets Inspiration until end of turn. | Pay 2 Force -> Evade 2		
Emperor Palpatine (M)	EE	EE009_Emperor_Palpatine_M	D	Character	Imperial Clone Dark Jedi Master - Sith Lord	11	40	8	7	R	9		Hidden Cost 6 | Damage from Palpatine can't be prevented | Pay 5 Force -> Choose an arena. Put 1 corruption counter on each of your opponent's units in the chosen arena. Then put 2 damage counters on Palpatine. Play only when the battle phase starts. | Pay 2 Force -> Deflect 2		
Emperor's End	EE	EE010_Emperor_s_End	L	Battle						R	10		Pay X Force, Remove one of your unique Jedi in the Character arena from the game -> Remove one of your opponent's unique Jedi or Sith with printed build cost of X from the Character arena from the game. As long as you have Han Solo or Luke Skywalker in any arena, your opponent can't have any copy of that unique Jedi or Sith in play.		
Extension of Power	EE	EE011_Extension_of_Power	D	Battle						R	11		Pay 3 Force, Tap Emperor Palpatine in any arena -> Gain control of one of your opponent's units with more corruption counters on it than its printed health until it is discarded. Play only when no unit is attacking.		
Force Press	EE	EE012_Force_Press	L	Battle						R	12		Pay 4 Force -> This turn, one of your Jedi in the Character arena can attack your opponent's units in the Ground arena. | Pay 4 Force -> Meditate		
Galaxy Gun (A)	EE	EE013_Galaxy_Gun_A	D	Space	Imperial Battle Station	10	10	0	8	R	13		Tap -> Roll a die. If you roll a 5 or 6, discard each of your opponent's units in the Ground arena. You may also discard a Location from any arena. Play only if you have Emperor Palpatine in any arena.		
Han Solo (P)	EE	EE014_Han_Solo_P	L	Character	New Republic Councilor - Officer	9	50	5	6	R	14		Accuracy 1 | Inspiration | When you deploy Han, you may search your deck for a Blaster Weapon card. If you do, attach it to Han without paying its build or equip costs. Shuffle your deck.		
Hyperspace Wormhole	EE	EE015_Hyperspace_Wormhole	N	Mission		X				R	15		When the Space battle step starts, do X damage to each unit in the Space arena.		
Kir Kanos (A)	EE	EE016_Kir_Kanos_A	D	Character	Imperial Bodyguard	9	50	7	7	R	16		Critical Hit 2 | Parry 2 | As long as Emperor Palpatine is in the Character arena, Kir gets "Pay 0 Force -> Retaliate 2."		
Kir Kanos (B)	EE	EE017_Kir_Kanos_B	N	Character	Independent Bodyguard	7	50	6	6	R	17		Upkeep: Pay 1 build point, discard a card from your hand, or tap Kir. | Accuracy 1 | Double Strike		
Leia Organa Solo (Q)	EE	EE018_Leia_Organa_Solo_Q	L	Character	New Republic Councilor - Jedi Diplomat	7	50	5	6	R	18		Foresight: Gain 2 Force. | Tap, Pay 3 Force -> Put 3 damage counters on one of your opponent's units in the Ground arena. Play only during your build step. | Pay 2 Force -> Deflect 1		
Luke Skywalker (V)	EE	EE019_Luke_Skywalker_V	L	Ground/Character	New Republic Jedi Master	11	50	7	7	R	19		Switch: Parry 2 / Accuracy 1 | Inspiration | Pay 3 Force -> Luke gets +1 power and Critical Hit 1 for this attack. | Pay 1 Force -> Deflect 1 | Pay 2 Force -> Evade 2		
Luminous Beings	EE	EE020_Luminous_Beings	L	Battle						R	20		Tap Leia Organa Solo and Luke Skywalker in the Character arena -> Double the number of damage counters on each of your opponent's units in the Character arena. Play only when no unit is attacking.		
Lusankya (A)	EE	EE021_Lusankya_A	L	Space	New Republic Capital Ship - Flagship	12	10	9	10	R	21		Armor | As long as you have a New Republic Officer in any arena, Lusankya gets +10 speed. | Each of your other New Republic units in the Space arena gets Accuracy 1.		
Millennium Falcon (Q)	EE	EE022_Millennium_Falcon_Q	L	Space	New Republic Transport	7	70	5	6	R	22		Accuracy 1 | Pay 3 Force -> The Millennium Falcon gets Double Strike until end of turn. Play only if Chewbacca or Han Solo is in any arena.		
Mirith Sinn (A)	EE	EE023_Mirith_Sinn_A	L	Character	New Republic Officer	7	40	5	5	R	23		Accuracy 1 | Each of your New Republic units in the Ground arena gets Accuracy 1. | Each of your other New Republic Officers in the Character arena gets Critical Hit 1.		
New Codes	EE	EE024_New_Codes	N	Battle						R	24		Tap one of your Astromech Droids in the Character arena -> Roll a die. If you roll a 3 or less, you may draw a card. If you roll a 4 or more, put 3 damage counters on one of your opponent's units in the Space or Ground arena. Play only when no unit is attacking.		
R2-D2 (N)	EE	EE025_R2_D2_N	L	Character	New Republic Astromech Droid	4	20	1	3	R	25		Alternative Cost: Tap Luke Skywalker. | As long as you have Luke Skywalker in the Character arena, R2-D2 can't be attacked. | you don't have to pay the equip costs of Lightsaber Weapons to Luke Skywalker.		
Rebirth	EE	EE026_Rebirth	D	Battle						R	26		Pay X Force -> Put an Emperor Palpatine unit card with a printed build cost X from your discard pile into its arena untapped. Play only when no unit is attacking.		
Silencer-7 (A)	EE	EE027_Silencer_7_A	D	Space/Ground	Imperial World Devastator	10	10	10	10	R	27		Upkeep: Pay 2 build points or tap Silencer-7. | Armor | Tap -> Discard a unit with printed build cost 7 or less from the Space or Ground arena. Play only when Silencer-7 would attack.		
To Walk the Sky	EE	EE028_To_Walk_the_Sky	L	Battle						R	28		Tap one of your Characters with "Leia" in its name -> Remove all corruption counters from up to 2 of your units in the Character arena. Then, gain 1 Force for each corruption counter removed this way.		
Untold Devastation	EE	EE029_Untold_Devastation_v2	N	Mission		8				R	29		Each player discards each of his or her units from each arena and his or her build zone, each of his or her partially built cards, and each card from his or her hand. | Then remove each player's Resource and Untold Devastation from the game, and each player shuffles his or her discard pile into his or her deck. Play only when the Dark Side player's build step starts.		
X-1 Viper Automadon	EE	EE030_X_1_Viper_Automadon	L	Ground 	New Republic Droid	8	50	6	7	R	30		Hidden Cost 5 | Armor | Shields 2 		
Baron D'Asta (A)	EE	EE031_Baron_D_Asta_A	N	Character	Imperial Councilor - Diplomat	5	30	3	4	U	31		Tap -> Gain 1 build point. If Feena D'Asta is in the Character arena, gain 2 build points instead. Play only during your build step. | Tap, Pay X build points -> Search your deck for up to X Space unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. Play only during your build step.	<s><l>Tap to gain 1BP</l><f>/cr90;/player stat2 +1;/s taps Baron D'Asta (A) to gain 1 BP</f></s><s><l>Tap to gain 2BP</l><f>/cr90;/player stat2 +2;/s taps Baron D'Asta (A) to gain 2 BP because Feena D'Asta is in the Character arena</f></s>	
Boba Fett (M)	EE	EE032_Boba_Fett_M	N	Character	Mandalorian Clone Bounty Hunter	8	50	5	6	U	32		 Bounty: Put a card from your opponent's discard pile face-down beneath Boba. | Fury 2 | Armor | Boba gets +1 power and Critical Hit 1 for each face-down card beneath him.		
Chewbacca (Q)	EE	EE033_Chewbacca_Q	L	Character	Wookiee New Republic Soldier	7	40	6	6	U	33		Bounty: Gain control of an Equipment detached from the discarded unit when it was discarded until Chewbacca is not in any arena. This turn, you may attach that Equipment to Chewbacca without paying its equip cost. | Chewbacca gets Accuracy 2 when attacking a Bounty Hunter. | Pay 1 Force -> Retaliate 3		
Chrysalis Beast	EE	EE034_Chrysalis_Beast	D	Ground	Rancor Imperial Mutant Creature	9	20	8	6	U	34		Alternative Cost: Put 7 damage counters divided as you choose on any number of your units with combined remaining health 7 or more in the Ground arena. | Damage from this unit can't be prevented.		
Crimson Blood	EE	EE035_Crimson_Blood	N	Mission		2				U	35		To complete Crimson Blood, you must also discard one of your Bodyguards from any arena. Gain X build points, where X is the printed health of the Bodyguard discarded this way.		
Eclipse II (A)	EE	EE036_Eclipse_II_A	D	Space	Imperial Dark Jedi Capital Ship - Sith Flagship	14	10	14	14	U	36		Stack: Eclipse | Hidden Cost 9 | Bombard 9 | INSERT: Overkill		
Emperor Palpatine (N)	EE	EE037_Emperor_Palpatine_N	D	Character	Imperial Clone Dark Jedi Master - Sith Lord	7	20	3	7	U	37		When Palpatine is discarded, you may take control of one of your opponent's units with 4 or more corruption counters on it in the Character arena until it is discarded. If you do, that unit loses its name and subtype and gets Palpatine's name and subtype until it is discarded		
Emperor's Revenge (A)	EE	EE038_Emperor_s_Revenge_A	D	Space	Imperial Capital Ship	7	20	6	6	U	38		Alternative Cost: Tap Carnor Jax, discard 6 cards from you hand | Armor | Bombard 5		
Ennix Devian (A)	EE	EE039_Ennix_Devian_A	D	Character	Imperial Cyborg Officer	7	40	4	4	U	39		Inspiration | Each New Republic and Rebel gets -2 power when attacking Ennix.		
Galactic Fleet 	EE	EE040_Galactic_Fleet	L	Space	New Republic Fleet	8	20	7	7	U	40		Alternative Cost: Tap 2 of your New Republic units in each arena. | As long as you have a New Republic Officer in any arena, this unit gets +10 speed and Accuracy 1 | Overkill		
Hunter-Killer Probot	EE	EE041_Hunter_Killer_Probot	D	Ground/Character	Imperial Droid	6	20	6	3	U	41		Switch: -2 power, Critical Hit 1 / Armor | Foresight: Discard the top card from your opponent's deck. |Each of your opponent's units in this arena loses Stealth		
Imperial Elite Private Guard	EE	EE042_Imperial_Elite_Private_Guard	D	Character	Imperial Stormtrooper Bodyguard Squad	6	50	5	5	U	42		Alternative Cost: Discard 2 of your Imperials with combined printed build cost of 5 or more from the Character arena. | Armor | When one of your opponent's units would attack one of your unique Imperial Characters, you may have that unit attack this unit instead.		
Imperial Sentinels	EE	EE043_Imperial_Sentinels	D	Ground/Character	Imperial Clone Bodyguard Squad	6	40	6	5	U	43		Armor | As long as Emperor Palpatine is in any arena, this unit gets "Pay 1 Force -> Intercept" and "Pay 1 Force -> Retaliate 2"		
Instinctual Dodge	EE	EE044_Instinctual_Dodge	N	Battle						U	44		Choose one of your units. This turn, whenever the chosen unit is attacked, before the dice are rolled, predict the number of damage the attacking unit will do (before damage prevention). If you predict correct, prevent that damage, and you may draw a card.		
Jedi Explorer (A)	EE	EE045_Jedi_Explorer_A	L	Space	New Republic Jedi Transport	5	50	5	3	U	45		Alternative Cost: Pay 5 Force, tap Luke Skywalker. | Lucky 1 | Parry 1 | Pay 1 Force -> Evade 1		
Kam Solusar (A)	EE	EE046_Kam_Solusar_A	L	Character	New Republic Jedi Knight	5	50	5	4	U	46		Parry 1 | Pay 2 Force -> Choose one: Remove 1 damage counter from Kam. Play only when no unit is attacking. Or: Remove 1 corruption counter from Kam. Play when no unit is attacking. | Pay 1 Force -> Evade 1		
Kir Kanos (C)	EE	EE047_Kir_Kanos_C	L	Ground/Character	Independent Bodyguard	9	40	7	6	U	47		Switch: Inspiration/Parry 1 | Armor | Kir gets Accuracy 1 and Overkill when attacking a Stormtrooper.		
Lando Calrissian (M)	EE	EE048_Lando_Calrissian_M	L	Character	New Republic Councilor - Diplomat	7	40	5	6	U	48		Stealth | Tap, Discard the top card of your deck -> One of your New Republic units  with printed power of 5 or less in the Space arena gets Double Strike until end of turn.		
Lightning Gun	EE	EE049_Lightning_Gun	L	Equipment	Space - Blaster Weapon	2				U	49		Pay 1 build point -> Equip | Equipped Transport can only have one Lightning Gun attached to it. | Equipped Transport gets Stun 4. | The Millennium Falcon also gets "Whenever Millennium Falcon damages a unit (after damage prevention), tap that unit unless your opponent pays 4 Force."		
Luke Skywalker (W)	EE	EE050_Luke_Skywalker_W	L	Character	New Republic Jedi Master	6	40	5	5	U	50		Critical Hit 2| Pay 2 Force, Put 1 damage counter on Luke -> Put 2 damage counters on a Ground unit. Play only when no unit is attacking. | Pay 2 Force -> Evade 2 		
Mon Remonda (A)	EE	EE051_Mon_Remonda_A	L	Space	Mon Calamari New Republic Capital Ship	7	20	6	6	U	51		Mon Remonda gets Accuracy 2 when attacking a Capital Ship | Overkill		
Royal Guard TIE Interceptor	EE	EE052_Royal_Guard_TIE_Interceptor	D	Space	Imperial Starfighter	4	40	3	3	U	52		Accuracy 1 | Precision | As long as Emperor Palpatine is in any arena, this unit gets +10 speed and Accuracy 1		
Royal Guardsman's Training	EE	EE053_Royal_Guardsman_s_Training	D	Resource		4				U	53		Whenever damage from one of your Bodyguards causes one of your opponent's units to be discarded, add 2 counters to this Resource. | Remove 4 counters -> Take 1 50/3/3 Royal Guardsman Subordinate with "Parry 2" and "Pay 1 Force -> Intercept" and put it into the Ground or Character arena. Play only during your build step.	<s><l>Spawn Royal Guardsman</l><f>/spawn Royal Guardsman;/s spawns Royal Guardsman subordinate using Royal Guardsman's Training and MUST remove 4 counters form their resource</f></s>	
Royal Guardsman's Vibroblade	EE	EE054_Royal_Guardsman_s_Vibroblade	N	Equipment	Ground/Character - Melee Weapon	1				U	54		Pay 1 build point -> Equip |Equipped unit can only have one Royal Guardman's Vibroblade attached to it. | Equipped Ground unit or Character gets Fury 1. | Equipped Bodyguard also gets +2 power and Critical Hit 1		
Shadow Droid	EE	EE055_Shadow_Droid	D	Space/Ground	Imperial Droid Starfighter	5	60	3	3	U	55		Treat this unit as a Force Sensitive Cyborg. | Switch: Accuracy 1/Critial Hit 1, Armor | Alternative Cost: Pay 7 Force. | Pay 1 Force -> Evade 1		
