Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
A-Class Bulk Freighter	ER	ER001_A_Class_Bulk_Freighter	D	Space	Imperial Transport	6	10	0	6	R	1		Tap -> Take 1 50/2/2 Imperial Starfighter Subordinate and put it beneath this unit. When this unit is discarded from the Space arena, take all Subordinates beneath this unit and put them into the Space arena untapped. 	<s><l>Tap to spawn Imperial Starfighter</l><f>/spawn Imperial Starfighter;/cr90;/s taps A-Class Bulk Freighter to spawn an Imperial Starfighter subordinate</f></s>	
Abregado-rae Casino	ER	ER002_Abregado_rae_Casino	N	Location	Character - Abregano Casino	2				R	2		During your build step, you may remove the top card from your deck from the game. If you do, roll a die. If you roll a 1 or 2, your opponent may draw a card. If you roll a 3 or 4, draw a card. If you roll a 5 or 6, gain 4 build points.		
Borsk Fey'lya (C)	ER	ER003_Borsk_Fey_lya_C	L	Character	Bothan New Republic Councilor - Diplomat	6	30	4	5	R	3		When your build step starts, if Borsk has 6 or more corruption counters on him, discard him. | Each of your Space and Ground units gets -2 power. | Tap, Put 1 corruption counter on Borsk -> Gain 2 build points and draw 2 cards. Play only during your build step.		
Borsk Fey'lya (D)	ER	ER004_Borsk_Fey_lya_D	L	Character	Bothan New Republic Councilor - Diplomat	5	40	4	4	R	4		Tap -> Take 1 40/2/1 New Republic Spy Subordinate with "Stealth" and put it into the Character arena. Play only during your build step. | INSERT: Put 1 damage counter on Admiral Ackbar -> Remove 1 corruption counter from Borsk.	<s><l>Tap to spawn New Republic Spy</l><f>/spawn New Republic Spy;/cr90;/s taps Borsk Fey'lya (D) to spawn a New Republic Spy subordinate</f></s>	
Burn Through Wiring	ER	ER005_Burn_Through_Wiring	N	Battle						R	5		Pay 8 Force -> Put 2 damage counters on each of your opponent's Capital Ships, Cruisers, and Transports  in the Space arena. Play only when no unit is attacking. | Pay 7 Force -> Meditate.		
Calius Saj Leeloo	ER	ER006_Calius_Saj_Leeloo	N	Location	Ground - Berchest City	3				R	6		When your build step starts, you may remove the top card from your deck from the game. If you do, gain X Force, where X is half that card's printed build cost (rounded up). If that card has no printed build cost, gain 3 Force instead.		
Chimaera (B)	ER	ER007_Chimaera_B	D	Space	Imperial Capital Ship - Flagship	7	30	7	7	R	7		Hidden Cost 4 | As long as Grand Admiral Thrawn is in any arena, Chimaera gets +10 speed and Stealth.		
Chimaera (C)	ER	ER008_Chimaera_C	D	Space	Imperial Capital Ship - Flagship	8	30	7	7	R	8		Accuracy 1 | Pay 2 build points ->  Take 1 50/3/3 Imperial Squadron Subordinate and put it into the Space arena. Play only during your build step. | INSERT: Shields 1	<s><l>Pay 2BP to spawn Imperial Squadron</l><f>/spawn Imperial Squadron;/player stat2 -2;/s pays 2BP to spawn an Imperial Squadron subordinate using Chimaera (C)</f></s>	
Etherway (A)	ER	ER009_Etherway_A	N	Space	Independent Smuggler Transport	5	40	2	5	R	9		Alternative Cost: Pay 4 Force, tap Mara Jade. | As long as Mara Jade in any arena, Etherway gets +20 speed, +1 power, and "Whenever Etherway is attacked, roll a die. If you roll a 4 or more, the attack ends."		
General Garm Bel Iblis (A)	ER	ER010_General_Garm_Bel_Iblis_A	L	Character	New Republic Councilor - Officer	7	40	6	6	R	10		Accuracy 1 | When you deploy Garm, you may search your deck for a Fleet unit card. If you do, show it to your opponent and put it into your build zone with 2 build counters on it. Shuffle your deck.		
General Garm Bel Iblis (B)	ER	ER011_General_Garm_Bel_Iblis_B	L	Character	New Republic Councilor - Officer	7	50	5	6	R	11		Alternative Cost: Pay 2 Force, tap one of your units, your opponent may draw up to  4 cards. | Tap -> Each of your New Republic Space units gets +1 power, Accuracy 1, and Precision until end of turn. Play only during your build step.		
Grand Admiral Thrawn (A)	ER	ER012_Grand_Admiral_Thrawn_A	D	Character	Chiss Imperial Officer	7	40	5	6	R	12		Each of your Imperials costs 1 less build counter to deploy. | Each of your opponent's Jedi Characters' Force-activated abilities costs 1 more Force to play.		
Grand Admiral Thrawn (B)	ER	ER013_Grand_Admiral_Thrawn_B	D	Character	Chiss Imperial Officer	7	40	6	6	R	13		Alternative Cost: Pay 1 build point, discard 2 of your Imperial Officers from any arena. | Each of your other Imperials gets +1 power and Fury 2.		
Imperial Elite Squad	ER	ER014_Imperial_Elite_Squad	D	Ground/Character	Imperial Stormtrooper Squad	6	50	6	5	R	14		Switch: +10 speed/Precision | This unit gets Accuracy 1 when attacking a Smuggler. | Tap -> Tap one of your opponent's units in the Character arena. Play only during your build step.		
Irinez (A)	ER	ER015_Irenez_A	L	Character	New Republic Officer	4	40	4	4	R	15		As long as General Garm Bel Iblis is in the Character arena, Irinez gets +1 health. | Tap -> Discard an Equipment attached to one of your opponent's Characters. Play only when no unit is attacking.		
Joruus C'baoth (A)	ER	ER016_Joruus_C_baoth_A	N	Character	Independent Clone Jedi Master	7	40	5	5	R	16		Pay X Force -> Gain control of one of your opponent's Jedi in the Character arena with printed build cost X or less until end of turn unless your opponent pays X Force. Play only during your build step. | Pay 2 Force -> Deflect 2		
Joruus C'baoth (B)	ER	ER017_Joruus_C_baoth_B	N	Character	Independent Clone Dark Jedi Master	7	30	4	6	R	17		Pay 2 Force -> Deflect 2 | Reserves: Tap -> Choose one: Put 1 corruption counter on a Jedi Character. Or: Gain X Force, where X is the number of Jedi Characters with 1 or more corruption counters on them.		
Joruus C'baoth (C)	ER	ER018_Joruus_C_baoth_C	N	Character	Independent Clone Dark Jedi Master	6	30	5	5	R	18		Pay 2 Force -> Joruus does 3 damage to one of your opponent's non-Jedi in the Character arena. This damage can't be prevented. Play only when no unit is attacking. | Pay 2 Force -> Deflect 2 		
Katana Fleet (A)	ER	ER019_Katana_Fleet_A	N	Space	Fleet	8	20	7	8	R	19		Hidden Cost 5 | When the battle phase starts, you may choose one of your Officers in any arena. If you do, Katana Fleet gets the chosen Officer's complete subtype, Shields 1, and Overkill until end of turn. | Bombard 5		
Katana Fleet (B)	ER	ER020_Katana_Fleet_B	N	Space	Fleet	9	20	6	7	R	20		Alternative Cost: Discard any number of your units with combined printed build cost 9 or more from the Space arena. | When the battle phase starts, you may choose one of your Officers in any arena. If you do, Katana Fleet gets the chosen Officer's complete subtype, Accuracy 1, and Double Strike until end of turn		
Lady Luck (B)	ER	ER021_Lady_Luck_B	L	Space/Ground	New Republic Smuggler Transport	6	40	3	4	R	21		Switch: +40 speed/Stealth | Whenever Lady Luck is attacked, roll a die. If you roll a 5 or 6, the attack ends.		
Leia Organa Solo (P)	ER	ER022_Leia_Organa_Solo_P	L	Character	New Republic Councilor - Jedi Diplomat	7	50	5	5	R	22		Each of your New Republic units cost 1 less build counter to deploy. | Pay 2 Force -> One of your units gets the New Republic subtype until end of game.| Pay 2 Force -> Evade 2 		
Lightsaber Attack	ER	ER023_Lightsaber_Attack	L	Battle						R	23		Pay 4 Force -> One of your Jedi with an Equipment attached in the Character arena does 2 damage to each of your opponent's units in the Character arena. Play only when no unit is attacking.		
Maitrakh (A)	ER	ER024_Maitrakh_A	N	Character	Noghri Clan Leader	4	30	2	5	R	24		Reserves: Tap -> Remove up to 2 damage counters from one of your other Noghri. Play only when no unit is attacking.		
Mobvekhar (A)	ER	ER025_Mobvekhar_A	L	Character	Noghri Warrior Bodyguard	5	50	5	3	R	25		Critical Hit 3 | As long as you have a Jedi in the Character arena, Mobvekhar gets Parry 1. | Pay 1 Force -> Intercept.		
New Republic Victory	ER	ER026_New_Republic_Victory	L	Mission		0				R	26		When this turn ends, if you have 7 or more New Republic Councilors in any arena or build zone, and at least 1 New Republic unit in the Space and Ground arena, you win the game.		
Noghri Villagers	ER	ER027_Noghri_Villagers	N	Ground/Character	Noghri Villager Warrior Squad	4	40	2	4	R	27		Switch: Critical Hit 2/Fury 2 | As long as you have another Noghri in this arena, this unit gets +1 power. | Each of your other Noghri in this arena gets +1 power.		
Peregrine (A)	ER	ER028_Peregrine_A	N	Space	Independent Capital Ship - Flagship	6	20	6	6	R	28		Alternative Cost: Remove 12 cards from your discard pile from the game. | Critical Hit 2 | Armor		
Poderis	ER	ER029_Poderis	N	Resource		4				R	29		Add 1 counter -> Remove 1 damage counter from one of your Space units. Play only when no unit is attacking.| Remove 2 counters -> Reveal a partially built Space unit card in your build zone to your opponent and put 1 build counter on it. Play only during your build step.		
Ralrracheen (A)	ER	ER030_Ralrracheen_A	L	Character	Wookiee Officer	6	50	6	6	R	30		Critical Hit 2 | Pay 1 Force -> Intercept | Pay 1 Force -> Retreat one of your other Characters. Play only when no unit is attacking. 		
Sena Leikvold Midanyl (A)	ER	ER031_Sena_Leikvold_Midanyl_A	L	Character	New Republic Officer -Spy	6	40	4	5	R	31		Stealth | As long as General Garm Bel Iblis is in the Character arena, Sena gets + 1 health | Tap -> Disrupt a Mission card.		
Spacetrooper	ER	ER032_Spacetrooper	D	Space/Character	Imperial Stormtrooper	4	20	0	2	R	32		Switch: +1 health/+2 power, Ion Cannon 2 | Armor | As long as this unit is in the Space arena, it can't gain power. | Tap -> Put 1 damage counter on one of your opponent's Space units. Play only if this unit is in the Space arena and only when no unit is attacking.		
Talon Karrde (C)	ER	ER033_Talon_Karrde_C	N	Character	Independent Smuggler - Spy	6	50	5	5	R	33		When you deploy Talon Karrde, you may search your deck for a Location card. If you do, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck. | Tap -> Disrupt a Force-activated ability. That ability can't be used again this turn.		
Talon Karrde (D)	ER	ER034_Talon_Karrde_D	N	Character	Independent Smuggler - Spy	5	50	3	5	R	34		Tap -> Tap one of your opponent's Jedi Characters with printed build cost 7 or less. Play only when no unit is attacking. | Transport pilot. The Transport gets:  -When the battle phase starts, choose one: Draw a card. Or: This unit gets Stealth and "This unit's speed is 40, and it can't gain or lose speed." until end of turn.		
Thrawn's Assault Force (A)	ER	ER035_Thrawn_s_Assault_Force_A	D	Space	Imperial Fleet	9	10	9	10	R	35		Alternative Cost: Your opponent searches his or her deck and/or discard pile for a unit card, puts that unit into its arena untapped, and then shuffles his or her deck. | Accuracy 1 | Overkill		
Thrawn's Command Room	ER	ER036_Thrawn_s_Command_Room	D	Location	Space -Imperial Facility	4				R	36		Each of your Imperial Capital Ships and Fleets gets +1 power and Shields 2		
Thrawn's Shuttle (A)	ER	ER037_Thrawn_s_Shuttle_A	D	Space	Imperial Transport	5	40	3	3	R	37		Shields 2 | Tap -> Search your deck for a Grand Admiral Thrawn unit card, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck. Play only during your build step. 		
Thrawn's Shuttle (B)	ER	ER038_Thrawn_s_Shuttle_B	D	Space/Ground	Imperial Transport	5	40	3	3	R	38		Switch: +10 speed/Stealth | When you deploy Thrawn's Shuttle, take 1 30/2/2 Imperial Stormtrooper Subordinate with "Pay 0 Force -> Intercept" and put it into the Ground or Character arena. 	<s><a>y</a><l>Spawn Imperial Stormtrooper</l><f>/spawn Imperial Stormtrooper;/s spawn an Imperial Stormtrooper subordinate upon deployment of Thrawn's Shuttle (B)</f></s>	
Wild Beast Attack	ER	ER039_Wild_Beast_Attack	N	Battle						R	39		Pay 5 Force -> One of your Creatures in the Ground arena can attack units in the Character arena until end of turn. Play only before any unit in the Ground arena attacks. | Pay 4 Force -> Meditate		
Wild Karrde (B)	ER	ER040_Wild_Karrde_B	N	Space	Independent Smuggler Transport	6	40	4	4	R	40		Stealth | Reserves: Tap -> Choose one: Prevent up to 2 damage to one of your units in the Character arena. Or: Remove up to 2 damage counters from one of your units in the Character arena. Play when no unit is attacking.		
A-Class BFF-1 Cargo Carrier	ER	ER041_A_Class_BFF_1_Cargo_Carrier	D	Space	Imperial Transport	5	30	0	5	U	41		Tap -> Gain 1 build point. Play only during your build step. | Tap -> Draw a card. Play only during your build step.	<s><l>Tap to gain 1BP</l><f>/cr90;/player stat2 +1;/s taps A-Class BFF-1 Cargo Carrier to gain 1 BP</f></s>	
Admiral Ackbar (C)	ER	ER042_Admiral_Ackbar_C	L	Character	Mon Calamari New Republic Councilor - Officer	5	30	3	6	U	42		Each of your New Republic units in the Space arena gets +3 power. | When the battle phase ends, put 1 damage counter on each of your New Republic units in the Space arena.		
Admiral's Deal	ER	ER043_Admiral_s_Deal	N	Mission		1				U	43		To complete Admiral's Deal, you must also discard one of your Smuggler or Spiesfrom the Character arena. Gain control of one of your opponent's Characters with printed build cost equal or less than the discarded unit until it is discarded.		
Admiral's Death	ER	ER044_Admiral_s_Death	N	Battle						U	44		Pay 3 Force -> Choose one: Put 2 damage counters on an Officer. Play only when no unit is attacking. Or: Discard one of your Officers with printed build cost X from any arena and then draw up to X cards. Play only when no unit is attacking.		
Assault Frigate 	ER	ER045_Assault_Frigate	L	Space	New Republic Capital Ship	6	40	5	5	U	45		Hidden Cost 4 | This unit gets Accuracy 1, Critical Hit 1, and Lucky 1 when attacking an Imperial or Starfighter. | Tap -> This unit attacks a Starfighter in this arena. Play only when the battle phase starts.		
Break Off Contact	ER	ER046_Break_Off_Contact	D	Battle						U	46		Pay 4 Force -> Skip the Space battle step. Put 1 damage counter on each of your Space units, then draw a card for each damage counter put this way. Play only if you have a Starfighter in the Space arena.		
Brotherhood of Bandits	ER	ER047_Brotherhood_of_Bandits	N	Mission		3				U	47		Search your deck for up to 4 Smuggler Space unit cards, show them to your opponent, and put them into your hand. Shuffle your deck.		
Chief Programmer	ER	ER048_Chief_Programmer	L	Character	Bespin Mechanic	4	20	2	4	U	48		Reserves: Tap -> Remove 1 damage counter from one of your Droids. Play only during your build step.		
Debt of Honor 	ER	ER049_Debt_of_Honor	N	Mission		0				U	49		To complete Debt of Honor, you must also discard one of your Neutral units from the Character arena. Gain X build points, where X is the printed health of the discarded units.		
Double the Offer	ER	ER050_Double_the_Offer	N	Battle						U	50		Pay 3 Force -> Tap one of your opponent's units in the Character arena unless your opponent pay 6 Force. Play only when no unit is attacking.		
Drill-Jets	ER	ER051_Drill_Jets	N	Resource		4				U	51		Add 1 counter -> Reveal a partially built Smuggler unit card in your build zone to your opponent and put 1 build counter on it. Play only during your build step. | Remove 3 counters -> Gain 1 build point and draw a card. Play only during your build step.		
