Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
2-1B Medical Droid (A)	ESB	2_1B_Medical_Droid_A	L	Character	Rebel Medical Droid	4	20	1	4	R	1		Pay 1 build point -> Remove 1 damage counter from one of your Characters. You may play this ability any number of times during your build step.		WOTC, REB, EP456
Admiral Firmus Piett (B)	ESB	Admiral_Firmus_Piett_B	D	Character	Imperial Officer	5	40	5	5	R	2	Text erratum	When an Imperial Officer is discarded from any arena, you may pay 4 force. If you do, put this card from your hand into the Character arena. Play only if Admiral Piett is in your hand.		WOTC, REB, EP456
AT-AT Assault Group	ESB	At_at_Assault_Group	D	Ground	Imperial Assault Walker Squad	13	20	10	12	R	3	This unit may be piloted by Walker pilots.	Put 2 damage counters on this unit -> Prevent all damage to this unit.		WOTC, REB, EP456
Avenger (A)	ESB	Avenger_A	D	Space	Imperial Capital Ship	7	30	8	6	R	4		When Avenger attacks, your opponent may retreat the defending unit. If he or she does, the attack ends. | Armor		WOTC, REB, EP456
Blizzard Force Snowtrooper	ESB	Blizzard_Force_Snowtrooper	D	Character	Imperial Clone Stormtrooper	3	50	3	1	R	5		As long as you have more Imperial Characters in the Character arena than your opponent has Rebel Characters in the Character arena, this unit gets +2 power. | Armor		WOTC, REB, EP456
Blizzard One (A)	ESB	Blizzard_One_A	D	Ground	Imperial Assault Walker	9	40	6	6	R	6		Armor | Critical Hit 2		WOTC, REB, EP456
C-3PO (E)	ESB	C_3PO_E	L	Character	Rebel Protocol Droid	2	30	1	2	R	7	All cards stacked with him refers to all cards in his stack and attached Equipment.	When C-3PO is discarded from the Character arena, shuffle him and any cards stacked with him into your deck.		WOTC, REB, EP456
Captain Lorth Needa (A)	ESB	Captain_Lorth_Needa_A	D	Character	Imperial Officer	2	30	2	2	R	8	If piloting Executor (C), Needa's "discard himself" ability will apply to both the first and second defending unit chosen. If one or both of the defending units are not discarded, Needa will be discarded. If only one unit is chosen as the first and second defending unit, from my ruling above, all damage counters from the damage done by the two sets of attack dice will be applied all at once after both sets are rolled. There will then be only one opportunity (or check) instead of two to see if Needa will be discarded.	[Pilot] Capital Ship Pilot. The Capital Ship gets: * Accuracy 1. * When this Capital Ship attacks, if the defending unit isn't discarded, discard Needa.		WOTC, REB, EP456
Carbon-Freezing Chamber	ESB	Carbon_Freezing_Chamber	D	Location	Character	4				R	9		When the Character battle step starts, choose one of your opponent's Characters in any arena or his or her build zone. Return that Character to your opponent's hand unless he or she pays 3 Force.		WOTC, REB, EP456
Chewbacca (E)	ESB	Chewbacca_E	L	Character	Rebel Wookiee	8	40	5	7	U	10		Pay 3 Force -> Retaliate 8 | Pay any number of build points -> Remove that many damage counters from each of your Space or Ground units. Play only during your build step.		WOTC, REB, EP456
Chewbacca (G)	ESB	Chewbacca_G	L	Character	Rebel Wookiee	6	40	5	7	R	11	**RESTRICTED**: This card has been restricted to one copy per deck in tournament play. | You may play the effect only once per turn.	Pay 1 build point -> Put a Droid Character card from you discard pile into the Character arena. Put 1 damage counter on it. Play only during your build step. | Pay 3 Force -> Retaliate 6		WR, VR, WOTC, REB, EP456
Dack Ralter (A)	ESB	Dack_Ralter_A	L	Character	Rebel Gunner	2	30	2	2	R	12	The second ability Dack grants to the Speeder gives +2 power to units that are in the arena at the time the Speeder is discarded.	Any Speeder with Dack on it can have an extra Pilot. [Pilot] Speeder Pilot. The Speeder gets: * Pay 1 Force -> Intercept. * When this Speeder is discarded from the Ground arena, each of your other units in the Ground arena gets +2 power until end of turn.		WOTC, REB, EP456
Dangerous Gamble	ESB	Dangerous_Gamble	L	Mission		0				R	13	Ignore the subtype and version letter of the card named. | This card works best when you have effectively reduced your opponent's deck to a few cards (especially just one) and know what those cards are.	Your opponent shuffles his or her deck. Then you name a card. Your opponent reveals the top card of his or her deck and puts it into his or her hand. If you named that card, you gain 10 build points.		WOTC, REB, EP456
Dark Cave	ESB	Dark_Cave	D	Location	Character	3				R	14		Whenever a Light Side Character attacks, put a Corruption counter on Dark Cave. When the Character battle step starts, you may remove all Corruption counters from Dark Cave. If you do, choose one of your opponent's units in the Character arena with build cost equal to or less than the number of counters removed. You gain control of that unit until end of turn.		WOTC, REB, EP456
