Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
A Simple Story	FOR	FOR001_A_Simple_Story	L	Mission - Campaign		1				R	1		When each turn starts, if you have 2 or more Lothal Rebels in any arena, choose one: Add 1 counter to your Resource. Or: Gain 1 Force. Or: Put 1 redemption counter on a unit.		REB
Ahsoka Tano (K)	FOR	FOR002_Ahsoka_Tano_K	L	Character	Togruta Rebel Force Sensitive	8	50	7	5	R	2		During the battle phase you may pay 1 Force and discard this card from your hand to prevent 2 damage to one of your Character. | Fortitude | Pay 2 Force -> Evade 3 | Pay 8 Force -> Meditate | Pay 1 Force -> Retaliate 2		REB
Ahsoka Tano (L)	FOR	FOR003_Ahsoka_Tano_L	L	Character	Togruta Rebel Force Sensitive	5	50	4	4	R	3		During your build step, you may pay 1 Force and remove this card from your hand from the game. If you do, search your deck for up to 2 cards with "Ezra" in their names, show them to your opponent, and put it into your hand. Shuffle your deck. | Pay 2 Force -> Persuade 2		REB
Bendu (A)	FOR	FOR004_Bendu_A	N	Ground	Bendu Force Sensitive Master	4	10	0	4	R	4		Bendu doesn't count toward controlling any arena. | Prevent all damage to and from Bendu. | Each non-Neutral unit gets -1 power. | [Tap] -> Gain X Force, where X is the number of cards in Bendu's stack.		REB
Bendu (B)	FOR	FOR005_Bendu_B	N	Ground	Bendu Force Sensitive Master	2	10	0	4	R	5		At any time, you may remove this card from your hand from the game. If you do, choose one: gain a Foresight or a Forewarning on a unit in any arena. Or: Pay 1 Force to search your deck for a Neutral Battle card, show it to your opponent, and put it into your hand. Shuffle your deck.		REB
Bo-Katan Kryze (C)	FOR	FOR006_Bo_Katan_Kryze_C	L	Character	Nite Owl Mandalorian Warrior - Mandalore	8	50	6	6	R	6		Parry 1 | Inspiration | Whenever Bo-Katan attacks, the defending unit loses Armor for that attack. | Remove 1 mastery counter from a unit -> Evade 2		REB
Chimaera (E)	FOR	FOR007_Chimaera_E_V2	D	Space	Imperial Capital Ship - Flagship	10	30	4	8	R	7		Armor | Lucky 2 | Double Strike | Pay 3 build point -> Take 1 70/3/3 Imperial TIE Defender Subordinate with Shields 1, Stun 1, and " Pay 1 Force -> Intercept" and put it into the Space arena. Play only during your build step.	<s><l>Pay 3 build points to Spawn Imperial TIE Defender</l><f>/spawn Imperial TIE Defender;/player stat2 -3;/s pays 3BP to spawn an Imperial TIE Defender subordinate from Chimaera (E)</f></s>	REB
Darksaber (B)	FOR	FOR008_Darksaber_B	N	Equipment	Character - Lightsaber Weapon	2				R	8		Pay 3 Force -> Equip | Equipped Character gets Intimidation and "Upkeep: Put 1 mastery counter on a unit in any arena." | Equipped Bo-Katan Kryze or Sabine Wren also gets "Remove 1 mastery counter from a unit -> Deflect 1."		REB
Death Trooper Commander	FOR	FOR009_Death_Trooper_Commander	D	Character	Imperial Stormtrooper Bodyguard Officer	7	50	5	5	R	9		Each of your Stormtrooper gets Armor. | Each of your Subordinate with "Death Trooper in their names gets Accuracy 1. | Pay 3 build points -> Take 1 50/3/3 Veteran Death Troopers Subordinate with "Switch: Cunning / +10 Speed, Stun 1" and put it into the Ground or Character arena. Play only during your build step.	<s><l>Pay 3 build points to Spawn Veteran Death Troopers</l><f>/spawn Veteran Death Troopers;/player stat2 -3;/s Pays 3BP to spawn a Veteran Death Troopers subordinate from Death Trooper Commander</f></s>	REB
Elite TIE Defender	FOR	FOR010_Elite_TIE_Defender	D	Ground	Imperial Starfighter	6	70	5	4	R	10		Shields 1 | This unit can attack multi-arena units in the Space arena. | Discard 2 cards from your hand -> This unit gets +2 power, Critical Hit 1, Stun 1, and Overkill until end of turn.		REB
Emperor Palpatine (W)	FOR	FOR011_Emperor_Palpatine_W	D	Character	Imperial Dark Jedi Master - Sith Lord	6	20	2	6	R	11		Hidden Cost 2 | Whenever you would predict for one of your Dark Side units' Foresights or Forewarning, make 2 predictions instead. | Each of your units gets "Foresight: Gain 1 Force." | Pay 3 Force -> Persuade 3		REB
Emperor Palpatine (X)	FOR	FOR012_Emperor_Palpatine_X	D	Character	Imperial Dark Jedi Master - Sith Lord	6	30	4	5	R	12		Whenever your put 1 or more captivity or corruption counters on a unit, you may pay 1 Force. If you do draw a card. | Pay 3 Force -> Take 1 70/3/3 Royal Guard Subordinate with "Whenever this unit attacks, put 1 captivity or corruption counter on the defending unit." and put it into the Ground or Character arena. Play only during your build step. | Pay 1 Force -> Redirect	<s><l>Pay 3 Force to Spawn Royal Guard</l><f>/spawn Royal Guard;/player stat1 -3;/s pays 3 Force to spawn Royal Guard using Emperor Palpatine (X)</f></s>	REB
EXD-9 (A)	FOR	FOR013_EXD_9_A	D	Character	Imperial Spy Droid	7	60	6	6	R	13		Critical Hit 2 | Armor | Whenever EXD-9 attacks, you may look at a card in your opponent's hand. You may then discard a card from your hand. If you do, discard your opponent's revealed card.		REB
Ezra Bridger (F)	FOR	FOR014_Ezra_Bridger_F	L	Character	Lothal Rebel Jedi Padawan	8	50	6	6	R	14		Hidden Cost 7 | Each of your Lothal Rebels gets "Foresight: Gain 1 Force" and "Pay 1 Force -> Protect 1" | Pay 2 Force -> Absorb 2 | INSERT: Fortitude		REB
Ezra Bridger (G)	FOR	FOR015_Ezra_Bridger_G_V2	L	Character	Lothal Rebel Jedi Padawan	7	50	5	7	R	15		Riposte 1 | Each of your other Lothal units gets +1 power. | When the battle phase starts, you may choose and ability on another card in Ezra's stack if you do, Ezra gets the chosen ability until end of turn. | Pay 3 Force -> Evade 3		REB
Ezra Bridger's Ingenuity (A)	FOR	FOR016_Ezra_Bridger_s_Ingenuity_A	L	Equipment	Character - Trait	2				R	16		When you complete a Campaign, attach Ezra Bridger's Ingenuity to one of your Lothal Rebel Character and put up to 4 mastery counter on that Character. | Equipped Lothal Rebel gets "Pay 1 Force -> Deflect 1" and "Pay 1 Force -> Persuade 1." | Equipped Ezra Bridger also gets "Pay 4 Force -> Rearrange the cards in Ezra's Stack. Play only when no unit is attacking." and "Remove 1 mastery counter from Ezra -> Absorb 1."		REB
Ezra's Tower (B)	FOR	FOR017_Ezra_s_Tower_B	L	Ground	Lothal Rebel Fortification 	4	10	1	5	R	17		During your build step, you may remove this card from your hand from the game. If you do, take an Ezra Bridger unit card from outside the game, show it to your opponent, and put it into your hand. | Reserves: [Tap] -> Gain 2 Force.		REB
Frequency Zero	FOR	FOR018_Frequency_Zero	N	Battle						R	18		Pay X Force, where X is 11 or less -> Take a Creature unit card from your hand with printed build cost X and put it into tis arena untapped. Play only when the battle phase starts.		REB
