Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
501st Legion (A)	FOTR	501st_Legion_A	D	Ground	Imperial Clone Army	9.0	30.0	7.0	7.0	R	1.0		Hidden Cost 6 | 501st Legion gets Accuracy 1 when attacking a Jedi.		REP, CW, EP123	
Alderaan System	FOTR	Alderaan_System	L	Location	Space - Alderaan	3.0				R	2.0		When your build step starts, draw 1 card and gain +1 Force.		REP, CW, REB	
Anakin Skywalker (N)	FOTR	Anakin_Skywalker_N	L	Character	Jedi Knight	10.0	50.0	8.0	7.0	R	3.0		Lucky 2 | Pay 3 Force -> Evade 3 | Whenever Anakin would be damaged, prevent one of that damage if Obi-Wan Kenobi is in the Character arena.		REP, CW, EP123	
Arrest the Chancellor	FOTR	Arrest_the_Chancellor	L	Mission		4.0				R	4.0		Choose one of your opponent's untapped Characters in any arena or his or her build zone. Tap that Character and that Character doesn't untap during your opponent's next untap step.		REP, CW, EP123	
Bail's Speeder (A)	FOTR	Bails_Speeder_A	L	Ground	Diplomat Speeder	4.0	60.0	1.0	3.0	R	5.0		Pay 1 Force -> Prevent 1 damage to one of your Jedi in the Ground arena. You may play this ability only once per attack.		REP, CW, EP123	
Battle of the Heroes	FOTR	Battle_of_the_Heroes	N	Battle						R	6.0		Pay 4 Force-> Choose one of your Character units and one of your opponent's Character units with equal or greater build cost in the Character arena. Untap those units. Play only if both units are tapped and can be untapped.		REP, CW, EP123	
Buzz Droid Swarm	FOTR	Buzz_Droid_Swarm	D	Space	Separatist Trade Federation Droid	5.0	40.0	4.0	3.0	R	7.0		[tap] -> Do 4 damage to one of your opponent's Starfighters in the Space arena. This unit can't untap until the next turn ends. Play only when this unit would attack.		REP, CW, EP123	
Captured Temple	FOTR	Captured_Temple	D	Location	Character - Coruscant Jedi	3.0				R	8.0		Whenever your opponent deploys a Jedi Character, do 1 damage to that Character.		REP, CW, EP123	
Chancellor Palpatine (F)	FOTR	Chancellor_Palpatine_F	N	Character	Coruscant Diplomat	5.0	40.0	2.0	3.0	R	9.0		Whenever the cost of a Diplomat's activated ability is paid, roll a die. If the roll is a 5 or 6, disrupt that ability.		REP, CW, EP123	
Commander Thire (A)	FOTR	Commander_Thire_A	D	Character	Imperial Clone Officer	6.0	40.0	5.0	4.0	R	10.0		Each of your other Clone units gets Stun 1. When Thire attacks, look at the top card of your opponent's deck.		REP, CW, EP123	
Darth Sidious (H)	FOTR	Darth_Sidious_H	D	Character	Dark Jedi Master Sith Lord	11.0	60.0	7.0	7.0	R	11.0		Pay X Force -> Evade X | Pay 2 Force -> Retaliate 4 | Whenever damage from Sidious causes a Jedi to be discarded, untap Sidious.		REP, CW, EP123	
Darth Sidious (I)	FOTR	Darth_Sidious_I	D	Character	Dark Jedi Master Sith Lord	9.0	40.0	4.0	5.0	R	12.0		Pay 2 Force -> Evade 2 | [tap], Pay X Force -> Choose one of your opponent's Clone units with a total build cost equal to or less than X. Gain control of that unit until end of game. If your opponent has no Clone units in play, take a Clone unit card with a total build cost equal to or less than X from your hand and put it into its arena untapped. Sidious can't untap until the next turn ends.		REP, CW, REB, EP123	
Darth Vader (T)	FOTR	Darth_Vader_T	D	Character	Dark Jedi Knight - Sith Apprentice	8.0	50.0	7.0	7.0	R	13.0		Pay 2 Force -> Evade 2 | Pay 3 Force -> Retaliate 5		REP, CW, EP123	
DD-13 Medical Droid	FOTR	DD_13_Medical_Droid	D	Character	Imperial Medical Droid	3.0	20.0	1.0	3.0	R	14.0		Discard this unit from the Character arena -> Tap one of your Jedi or Sith Characters and remove all damage counters from this unit. Play only during your build step.		REP, CW, EP123	
Delta Squad (A)	FOTR	Delta_Squad_A	L	Ground	Republic Clone Squad	7.0	50.0	5.0	4.0	R	15.0		Accuracy 1 | Critical Hit 1		REP, CW	
Doing Their Job	FOTR	Doing_Their_Job	L	Battle						R	16.0		Discard one of your Clone units from any arena -> Prevent all damage to one of your other units in that arena.		REP, CW, EP123	
Eta-2 Squadron (A)	FOTR	Eta_2_Squadron_A	L	Space	Republic Jedi Squadron	6.0	60.0	5.0	4.0	R	17.0		When the Space battle step starts, remove all damage counters from this unit.		REP, CW	
Exile	FOTR	Exile	D	Mission		4.0				R	18.0		To complete Exile, pay X Force. At the start of the Character battle step, choose one of your opponent's Jedi in the Character arena with a total build cost equal to or less than X. Your opponent retreats that unit.		REP, CW, REB, EP123	
General Grievous (A)	FOTR	General_Grievous_A	D	Character	Separatist Cyborg Officer	9.0	60.0	7.0	6.0	R	19.0		Treat Grievous as a Dark Jedi Droid. | Parry 1 | Pay 2 Force -> Evade 2 | As long as Grievous is attacking a Jedi, he gets Accuracy 1.		REP, CW, EP123	
General Grievous (B)	FOTR	General_Grievous_B	D	Character	Separatist Cyborg Officer	6.0	50.0	6.0	4.0	R	20.0		Treat Grievous as a Dark Jedi. | Armor | Pay 3 Force -> Evade 2 | Bounty: Gain control of all Equipment detached from the discarded Character when it was discarded and attach it to Grievous without paying the equip cost. When that Equipment is detached from Grievous, return it to its owner's build zone. The owner gains control of that Equipment.		REP, CW, EP123	
Grievous's Starfighter (A)	FOTR	Grievouss_Starfighter_A	D	Space	Separatist Starfighter	5.0	60.0	3.0	3.0	R	21.0		Accuracy 1 | Critical Hit 1		REP, CW, EP123	
Grievous's Wheelbike (A)	FOTR	Grievouss_Wheelbike_A	D	Ground	Separatist Vehicle	5.0	70.0	4.0	3.0	R	22.0		Critical Hit 2 | Pay 2 Force -> Retreat one of your Separatist Characters from the Character arena. Play only when no unit is attacking.		REP, CW, EP123	
Invisible Hand (A)	FOTR	Invisible_Hand_A	D	Space	Separatist Capital Ship	9.0	30.0	7.0	6.0	R	23.0		Each of your Droid Starfighters costs one less build counter to deploy. | The Invisible Hand gets Critical Hit 2 when attacking a Capital Ship.		REP, CW, EP123	
