Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Being the Race	GPC	GPC001_Begin_the_Race	N	Event						R	1		When the battle phase starts, each player rolls a die. If it is a tie, each player rerolls until a player rolls higher. The player who rolls higher may give one of their units Velocity 10 until end of turn. That unit also wins ties for speeder until end of turn | Each unit with a Pilot in the Ground arena gets +1 speed and +1 health.		REP
Championship Podracer	GPC	GPC002_Championship_Podracer	N	Ground	Naboo Aquatic Podracer Entertainer Speeder	4	80	3	3	R	2		Velocity 40 | When you deploy this unit, if a Champion Racer isn't in player, take 1 60/2/2 Champion Racer Subordinate with "[Pilot] Speeder Pilot. The Speeder gets *Velocity 45" and put it on this unit as a Pilot. | Pay 1 Force -> Evade 2	<s><l>Spawn Champion Racer</l><f>/spawn Champion Racer;/s spawns a Champion Racer subordinate because they deployed a Championship Podracer and no Champion Racer is in play. They must now put it onto the deployed Championship Podracer as a pilot.</f></s>	REP
Clegg Holdfast (A)	GPC	GPC003_Clegg_Holdfast_A	N	Character	Nosaurian Podracer Entetainer - Journalist	4	50	3	4	R	3		[Pilot] Speeder Pilot. The Speeder gets: *Velocity 35 *Choose up to 2 different Speeder Pilots other than Clegg in this arena -> This unit gets 1 Pilot ability from each Pilot chosen this way until end of turn. *Remove 1 counter from your Resource -> Absorb 1		REP
Dud Bolt (A)	GPC	GPC004_Dud_Bolt_A	N	Character	Vulptereen Podracer Entertainer - Assassin	4	40	4	3	R	4		[Pilot] Speeder Pilot. The Speeder gets: *Velocity 40 *Tap Dud Bolt -> Tap 1 Pilot and do 1 damage each to that Pilot and Dud Bolt. *[Tap] -> Put 2 damage counters on a unit in this arena. Play only when this unit would attack.		REP
Ebe E. Endocott (A)	GPC	GPC005_Ebe_E_Endocott_A	N	Character	Triffian Podracer Entertainer	4	50	3	3	R	5		[Pilot] Speeder Pilot. The Speeder gets: *Velocity 30 *Intimidation *Treat this unit as unique, and if there is a Location in this arena, this unit gets "Bounty: Add 3 counters to your Resource."		REP
Galactic Podracing Circuit	GPC	GPC006_Galactic_Podracing_Circuit	N	Resource		3				R	6		Add 3 counters -> Take 1 60/1/2 Racing Cam Droid Subordinate with "Your opponent plays with their hand revealed." and put it into its arena. Play only during your build step. | Remove 3 counters -> Search your deck for a Podracer unit card or a non-unit card with "Podracer" in its game text, reveal it, and put it into your build zone with 1 build counter on it. Shuffle your deck. Play only during your build step.	<s><l>Add 3 counters to spawn a Racing Cam Droid</l><f>/spawn Racing Cam Droid;/ccyellow+3;/s adds 3 counters to Galactic Podracing Circuit to spawn a Racing Cam Droid subordinate.</f></s>	REP
Galactic Podracing Trails	GPC	GPC007_Galactic_Podracing_Trials	N	Mission - Campaign		2				R	7		When a Podracer Location that has been in an arena for at least 1 previous turn is replaced, if 2 or more Podracers are in any arena, put that Location face-up beneath this Campaign. | This Campaign gets the game text of up to 2 Locations with different names face-up beneath it.		REP
Malastare Racetrack	GPC	GPC008_Malastare_Racetrack	N	Location	Ground - Malastare Crime Gang Podracer Entertainer Track	2				R	8		When the battle phase starts, choose either Critical Hit 1, Parry 1, or Riposte 1. Each of your Podracers gets the chosen ability until end of turn. You may choose another of those abilities. | Each of your Podracers with a Pilot gets the second chosen ability until end of turn.		REP
Mon Gazza Racetrack	GPC	GPC009_Mon_Gazza_Racetrack	N	Location	Ground - Mon Gazza Podracer Entertainer Track	2				R	9		Each of your Podracers gets Accuracy 1 | Each of your Podracers with a Pilot also gets Precision.		REP
Podracer Piloting	GPC	GPC010_Podracer_Piloting	N	Equipment	Ground/Character - Skill	2				R	10		Pay 1 build point, 1 Force -> Equip | Equipped Podracer gets "Whenever this unit taps, you may draw a card." | Equipped Podracer with a Podracer Pilot also gets the Character card type and "Discard a card from your hand -> Deflect 1. Play only once per turn."		REP
