Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Abeloth (B)	HWN	HWN01_Abeloth_B	D	Character	Force Sensitive Master	13	40	8	8	R	1		Alternative Cost: Pay 13 Force. Abeloth has all Force-activated abilities of all other units in any arena. Consume		
Astromech Reanimation Initiative	HWN	HWN02_Astromech_Reanimation_Initiative	N	Mission - Campaign		2				R	2		When you complete this Campaign, choose one: Draw 2 cards. Or: Return a Droid  card from your discard pile to your hand.  When your build step starts each turn, if a Droid was discarded last turn, and you  haven't put a Subordinate into play this turn, you may pay X build points. If you do,  take 1 Astromech Droid Subordinate with printed power X and put it into its arena.		
Brendok Coven (A)	HWN	HWN03_Brendok_Coven_A	N	Ground/Character	Brendok Force Sensitive Squad	8	40	6	6	R	3		Deploy: Take 1 40/2/2 Brendok Witch Subordinate  with "Cunning" and put it into this arena. Foresight: Gain Brendok Coven's Deploy effect. Stealth Each of your Force Sensitives gets Focus 2. Pay 2 Force -> Absorb 2		
Blood Loss	HWN	HWN04_Blood_Loss	N	Equipment	Ground/Character - Trait	2				R	4		When X or more damage counters are put on one of your opponent's non-Droid Squads or Characters, attach this Trait to that unit. Equipped unit loses Accuracy and Focus, and gets Backfire 3 and Resilience -X (where X was the number of counters that triggered this Trait's attachment).		
Bloodstained Helmet	HWN	HWN05_Bloodstained_Helmet	N	Equipment	Ground/Character - Armor Defense	2				R	5		When one of your units in the Ground or Character arena is discarded, attach this Equipment to one of your other units in the same arena. Equipped Ground unit or Character gets "When this unit attacks, you may give it +2 power for that attack. If you do, it does 2 dice of damage to itself when the attack ends." and Resilience X, where X is the number of damage counters on the equipped unit.		
Burned Alive	HWN	HWN06_Burned_Alive	N	Mission - Trap		1				R	6		When one of your units damages or causes damage counters to be put on one of your opponent's units in an arena where you have a Location, and your opponent's unit isn't discarded as a result, your opponent loses X Force, where X is the number of damage counters on that unit.		
Dark Crucible	HWN	HWN07_Dark_Crucible	D	Mission - Trap		X				R	7		When damage from a Jedi causes a unit to be discarded, choose X from this list: Put 3 corruption counters on that Jedi. Or: You gain 3 Force. Or: Your opponent loses 3 Force.		
Darth Nihilus (D)	HWN	HWN08_Darth_Nihilus_D	D	Character	Dark Jedi Master - Triumvirate Sith Lord	10	40	6	6	R	8		Consume Whenever your opponent uses a Force-activated ability, you gain 1 Force. As long as your Force total is 20 or more, Nihilus gets Fury 6, Intimidation, and "Pay 0 Force -> Evade 1." Pay 2 Force -> Evade 2		
Darth Sion (D)	HWN	HWN09_Darth_Sion_D	D	Character	Dark Jedi Apprentice - Triumvirate Sith Lord	5	50	5	4	R	9		When the Character battle step ends, if you have a Dark Side Location in any arena, remove all damage counters from Sion.  Pay 1 Force -> Absorb 1		
Deathtrooper	HWN	HWN10_Deathtrooper	N	Character	Undead Stormtrooper	4	30	2	3	R	10		As long as Vector is in any arena, if this unit  would be discarded from the Character arena,  retreat it and remove all damage counters  from it instead. Pay 1 Force -> Retaliate 2		
Fortress Vader	HWN	HWN11_Fortress_Vader	D	Location	Character - Mustafar Fortification	2				R	11		Each Character other than Darth Vader gets "When your build step starts, you may pay 1 Force. If you don't, do 1 damage to this unit."		
General Grievous (P)	HWN	HWN12_General_Grievous_P	D	Character	Separatist Cyborg Officer	8	50	6	6	R	12		Treat Grievous as a Dark Jedi Droid. Hidden Cost 5 Deploy: Each of your opponent's Force-activated abilities costs 1 more Force to play until end of turn. Armor Grievous gets Accuracy 2 when attacking a Jedi.		
Gethzerion (A)	HWN	HWN13_Gethzerion_A	D	Character	Force Sensitive Master - Nightsister	7	50	6	6	R	13		Each of your Nightsisters gets Cunning. Whenever your opponent prevents more damage to one of their defending units than one of your attacking units with Cunning would have dealt for its attack, draw a card and gain 1 Force. Pay 2 Force -> Evade 2		
Ghostling	HWN	HWN14_Ghostling	L	Character	Ghostling Force Sensitive Child	3	30	1	3	R	14		Upkeep: Remove 1 corruption or captivity counter from one of your units. Reserves: Tap -> Choose one: Gain 1 Force. Or: One of your Children or Padawans gets Lucky 2 until end of turn.		
Grand Inquisitor (F)	HWN	HWN15_Grand_Inquisitor_F	D	Character	Pau’Un Imperial Dark Jedi Inquisitor	6	50	5	5	R	15		Each of your opponent's Children and Urchins gets -1 health, and each of your Children and Urchins gets the Dark Jedi Inquisitor subtype. Pay 1 Force -> Take a Child or Urchin card from any player's discard pile and it put into your hand. Pay 2 Force -> Evade 2		
Great Mothers (A)	HWN	HWN16_Great_Mothers_A	N	Ground/Character	Force Sensitive Master Nightsister Squad	9	30	6	9	R	16		Each of your Nightsisters gets "Foresight: Gain 1  Force." and "Forewarning: Gain 1 Force." Pay X Force, up to 3 -> X Force Sensitive units get  the Nightsister subtype until end of game. Pay X Force, up to 3 -> Absorb X Pay X Force, up to 3 -> Protect X		
Hallowe'en	HWN	HWN17_Hallowe_en	N	Event						R	17		Whenever a Location or Equipment card is completed, each player gains 1 Force. The first time per arena per turn an Equipment is attached in that arena, each player chooses a unit in that arena to get +1 power and "Bounty: Draw a card." until end of turn.		
Hragscythe	HWN	HWN18_Hragscythe	N	Ground	Hragscythe Dragon Onderon Tropical Creature	12	30	9	9	R	18		Alternative Cost: Discard 3 of your Characters with combined total build cost 12 or more. Adapt: Armor/Barrage 9/Overkill Consume Pay 3 Force -> This turn, choose 3 abilities for this unit's Adapt. Play only when its Adapt triggers.		
Lupal System	HWN	HWN19_Lupal_System	D	Location	Space - Star System	2				R	19		Each Creature gets Fury 3 and "Treat this unit as a Dark Side unit."		
Malachor V	HWN	HWN20_Malachor_V	D	Location	Ground - Malachor Landscape	0				R	20		To complete Malachor V, you must also discard a unit card from your hand. Whenever a unit is discarded during any arena's battle step, each player loses 1 Force. Each Force Sensitive, Jedi and Sith gets "Bounty: put 1 corruption counter on this unit."		
Nihilus's Ravager (C)	HWN	HWN21_Nihilus_s_Ravager_C	D	Space	Dark Jedi Triumvirate Sith Capital Ship - Flagship	6	20	6	6	R	21		Alternative Cost: Remove two Capital Ship unit cards from your discard pile from the game. INSERT: When your build step starts, if Darth Nihilus is in any arena, return a Space unit card from your discard pile to your hand.		
Queen of Ktath'atn  (B)	HWN	HWN22_Queen_of_Ktath_atn_B	N	Character	Force Sensitive Ktath’Atn Queen	7	50	6	6	R	22		Bounty: If the discarded unit was a Jedi, gain  4 Force. Consume Pay 2 Force -> Persuade 2		
Red Harvest	HWN	HWN23_Red_Harvest	D	Battle						R	23		Pay 4 Force -> Each unit with at least 1 corruption counter on it and each unit with  "Death", "Undead", or "Zombie" in their names gets Ferocity and Fury 2 until end of turn.  Pay 4 Force -> Meditate, and put 1 corruption counter on any unit.		
Shrii-Ka-Rai	HWN	HWN24_Shrii_Ka_Rai	N	Ground/Character	Creature	7	40	6	6	R	24		Bounty: Your opponent loses 2 Force. Stealth Each unit gets Backfire 2 when attacking this unit. Whenever this unit attacks a Force Sensitive,  Jedi, or Sith, the defending unit loses its game text for that attack.		
Starweird	HWN	HWN25_Starweird	N	Space/Character	Force-Sensitive Creature	6	40	3	5	R	25		Switch: Pay 2 Force -> Evade 2/+10 speed Stun 4 This unit gets Ferocity when attacking a  Force-Sensitive. When this unit's attacks ends, if the defending unit has less than 1 power, retreat that unit.		
Terror from Beyond	HWN	HWN26_Terror_from_Beyond	N	Resource		12				R	26		When the first turn starts, add 6 counters to this Resource and take 1 10/*/* Lotek'k Subordinate and put it into any arena. Add 2 counters -> Choose one: Consume; Ferocity; Fury 2; Surge 2; Intimidation; Overkill. Lotek'k gets the chosen ability until end of game. Play only during your build step.		
Undead Rancor	HWN	HWN27_Undead_Rancor	N	Ground	Mutant Undead Rancor Creature	11	20	9	9	R	27		Upkeep: Put 1 corruption counter on this unit. Fury X, where X is the number of corruption counters on this unit. Resilience Y, where Y is the number of damage counters on this unit. Barrage Z, where Z is the number of units with "Death", "Undead", or "Zombie" in their names  in any arena.  Pay 13 Force -> Meditate 		
Varroa (A)	HWN	HWN28_Varroa_A	N	Character	Ktath’Atn Priest Slave	4	30	3	3	R	28		When one of your units with Consume attacks,  you may pay 2 Force. If you do, put the top  card of your opponent's deck face down  beneath the attacking unit. Play only once  per turn.		
Vector (A)	HWN	HWN29_Vector_A	N	Space	Imperial Capital Ship	5	10	0	6	R	29		Deploy: Take 3 10/2/2 Zombie Subordinates and put them into the Ground or Character arena. Vector doesn't count towards controlling this arena. When a non-Subordinate Ground or Character unit is discarded, the owner of that unit takes 1 10/2/2  Zombie Subordinate and puts it into the Ground or Character arena.		
Vespinax (A)	HWN	HWN30_Vespinax_A	N	Character	Ktath’Atn Slave	5	50	4	4	R	30		Whenever another Character uses a  Force-activated ability, put 1 corruption counter  on Vespinax or Queen of Ktath'atn. Put 1 damage counter and remove X corruption  counters from one of your Ktath'atn units ->  Gain X Force.		
Yuuzhan Vong Slayer Assassin	HWN	HWN31_Yuuzhan_Vong_Slayer_Assassin	Y	Character	Yuuzhan Vong Assassin - Warrior Priest	4	30	4	3	R	31		Treat this unit as Force Sensitive. Alternative Cost: Remove 4 counters from one of your Campaigns or Resources. Adapt: Cunning, Stealth/Ferocity, Precision Adapt: +30 speed/Armor		
Brendok Witch	HWN	HWNsub_Brendok_Witch	N	Subordinate	Ground/Character - Brendok Force Sensitive		40	2	2	S			 Cunning "Go." —Mother Aniseya 		
C1-MNST4 (A)	HWN	HWNsub_C1_MNST4_A	N	Subordinate	Ground - Mutant Astromech Droid		10	1	3	S			 Tap -> One of your units gets Overkill for this attack.		
