Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Jar Jar Binks (D)	ION	000-jarjarbinksd	L	Character	Gungan Officer	6	30	3	4	R	0		Accuracy -1 | Lucky 2 | At the start of the battle step you may choose one of your opponent's Droids Characters. If you do, Jar Jar may tap and attack it with +5 power. | Discard one of your other Gungans -> Tap one of your opponent's Ground units and put 2 damage counters on it.		REP, CW
Accelerate Our Plans	ION	001-accelerateourplans	D	Battle						R	1		Pay X Force -> Choose a partially built Trade Federation Character card in your build zone with a remaining build cost equal to X and put it face up in its arena untapped.		REP, CW
Activate the Droids	ION	002-activatethedroids	D	Mission		3				R	2		To complete Activate the Droids, you must also tap one of your untapped Trade Federation Diplomats in the Character arena. | Search your deck and/or discard pile for up to 3 Trade Federation Droids, show them to your opponent, and put them into your hand. Shuffle your deck.		REP, CW
Anakin's N-1 Starfighter (A)	ION	003-anakinsn1starfightera	L	Space	Naboo Starfighter	4	60	2	3	R	3	This effect replaces the number of dice rolled for an attack, setting it to one. | If the 1-die attack results in a hit, that damage may still be prevented. | If the damage is prevented, its ability has no effect. | Accuracy, Armor, and Lucky can affect the roll, and the roll still determines Critical Hit and Parry. | Because it is an attack, players may still apply Retaliate and Overkill to this 1-die attack. | Since the effect overrides the attacking unit's power, Shields has no effect on the 1-die attack roll. | Vader's TIE Figher (C) retreats instead if Darth Vader is in any arena.	Shields 1 | Pay 4 Force -> For this attack, roll only 1 of your dice instead of a number of dice equal to this unit's power. If you roll a 1, 2, or 3, nothing happens. If you roll a 4, 5, or 6, discard the defending unit. Play only if Anakin's N-1 Starfighter is attacking.		REP
Art of the Sith	ION	004-artofthesith	D	Mission		3				R	4		To complete Art of the Sith, you must also tap an untapped Sith in any arena. | Your opponent's units in that Sith's arena can't attack until end of turn.		REP, CW
Automatic Pilot	ION	005-automaticpilot	N	Equipment	Space/Ground	1				R	5		You may attach Automatic Pilot to one of your opponent's Ground or Space units. | Pay 2 build points -> Equip | Equipped Ground or Space unit gets "Pay 5 Force -> Detach an Automatic Pilot Equipment from this unit. Play only at the end of the battle phase." and loses all other abilities except Upkeep.		REP, CW
Blockaded Naboo	ION	006-blockadednaboo	N	Location	Space - Naboo	3				R	6	RESTRICTED in Vintage (to 1 copy per deck)	When the Space battle step starts, choose one of your opponent's Space units. Your opponent returns that unit to his or her hand unless he or she pays 2 Force.		VR, REP
Bogged Down in Procedures	ION	007-boggeddowninprocedures	D	Battle						R	7	If no roll for build points is made, Bogged Down in Procedures has no effect.	Pay 5 Force -> When the roll for build points is made next turn, your opponent gets -X build points, where X is equal to the number of Diplomats you have in the Character arena. Play only if you control an arena and only when the battle phase ends.		REP
Boss Nass (B)	ION	008-bossnassb	N	Character	Gungan Diplomat	5	40	4	4	R	8		Each of your Gungans with health higher than its power gets +1 health. | Each of your other Gungans in the Character arena gets "Pay 1 Force -> Intercept."		REP, CW
Bravo One (A)	ION	009-bravoonea	L	Space	Naboo Starfighter	4	60	3	3	R	9		Accuracy 1 | Pay 1 Force -> The attacking Naboo Starfighter gets +X power for this attack, where X is equal to the number of Naboo Starfighters in the Space arena. Play only once per turn.		REP, CW
