Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Yoda (M)	JEDI	JEDI000_Yoda_M	L	Character	Jedi Master	7	30	5	5	R	0		+2 power and +2 health, each of your Jedi Padawans gets. | "1 Force pay -> Deflect 1," each of your Jedi Knights gets. | Remove this card from your hand from the game you may. If remove it you do, 2 build counters on one of your partially built Jedi unit cards put. | 3 Force pay -> Evade 3		REP
Army of Light (A)	JEDI	JEDI001_Army_of_Light_A	L	Space/Ground/Character	Old Republic Jedi Army	11	30	9	9	R	1		Switch: Shields 1/Overkill/Accuracy 1 | Hidden Cost 7 | Whenever you deploy a Jedi, you may remove 1 damage counter from Army of Light. | Pay 3 Force -> Evade 2		TOR
Chu'unthor	JEDI	JEDI002_Chu_unthor_A	L	Space	Jedi Capital Ship	9	20	7	7	R	2		Armor | Each of your Jedi's activated abilities cost 1 less Force to play. Abilities that cost 1 or more Force can't cost less than 1 Force.		
Counter	JEDI	JEDI003_Counter	N	Battle						R	3		Pay 4 Force, discard a card from your hand -> Choose one: Disrupt an activated ability. Or: Disrupt an attack.		REB, EP456
Galen Marek (A)	JEDI	JEDI004_Galen_Marek_A	N	Character	Dark Jedi Assassin	6	60	5	5	R	4		When the Dark Side build step starts, if Galen is in any arena or build zone, the player with the highest Force total takes control of Galen. (This ability works while Galen is retreated.) | Damage from Galen can't be prevented | Pay 2 Force -> Evade 2		REB
Ganner Rhysode (A)	JEDI	JEDI005_Ganner_Rhysode_A	L	Character	New Republic Jedi Knight	8	70	5	5	R	5		Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept | Pay 4 Force -> Untap Ganner. Play any number of times this turn, but only when Ganner is being attacked.		NEW
Jade Shadow (A)	JEDI	JEDI006_Jade_Shadow_A	L	Space	Galactic Alliance Jedi Transport	6	50	5	4	R	6		When the Space battle step starts, you may pay 6 force. If you do, put this card from your hand into the Space arena. Play only if the Jade Shadow is not in any arena or build zone and only if you have a unit in the Character arena. | Units damaged by Jade Shadow can't retreat | Pay 3 Force -> Deflect 1		NEW, LEG
Jaina Solo (A)	JEDI	JEDI007_Jaina_Solo_A	L	Character	New Republic Jedi Knight	5	50	4	4	R	7		Pay 2 Force ->Evade 2 | Starfighter Pilot. The Starfighter gets: -+1 power. -Lucky 1 -Whenever this unit is attacked, the attacking unit loses its game text for this attack.		NEW
Jaina's X-wing (A)	JEDI	JEDI008_Jaina_s_X_wing_A	L	Space	New Republic Jedi Starfighter	5	60	3	3	R	8		Critical Hit 2 | As long as Jaina Solo is piloting Jaina's X-wing, whenever it attacks, the defending unit loses its game text for this attack. | Pay 1 Force -> Evade 1		NEW
Jedi Council (A)	JEDI	JEDI009_Jedi_Council_A	L	Ground	Jedi Master Squad - Council Member	6	30	5	5	R	9		Pay 2 Force -> Evade 2 | Reserves: [Tap] -> Reveal the top 4 cards of your deck. Put each revealed Jedi card into your hand. Put the rest on the bottom of your deck in any order. Play only during your build step.		REP, CW
Jedi Council Assignment	JEDI	JEDI010_Jedi_Council_Assignment	L	Mission		2				R	10		Choose one of your Jedi in any arena. When the battle phase ends, if the chosen Jedi is still in its arena, you may draw any number of cards and gain any amount of Force up to a combined total of 4.		REP, CW
Jedi Council Chamber	JEDI	JEDI011_Jedi_Council_Chamber	L	Location	Character - Coruscant Jedi Facility	2				R	11		When the Character battle step starts, gain 2 Force.		REP
Jedi Covenant (A)	JEDI	JEDI012_Jedi_Covenant_A	L	Ground/Character	Independent Jedi Squad	9	40	6	6	R	12		Jedi Covenant gets Critical Hit 3 when attacking a Dark Side unit. | Each of your opponent's Dark Side units get -1 power when attacking Jedi Covenant. | Pay 2 Force -> Evade 2		TOR
Jedi Mind Trick	JEDI	JEDI013_Jedi_Mind_Trick	N	Equipment	Character -Skill	2				R	13		Pay 1 build point, 1 Force -> Equip | Equipped Jedi or Sith gets "Pay 3 Force -> Disrupt an activated ability unless your opponent pays 2 Force." | Equipped Jedi Master or Sith Lord also gets "[Tap], pay 1 build point -> Tap a unit unless your opponent pays 3 Force. Play only during your build step."		REB, EP456
Kyp Durron (A)	JEDI	JEDI014_Kyp_Durron_A	L	Character	Independent Jedi Master	10	50	7	8	R	14		Fury 3 | Whenever Kyp attacks and damages another unit, you may remove 1 damage counter from Kyp. | Pay 2 Force -> Evade 3		NEW
Kyp Durron's Lightsaber (A)	JEDI	JEDI015_Kyp_Durron_s_Lightsaber_A	L	Equipment	Character - Lightsaber Weapon	2				R	15		Pay 1 build point, 2 Force -> Equip | Equipped Jedi gets +1 power and Overkill. | Equipped Kyp Durron also gets Stun 4 and "Detach a Lightsaber Weapon from Kyp -> Kyp does 2 damage to one of your opponent's units in the Ground or Character arena. Play only when no unit is attacking."		NEW
Lord Hoth (A)	JEDI	JEDI016_Lord_Hoth_A	L	Character	Old Republic Jedi Master	9	40	7	5	R	16		Armor | Whenever you deploy a Jedi, gain 1 Force and draw a card. | Whenever one of your Jedi units is discarded from any arena, lose 1 Force. | Pay 2 Force -> Evade 2		TOR
Lord Hoth's Lightsaber (A)	JEDI	JEDI017_Lord_Hoth_s_Lightsaber_A	L	Equipment	Character - Lightsaber Weapon	2				R	17		Pay 2 Force -> Equip | Equipped Jedi gets +1 power and +1 health. | Equipped Lord Hoth also gets "Lord Hoth gets Fury 3 as long as he is attacking a Dark Side unit."		TOR
Luke Skywalker (U)	JEDI	JEDI018_Luke_Skywalker_U	L	Character	Jedi Master - Council Member	13	50	9	8	R	18		Each of your other Jedi gets "Foresight: Remove 1 damage counter from this unit." | Pay 2 Force -> Luke gets +2 power and Stun 3 for this attack. | Pay 4 Force -> Deflect 2 | Pay 2 Force -> Evade 3.		NEW, LEG
Mara Jade Skywalker (D)	JEDI	JEDI019_Mara_Jade_Skywalker_D	L	Character	New Republic Jedi Master	7	50	5	5	R	19		Pay 2 Force -> Evade 2 | Pay 3 Force -> Prevent up to 2 damage to Ben Skywalker or Luke Skywalker. | Pay 5 Force -> Untap Mara. Play only when no unit is attacking.		NEW, LEG
Mara Jade Skywalker's Lightsaber	JEDI	JEDI020_Mara_Jade_Skywalker_s_Lightsaber_A	N	Equipment	Character - Lightsaber Weapon	2				R	20		Pay 1 build, discard 1 card from your hand -> Equip | Equipped Jedi or Sith gets +1 power, +1 health and "Pay 2 Force -> Deflect 1." | Equipped Mara Jade or Mara Jade Skywalker also gets "Each of Mara Jade's activated abilities costs 1 less Force to play. Abilities that cost 1 or more Force can't cost less than 1 Force."		NEW, LEG
Revan (A)	JEDI	JEDI021_Revan_A	L	Character	Old Republic Jedi Knight	10	60	8	6	R	21		Whenever damage from Revan would cause a Jedi or Sith Character to be discarded, roll a die. If you roll a 5 or 6, prevent that damage and gain control of that Character until it is discarded. When the next turn ends, discard that Character. | Pay X Force -> Evade X+1		TOR
Satele Shan (A)	JEDI	JEDI022_Satele_Shan_A	L	Ground/Character	Old Republic Jedi Knight	9	50	6	6	U	22		Switch: Overkill/+1 power, Accuracy 1| Satele gets Parry 1  when being attacked by a Dark Side unit. | Pay 2 Force -> Evade 2.		TOR
Solo Twins (A)	JEDI	JEDI023_Solo_Twins_A	L	Ground	New Republic Jedi Padawan Squad	6	50	4	4	R	23		Stack: Jacen Solo and Jaina Solo | Lucky 1 | As long as Jacen Solo is stacked beneath Solo Twins, it gets Parry 2. | As long as Jaina Solo is stacked beneath Solo Twins, it gets Critical Hit 2.		NEW, LEG
The Jedi Code	JEDI	JEDI024_The_Jedi_Code	L	Resource		4				R	24		When your build step starts, if you have a Jedi Master in any arena or build zone, add 2 counters to this Resource. | Remove 1 counter -> Choose one of your Jedi. The chosen Jedi's activated abilities that cost 2 or more Force now cost 1 less Force to play until end of turn. | Remove 6 counters -> Gain X Force, where X is the number of Jedi you have in any arena or build zone.		TOR, REP, CW, REB, NEW, LEG
Yoda's Wisdom	JEDI	JEDI025_Yoda_s_Wisdom	L	Battle						R	25		Pay 3 Force -> Remove up to 2 damage counters from one of your units. Then draw a card.		REB, EP456
Army of Light (B)	JEDI	JEDI026_Army_of_Light_B	L	Ground	Old Republic Jedi Army	8	40	5	7	R	26		Armor | Stun 2 | Pay 3 Force -> Army of Light does 2 dice of damage to the attacking unit. Play only when Army of Light is being attacked by a Ground unit.		TOR
Bastila Shan (A)	JEDI	JEDI027_Bastila_Shan_A	L	Character	Old Republic Jedi Knight	7	50	4	6	U	27		[Tap], Pay 3 Force -> Each of your units gets +1 power until end of turn. Each of your opponent's units gets -1 power until end of turn. Bastila doesn't untap during your next untap step. Play only when no unit is attacking. | Pay 2 Force -> Evade 2		TOR
Dantooine Enclave	JEDI	JEDI028_Dantooine_Enclave	L	Location	Ground - Dantoonine Jedi Facility	2				U	28		Each of your opponent's units without Stealth gets -10 speed. | Each of your opponent's units get -1 power.		TOR
Double-Bladed Lightsaber	JEDI	JEDI029_Double_Bladed_Lightsaber	N	Equipment	Ground/Character - Lightsaber Weapon	1				U	29		Pay 2 Force -> Equip | Equipped unit may only have one Lightsaber Weapon attached to it. | Equipped Jedi or Sith gets +2 power and "Pay 1 Force -> Retaliate 3."		TOR
Family Legacy	JEDI	JEDI030_Family_Legacy	L	Battle						U	30		Pay X Force -> Prevent all damage to a Dark Side Character with printed build cost X and gain control of it. If it is tapped, untap it. When this turn ends, discard it. Play only if you have a unit with "Skywalker" in its name in the Character arena and only when that Dark Side Character would be discarded.		REB, EP456
I am a Jedi	JEDI	JEDI031_I_am_a_Jedi	L	Battle						U	31		Pay 3 Force -> One of your Jedi gets +X power for this attack, where X is the number of corruption counters on that Jedi. When the attack ends, discard a card from your hand and remove all corruption counters from that Jedi.		REB, EP456
Jacen Solo (A)	JEDI	JEDI032_Jacen_Solo_A	L	Character	Jedi Knight	7	50	4	6	U	33		Lucky 1 | As long as Jaina Solo is in the Character arena, Jacen gets Parry 1 and "Pay 1 Force -> Intercept" | Pay 2 Force -> Evade 2		NEW, LEG
Jaina Solo (B)	JEDI	JEDI033_Jaina_Solo_B	L	Character	Galactic Alliance Jedi Knight	7	50	6	4	R	33		Lucky 1 | As long as Jacen Solo is in the Character arena, Jaina gets Critical Hit 1 and Fury 1. | Pay 2 Force -> Evade 2		NEW, LEG
Jaina Solo's Lightsaber (A)	JEDI	JEDI034_Jaina_Solo_s_Lightsaber_A	L	Equipment	Character - Lightsaber Weapon	2				U	34		Pay 1 build point, discard a card from your hand -> Equip | Equipped Jedi gets Critical Hit 1 and Fury 1. | Equipped Jaina Solo also gets "Pay 2 Force -> Reroll any number of Jaina's attack dice."		NEW, LEG
