Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Adi Gallia (A)	JG	Adi_Gallia_A	L	Character	Jedi Master - Council Member	5	50	4	4	R	1		Pay 3 Force -> Evade 2 (Prevent up to 2 damage to this unit. ); [Pilot] Starfighter Pilot. the Starfighter gets : * +20 speed * +2 power * Pay 2 Force -> Evade 1 (Prevent up to 1 damage to this unit. )		WOTC, REP, CW
Anakin Skywalker (H)	JG	Anakin_Skywalker_H	L	Character	Jedi Padawan	7	60	5	5	R	2		Pay 1 Force -> Anakin gets +2 power for this attack. Pay 2 Force -> Evade 2 (Prevent up to 2 damage to this unit. ); Pay 1 Force -> Prevent up to 3 damage to Padme Amidala.		WOTC, REP, CW
Aurra Sing (B)	JG	Aurra_Sing_B	D	Character	Bounty Hunter	4	60	5	4	R	3		Treat Aurra as a Dark Jedi. When the Character battle step starts, your opponent may pay 4 Force. If your opponent does, retreat Aurra. Pay 2 Force -> Evade 2 (Prevent up to 2 damage to this unit. )		WOTC, REP, CW
Boba Fett (B)	JG	Boba_Fett_B	N	Character	Clone Boy	3	50	2	2	R	4		[Pilot] Patrol Ship Pilot. the Patrol Ship gets 'This Patrol Ship may attack a unit in the Character arena instead of a unit in the Space with 5 power, plus any other effects.'		WOTC, REP, CW
Coup de Grace	JG	Coup_de_Grace	N	Battle						U	5		Pay 8 Force -> Choose one of your opponent's units in any arena. Coup de Grace does damage to that unit equal to the number of damage counters on it.		WOTC, REP, CW
Dark Dreams	JG	Dark_Dreams	D	Battle						R	6	Text erratum | The cost you pay for the Battle card includes the bonuses and penalties you get for playing Battle cards at the time you play Dark Dreams. | If you copy a card that is based on a condition (like Artoo's Repairs), you can't use it unless the condition is met.	Pay the costs and meet the conditions (if any) of a Battle card your opponent has played this turn -> Get that card's effects. You may play this card anytime that card could be played.		WOTC, REP, CW
Darth Maul (E)	JG	Darth_Maul_E	D	Character	Dark Jedi - Sith Apprentice	7	60	6	5	R	7		Pay 1 Force -> Maul gets +20 speed until end of turn; Pay 2 Force -> Maul gets +3 power for this attack; Pay 3 Force -> Deflect 1 (Prevent 1 damage to this unit, and this unit may do that much damage to a unit of your choice in the same arena. You can play deflect only during a chance to prevent damage to this unit. A unit may have multiple instances of Deflect, but each may be played only once per attack); Pay 4 Force -> Evade 2 (Prevent up to 2 damage to this unit. )		WOTC, REP, CW
Darth Sidious (C)	JG	Darth_Sidious_C	D	Character	Dark Jedi - Sith Master	9	40	7	7	R	8	| Millennium Falcon (F)'s and Clone Captain's conditional damage prevention abilities still apply. |  Roll the attack dice without your opponent knowing what the result is until all effects have been applied. When the damage prevention POP (p.41) ends, reveal the die roll result. It is best simply to roll the dice after your opponent applies dice roll, pending damage, and prevention POP effects. Triggered effects (such as Fury) that are dependent upon what the dice show are only applied after you actually roll dice. The number of dice to reroll is chosen before knowing, but which dice to reroll are chosen after the dice are revealed.	Roll Sidious's attack dice secretly (Reroll damage prevention effects must also be applied randomly). Show them to your opponent after damage prevention. Pay 2 -> Evade 3 (Prevent up to 3 damage to this unit. )		WOTC, REP, CW
Darth Tyranus (F)	JG	Darth_Tyranus_F	D	Character	Dark Jedi Master - Sith Lord	10	50	7	7	R	9		Pay 2 Force -> Tyranus gets Critical Hit 2 (While attacking, this unit does 2 more damage if you roll at least one natural six. No matter how many dice come up as 6_s, the unit still does only 2 more damage. Critical Hit is cumulative) for this attack. Pay 3 Force -> Evade 3 (Prevent up to 3 damage to this unit). Reserves: Tap -> Choose a face-down card in your opponent's build zone. Remove up to 2 build counters from that card. Play only during battle.		WOTC, REP, CW
Eeth Koth (A)	JG	Eeth_Koth_A	L	Character	Zabrak Jedi Master - Council Member	7	40	5	6	R	10		When Eeth Koth attacks, predict the number of hits you'll roll for that attack. If you're correct, you gain 3 Force. Pay 2 Force -> Deflect 1 (Prevent 1 damage to this unit, and this unit may do that much damage to a unit of your choice in the same arena. You can play deflect only during a chance to prevent damage to this unit. A unit may have multiple instances of Deflect, but each may be played only once per attack). Pay 4 Force -> Evade 4 (Prevent up to 3 damage to this unit).		WOTC, REP, CW
Even Piell (A)	JG	Even_Piell_A	L	Character	Jedi Master - Council Member	6	50	4	4	R	11		Pay 2 Force -> One of your Jedi gets +2 power for this attack. You may play this ability any number of times during each attack. Pay 1 Force -> Evade 1 (Prevent up to 1 damage to this unit). Reserves: Tap -> You gain 1 Force. Play only during your build step.		WOTC, REP, CW
Furious Charge	JG	Furious_Charge	N	Battle						C	12		Pay 3 Force -> One of your units in any arena get Overkill (When this unit attacks, you may divide hits in excess of the defending unit_s health between that unit and one other unit in the same arena. Overkill damage can't be affected by static abilities like Armor, Parry, or Shields) for this attack. (Play only before you roll attack dice).		WOTC, REP, CW
Gather the Council	JG	Gather_the_Council	L	Mission		5				R	13		Search your deck. You may take any number of different Council Member cards from your deck, show them to your opponent, and put them into your hand. You gain Force equal to the number of cards you took. Then shuffle your deck.		WOTC, REP, CW
Guidance of the Chancellor	JG	Guidance_of_the_Chancellor	N	Mission		1				C	14		Look at your opponent's hand. Then choose a player. That player counts the cards in his or her hand, discards his or her hand, and draws that many cards.		WOTC, REP, CW
Homing Missile	JG	Homing_Missile	N	Mission		3				R	15	The IDC has ruled for online gameplay only that Homing Missile simply does 3 damage to the unit selected at the start of the battle phase, so the text in the plugin has an erratum.	When the battle phase starts, choose a unit in any arena or your opponent's build zone. Remove the card from its sleeve, if any, and drop Homing Missile from at least 30 centimeters above the playing area. If Homing Missile lands naturally so that it touches or overlaps the chosen unit, it does 3 damage to that unit.		WOTC, REP, CW
Jango Fett (G)	JG	Jango_Fett_G	D	Character	Bounty Hunter	8	60	6	5	R	16	Version erratum	Jango can attack Characters in your opponent's build zone.		WOTC, REP
Jedi Council Quorum	JG	Jedi_Council_Quorum	L	Mission		0				R	17	The Light Side can win because "at end of turn" triggered effects resolve before control of the arenas is checked. 	When this turn ends, if you have 7 or more Council Members in any arena or build zone, even if your opponent controls two arenas, you win the game.		WOTC, REP, CW
Jedi Youngling	JG	Jedi_Youngling	L	Character	Jedi Padawan Boy	2	40	2	1	R	18		Pay 1 Force -> Evade 1 (Prevent up to 1 damage to this unit). Reserves: Tap, Pay 1 build point -> You gain 2 Force. Play only during your build step.		WOTC, REP, CW
Ki-Adi-Mundi (A)	JG	Ki_Adi_Mundi_A	L	Character	Cerean Jedi Master - Council Member	6	40	4	5	R	19		Pay 2 -> Evade 2 (Prevent up to 2 damage to this unit). Reserves: Tap -> Choose an arena. Remove 1 damage counter from each of your unit in that arena. Play only when no unit is attacking.		WOTC, REP, CW
Kouhun	JG	Kouhun	D	Character	Insectoid Creature	2	40	1	1	R	20		Tap, Discard this unit from the Character arena -> Choose one of your opponent's units in the Character arena. This unit does 5 damage to that unit. Play only when this unit would attack.		WOTC, REP, CW
Mace Windu (D)	JG	Mace_Windu_D	L	Character	Jedi Master - Council Member	8	50	5	6	R	21		As long as Mace is in the Character arena, each of your other Jedi gets +1 power. Overkill (When this unit attacks, you may divide hits in excess of the defending unit_s health between that unit and one other unit in the same arena. Overkill damage can't be affected by static abilities like Armor, Parry, or Shields). Pay 3 Force -> Evade 3 (Prevent up to 3 damage to this unit. )		WOTC, REP, CW
Trade Federation Battle Freighter	JG	Trade_Federation_Battle_Freighter	D	Space	Trade Federation Capital Ship	8	10	7	7	C	22	That unit may only attack during the Ground battle step.	Discard this unit from the Space arena -> Show a face-down Trade Federation Fortification card in your build zone to your opponent. Put 5 build counters on that card. If there are enough build counters on it, you may finish building it (deploy it into the Ground arena). Play only when no unit is attacking.		WOTC, REP, CW
Obi-Wan Kenobi (I)	JG	Obi_Wan_Kenobi_I	L	Character	Jedi Knight	9	50	6	6	R	23		Obi-Wan gets +3 power as long as he's attacking a damaged Character. Pay 3 Force -> Deflect 1 (Prevent 1 damage to this unit, and this unit may do that much damage to a unit of your choice in the same arena. You can play deflect only during a chance to prevent damage to this unit. A unit may have multiple instances of Deflect, but each may be played only once per attack). Pay 3 Force -> Evade 4 (Prevent up to 3 damage to this unit).		WOTC, REP, CW
Obi-Wan's Starfighter (B)	JG	Obi_Wans_Starfighter_B	L	Space	Jedi Starfighter	4	60	3	3	R	24		Pay 2 Force -> This turn, Obi-Wan's Starfighter may attack a Space unit in your opponent's build zone. When it does, it gets +2 power for that attack. Pay 2 Force -> Evade 2 (Prevent up to 2 damage to this unit. )		WOTC, REP, CW
Oppo Rancisis (A)	JG	Oppo_Rancisis_A	L	Character	Jedi Master - Council Member	4	40	3	3	R	25		Pay 4 Force -> Choose an attacking Dark Side Character. That Character gets -4 power for this attack. Pay 1 Force -> Evade 2 (Prevent up to 2 damage to this unit).		WOTC, REP, CW
Padme Amidala (F)	JG	Padme_Amidala_F	L	Character	Naboo Diplomat	6	60	5	4	R	26		As long as Anakin Skywalker is in the Character arena, Padme gets Accuracy 1 (Add +1 to each of this unit_s attack dice. Accuracy is cumulative and its result is not considered 'natural'). As long as Padm_ is in the Character arena, Anakin Skywalker gets Accuracy 1 (Add +1 to each of this unit_s attack dice. Accuracy is cumulative and its result is not considered 'natural').		WOTC, REP, CW
Plo Koon (B)	JG	Plo_Koon_B	L	Character	Kel Dor Jedi Master - Council Member	6	50	5	5	R	27		Plo can attack Characters in your opponent's build zone. Pay 3 Force -> Evade 2 (Prevent up to 2 damage to this unit. )		WOTC, REP, CW
R2-D2 (E)	JG	R2_D2_E	L	Character	Astromech Droid	3	20	2	3	R	28		Reserves: Tap -> Prevent 1 damage to one your Space or Ground units.		WOTC, REP, CW
Remember the Prophecy	JG	Remember_the_Prophecy	N	Mission		1				R	29	Remember  the  Prophecy  targets  any  card  type  the  player  names, including Locations, Equipment, and Resource cards. The parenthetical is just reminder text that doesn't affect the operation of the card. 	Choose a player and a card type (Space, Ground, Character, Battle, Mission, Location, or Equipment). That player reveals the top 5 cards of his or her deck, puts all those cards of the chosen type into his or her hand, and discards the rest.		WOTC, REP, CW
Saesee Tiin (A)	JG	Saesee_Tiin_A	L	Character	Ikotchi Jedi Master - Council Member	7	30	5	6	R	30		Pay 2 Force -> Evade 2 (Prevent up to 2 damage to this unit. ); [Pilot] Capital Ship, Starfighter and Transport Pilot. the Space Unit gets: * +10 speed * +1 power * Pay 2 Force -> Evade 2 (Prevent up to 2 damage to this unit. )		WOTC, REP, CW
Senator Tikkes (A)	JG	Senator_Tikkes_A	D	Character	Quarren Diplomat	3	30	2	2	R	31		Reserves: Tap, Pay 1 build point -> Draw 2 cards, then discard 1 card from your hand. Play only during your build step (and only if Tikkes is in your build zone).		WOTC, REP, CW
