Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Dark Jedi Alliance	JK	JK001_Dark_Jedi_Alliance	D	Resource		5				R	1		Add 1 counter -> Your opponent loses 1 Force, and you may put 1 captivity counter or corruption counter on a unit in any arena. Play only during your build step. | Remove 5 counters -> Each of your Dark Jedi gets Accuracy 1 and Fury 2 until end of turn.		
Desann (A)	JK	JK002_Desann_A	D	Character	Chistori Reborn Imperial Dark Jedi Master	8	50	6	6	R	2		Upkeep: Gain 1 Force. | Critical Hit 1 | Overkill | Pay 3 Force -> Take 1 40/3/3 Shadowtrooper Subordinate with "Armor" and "Stealth" and put it into the Character arena. Play only during your build step. | Pay 2 Force -> Evade 2	<s><l>Pay 3 Force to spawn Shadowtrooper</l><f>/spawn Shadowtrooper;/player stat1 -3;/s pays 3 Force to spawn Shadowtrooper using Desann (A)</f></s>	
Disciples of Ragnos Cult	JK	JK003_Disciples_of_Ragnos_Cult_v2	D	Resource		5				R	3		Add 2 counters -> One of your Reborn gets Riposte 1 (if attacking unit rolls at one natural 2 against this unit, this unit does 1 damage to it when the attack ends.) until end of turn. | Remove 3 counters -> Take 1 Reborn Subordinate and put it into its arena. Play only during your build step. | Remove X+1 counters -> Search your deck or discard pile for a Reborn or Spirit unit card with printed build cost X and put it into its arena untapped. Shuffle your deck. Play only during your build step.	<s><l>Spawn Shadowtrooper</l><f>/spawn Shadowtrooper;/s spawns Shadowtrooper Subordinate using Disciples of Ragnos Cult by removing 3 counters from it</f></s><s><l>Spawn Sith Cultist</l><f>/spawn Sith Cultist;/s spawns Sith Cultist Subordinate using Disciples of Ragnos Cult by removing 3 counters from it</f></s><s><l>Spawn Reborn Assault Squad</l><f>/spawn Reborn Assault Squad;/s spawns Reborn Assault Squad Subordinate using Disciples of Ragnos Cult by removing 3 counters from it</f></s>    	
Holodisc	JK	JK004_Holodisc	N	Equipment	Character - Device	2				R	4		Pay 1 Force -> Equip | Equipped Character gets "Pay 1 Force -> Search your deck for an Equipment or Location card, show it to your opponent, and put it into your hand. Shuffle your deck." | Equipped Kyle Katarn also gets Inspiration.		
Jaden Korr (A)	JK	JK005_Jaden_Korr_A	L	Character	New Republic Jedi Knight 	7	60	5	5	R	5		Reduced Cost 6: If Kyle Katarn is in any arena. | Accuracy 1 | Critical Hit 1 | Area Damage 2 | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1		
Jan Ors (B)	JK	JK006_Jan_Ors_B	L	Character	New Republic Agent - Soldier	5	40	5	4	R	6		Accuracy 1 | As long as Kyle Katarn is in any arena, Jan gets Lucky 2. | Starfighter and Transport Pilot. The Starfighter or Transport gets:  -+20 speed  -Area Damage 4  -Bombard 3		
Jedi Academy Assembly	JK	JK007_Jedi_Academy_Assembly_v2	L	Resource		5				R	7		Add 1 counter -> Gain 1 Force, and you may remove 1 captivity or corruption counter from a unit in any arena. Play only during your build step. | Remove 3 counters -> Take 1 50/3/3 Jedi Acolyte Subordinate with "Parry 1" and "Pay 1 Force -> Retaliate 2" and put it into the Ground or Character arena. Play only during your build step. | Remove 5 counters -> Each of your Jedi gets Focus 2 and Parry 1 until end of turn.	<s><l>Spawn Jedi Acolyte</l><f>/spawn Jedi Acolyte;/s spawns Jedi Acolyte Subordinate using Jedi Academy Assembly by removing 3 counters from it</f></s> 	
Jedi Knight's Training	JK	JK008_Jedi_Knight_s_Training	L	Equipment	Ground/Character - Skill	1				R	8		Pay 1 Force -> Equip | Equipped Jedi gets Fortitude and "Foresight: Gain 2 Force." | Equipped Jedi Knight or Jedi Master also gets "Pay 3 Force -> This unit gets Armor until end of turn. Play only when no unit is attacking."		
Jerec (A)	JK	JK009_Jerec_A	D	Character	Miraluka Imperial dark Jedi Inquisitor	11	50	7	7	R	9		Foresight: Discard a card at random from your opponent's hand. | Forewarning: Gain 2 Force. | Parry 2 | Riposte 2 (If an attacking unit rolls at least one natural 2 against Jerec, Jerec does 2 damage to it when the attack ends.) | Pay 2 Force -> Evade 2		
Jerec's Cunning (A)	JK	JK010_Jerec_s_Cunning_A	D	Equipment	Character - Trait	2				R	10		When you gain Force, attach Jerec's Cunning to one of your Dark Jedi Characters. | Equipped Dark Jedi gets "Pay 0 Force -> Retaliate 2." | Equipped Jerec also gets "Whenever your opponent draws 1 or more cards, choose one of those cards and a card type. Your opponent then reveals the chosen card. If the chosen card is of the chosen type, your opponent loses 2 Force."		
Jerec's Dark Jedi (A)	JK	JK011_Jerec_s_Dark_Jedi_A	D	Ground	Imperial Dark Jedi Squad	8	50	6	6	R	11		Stack: Any unique Dark Jedi Character. | Jerec's Dark Jedi gets +1 power for each Dark Jedi Character unit card in its stack. | As long as Jerec unit card is in Jerec's Dark Jedi's stack, Jerec's Dark Jedi gets Ferocity. | Pay 5 Force -> Jerec's Dark Jedi gets Double Damage for this attack. | Pay 1 Force -> Deflect 1		
Jerec's Lightsaber (A)	JK	JK012_Jerec_s_Lightsaber_A	D	Equipment	Character - Lightsaber Weapon	1				R	12		Pay 1 Force -> Equip | Equipped Dark Jedi or Sith gets Riposte 1. (If attacking unit rolls at least one natural 2 against this unit, this unit does 1 damage to it when the attack ends.) | Equipped Jerec also gets Ferocity.		
Killing Blow	JK	JK013_Killing_Blow	N	Battle						R	13		Pay 2 Force, tap one of your units with a Weapon attached in any arena -> Discard one of your opponent's damaged units with 4 or less remaining health from that arena. Play only when no unit is attacking.		
Kyle Katarn (C)	JK	JK014_Kyle_Katarn_C	L	Character	New Republic Jedi Knight 	9	50	7	6	R	14		Focus 2 | Parry 1 | Pay 2 Force -> Evade 2 | INSERT: Riposte 2 (If attacking unit rolls at least one natural 2 against Kyle, Kyle does 2 damage to it when the attack ends.)		
Kyle Katarn's Courage (A)	JK	JK015_Kyle_Katarn_s_Courage_A	L	Equipment	Character - Trait	1				R	15		When 1 or more counters of any type are put on one of your Characters, attach Kyle Katarn's Courage to that Character. | Equipped Character gets +10 speed, +1 power, and +1 health. | Equipped Kyle Katarn also gets "Pay 1 Force -> Protect 2."		
