Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ancient Grove	KAE	KAE001_Ancient_Grove	L	Location	Character - Old Republic Jedi Dantooine Landscape	3				R	1		Whenever a Dark Side Character attacks, put 1 redemption counter on this Location. | When the Character battle step starts, you may remove X redemption counters from this Location. If you do, gain control of one of your opponent's Characters with total build cost X until end of turn.		TOR
Apathy is Death	KAE	KAE002_Apathy_Is_Death	N	Mission - Trap		2				R	2		To complete Apathy is Death, you must also have a unit that can be attacked in the Character arena. When your opponent taps one of his or her Characters without attacking, discard that Character.		TOR
Atris (A)	KAE	KAE003_Atris_A_V2	N	Character	Old Republic Jedi Master - Historian	8	50	5	5	R	3		Foresight: Gain 1 Force. | Fury 2 | Pay 3 Force -> Take 1 60/3/3 Echani Handmaiden Subordinate with "Critical Hit 1" and "Pay 1 Force -> Intercept" and put it into the Character arena. Play only during your build step or when Atris is attacked. | Pay 1 Force -> Evade 2	<s><l>Pay 3 Force to spawn Echani Handmaiden</l><f>/spawn Echani Handmaiden;/player stat1 -3;/s pays 3 Force to spawn an Echani Handmaiden Subordinate using Atris (A)</f></s>	TOR
Bao-Dur (A)	KAE	KAE004_Bao_Dur_A	L	Character	Zabrak Old Republic Jedi - Cyborg Mechanic	5	50	4	4	R	4		As long as Meetra Surik is in any arena, Bao-Dur gets "Pay 2 Force -> Evade 2." | Pay X build points -> Remove X damage counters from one of your Droids or Old Republic units. Play only during your build step.		TOR
Bastila Shan (C)	KAE	KAE005_Bastila_Shan_C	L	Ground/Character	Old Republic Jedi Knight	11	60	4	6	R	5		Each of your other Old Republic units gets Accuracy 1 and Lucky 1. | Double Strike | Pay 1 Force -> Deflect 1 | Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept		TOR
Battle of Rakata Prime	KAE	KAE006_Battle_of_Rakata_Prime	N	Event						R	6		When each player's build step starts, if he or she controls an arena, he or she gains 1 Force and may draw a card. | Each Jedi or Sith with 1 or more corruption and/or redemption counters on it gets +1 power.		TOR
Brianna (A)	KAE	KAE007_Brianna_A	L	Character	Echani Old Republic Jedi Padawan - Historian	6	60	5	5	R	7		Hidden Cost 3 | Riposte 1 | Parry 1 | As long as Meetra Surik is in any arena, Brianna gets Focus 1 and "Pay 1 Force -> Evade 1."		TOR
Canderous Ordo (B)	KAE	KAE008_Canderous_Ordo_B	N	Character	Mandalorian - Mandalore	7	50	6	6	R	8		Accuracy 1 | Critical Hit 1 | Armor | As long as Meetra Surik is in any arena, Canderous Ordo gets Lucky 2.		TOR
Darth Malak (B)	KAE	KAE009_Darth_Malak_B	D	Character	Imperial Dark Jedi Master - Sith Lord	9	40	4	8	R	9		Critical Hit 1 | Fury 2 | Double Strike | Pay 2 Force -> Evade 2		TOR
Darth Nihilus (C)	KAE	KAE010_Darth_Nihilus_C	D	Character	Dark Jedi Master - Triumvirate Sith Lord	9	50	6	6	R	10		Foresight: Your opponent loses 1 Force. | Forewarning: Gain 1 Force. | Your opponent must pay 1 Force to attack Nihilus. | Whenever a unit is discarded from the Character arena, gain 1 Force. | Pay 2 Force -> Evade 2		TOR
