Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Admiral Gar Stazi (A)	LEG	LEG001_Admiral_Gar_Stazi_A	L	Character	Galactic Alliance Remnant Officer - Diplomat	6	50	4	6	R	1		When your build step starts, you may search your deck for a Galactic Alliance Space unit card, reveal it, and put it into your hand. If you do, shuffle your deck. | Each of your other Galactic Alliance units gets +2 power and Focus 2.		LEG
Alliance (A)	LEG	LEG002_Alliance_A	L	Space	Galactic Alliance Remnant Capital Ship - Flagship	10	20	8	8	R	2		Shields 1 | Inspiration | Each of your Galactic Alliance units gets Accuracy 1. 		LEG
Anakin's Spirit (C)	LEG	LEG003_Anakin_s_Spirit_C	L	Character	Jedi Spirit	4	30	0	4	R	3		Anakin's Spirit doesn't count toward arena control. | Prevent all damage to and from Anakin's Spirit. | When the battle phase starts, choose one: Put 1 mastery counter on a unit. Or: Each of your units with at least 1 mastery counter on it gets +1 power, Focus 1, and Precision until end of turn.		LEG
Antares Draco (B)	LEG	LEG004_Antares_Draco_B	N	Ground/Character	Fel Imperial Knight - Force Sensitive Master	8	50	6	6	R	4		Armor | As long as a Sith is attacking, Antares's activated abilities cost 1 less Force to activate. | Pay 2 Force -> Evade 2 | Pay 2 Force -> Protect 2 | INSERT: Treat Antares as a Bodyguard.		LEG
AT-AT Swimmer	LEG	LEG005_AT_AT_Swimmer	D	Ground	New Imperial One Sith Aquatic Transport	6	50	5	5	R	5		Shields 2 | Pay 2 build points -> Take 1 60/3/3 Shark Wing Subordinate and put it into the Ground arena. This unit loses Shields and can't retreat until end of turn. Play only during your build step.		LEG
Azlyn Rae (B)	LEG	LEG006_Azlyn_Rae_B	L	Character	Fel Imperial Knight	6	50	5	5	R	6		Armor | As long as you have another Imperial Knight in this arena, Azlyn gets Focus 2. | As long as you have another Jedi in this arena, Azlyn gets Accuracy 1. | Pay 1 Force -> Evade 1		LEG
Bastion Second Fleet	LEG	LEG007_Bastion_Second_Fleet	N	Space	Fel Imperial Fleet	10	10	8	8	R	7		Hidden Cost 4 | Deploy: Draw a card. | Overkill		LEG
Bounty Hunter Gang (L)	LEG	LEG008_Bounty_Hunter_Gang_L	N	Ground	Force Sensitive Bounty Hunter Squad	7	50	6	6	R	8		Bounty: Gain X build points, where X is the number of credit counters on this unit. | Whenever one of your units gains a Bounty, put 1 credit counter on that unit. | Double Damage | Damage Control 2		LEG
Cade Skywalker (C)	LEG	LEG009_Cade_Skywalker_C	L	Character	Force Sensitive Bounty Hunter - Pirate - Smuggler	10	60	6	6	R	9		Critical Hit 3 | Damage Control 2 | Pay 2 Force -> Absorb 2 | INSERT: Treat Cade as a Jedi Padawan.		LEG
Cade Skywalker (D)	LEG	LEG010_Cade_Skywalker_D	N	Ground/Character	Force Sensitive Bounty Hunter - Pirate Smuggler	8	60	5	6	R	10		Switch: -1 power, Critical Hit 2/Area Damage 5 | Adapt: Accuracy 1/Bounty: Gain 2 build points. | Damage Control 1 | Pay 2 Force -> Evade 2		LEG
Cade's Dark Vision	LEG	LEG011_Cade_s_Dark_Vision	D	Mission - Trap		2				R	11		When one of your opponent's units attacks, put 2 corruption counters on it, and your opponent loses  2 Force. If that unit is a Force Sensitive or Jedi, your opponent loses 1 more Force.		LEG
Celeste Morne (F)	LEG	LEG012_Celeste_Morne_F	N	Character	Independent Jedi Master	7	30	5	6	R	12		Twice per turn when a non-Rakghoul unit in the Ground or Character arena is discarded, if it had 2 or more corruption counters on it, take 1 40/2/2 Stormtrooper Rakghoul Subordinate with "Fury 1" and put it into its arena. | Pay 2 Force -> One of your Rakghouls gets +2 power for this attack, and put 1 corruption counter on a unit in the Ground or Character arena. | Pay 2 Force -> Evade 2		LEG
Combined Defense Fleet	LEG	LEG013_Combined_Defense_Fleet	L	Space	Galactic Alliance Fel Imperial Jedi Fleet	10	30	8	8	R	13		Hidden Cost 3 | Deploy: Each of your other units in this arena gets +1 power until end of turn. | Shields 1		LEG
Combined Lightning Strike	LEG	LEG014_Combined_Lightning_Strike	D	Battle						R	14		Tap one of your Sith -> An attacking Sith in the same arena gets +X power for this attack, where X is 2 plus the total build cost of the unit you tapped.		LEG
Crimson Axe (A)	LEG	LEG015_Crimson_Axe_A	N	Space/Ground	Crime Lord Capital Ship	7	20	5	6	R	15		Switch: Shields 1/Armor | Crimson Axe can't move from the Ground arena to the Space arena. | Whenever you collect a Bounty, draw a card. | Each of your Pirates and Bounty Hunters gets Accuracy 1 and Precision.		LEG
Dark Illusion	LEG	LEG016_Dark_Illusion	D	Battle						R	16		Reduced Cost 0: If the attacking unit is a Sith Lord. | Pay 2 Force -> The attacking unit gets +X power for this attack, where X is the difference between the attacking and defending units' total build costs. Play only if the attacking unit's total build cost is higher than the defending unit's. 		LEG
Dark Side Healing	LEG	LEG017_Dark_Side_Healing	D	Equipment	Character - Skill	3				R	17		Remove 1 mastery counter from a unit -> Equip to that unit. Equipped Force Sensitive or Sith gets "Pay X Force, up to 2 -> Remove X damage counters from a unit in this arena and put X corruption counters on this unit."		LEG
