Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Legends of the Alliance	LOTA	LOTA01_Legends_of_the_Alliance	L	Mission - Campaign		3				R	1		When each battle phase starts, if you have at least four unique Rebel Characters with printed build cost 5 or more in the Character arena, each of them gets Inspiration and "Bounty: Gain 3 build points." until end of turn.		LOTA	
Biv Bodhrik (A)	LOTA	LOTA02_Biv_Bodhrik_A	L	Character	Rebel Soldier - Partisan	5	50	4	5	R	2		When the Character battle step starts, you may give Biv Critical Hit 3 until end of turn. If you do, each unit gets Critical Hit 1 when attacking Biv until end of turn. | Overkill		LOTA	
Fenn Signis (A)	LOTA	LOTA03_Fenn_Signis_A	L	Character	Rebel Soldier - Agent	5	50	4	4	R	3		Accuracy 1 | Armor | Add +1 to each of Fenn's Area Damage dice. | Area Damage 4		LOTA	
Jarrod Kelvin (A)	LOTA	LOTA04_Jarrod_Kelvin_A	L	Character	Rebel Agent - Mechanic	5	50	5	4	R	4		Stack: J4X-7 | Parry 2 | When your build step ends, if J4X-7 is not stacked beneath Jarrod, you may pay 1 Force. If you do, take 1 60/1/1 J4X-7 Subordinate with "INSERT: Riposte 1" and stack it beneath Jarrod.		LOTA	
Ko-Tun Feralo (A)	LOTA	LOTA05_Ko_Tun_Feralo_A	L	Character	Cerean Rebel Agent - Officer	5	50	4	5	R	5		When the battle phase starts, put 1 counter of any type onto each of up to two of your Rebels. | Remove 1 mastery counter from a Rebel -> Choose a number. For this attack's keyword abilities, treat that number as if it was naturally rolled. Play only when that Rebel attacks or is attacked.		LOTA	
MHD-19 (A)	LOTA	LOTA06_MHD_19_A	L	Character	Rebel Medical Droid	5	30	2	5	R	6		Each of your non-Droid Rebel Characters get +1 health. | Tap -> Choose one: Remove 1 damage counter from each of your non-Droid Rebel characters. Or: Remove 2 damage counters from one of your non-Droid Rebel Characters.		LOTA	
Murne Rin (A)	LOTA	LOTA07_Murne_Rin_A	L	Character	Ithorian Rebel Diplomat - Spy	5	40	3	5	R	7		Pay 2 Force -> The next time one of your opponent's Character Subordinates or Characters with printed build cost 3 or less would attack, you choose the target for that attack. It can attack your opponent's other Characters. | Pay 1 Force -> Redirect		LOTA	
Saska Teft (A)	LOTA	LOTA08_Saska_Teft_A	L	Character	Rebel Agent - Mechanic - Thief	5	60	3	4	R	8		Stun 2 | When the battle phase starts, choose one of your opponent's Ground units or Characters. That unit loses Armor when being attacked by one of your Rebels until end of turn.		LOTA	
Tress Hacnua (A)	LOTA	LOTA09_Tress_Hacnua_A	L	Character	Devaronian Cyborg Lothal Rebel Agent	5	60	4	4	R	9		Parry 1 | When the battle phase ends, if Tress used her Overload this turn, remove all damage counters from her and put 1 mastery counter on her. | Overload 3		LOTA	
Wildfire (A)	LOTA	LOTA10_Wildfire_A	L	Character	Rebel Clone Soldier	5	50	4	4	R	10		Accuracy 1 | Pay X Force, where X is the number of times Wildfire has attacked this turn -> Untap him, and he gets Accuracy -1 until end of turn. You may play this ability up to three times per turn.		LOTA	
General Sorin (A)	LOTA	LOTA11_General_Sorin_A	D	Character	Imperial Officer	6	50	4	6	R	11		Each of your Imperial Droids, Imperial Tanks, and Imperial Vehicles can attack your opponent's units in the Character arena. | Tap -> Untap one of your Imperial Characters, and it gets Critical Hit 1 for its next attack. Play only when Sorin would attack.		LOTA	
Elite Stormtrooper	LOTA	LOTA12_Elite_Stormtrooper	D	Character	Imperial Stormtrooper	4	40	4	3	U	12		Accuracy 1 | Critical Hit 1 | Precision		LOTA	
