Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script
Bardan Jusik (A)	MAND	Bardan_Jusik_A	N	Character	Mandalorian Jedi	7	40	5	9	R	1		Armor | [tap], Remove the top 3 cards of your opponents discard pile from the game -> Name a card. Search your opponent's deck for cards with that name and put them into the discard pile. Put 1 damage counter on Bardan for each card put into the discard pile in this way. | Put the top card from your opponent's deck into his or her discard pile -> Evade 1	
Alliance with the Jedi	MAND	Alliance_with_the_Jedi	L	Resource		4				C	51		At the start of your build step, if you have a Jedi and a Mandalorian in any arena, put 3 counters on this card. | Remove 1 counter -> Gain 2 Force and your opponent puts 2 cards from the top of his or her deck into the discard pile. | Remove 8 counters -> Gain Force equal to the number of cards in your opponent's discard pile.	
Alliance with the Sith	MAND	Alliance_with_the_Sith	D	Resource		4				C	52		Add 1 counter -> Put 1 damage counter on one of your units and 1 damage counter on one of your opponent's units. | Remove 4 counters -> Take a unit card from your opponent's discard pile and put it face-down in your build zone with 1 build counter on it. Play only if you don't control any of your opponent's units.	
Basilisk Attack Squad	MAND	Basilisk_Attack_Squad	N	Ground	Mandalorian Squad	5	50	5	5	C	53		When this unit attacks, your opponent may put 2 cards from the top of his or her deck into the discard pile. If he or she does, the attack ends and this unit may attack one of your opponent's other units instead. If you can't choose another unit, the attack ends.	
Basilisk Defense Legion	MAND	Basilisk_Defense_Legion	N	Ground	Mandalorian Squad	4	10	0	8	R	2		If your opponent has no cards remaining in his or her deck, this unit gets +8 power. | [tap], Put the top 2 cards of your opponent's deck into the discard pile -> Remove up to 4 damage counters from this unit. Play only during your build step and only if this unit has 1 or more damage counters on it.	
Basilisk Recon Squad	MAND	Basilisk_Recon_Squad	N	Ground	Mandalorian Squad	3	40	0	6	C	54		Armor | If your opponent has no cards remaining in his or her deck, this unit gets +6 power.	
Basilisk War Droid	MAND	Basilisk_War_Droid	N	Ground	Mandalorian Walker Droid	8	40	6	6	C	55		This unit can be piloted. | Armor | When damage would be done to this unit, prevent half of that damage (Rounded up) unless your opponent puts the top 2 cards of his or her deck into the discard pile.	
Basilisk Warrior	MAND	Basilisk_Warrior	N	Character	Mandalorian	3	40	1	3	C	56		Armor | This pilot can only pilot Mandalorian units. | [Pilot] Creature, Gunship, Speeder and Walker Pilot. The Creature, Gunship, Speeder or Walker gets: * Overkill  * When this unit does damage from Overkill, put a number of cards from the top of your opponent's deck into his or her discard pile equal to the amount of Overkill damage done.	
Bes'uliik Starfighter	MAND	Besuliik_Starfighter	N	Space	Mandalorian Starfighter	3	50	3	3	R	3		This unit can't retreat. | Pay 1 build point, Remove 3 cards in your opponent's discard pile from the game -> Take a Homing Missile card from your discard pile and put it face down in your build zone with 1 build counter on it. The next time you complete that card, remove it from the game instead of discarding it. Play only during your build step.	
Beskar'gam	MAND	Beskargam	N	Equipment	Space/Ground/Character - Armor Defense	2				U	26		Pay 2 build points -> Equip | Equipped Mandalorian gets "When this unit is attacked, your opponent may discard the top 4 cards from his or her deck. If he or she does, tap a Beskar'gam attached to this unit." and "This unit is hit only on a natural 6."	
Boba Fett (K)	MAND	Boba_Fett_K	N	Character	Mandalorian Bounty Hunter - Mandalore	8	50	6	6	U	27		Armor | Whenever one of your opponent's units would damage Boba, prevent half of that damage (rounded up) unless your opponent puts the top 2 cards of his or her deck into the discard pile. | [Pilot] Patrol Ship Pilot. The Patrol Ship gets: * Whenever one of your opponent's units would damage this unit, prevent half of that damage (rounded up) unless your opponent puts the top 2 cards of his or her deck into the discard pile. 	
Canderous Ordo (A)	MAND	Canderous_Ordo_A	N	Character	Mandalorian - Mandalore	9	50	7	7	R	4		Armor | Parry 1 | When damage is done to Canderous, put 1 damage counter on a Character. (If Canderous is the only Character, put the damage counter on him.) | Put the top card of your opponent's deck into his or her discard pile -> Evade 1	
Canderous-Class Tank	MAND	Canderous_Class_Tank	N	Ground	Mandalorian Vehicle	9	50	5	5	U	28		This unit gets +X power and +X health, where X is the number of Ground unit cards in your opponent's discard pile.	
Cold-Blooded Killer	MAND	Cold_Blooded_Killer	N	Battle						U	29		Pay 3 Force -> One of your Mandalorian units gets Critical Hit X for this attack, where X is the number of your opponent's Character unit cards that have been removed from the game.	
Concord Dawn	MAND	Concord_Dawn	N	Location	Ground/Character - Mandalorian	2				C	57		Any time one of your units in this arena would attack, you may give it -20 speed instead. If you do, that unit gets +1 power and Accuracy 1 until end of turn. You may do this only once per turn and only for units without Stealth.	
Coronet (A)	MAND	Coronet_A	N	Space	Mandalorian Diplomat Transport	5	20	2	4	R	5		[tap], Put 1 card from the top of your opponent's deck into the discard pile -> You may search, your opponent's deck for an Equipment card, show it to your opponent and attach it to one of your units without paying the build or equip costs. If your opponent has no Equipment you can use in his or her deck, you gain 2 build points next turn and put 1 damage counter on Coronet instead.	
Crusader-Class Corvette	MAND	Crusader_Class_Corvette	N	Space	Mandalorian Capital Ship	12	*	*	*	U	30		When you deploy this unit to an arena or the build zone, choose its speed divided by 10, its power and its health so that, when added together, their total equals the number of cards in your opponent's discard pile.	
Crushgaunts	MAND	Crushgaunts	N	Equipment	Character - Armor Weapon	1				U	31		Pay 2 build points -> Equip | Equipped Mandalorian gets "[tap] -> Choose one of your opponent's Characters. It gets -4 power and -1 health until end of turn."	
Cuy'val Dar	MAND	Cuyval_Dar	N	Mission		2				R	6		Tap one of your untapped Mandalorians. That unit can't be attacked this turn. When your next build step starts, search your deck for a card with the Mandalorian subtype. Show it to your opponent and put it in your hand. Shuffle your deck.	
Defend the Homeworld	MAND	Defend_the_Homeworld	N	Resource		4				R	7		When you complete Defend the Homeworld, you lose all your Force. | You can't gain or lose Force and you can only deploy Neutral units. | At the beginning of your turn, put 2 counters on this card. | Remove 1 counter -> Gain 1 build point. Play only during the build step. | Remove 2 counters -> The next Battle card you play costs 8 less Force.	
Dred Priest (A)	MAND	Dred_Priest_A	N	Character	Mandalorian	3	30	5	5	U	32		Armor | When Dred would be discarded, untap him and remove all damage counters from him instead. Your opponent gains control of Dred until end of game.	
Duchess Satine Kryze (A)	MAND	Duchess_Satine_Kryze_A	N	Character	Mandalorian Diplomat	4	10	0	3	U	33		Reserves: [tap], Put 1 card from the top of your opponent's deck into the discard pile -> Choose one of your other Mandalorian units. That unit gets "When this unit would be damaged, prevent 1 damage to it." until end of turn.	
Duel to the Death	MAND	Duel_to_the_Death	N	Battle						R	8		Pay 5 Force -> Choose one of your units and one of your opponent's units in the same arena, each able to attack and be attacked. If they're untapped, tap them. Those units attack each other back and forth (yours first) until one is discarded. Card effects and abilities can't be played, and units can't retreat, until one is discarded. Play only when no unit is attacking.	
Family Loyalty	MAND	Family_Loyalty	N	Battle						R	9		Put the top card of your deck into the discard pile -> Prevent X damage to one of your unique Mandalorian Characters, where X is the number of other unique Mandalorians in the Character arena.	
Fenn Shysa (A)	MAND	Fenn_Shysa_A	N	Character	Mandalorian - Mandalore	7	40	5	5	U	34		Armor | Accuracy 1 | Discard Fenn Shysa -> Prevent all damage done to Boba Fett until end of turn and Boba Fett gains the Mandalore subtype until end of game.	
Final Confrontation	MAND	Final_Confrontation	N	Mission		1				U	35		Remove 2 damage counters from a unit you control. If your opponent has no cards left in his or her deck, put your deck into the discard pile. If you do, remove all damage counters from each of your units.	
