Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
A Ways To Go	OBWN	OBWN001_A_Ways_To_Go	L	Mission - Campaign		1				R	1		When each turn ends, if you have a Jedi Master or Jedi Spirit in play, choose one.  If an Obi-Wan Kenobi unit card and a Qui-Gon's Spirit unit card are in any arena or  stack, choose both: Gain 1 Force. Or: Put 1 mastery counter on a unit.		REB
Anakin Skywalker (F2)	OBWN	OBWN002_Anakin_Skywalker_F2	L	Character	Republic Jedi Padawan	6	50	5	5	R	2		Fury 1 | Pay 1 Force -> Put 1 damage counter on a unit that Anakin is attacking. | Pay 2 Force -> Deflect 1 and Evade 1 | INSERT: Treat this unit as a Jedi Padawan Warrior		REP
Darth Vader (L2)	OBWN	OBWN003_Darth_Vader_L2	D	Character	Imperial Cyborg Dark Jedi Knight - Sith Lord	9	40	7	7	R	3		Upkeep: Put 1 damage counter on one of your units in this arena, or tap Vader. | When the Character battle step starts, choose one:  Vader gets Armor or Ferocity until end of turn. | Whenever Vader attacks, Gain 2 Force. | Pay 2 Force -> Absorb 2		REB
Darth Vader (M2)	OBWN	OBWN004_Darth_Vader_M2	D	Character	Imperial Cyborg Dark Jedi Knight - Sith Lord	9	40	7	7	R	4		Armor | Pay X Force, remove X corruption or mastery counters from Vader -> Put X corruption or mastery counters on Vader. | Pay 2 Force -> Persuade 2		REB
Darth Vader's Castle	OBWN	OBWN005_Darth_Vader_s_Castle	D	Location	Imperial Sith Mustafar Volcanic Fortification	2				R	5		When one of your unique Sith in the Ground or Character arena attacks, you may give it Cunning and "Whenever this unit attacks, you may give it +3 power for that attack. If you do, it does 3 dice of damage to itself when the attack ends." until end of turn. Play only once per turn.		REB
Devastator (F)	OBWN	OBWN006_Devastator_F	D	Space	Imperial Capital Ship - Flagship	8	20	8	8	R	6		Armor | Each of your other Imperials in the Space arena gets Surge 1. | Discard a Dark Side Battle card without Meditate from your hand -> Prevent up to 4 damage to Devastator.		REB
Fifth Brother (B)	OBWN	OBWN007_Fifth_Brother_B	D	Character	Imperial Dark Jedi Inquisitor	5	50	5	5	R	7		Bounty: Remove 1 damage counter from one of your units. | Whenever your opponent deploys a Force Sensitive or Jedi, gain 1 Force. | Pay 1 Force -> Persuade 1 | INSERT: Fury 2		REB
Fortress Inquisitorius	OBWN	OBWN008_Fortress_Inquisitorius	D	Resource		2				R	8		Whenever a Force Sensitive or Jedi is discarded, add 1 counter to this Resource. | Add 2 counters -> One of your Inquisitors or Dark Jedi gets +20 speed until end of turn. | Remove 6 counters -> Each of your Inquisitors gets + 1 health until it is discarded. Play only when no unit is attacking.		REB
Fourth Sister (A)	OBWN	OBWN009_Fourth_Sister_A	D	Character	Imperial Dark Jedi Inquisitor	4	40	4	4	R	9		Whenever your opponent deploys a Force Sensitive or Jedi, your opponent loses 1 Force. | Pay 1 Force -> Prevent 1 damage to another Dark Jedi in this arena. | Pay 1 Force -> Absorb 1 | INSERT: Pay 1 Force -> Redirect		REB
Gifted	OBWN	OBWN010_Gifted	L	Equipment	Character - Trait	2				R	10		When Princess Leia untaps, attach this Trait to her, and you may take a Padmé Amidala and Anakin Skywalker unit card from outside the game and put them into your hand.		REB
