Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ann and Tann Gella (A)	PM	Ann_and_Tann_Gella_A	N	Character	Twi'lek Masseuses	5	20	2	2	R	1		Each of your opponent's Characters gets -2 power. | [tap] -> One of your Characters get Lucky 2 until end of turn.		WOTC, REP, CW
Aurra Sing (C)	PM	Aurra_Sing_C	D	Character	Bounty Hunter	4	40	4	4	R	2	Version erratum | If a different version of Aurra is rotated to the top, the bonus would no longer apply. However, the face down units would stay with her, and they would apply again if Aurra (C) was put back on top. If Aura is taken out of play other than being discarded, such as returning to your hand, the face down cards remain set aside (out of play) until end of game.	Treat Aurra as a Dark Jedi. | Pay 2 Force -> Evade 1 | Whenever Aurra damages a unit and that unit is discarded, put the top card of your deck face down under Aurra. She gets +10 speed, +1 power, and +1 health for each face down card under her. (Face down cards are not in Aurra's stack.)		WOTC, REP, CW
Bongo Sub	PM	Bongo_Sub	N	Ground	Aquatic Speeder	3	50	2	2	R	3		When you deploy this unit, you may search your deck for an Aquatic Location, show it to your opponent, and put it into your hand. Then shuffle your deck. | Shields 1		WOTC, REP, CW
Boss Nass (A)	PM	Boss_Nass_A	N	Character	Naboo Gungan Diplomat	5	30	4	4	R	4		Each of your other Gungan units costs 1 fewer build point to deploy and each gets +1 power.		WOTC, REP, CW
C-9979	PM	C_9979	D	Space	Trade Federation Transport	8	20	4	6	R	5	You may search for up to 1 each of the 3 units specified, even if you don't have one of those units in your deck. 	When you deploy this unit, you may search your deck for a Trade Federation MTT card, a Trade Federation AAT card, and a Trade Federation STAP card. Show those cards to your opponent and put them into your hand. Then shuffle your deck.		WOTC, REP, CW
Corridors of Power	PM	Corridors_of_Power	D	Location	Ground	2				R	6		When the build step starts, you may either put a Credit counter on this Location or remove all the Credit counters on it. For each Credit counter you remove, you gain 1 extra build point this turn.		WOTC, REP, CW
Dark Woman (A)	PM	Dark_Woman_A	L	Character	Jedi Master	5	50	4	4	R	7		Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1 | Pay 1 Force -> Intercept | Pay 1 Force -> Dark Woman gets Accuracy 1 for this attack.		WOTC, REP, CW
Darth Maul (F)	PM	Darth_Maul_F	D	Character	Dark Jedi - Sith Apprentice	6	50	5	6	R	8		Pay 1 -> Evade 1 | Pay 2 -> Deploy Maul to the Character arena. Play this ability only if Maul has at least 5 build counters on him. At the end of the Character battle step, retreat Maul.		WOTC, REP
Duel of the Fates	PM	Duel_of_the_Fates	L	Mission		7				R	9	**BANNED**: This card may not be played in an IDC sanctioned tournament. | If it is clear, or both players agree, that no one can win that arena this turn, skip that arena. |  You have to untap all units, unless an effect says the unit "can't" untap (since "can't" beats "can"). In situations where one tapped unit is holding another unit tapped because the first unit is tapped (e.g., Space Slug {RAS}), both units untap.	This turn, at the end of each Space battle step, if neither player controls the Space arena, untap all units in the Space arena. There is another Space battle step. Do the same for the Ground and Character arenas. If it is clear that no one can win that arena this turn, skip that arena.		WB, VB, WOTC, REP
Fambaa Shield Beast	PM	Fambaa_Shield_Beast	N	Ground	Naboo Gungan Creature	4	20	4	4	R	10		Each of your Gungan units in the Ground arena gets Shields 1.		WOTC, REP, CW
Fight on All Fronts	PM	Fight_on_All_Fronts	N	Battle						R	11		Play this card only if you have units in all 3 arenas. | Pay 3 Force -> Choose a unit in each arena. Each of those units gets +2 power and Critical Hit 1 until end of turn. | Enhance: Pay 3 more Force -> Each of those units gets +4 power and Critical Hit 2 instead.		WOTC, REP, CW
Gardulla the Hutt (A)	PM	Gardulla_the_Hutt_A	N	Character	Hutt	7	20	3	6	R	12		Pay X Force -> Choose one of your opponent's non-Jedi Characters with total build cost equal to or less than X. Gain control of that unit until the end of the Character battle step. Play only during the Character battle step and only if no unit is attacking.		WOTC, REP, CW
Gas Attack	PM	Gas_Attack	D	Mission		1				R	13		Gas Attack does 4 dice of damage to each non-Droid Character in the Character arena.		WOTC, REP, CW
Gungan Grand Army	PM	Gungan_Grand_Army	N	Ground	Naboo Gungan	9	20	10	11	R	14		Discard one of your other Gungan units from any arena -> Remove up to 3 damage counters from this unit. | Whenever this unit attacks a Droid, it gets Critical Hit 1. | Overkill		WOTC, REP, CW
Guardian Mantis (A)	PM	Guardian_Mantis_A	N	Space	Starfighter	4	50	3	3	R	15		Shields 1 | [tap] -> Choose one of your opponent's Space units. This turn, each of your units gets Accuracy 1 when attacking that unit. Play only when Guardian Mantis would attack.		WOTC, REP, CW
In Disguise	PM	In_Disguise	N	Battle						R	16	If the new unit you bring back is the same as a unit already in play, then those units are immediately contested according to the rules. | If both the discarded unit and the new unit provide a bonus to health, any units that would be discaded because they have more damage counters than health will be discarded before the ability puts the new unit with the health bonus into the arena.	Pay 3 Force, Discard one of your Characters from the Character arena -> You may put a Character card with build cost equal to or less than the discarded Character from your hand into the Character arena. Put damage counters on the new unit equal to the number of damage counters that were on the discarded unit.		WOTC, REP
Jar Jar Binks (B)	PM	Jar_Jar_Binks_B	L	Character	Gungan Officer	3	40	2	2	R	17		As long as Jar Jar is attacking a Droid, he gets Critical Hit 2 for that attack. | Lucky 3		WOTC, REP, CW
Jedi Temple	PM	Jedi_Temple	L	Location	Character - Coruscant	5				R	18	This Location essentially turns off the "a stack can have at most 4 cards in it" rule for all Jedi Characters (yours and your opponent's), no matter whether in an arena or the build zone. | If Jedi Temple is removed from play while you have more cards in a stack than the rules allow, the stack can remain, but you can no longer add to it.	Each Jedi costs 1 less build point to deploy. A Jedi Character can have more than 4 cards in its stack.		WOTC, REP, CW
Ki-Adi-Mundi (B)	PM	Ki_Adi_Mundi_B	L	Character	Cerean Jedi Knight - Council Member	6	50	5	4	R	19		Pay 2 Force -> Evade 2 | Pay 2 Force -> Ki-Adi-Mundi can attack Character units in your opponent's build zone.		WOTC, REP, CW
Marauder-Class Corvette	PM	Marauder_Class_Corvette	N	Space	Patrol Ship	6	30	3	5	R	20		Pay 0 Force -> Intercept | Pay 0 Force -> Retaliate 3		WOTC, REP, CW
Negotiate the Peace	PM	Negotiate_the_Peace	L	Mission		3				R	21	Text Erratum | "Total build cost" in the game text is the sum of all the total build costs of units (including stacked costs) that are returned to your hand.	Return to your hand any number of Light Side units in one arena the total build cost of which is 7 or less. Choose any number of your opponent's Dark units in the same arena. Return those units to your opponent's hand if their total build cost is equal to or less than the total build cost of your returned units.		WOTC, REP
Nute Gunray (C)	PM	Nute_Gunray_C	D	Character	Trade Federation Diplomat	5	20	2	2	R	22	Both parts of the effect apply to all Trade Federation units no matter when they were deployed.	Each of your other Trade Federation units costs 1 fewer build point to deploy and each of your Trade Federation units get "Pay 0 Force -> Intercept".		WOTC, REP, CW
Orn Free Taa (A)	PM	Orn_Free_Taa_A	N	Character	Twi'lek Senator	8	10	3	5	R	23	Text erratum (Linebreak) | Orn is not a Diplomat.	[tap], Pay 1 build point -> Choose one of your opponent's units. Tap that unit. Play only during your build step. | Whenever a unit attacks Orn, prevent all damage that unit would do to Orn this turn unless your opponent taps one of his or her untapped Characters.		WOTC, REP, CW
Otoh Gunga	PM	Otoh_Gunga	N	Location	Ground - Naboo Gungan Aquatic City	2				R	24		At the beginning of your build step, you may search your deck for a Gungan unit, show it to your opponent, and put it into your hand. Then shuffle your deck.		WOTC, REP, CW
