Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Admiral Firmus Piett (C)	RAS	Admiral_Firmus_Piett_C	D	Character	Imperial Officer	4	30	2	3	R	1		Each of your Space unit gets "Pay 0 Force -> Intercept". | Pay 1 Force -> Retreat Piett. Play only when no unit is attacking and only if you have a Dark Jedi in any arena.		WOTC, REB, EP456
Boba Fett (G)	RAS	Boba_Fett_G	N	Character	Bounty Hunter	9	70	7	7	R	2	The last ability only triggers after damage counters are placed.	Upkeep: Pay 1 build point or tap this unit. | Armor | Bounty: 1 build point. | Your opponent loses 1 Force for each point of damage done by Boba Fett.		WOTC, REB, EP456
Bossk (A)	RAS	Bossk_A	N	Character	Trandoshan Bounty Hunter	9	40	8	7	R	3		Upkeep: Pay 1 build point, discard 1 card from your hand, or tap Bossk. | Armor | Bounty: Search your opponent's deck for each card with the same name as the Character you gained this Bounty for. Put those cards in his or her discard pile. Then your opponent shuffles his or her deck. | Critical Hit 2		WOTC, REB, EP456
Call for Hunters	RAS	Call_for_Hunters	N	Mission		2				R	4		To complete Call for Hunters, tap one of your untapped units in the Character arena. Search your deck. You may take up to 4 Bounty Hunter cards from your deck, show them to your opponent, and put them into your hand. Then shuffle your deck.		WOTC, REB, EP456
Chewbacca (I)	RAS	Chewbacca_I	L	Character	Rebel Wookiee	9	40	7	8	R	5	Text erratum in both abilities. | Cards in Chewbacca's stack count toward his "X".	Pay 0 Force -> Retaliate X, where X is Chewbacca's power. | If Chewbacca's Retaliate ability causes a unit to be discarded, untap Chewbacca.		WOTC, REB, EP456
Commander Nemet (A)	RAS	Commander_Nemet_A	D	Character	Imperial Officer	4	10	1	1	R	6	Text erratum.	When your build step starts, look at the top card of your opponent's deck. You may put that card into your opponent's discard pile. | [Pilot] Capital Ship Pilot. The Capital Ship gets: * +10 speed. * +1 power.		WOTC, REB, EP456
Dantooine System	RAS	Dantooine_System	L	Location	Space - Star System	2				R	7	The unit can't be attacked even if it becomes untapped somehow.	Discard this Location from the Space arena. Your units that are tapped at the time Dantooine System is discarded can't be attacked this turn.		WOTC, REB
Dark Sacrifice	RAS	Dark_Sacrifice	D	Battle						R	8	The build cost includes the cards in the unit's stack. | If Dark Sacrifice is played on this unit, the bonus from Dark Sacrifice is granted before the two Medium Asteroids come out. Likewise, if played on Medium Asteroid, the bonus is granted before the two Small Asteroids come out. | This does not apply to units that are put into the arena after Dark Sacrice is played.	Pay 2 Force, Discard one of your units from any arena -> Each of your other units in that arena gets +X power until the end of turn, where X equals the discarded units total build cost. Play only when no unit is attacking.		WOTC, REB, EP456
Dengar (A)	RAS	Dengar_A	N	Character	Corellian Bounty Hunter	7	50	7	7	R	9		Upkeep: Put 1 damage counter on Dengar. | Armor | Bounty: Remove all damage counters from Dengar.		WOTC, REB, EP456
Doctor Evazan (A)	RAS	Doctor_Evazan_A	N	Character	Mad Scientist	6	40	4	4	R	10	You may apply Evazan's ability to your own units. | This ability might come in handy with Probot, Imperial Misdirection or Han Enchained.	[tap] -> Choose an untapped unit in the Character arena with a total build cost of 4 or less. Doctor Evazan does 4 dice of damage to that unit. Play only when Doctor Evazan would attack.		WOTC, REB, EP456
