Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Aayla Secura (C)	RAW	Aayla_Secura_C	L	Character	Twi'lek Jedi Knight	5	50	4	4	R	1		Treat Aayla as a Republic Officer | Pay 1 Force -> Aayla gets Parry 1 until end of turn. | Pay 1 Force -> Prevent 1 damage to one of your Jedi or Clone units. Play only if that unit is in the Ground or Character arena. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1		REP, CW
Anakin Skywalker (Q)	RAW	Anakin_Skywalker_Q	L	Character	Jedi Padawan	6	50	5	5	R	2		Treat Anakin as a Republic Officer. | Pay 2 Force -> Evade 2 | [Pilot] Starfighter Pilot. The Starfighter gets: * Parry 2. * Each of your Republic Space units gets +2 power and Shields 1.		REP, CW
Asajj's Starfighter (A)	RAW	Asajjs_Starfighter_A	D	Space	Geonosian Dark Jedi - Separatist Starfighter	5	60	4	4	R	3		Pay 2 Force -> Asajj's Starfighter gets Double Strike until end of turn. Play only when no unit is attacking. | Pay 2 Force -> Evade 2		REP, CW
Asajj Ventress (B)	RAW	Asajj_Ventress_B	D	Character	Separatist Dark Jedi Apprentice	8	70	5	5	R	4		When Asajj attacks, you may give her +6 power. If you do, put 2 damage counters on Asajj when the attack ends. | Whenever a Jedi uses Evade to prevent damage from Asajj, choose one: Remove 1 damage counter from Asajj or put 1 damage counter on that Jedi. | Pay 2 Force -> Evade 2		REP, CW
Asajj Ventress's Lightsabers (A)	RAW	Asajj_Ventresss_Lightsabers_A	D	Equipment	Character - Lightsaber Weapon	2				R	5		Pay 2 Force -> Equip | Equipped Jedi or Sith gets "Pay 1 Force -> Deflect 1". | Equipped Asajj Ventress also gets "When Asajj attacks, roll a die. If you roll a 1, 2, or 3, Asajj gets +1 power and Critical Hit 1 for this attack. If you roll a 4, 5, or 6, when Asajj's attack ends, untap Assajj."		REP, CW
B2 Super Battle Droid	RAW	B2_Super_Battle_Droid	D	Character	Separatist Trade Federation Droid	3	50	3	2	R	6		Armor | When the Character battle step starts, you may put this card from your hand into the Character arena. If you do, discard this unit when the turn ends.		REP, CW
Battle Droid Sniper Team	RAW	Battle_Droid_Sniper_Team	D	Ground	Separatist Trade Federation Droid	3	20	4	1	R	7		Reserves: [tap] -> Choose one of your opponent's units in the Ground arena and roll 4 dice. For each 2, 3, 4, 5, or 6 you roll, this unit does 1 damage to that unit. Move this unit to the Ground arena tapped. Play only when the Ground battle step starts.		REP, CW
Captain Fordo (A)	RAW	Captain_Fordo_A	L	Character	Republic Clone Officer	6	50	5	5	R	8		Armor | Each of your Clones gets Accuracy 1 and Fury 2 (if you roll at least one natural 4 for this unit's attack, roll 2 additional attack dice).		REP, CW
Clone Trooper Pilot	RAW	Clone_Trooper_Pilot	L	Character	Republic Clone Soldier	3	40	3	2	R	9		[Pilot] Starfighter Pilot. The Starfighter gets: * +10 speed. * Accuracy 1. | [Pilot] Gunship and Walker Pilot. The Gunship or Walker gets: * +1 power. * Armor.		REP, CW
Darth Tyranus (J)	RAW	Darth_Tyranus_J	D	Character	Dark Jedi Master - Sith Lord	10	50	7	7	R	10		Lucky 2 | Parry 2 | When the battle phase starts, choose one: Tyranus gets +20 speed or +2 power until end of turn.		REP, CW
Darth Tyranus (K)	RAW	Darth_Tyranus_K	D	Character	Dark Jedi Master - Sith Lord - Diplomat	6	50	5	5	R	11		When your build step starts, you may search your deck for a Dark Jedi, Gladiator, or Equipment card, show it to your opponent, and put it into your hand. If you do, shuffle your deck. | Pay 2 Force -> Evade 2		REP, CW
