Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Admiral Raddus (A)	RO	RO001_Admiral_Raddus_A	L	Character	Mon Calamari Rebel Officer	8	30	2	4	R	1		Each of your Rebel Space units gets +3 health.		REB
Alliance High Command (B)	RO	RO002_Alliance_High_Command_B	L	Ground/Character	Rebel Officer Squad - Diplomat	8	40	4	4	R	2		Stack: Any unique Rebel Officer. | Stealth | As long as you have at least 3 Rebel Officers in any arena, each of your Rebel Space and Ground units gets Accuracy 1.		REB
Are We Blind?!	RO	RO003_Are_We_Blind	N	Mission - Trap		X				R	3		When your opponent deploys a unit to any arena where you have a Location, search your deck for a Mission or unit card, show it to your opponent, and put it into your build zone with X+1 build counters on it. Shuffle your deck.		REB
AT-ACT Ambush	RO	RO004_AT_ACT_Ambush	D	Mission - Trap		3				R	4		Choose one: When your opponent deploys a unit into the Ground arena, do 6 dice of damage to it. That unit can't retreat until end of turn. | Or: When your opponent deploys a unit to the Ground arena using Hidden Cost, tap that unit. You may also pay 4 Force. If you do, search your deck for a Walker unit card with printed build cost 7 or less and put it into the Ground arena untapped.		REB
Baze Malbus (A)	RO	RO005_Baze_Malbus_A	L	Character	Rogue One Rebel Soldier - Jedha Guardian	6	50	6	5	R	5		Hidden Cost 5 | When you deploy Baze, you may search your deck for a Chirrut Imwe unit card. If you do, show it to your opponent and put it into your hand. That card gets "Alternative Cost: Tap Baze Malbus, pay 4 Force, discard 2 cards from your hand." until end of turn. Shuffle your deck. | Pay 2 Force -> Protect 2		REB
Blue Squadron (B)	RO	RO006_Blue_Squadron_B	L	Space/Ground	Rebel Squadron	7	50	5	4	R	6		Switch: +1 health/+10 speed, Critical Hit 1 | Pay 5 Force -> Move Blue Squadron to the Ground arena untapped. Play only when the Space battle step ends. | Pay 2 Force -> Ambush 3		REB
Bor Gullet	RO	RO007_Bor_Gullet	N	Ground/Character	Creature	7	10	0	6	R	7		Upkeep: Look at your opponent's hand, and you may discard a card from his or her hand. | Tap -> Tap one of your opponent's units with 1 or more captivity counters on it and put 2 damage counters on it. Play only when the Ground battle step starts.		REB
Built of Hope	RO	RO008_Built_on_Hope	L	Mission		3				R	8		Choose a card type and look at the top 10 cards of your deck. Show up to 4 cards of the chosen type to your opponent and put them into your hand. Shuffle the rest into your deck. You may also add 1 counter to your Resource.		REB
C1-10P (A)	RO	RO009_C1_10P_A	L	Character	Lothal Rebel Astromech Droid	3	30	1	3	R	9		Pay 0 Force -> Retaliate 3 | Reserves: Tap -> One of your Transports gets Lucky 1 and Resilience 2 (As long as this unit has at least 2 damage counters on it, it gets +2 power) until end of turn.		REB
Captain Cassian Andor (A)	RO	RO010_Captain_Cassian_Andor_A	L	Character	Rogue One Rebel Officer - Spy	7	50	4	5	R	10		Accuracy 1 | Focus 1 | Cassian can attack Characters with Stealth. | Cassian gets +1 power when attacking an Imperial. | Each of your other Rogue One Characters gets +1 power and Focus 1.		REB
Chirrut Imwe (A)	RO	RO011_Chirrut_Imwe_A	L	Character	Rogue One Rebel - Jedha Guardian	6	50	5	5	R	11		Treat Chirrut as a Force Sensitive Warrior. | Upkeep: Pay 2 Force or tap Chirrut. | Forewarning: Gain 2 Force. | Whenever Chirrut would be damaged, if your Force total is 10 or more, prevent all but 1 of that damage.		REB
Choke on your Aspirations	RO	RO012_Choke_on_Your_Aspirations	D	Battle						R	12		Pay 2 Force -> One of your Officers gets +5 power and Precision for this attack. If this attack does no damage (after damage prevention), put 1 damage counter on that Officer.		REB
Darth Vader (A2)	RO	RO013_Darth_Vader_A2	D	Ground/Character	Imperial Dark Jedi Knight - Sith Lord	10	50	6	6	R	13		Armor | Overkill | As long as Vader has an Equipment attached, he gets "Pay 2 Force -> Deflect 2." | Pay 2 Force -> Evade 2		REB
Darth Vader's Lightsaber (C)	RO	RO014_Darth_Vader_s_Lightsaber_C	D	Equipment	Character - Lightsaber Weapon	2				R	14		Pay 1 build point, 2 Force -> Equip | Equipped Jedi or Sith gets "Pay 2 Force -> Ambush 4." | Equipped Darth Vader also gets "Whenever damage from Vader's attack causes a unit to be discarded, untap Vader."		REB
Death Star (E)	RO	RO015_Death_Star_E	D	Space	Imperial Battle Station	17	10	14	15	R	15		Each Starfighter gets Critical Hit 2 when attacking the Death Star. | Tap -> Choose the Ground or Character arena. Discard the Location and all units from the chosen arena. The Death Star doesn't untap during your next untap step. Play only if you have a Location and a unit in the chosen arena and only when the Death Star would attack.		REB
Deploy the Garrison!	RO	RO016_Deploy_the_Garrison	D	Mission		2				R	16		Reveal 2 partially built Stormtrooper unit cards in your build zone to your opponent. Each of those cards costs 2 less build counters to deploy until end of turn. | Pay 2 build points, discard 2 cards from your hand -> Meditate.		REB
Despair	RO	RO017_Despair	D	Resource		3				R	17		Add 2 counters -> One of your opponent's units gets Resilience -1 until end of turn. (As long as this unit has at least 1 damage counter on it, it gets -1 power.) | Remove 6 counters -> This turn, whenever one of your opponent's units is discarded, you may look at your opponent's deck. If you do, choose a card there and discard it. Your opponent shuffles his or her deck.		REB
