Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Army of Light (C)	RO2	ROT001_Army_of_Light_C	L	Ground	Old Republic Jedi Army	14	20	10	12	R	1		Accuracy 1 | Parry 2 | Pay 3 Force -> Army of Light gets Critical Hit 3 for this attack. | Pay 4 Force -> Evade 4		TOR
Brotherhood of Darkness (A)	RO2	ROT002_Brotherhood_of_Darkness_A	D	Ground	Dark Jedi - Sith Army	14	20	12	10	R	2		Fury 3 | Parry 2 | Pay 2 Force -> Brotherhood of Darkness gets +3 power for this attack. | Pay 2 Force - > Brotherhood of Darkness gets Accuracy 1 for this attack.		TOR
Chancellor Tarsus Valorum (A)	RO2	ROT003_Chancellor_Tarsus_Valorum_A	L	Character	Old Republic Diplomat	4	30	2	2	R	3		As long as you have 2 or more Jedi Masters in the Character arena, Tarsus can't be attacked. | Tap -> Gain 2 build points and draw a card. If that card is a Mission card, gain 2 Force. Play only during your build step.	<s><l>Tap to gain 2BP</l><f>/cr90;/player stat2 +2;/s taps Chancellor Tarsus Valorum to gain 2BP and may draw a card and show it to their opponent. If that card is a mission they gain 2 Force as well</f></s>	TOR
Darth Andeddu's Holocron (A)	RO2	ROT004_Darth_Andeddu_s_Holocron_A	D	Equipment	Character - Device	2				R	4		Pay 3 Force -> Equip | Equipped Jedi or Sith gets "Whenever this unit would be discarded from the Character arena, you may discard one of your other units from the Character arena instead. If you do, remove all damage counters from this unit, then discard Darth Andeddu's Holocron from this unit unless you pay 5 Force."		TOR
Darth Bane (D)	RO2	ROT005_Darth_Bane_D	D	Character	Dark Jedi Master - Sith Lord	10	60	8	8	R	5		Whenever a Jedi or Sith is discarded from the Character arena, gain 1 Force. | Pay 2 Force -> Deflect 2 | Pay 4 Force -> Evade 4		TOR
Darth Bane's Lightsaber (B)	RO2	ROT006_Darth_Bane_s_Lightsaber_B	D	Equipment	Character - Lightsaber Weapon	2				R	6		Pay 2 Force -> Equip | Equipped Jedi or Sith gets Critical Hit 2 | Equipped Darth Bane also gets +10 speed and Stun 3.		TOR
Darth Zannah (A)	RO2	ROT007_Darth_Zannah_A	D	Character	Dark Jedi - Sith Apprentice	7	70	6	5	R	7		Precision | Tap, Pay 6 Force -> Remove one of your opponent's Character units from the game unless your opponent pays 7 force.  Play only when Zannah would attack. 		TOR
Dreshdae Sith Academy	RO2	ROT008_Dreshdae_Sith_Academy	D	Location	Character - Sith Korriban Facility	2				R	8		Each of your Sith costs 1 less build counter to deploy to the Character arena.		TOR
Fairwind (A)	RO2	ROT009_Fairwind_A	L	Space/Ground	Old Republic Jedi Gunship - Flagship	8	50	7	6	R	9		Precision | Fairwind can attack Ground units in your opponent's build zone. | Pay 1 Force -> Evade 1 | Reserves: Tap -> Fairwind does 4 dice of damage to one of your opponent's units in the Ground arena.		TOR
Fate of the Weak	RO2	ROT010_Fate_of_the_Weak	D	Battle						R	10		Discard your unit with the lowest build cost from the Character arena -> Your opponent loses 2 Force. Then discard one of your opponent's units with printed build cost equal or less than that unit from the Character arena.		TOR
