Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Admiral Ackbar (A)	ROTJ	Admiral_Ackbar_A	L	Character	Rebel Mon Calamari Officer	8	20	2	5	R	1		Each of your Rebel Space units gets +3 power.		WOTC, REB, EP456
Anakin Skywalker (K)	ROTJ	Anakin_Skywalker_K	L	Character	Jedi Master	6	20	2	6	R	2		Pay 2 Force -> Evade 2 | When Anakin is discarded from the Character arena, gain 6 Force.		WOTC, REB, EP456
Anakin's Spirit (A)	ROTJ	Anakins_Spirit_A	L	Character	Jedi Spirit	4	30	0	2	R	3	Text erratum in the last ability. | You may have Anakin's Spirit in the arena at the same time as Anakin Skywalker or Darth Vader. They do not stack or contest. | Anakin's Spirit still counts as a unit and may be targeted by effects that target units. | You may have either Princess Leia or Luke Skywalker in the arena. You don't need both to get the Force gain.	Anakin's Spirit doesn't count toward controlling the Character arena. | Prevent all damage to and done by Anakin's Spirit. | When your build step starts, if you have Luke Skywalker or Princess Leia in the Character arena, gain 2 Force.		WOTC, REB, EP456
Bargain with Jabba	ROTJ	Bargain_with_Jabba	N	Mission		3				R	4	Text erratum | Draw as many cards as you can up to 6.	Draw 6 cards. Set aside the cards that are in your hand face up. Choose one of those cards and put it into your hand. Then your opponent chooses one of those cards and puts it into your discard pile. Repeat until no cards remain set aside.		WOTC, REB, EP456
Bib Fortuna (A)	ROTJ	Bib_Fortuna_A	N	Character	Tatooine Twi'lek Smuggler	6	30	3	4	R	5		Pay 0 Force -> Choose one of your neutral units in any arena. Put that unit facedown under Bib Fortuna. He gets +20 speed, +2 power, and +2 health for each card under him. (Cards put under Bib Fortuna in this way are not part of his stack and are not in play.) Play only when no unit is attacking.		WOTC, REB, EP456
Chewbacca (J)	ROTJ	Chewbacca_J	L	Character	Rebel Wookiee	7	40	5	5	R	6		Pay 2 Force -> Retaliate 4 | [Pilot] Speeder and Walker pilot. The Speeder or Walker gets: * +2 speed. * Accuracy 1. * Pay 2 Force -> Retaliate 4.		WOTC, REB, EP456
Darth Vader (P)	ROTJ	Darth_Vader_P	D	Character	Dark Jedi - Sith Lord	8	40	6	6	R	7		Choose one of your units and discard it -> Disrupt a Battle card unless its controller pays 4 Force. | Choose one of your units and discard it -> Darth Vader gets +X power, where X is equal to that unit's build cost, until end of turn. | Pay 3 Force -> Evade 2		WOTC, REB, EP456
Death Star II (B)	ROTJ	Death_Star_II_B	D	Space	Imperial Battle Station	14	10	15	15	R	8		[tap] -> Discard a Capital Ship of your choice from the Space arena. Play only when Death Star II would attack.		WOTC, REB, EP456
Emperor Palpatine (E)	ROTJ	Emperor_Palpatine_E	D	Character	Dark Jedi Master	6	20	3	5	R	9	If R2-D2's Heroism is played, you can't win the game. | You can't remove corruption counters from Pilots on units. | Palpatine's third effect is Only concerned with units in play.	Pay 2 Force, pay 1 build, and tap -> Put a corruption counter on a unit in any arena. Play only during your build step. | If Palpatine is discarded from play, remove all corruption counters from your opponent's units. | When all of your opponent's units have corruption counters on them, you win the game. | Pay 1 Force -> Evade 2		WOTC, REB, EP456
Endor Imperial Fleet	ROTJ	Endor_Imperial_Fleet	D	Space	Imperial	10	10	8	8	R	10		Hidden Cost 3 | Overkill		WOTC, REB, EP456
Endor Rebel Fleet	ROTJ	Endor_Rebel_Fleet	L	Space	Rebel	10	10	7	7	R	11		This unit gets +1 power and +1 health for each other Space unit you have in the Space arena.		WOTC, REB, EP456
Endor Shield Generator	ROTJ	Endor_Shield_Generator	D	Ground	Imperial Fortification	6	0	3	5	R	12		You may choose not to untap this unit during your untap step. | Upkeep: Pay 1 build point or return this card to its owner's hand. | [tap] -> Choose a Space unit. Play only when this unit would attack. | As long as this card remains tapped, the chosen Space unit gets Shields 4.		WOTC, REB, EP456
Ephant Mon (A)	ROTJ	Ephant_Mon_A	N	Character	Chevan Smuggler	5	20	3	5	R	13		Upkeep: Pay 1 build point or tap Ephant Mon. | Hidden Cost 2 | Whenever Ephant Mon attacks, You may search your opponent's hand and deck for one Battle or Mission card and put it into his or her discard pile. Then your opponent shuffles his or her deck.		WOTC, REB, EP456
Endor Regiment	ROTJ	Endor_Regiment	D	Ground	Imperial	8	20	8	8	R	14		As long as there is a Location in the Ground arena, this unit gets +20 speed. Whenever this unit attacks a Rebel unit, it gets +2 power for that attack.		WOTC, REB, EP456
Free Tatooine	ROTJ	Free_Tatooine	L	Location	Space/Ground/Character - Rebel Tatooine	1				R	15	Text erratum (First effect removed.)	When your build step starts, you may take a card from your discard pile and put it on the bottom of your deck.		WR, WOTC, REB, EP456
Han Solo (K)	ROTJ	Han_Solo_K	L	Character	Rebel Officer - Smuggler	9	50	5	5	R	16		Accuracy 1 | Lucky 2 | Each of your other Rebel Ground units and Rebel Characters gets Lucky 2.		WOTC, REB, EP456
Home One (A)	ROTJ	Home_One_A	L	Space	Rebel Mon Calamari Capital Ship	8	20	7	7	R	17		Each Battle card you play during the Space battle step costs 1 less Force to play. | Shields 1		WOTC, REB, EP456
Honor the Fallen	ROTJ	Honor_the_Fallen	L	Mission		2				R	18		Gain 1 Force for each Jedi Character card in your discard pile.		WOTC, REB, EP456
Jabba the Hutt (A)	ROTJ	Jabba_the_Hutt_A	N	Character	Tatooine Hutt Crime Lord	6	20	3	7	R	19		Jabba gets +1 power for each Tatooine unit in any arena.		WOTC, REB, EP456
Jabba's Dancers	ROTJ	Jabbas_Dancers	N	Character	Tatooine Entertainers	3	10	1	3	R	20	This unit's ability does not trigger again on Intercept. (Intercept does not create a new attack.)	Whenever this unit attacks, gain 1 Force.		WOTC, REB, EP456
Jabba's Palace	ROTJ	Jabbas_Palace	N	Location	Character - Tatooine	4				R	21		Each neutral unit gets +10 speed, +1 power, and +1 health.		WOTC, REB, EP456
Jabba's Spies	ROTJ	Jabbas_Spies	N	Character	Tatooine Smuggler	6	40	5	6	R	22		Hidden Cost 3 | Discard this unit -> Disrupt a Battle card unless your opponent pays 3 Force.		WOTC, REB, EP456
Lando Calrissian (H)	ROTJ	Lando_Calrissian_H	L	Character	Diplomat - Rebel Officer - Smuggler	6	40	5	5	R	23		Hidden Cost 2 | [tap] -> Choose a neutral unit. That unit gets either - 4 power or +4 power until end of turn. Play only when no unit is attacking.		WOTC, REB, EP456
Luke Skywalker (N)	ROTJ	Luke_Skywalker_N	L	Character	Rebel Jedi Knight	9	40	6	6	R	24		Pay 5 Force -> Evade 2 | [tap], Pay X Force -> Choose a Dark Side Character with a build cost of X or less. Gain control of that Character until the end of the Character battle step. Play only when no unit is attacking. Luke doesn't untap next turn.		WOTC, REB, EP456
Malakili (A)	ROTJ	Malakili_A	N	Character	Tatooine Corellian	5	20	2	5	R	25		Each of your Creatures gets +1 power, +1 health, and "Pay 1 Force -> Intercept".		WOTC, REB, EP456
Max Rebo Band (A)	ROTJ	Max_Rebo_Band_A	N	Character	Tatooine Musician	5	20	3	3	R	26		Each of your opponent's units in the Character arena can't attack unless he or she pays 1 Force.		WOTC, REB, EP456
Mixed Battlegroup	ROTJ	Mixed_Battlegroup	L	Space	Rebel Squad	8	40	5	5	R	27		Accuracy 1 | Critical Hit 1 | Lucky 1		WOTC, REB, EP456
Mon Mothma (A)	ROTJ	Mon_Mothma_A	L	Character	Rebel Diplomat	8	20	1	4	R	28	if Mon Mothma (A) Intercepts an attack (such as when Jabba the Hutt (C) is in play) and the Dark Side player refuses to pay the Force to attack Mon Mothma (A), the Intercept does not take place, and the defender is the same as it was before the Intercept attempt.	[tap] -> Each of your Rebel units costs 1 fewer build counter to deploy. Play only during your build step. | [tap] -> Each of your Rebel units gets +1 power and Accuracy 1 until end of turn. | Your opponent can't attack Mon Mothma unless he or she pays 2 Force.		WOTC, REB, EP456
