Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Anakin Skywalker (M)	ROTS	ROTS001_Anakin_Skywalker_M_HD	L	Character	Jedi Knight	7	40	6	6	R	1	The Evade ability is not part of Anakin's Pilot ability. You can only use it while Anakin is in the Character arena.	[Pilot] Starfighter and Capital Ship Pilot. The Starfighter or Capital Ship gets: * +10 speed. * Armor. | Pay 2 Force -> Evade 1		WOTC, REP, CW
Bail Organa (B)	ROTS	ROTS002_Bail_Organa_B_HD	L	Character	Alderaanian Diplomat	5	30	2	3	R	2	You may tap one of your opponent's units in the build zone to tap.	Pay 2 build points, [tap] -> Tap one of your opponents units. Play only during your build step.		WOTC, REP, CW, REB
Chewbacca (M)	ROTS	ROTS003_Chewbacca_M_HD	L	Character	Wookiee	8	30	4	8	R	3	Chewbacca's presence in play is not a condition of his first ability. If Chewbacca is not in play when the chosen unit would be discarded (or he has been taken out of play and returned to play), you still remove all damage counters from that unit, but you do not discard Chewbacca.	When you deploy Chewbacca, choose another unit in the Character arena. When that unit would be discarded, you may remove all damage counters fromt hat unit and discard Chewbacca instead. | Pay 1 Force -> Intercept | Pay 2 Force -> Retaliate 4		WOTC, REP, CW, REB
Commerce Guild Droid 81-X	ROTS	ROTS004_Commerce_Guild_Droid_81-X_HD	D	Ground	Commerce Guild Droid	3	40	2	4	R	4		Critical Hit 2 | Ion Cannon 2		WOTC, REP, CW
Commerce Guild Starship ROTS	ROTS	ROTS005_Commerce_Guild_Starship_ROTS_HD	D	Space	Commerce Guild Transport	6	10	4	7	R	5		Put 1 damage counter on this unit -> Gain 1 build point. Play only during your build step. | Shields 1		WOTC, REP, CW
Coruscant Shuttle	ROTS	ROTS006_Coruscant_Shuttle_HD	L	Ground	Jedi Speeder	4	40	3	3	R	6		When you deploy this unit, you may search your deck for a Jedi card, show it to your opponent, and put it into your hand. Then shuffle your deck. | Pay 1 Force -> Evade 1		WOTC, REP, CW
Darth Sidious (G)	ROTS	ROTS007_Darth_Sidious_G_HD	D	Character	Dark Jedi Master Sith Lord	7	30	4	6	R	7	Sidious's first ability does not increase the cost of activated abilities that do not have a Force cost. However, while there are Nexu in play, Sidious's ability extends to all activated abilities affected by those Nexu.	Each of your opponent's activated abilities that cost 0 or more Force costs 1 additional Force to play. | Pay 4 Force, discard one of your units from any arena -> Gain control of one of your opponent's units in the same arena with equal or less build cost until end of battle. Play only during your build step. | Pay 1 Force -> Evade 2		WOTC, REP, CW, REB
Darth Tyranus (I)	ROTS	ROTS008_Darth_Tyranus_I_HD	D	Character	Dark Jedi Master - Sith Lord	6	50	6	4	R	8		Pay 2 Force -> Evade 2 | Equipment costs 1 less Force and 1 less build point to attach to this unit.		WOTC, REP, CW
Darth Vader (R)	ROTS	ROTS009_Darth_Vader_R_HD	D	Character	Dark Jedi Knight Sith Lord	10	60	6	6	R	9	Vader's Deflect also can't be prevented.	Hidden Cost 5 | Damage from Vader can't be prevented. | Pay 2 Force -> Deflect 1 | Pay 3 Force -> Evade 2		WOTC, REB
Darth Vader (S)	ROTS	ROTS010_Darth_Vader_S_HD	D	Character	Dark Jedi Knight Sith Lord	11	50	7	7	R	10	Text erratum in the first ability. | The first ability does not tap Vader, so Vader may still attack.	Pay 3 Force -> Put 3 damage counters on any Character unit. Play only when Vader would attack, and only once per turn. | Armor | Pay 2 Force -> Evade 2		WOTC, REB
Dismiss	ROTS	ROTS011_Dismiss_HD	N	Battle						R	11		Pay 4 Force, discard a card from your hand -> Disrupt a Battle card or activated ability.		WOTC, REP, CW
Droid Security Escort	ROTS	ROTS012_Droid_Security_Escort_HD	D	Character	Separatist Droid	6	40	5	6	R	12		Pay 1 Force -> Intercept | Accuracy 1 | Stun 3		WOTC, REP, CW
Engine Upgrade	ROTS	ROTS013_Engine_Upgrade_HD	N	Equipment	Space	2				R	13		Pay 2 build points -> Equip. | Equipped Space unit gets +20 speed.		WOTC, REP, CW
Foil	ROTS	ROTS014_Foil_HD	N	Battle						R	14		Pay 3 Force -> Disrupt a Mission		WOTC, REP, CW
Palpatine's Sanctum	ROTS	ROTS015_Palpatines_Sanctum_HD	D	Location	Character	0				R	15	Anakin Skywalker does not get the bonuses from this card.	Whenever Vader damages one of your opponent's Jedi and that unit is discarded, put two mastery counters on Palpatine's Sanctum. Vader gets +1 power and +1 health for each mastery counter on Palpatine's Sanctum.		WOTC, REP, CW
Grand Moff Tarkin (D)	ROTS	ROTS016_Grand_Moff_Tarkin_D_HD	D	Character	Imperial Diplomat	4	30	4	4	R	16		Each of your Capital ships and Battle Stations gets +1 power and Critical Hit 1.		WOTC, REP, CW
