Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Attack Position	RS	RS001_Attack_Position	N	Mission		5				R	1		When the battle phase starts, each Space and Ground unit loses its abilities except Deflect, Evade and Overkill until end of turn. This turn, whenever one of those units attacks, instead of rolling dice, it does X damage, where X is its printed power.		NEW, LEG
Baron Soontir Fel (B)	RS	RS002_Baron_Soontir_Fel_B	L	Character	Rogue New Republic Officer	7	40	4	4	R	2		Accuracy 2 | Starfighter Pilot. The Starfighter gets: -Accuracy 2 -Critical Hit 2		NEW, LEG
Black Asp (A)	RS	RS003_Black_Asp_A	D	Space	Imperial Capital Ship	6	20	4	6	R	3		Your opponent's Space units can't retreat. | Pay X Force -> One of your opponent's Space units gets -10 times X speed and loses Precision until end of turn. Play up to 2 times per turn.		NEW, LEG
Captain Dllr Nep (A)	RS	RS004_Captain_Dllr_Nep_A	L	Character	Sullustan Rogue New Republic Officer	4	30	3	4	R	4		Treat Dllr Nep as a Force Sensitive. | Starfighter Pilot. The Starfighter gets:   - Foresight: Remove 1 damage counter from this unit. -Each of your opponent's Space units loses Stealth.  - Pay 1 Force -> Deflect 1		NEW, LEG
Captain Ten Numb (A)	RS	RS005_Captain_Ten_Numb_A	L	Character	Sullustan Rogue New Republic Officer	4	40	3	3	R	5		Treat Ten as a Bounty Hunter. | Starfigher Pilot. The Starfighter gets:  +2 power  - When your build step starts, you may reveal a partially built Location card in your build zone to your opponent. If you do, put 1 build counter on it.   - Pay 1 Force -> Evade 1		NEW, LEG
Cartariun (A)	RS	RS006_Cartariun_A	D	Character	Devaronian Imperial Force Sensitive	7	20	3	6	R	6		Tap -> Choose a non-Jedi in the Character arena. The next time the chosen unit would attack this turn, you may have it attack a unit of your choice in the Character arena. Play only when the Ground step ends.		NEW, LEG
Cartariun (B)	RS	RS007_Cartariun_B	D	Character	Devaronian Imperial Force Sensitive	6	20	3	6	R	7		When the Space battle step starts, you may pay 3 Force. If you do, take 2 50/3/2 Malrev TIE Squadron Subordinates with "When Cartariun would be discarded or retreated from any arena, return this unit to your supply." and put them into the Space arena. 	<s><l>Pay 3 Force to spawn 2 Malrev TIE Squadrons</l><f>/spawn Malrev TIE Squadron;/spawn Malrev TIE Squadron;/player stat1 -3;/s pays 3 Force to spawn 2 Malrev TIE Squadron subordinates using Cartariun (B) at the beginning of the Space battle step</f></s>	NEW, LEG
Cartariun (C)	RS	RS008_Cartariun_C	D	Character	Devaronian Imperial Force Sensitive	6	20	3	5	R	8		Return one of your Subordinates from any arena to your supply -> Put 2 damage counters on one of your opponent's damaged units in that arena. Play up to 2 times per turn and only during your build step. | Pay 1 Force -> Evade 2		NEW, LEG
Ciplar Walker Squad	RS	RS009_Cilpar_Walker_Squad	D	Ground	Imperial Walker Squad	6	40	4	4	R	9		Armor | Stealth | This unit can attack your opponent's units in the Character arena.		NEW, LEG
Commander Wedge Antilles (D)	RS	RS010_Commander_Wedge_Antilles_D	L	Character	Rogue New Republic Officer	5	40	3	4	R	10		Each of your other Rogue New Republic Officers gets +1 health. | Starfighter Pilot. The Starfighter gets:  - +1 power  - Critical Hit 2  - Ground card type  - Switch: Precision/+10 speed.		NEW, LEG
Commander Wedge Antilles (E)	RS	RS011_Commander_Wedge_Antilles_E	L	Character	Rogue New Republic Officer	5	40	4	3	R	11		When Wedge would be discarded from any arena, you may pay 2 Force. If you do, retreat him and put or remove damage counters from him until he has 1 remaining health instead. | Squadron Pilot. The Squadron gets:   - +10 speed  - Accuracy 1   - Precision		NEW, LEG
Continue the Fight	RS	RS012_Continue_the_Fight	L	Battle						R	12		Pay 7 Force -> Choose an arena. Each of your Light Side units in the chosen arena get Double Strike when attacking a Dark Side unit until end of turn.		NEW, LEG
Corellian Stormtrooper Squad	RS	RS013_Corellian_Stormtrooper_Squad	D	Ground/Character	Imperial Stormtrooper Squad	6	50	4	5	R	13		Switch: Stealth / Accuracy 1 | Tap -> Do 3 damage to one your opponent's units in the Ground or Character arena. Play only when no unit is attacking.		NEW, LEG
Dangerous Mission	RS	RS014_Dangerous_Mission	L	Mission		2				R	14		Put up to X damage counters on one of your units in any arena, where X is that unit's total health. Then put the same number of damage counters on one of your opponent's units in the same arena.		REB, NEW, LEG
Delta-Class DX-9 Transport	RS	RS015_Delta_Class_DX_9_Transport	D	Space/Ground	Imperial Transport	7	30	4	4	R	15		Switch: Bombard 1/Ion Cannon 1| Shields 1 | When you deploy this unit, take 1 50/3/3 Stormtrooper Team Subordinate and put it into the Ground arena. | Pay 2 Force -> This unit gets Fury 2 for this attack. Play only if this unit is in the Space arena.	<s><a>y</a><l>Spawn Stormtrooper Team</l><f>/spawn Stormtrooper Team;/s spawns Stormtrooper Team subordinate upon deployment of Delta-Class DX-9 Transport</f></s>	NEW, LEG
Dogfight	RS	RS016_Dogfight	N	Mission		4				R	16		This turn, only Squadrons and Starfighters can attack during the Space battle step.		REB, NEW, LEG
Eidolon Base	RS	RS017_Eidolon_Base	D	Location	Ground - Imperial Facility	3				R	17		When your build step starts, you may choose one: Take 1 Subordinate with the Stormtrooper subtype and put it beneath this Location. Or: Take 1 Subordinate with the Stormtrooper subtype from beneath this Location and put it into its arena. That Subordinate gets +10 speed and Precision until end of turn.		NEW, LEG
Elscol Loro (A)	RS	RS018_Elscol_Loro_A	L	Character	Cilparian Rebel Soldier	5	40	5	5	R	18		Stealth | Tap -> Tap one of your opponent's non-Jedi Characters. If that Character 1 or more Equipmment attached, you may discard one of them. Play only during your build step. 		NEW, LEG
Erisi Dlarit (A)	RS	RS019_Erisi_Dlarit_A	D	Character	Imperial Spy	5	40	3	4	R	19		Hidden Cost 3 | Tap -> Choose one:  Search your deck for a Battle card, show it to your opponent, and put it into your hand. Shuffle your deck. Or:  Tap one of your opponent's Rogues.		NEW, LEG
Fighting Withdrawal	RS	RS020_Fighting_Withdrawal	L	Battle						R	20		Pay 3 Force -> Retreat one of your Characters and roll a die. If you rol a 4 or more, put 3 damage counters on one of your opponent's units in the Character arena. Play only when no unit is attacking. | Pay 4 force -> Meditate		NEW, LEG
Firith Olan (A)	RS	RS021_Firith_Olan_A	N	Character	Twi'lek Crime Lord	6	30	3	6	R	21		Tap -> Choose one: Add 1 counter to your Resource. Or: Gain 2 build points unless your opponent taps one of his or her Characters. Play only during your build step.		NEW, LEG
