Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Boba Fett (I)	SAV	Boba_Fett_I	N	Character	Bounty Hunter	8	50	6	6	R	1		Bounty: You may search your deck for a Boba Fett card, show it to your opponent, and put it into your hand. Shuffle your deck. | Armor | When the Character battle step starts, choose one: Boba gets +20 speed until end of turn, or Boba gets +2 power until end of turn.		REB, EP456
Boba Fett's Jetpack (A)	SAV	Boba_Fetts_Jetpack_A	N	Equipment	Character	2				R	2		Pay 1 build point -> Equip | Equipped Character unit gets +20 speed. | Equipped Boba Fett also gets "Pay 0 Force -> Evade 1."		REB, EP456
Bounty Hunter Team	SAV	Bounty_Hunter_Team	N	Ground	Bounty Hunter Squad	6	60	5	5	R	3		Upkeep: Pay 1 build point or tap this unit. | Bounty: Put 1 build counter on each partially built card in your build zone.		REB, EP456
Contract Termination	SAV	Contract_Termination	D	Mission		2				R	4		Discard one of your units with Upkeep. Gain any combination of build points or Force equal to half of that unit's build cost (round up).		CW, REP
Dash Rendar (B)	SAV	Dash_Rendar_B	N	Character	Independent Smuggler	7	40	5	5	R	5		Bounty: Draw a card. | Dash gets +1 power and +1 health for each Equipment attached to him.		REB
Escort Carrier	SAV	Escort_Carrier	D	Space	Imperial Transport	5	30	3	4	R	6		Reserves: [tap] -> Search your deck for up to two Starfighter unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. Play only during your build step.		REB
Grk'Urr'Akk (A)	SAV	GrkUrrAkk_A	N	Character	Tatooine Tusken Warrior	5	40	4	3	R	7		Each of your Tuskens gets Parry 1.		REP
Havoc (A)	SAV	Havoc_A	N	Space	Pirate Starfighter	5	30	4	4	R	8		[tap], Put 2 damage counters on Havoc -> Discard one of your opponent's Locations from the Ground arena. Play only when Havoc would attack. | Bombard 4		REP
I'm Nice Men	SAV	Im_Nice_Men	L	Battle						R	9		Tap Princess Leia -> Remove all damage counters from Han Solo. Gain 4 Force. Play only if Princess Leia is in the Character arena.		REB, EP456
Imperial City	SAV	Imperial_City	D	Location	Ground/Character - Imperial	4				R	10		Each of your Imperial units costs one less build counter to deploy.		REB
ISB Agents	SAV	ISB_Agents	D	Ground	Imperial Spy	5	40	3	3	R	11		Stealth | Each of your opponent's Rebel Ground units gets -1 power.		REB, EP456
Jabba's Court	SAV	Jabbas_Court	N	Location	Character - Tatooine	2				R	12		When your build step starts, you may search your deck for a Bounty Hunter unit card, show it to your opponent, and put it into your hand. Shuffle your deck.		REB, EP456
Jango Fett (H)	SAV	Jango_Fett_H	D	Character	Bounty Hunter	7	40	6	5	R	13		Stealth | [tap], Do one damage to Jango -> Disrupt a Battle or Mission card.		REP
Jawa Trader	SAV	Jawa_Trader	N	Character	Tatooine Jawa	3	30	1	2	R	14		Each of your Jawas gets Lucky 1. | [tap] -> Draw a card, then discard a card from your hand. Play only during your build step.		REB, EP456
Lady Luck (A)	SAV	Lady_Luck_A	L	Space	Bespin Transport	5	50	4	4	R	15		Shields 1 | Each of your Smugglers gets Lucky 1.		REP, CW, REB
Lando Calrissian (J)	SAV	Lando_Calrissian_J	L	Character	Diplomat - Rebel Officer - Smuggler	6	40	4	4	R	16	The abilities he gains from the Bounty are in addition to his own.	Bounty: Lando gets all the abilities of the unit he gained this Bounty from until end of turn. | Stealth		REB, EP456
Luke's Ultimatum	SAV	Lukes_Ultimatum	L	Mission		2				R	17		Your opponent must choose one: he or she puts one damage counter on each of his or her Characters, or you remove one damage counter from each of your Characters.		REB, EP456
Luke's X-wing (E)	SAV	Lukes_X_wing_E	L	Space	Rebel Jedi Starfighter	5	60	3	3	R	18	RESTRICTED in Vintage (to 1 copy per deck)	Armor | Lucky 1 | Whenever Luke's X-wing is attacked, if it has a Pilot on it, remove 1 damage counter from Luke's X-wing.		VR, REB, EP456
Mara Jade (C)	SAV	Mara_Jade_C	D	Character	Imperial Agent - Dark Jedi	6	50	5	4	R	19		Pay 3 Force -> Mara gets -20 speed until end of turn. Play only before any Character attacks. | Parry 1 | Stealth | Pay 2 Force -> Deflect 1		REB
Millennium Falcon (K)	SAV	Millennium_Falcon_K	N	Space	Independent Transport	4	40	5	5	R	20		The Millennium Falcon can have an extra Pilot. | Upkeep: Pay 1 build point or tap the Millennium Falcon. | When the Space battle step begins, choose one: the Millennium Falcon gets +20 speed or Lucky 2 until end of turn.		REB, EP456
Nym (A)	SAV	Nym_A	N	Character	Feeorin Pirate	5	30	5	4	R	21		[Pilot] Starfighter Pilot. The Starfighter gets: * +1 power * Armor		REP
Obi-Wan's Hut	SAV	Obi_Wans_Hut	L	Location	Character - Tatooine Jedi Shelter	2				R	22		When the Character battle step starts, you may search your deck for a Luke Skywalker card, show it to your opponent, and put it into your hand. Shuffle your deck.		REB
Pirate Raiders	SAV	Pirate_Raiders	N	Space	Pirate Fleet	6	40	8	6	R	23		Upkeep: Discard 1 card from your hand or tap this unit. | Bounty: Remove up to 3 damage counters from one of your Bounty Hunters, Pirates, or Smugglers.		REP, CW, REB
Prince Xizor (B)	SAV	Prince_Xizor_B	N	Character	Black Sun Crime Lord	9	40	7	7	R	24		Stealth | Each time Xizor would be damaged, prevent 1 of that damage.		REB
Sandtrooper Search Party	SAV	Sandtrooper_Search_Party	D	Ground	Imperial Clone Stormtrooper Squad	5	30	4	5	R	25		Your opponent builds all cards face up.		REB, EP456
Secret Compartments	SAV	Secret_Compartments	N	Equipment	Space	0				R	26		Pay 2 build points -> Equip | Equipped Transport gets "[tap] -> Choose one of your Smugglers with speed 30 or higher. That Smuggler gets Stealth until end of turn. Play only when this unit would attack."		REB, EP456
Slave I (G)	SAV	Slave_I_G	N	Space	Bounty Hunter - Patrol Ship	5	40	5	3	R	27		Bounty: Draw 2 cards. | Stealth		REB, EP456
Smuggling Run	SAV	Smuggling_Run	N	Mission		2				R	28		When the battle phase starts, choose one of your Transports in the Space arena and one of your Smugglers in the Character arena. When the Character battle step ends, if the chosen Transport and Smuggler units are still in those arenas, you gain +5 build points next turn.		REB, EP456
Vader's TIE Fighter (C)	SAV	Vaders_TIE_Fighter_C	D	Space	Imperial Dark Jedi - Sith Starfighter	5	50	4	3	R	29	The retreat effect works even when a discard effect is played.	Vader's TIE Fighter gets Accuracy and Overkill as long as it's attacking a Starfighter. | As long as Darth Vader is in any arena, if Vader's TIE Fighter would be discarded from the Space arena, retreat it and remove all damage counters from it instead. You lose 2 Force. | Pay 2 Force -> Deflect 1		REB, EP456
Zam's Airspeeder (C)	SAV	Zams_Airspeeder_C	D	Ground	Bounty Hunter - Coruscant Speeder	2	60	1	1	R	30		Discard Zam's Airspeeder from the Ground arena -> Choose one of your Bounty Hunters with Stealth. That unit gets +4 power and Accuracy 1 until end of turn. Play only during your build step.		REP
Boba Fett's Armor (A)	SAV	Boba_Fetts_Armor_A	N	Equipment	Character	2				U	31		Pay 1 build point -> Equip | Equipped Bounty Hunter gets +2 health. | Equipped Boba Fett also gets Shields 1.		REB, EP456
Blown Cover	SAV	Blown_Cover	N	Battle						U	32		Pay 2 Force -> Choose one of your opponent's units with Stealth. That unit loses Stealth until end of turn. | Enhance: Pay 3 more Force -> Choose an arena. Each of your opponent's units in that arena lose Stealth until end of turn instead.		REB, EP456
Bothan Spy	SAV	Bothan_Spy	L	Character	Rebel Bothan Spy	4	40	4	4	U	33		Upkeep: Put 1 damage counter on this unit. | Bounty: You may search your opponent's deck for a Mission card and discard it. Your opponent then shuffles his or her deck. | Stealth		REB
Bubo (A)	SAV	Bubo_A	N	Character	Tatooine Creature	4	40	6	2	U	34		Stun 2		REB, EP456
Carbon Sickness	SAV	Carbon_Sickness	N	Battle						U	35		Pay 3 Force -> Choose one of your opponent's Characters. That Character gets Accuracy -1 until end of turn.		REB, EP456
Coruscant Traffic	SAV	Coruscant_Traffic	N	Ground	Coruscant	5	30	2	6	U	36		Each other Ground unit gets -20 speed.		REP
Electrobinoculars	SAV	Electrobinoculars	N	Equipment	Character	0				U	37		Pay 1 build point -> Equip | Equipped Character unit gets "When your build step starts, choose one: look at your opponent's hand or gain 1 Force."		REB, EP456
Fett's Determination	SAV	Fetts_Determination	N	Battle						U	38		Pay 5 Force -> Untap one of your Bounty Hunters.		REB, EP456
Gambler's Luck	SAV	Gamblers_Luck	N	Battle						U	39		Pay 3 Force -> Choose one of your Characters. That Character gets Lucky 2 until end of turn.		REB, EP456
Garindan (B)	SAV	Garindan_B	N	Character	Imperial Kubaz Spy	4	30	2	2	U	40		Stealth | Each of your Stormtroopers gets +10 speed.		REB, EP456
Han Solo (L)	SAV	Han_Solo_L	L	Character	Rebel Smuggler	5	30	1	5	U	41		Accuracy -1 | Critical Hit 4 | Lucky 1		REB, EP456
Imperial Security Escort	SAV	Imperial_Security_Escort	D	Ground	Imperial Squad	4	20	3	4	U	42		When you deploy this unit, choose one Equipment attached to one of your opponent's Characters. Detach that Equipment and move it to your opponent's build zone.		REB, EP456
