Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Anakin Solo (C)	SBS	SBS001_Anakin_Solo_C	L	Character	New Republic Jedi Knight	9	60	5	5	R	1		Inspiration | When you deploy Anakin, gain 1 Force. | When Anakin is discarded from the Character arena, gain 3 Force. | Each of your other Jedi gets "Foresight: Gain 1 Force." | Pay 3 Force -> Evade 3		NEW, LEG
Anakin Solo's Lightsaber (A)	SBS	SBS002_Anakin_Solo_s_Lightsaber_A	L	Equipment	Ground/Character - Lightsaber Weapon	2				R	2		Pay 2 Force -> Equip | Equipped Jedi gets +20 speed and "Each Yuuzhan Vong in this arena loses Stealth." | Equipped Anakin Solo also gets Accuracy 1, Precision, and "Whenever Anakin is attacked and the attacking unit does no damage (after damage prevention), untap Anakin."		NEW, LEG
Baanu Rass (A)	SBS	SBS003_Baanu_Rass_A	Y	Space	Yuuzhan Vong Capital Ship 	9	10	6	10	R	3		Damage Control 1 | Shields 1 | When you deploy Baanu Rass, you may search your deck for a Location card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | Each of your Creatures costs 1 less build counter to deploy.		NEW, LEG
Cilghal (A)	SBS	SBS004_Cilghal_A	L	Character	Mon Calamari New Republic Jedi Master	8	60	5	7	R	4		When you deploy Cilghal, you may remove 1 damage counter from each of your Characters. | Whenever you gain Force, you may put 1 damage counter on Cilghal. If you do, remove 1 damage counter from one of your Ground units or other Characters. | Pay 2 Force -> Remove 1 damage counters from one of your other Characters. Play only when no unit is attacking.		NEW, LEG
Czulkang Lah (A)	SBS	SBS005_Czulkang_Lah_A	Y	Ground/Character	Yuuzhan Vong Officer 	11	20	8	7	R	5		Inspiration | When the battle phase starts, if you deployed 3 or more Yuuzhan Vong this turn, each Yuuzhan Vong gets +2 power until end of turn. | When Czulkang is discarded from any arena, you may search your deck for a Tsavong Lah unit card. If you do, show it to your opponent and put it into your build zone with 2 build counters on it. Shuffle your deck.		NEW, LEG
Domain Lah (A)	SBS	SBS006_Domain_Lah_A	Y	Ground	Yuuzhan Vong Officer Squad	9	50	8	6	R	6		Stack: Any unique Character with "Lah' in its name. | Foresight: Add X counters to your Resource, where X is the number of cards in Domain Lah's stack. | Remove 4 counters from your Resource -> Take 1 50/4/3 Yuuzhan Vong Warrior Team Subordinate with "Armor" and put it into the Ground or Character arena. | Remove 1 counter from your Resource -> Deflect 1	<s><l>Spawn Yuuzhan Vong Warrior Team</l><f>/spawn Yuuzhan Vong Warrior Team;/s spawns Yuuzhan Vong Warrior Team subordinate using Domain Lah (A) and MUST remove 4 counters from their resource</f></s>	NEW, LEG
End of the World	SBS	SBS007_End_of_the_World	N	Event						R	7		Whenever a unit is discarded from any arena, remove it from the game. | When the battle phase ends, you may discard a card from your hand and remove this Event from the game. If you do, discard a Location from any arena.		NEW, LEG
Fall of Coruscant	SBS	SBS008_Fall_Of_Coruscant	Y	Mission - Campaign		2				R	8		When each turn starts, if 2 or more of your opponent's units were discarded from the same arena last turn, choose one: Each of your units in that arena gets +1 power and Fury 1 until end of turn. Or: Discard the Location from that arena.		NEW, LEG
First Kiss	SBS	SBS009_First_Kiss	L	Battle						R	9		Play only if Anakin Solo and Tahiri Veila are in the Character arena. | Choose one: Tap Anakin Solo -> Gain 4 Force and remove all damage counters from Tahiri Veila. | Or: Tap Tahiri Veila -> Gain 4 Force and remove all damage counters from Anakin Solo		NEW, LEG
Hero's Sacrifice	SBS	SBS010_Hero_s_Sacrifice	L	Battle						R	10		Pay 5 Force -> One of your Characters gets Critical Hit 3, Double Damage, and Overkill for this attack. When the attack ends, discard that Character.		NEW, LEG
