Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Dark Lord's Throne (A)	SITH	Dark_Lords_Throne_A	D	Equipment	Character	2				R	1		Pay 3 Force -> Equip | Equipped Sith Lord or Sith Master gets +2 power and ?Each of your other Sith gets +2 power. Whenever one of those Sith attacks but does no damage, discard that unit.? 		TOR
Darth Bane (A)	SITH	Darth_Bane_A	D	Character	Dark Jedi - Sith Master	11	60	8	7	R	2		As long as you have only Darth Bane and a Sith Lord or Sith Apprentice in the Character arena, they get +2 power and Fury 2. | Pay 4 Force -> Deflect 2 |  Pay 2 Force -> Evade 3		TOR
Darth Bane's Lightsaber (A)	SITH	Darth_Banes_Lightsaber_A	D	Equipment	Character - Lightsaber Weapon	2				R	3		Pay 2 Force -> Equip | Equipped Jedi or Sith gets +10 speed and Critical Hit 1. | Equipped Darth Bane also gets "Whenever Darth Bane is attacked and the attacking unit does no damage, untap Darth Bane and he gets -4 and Double Strike until end of turn."		TOR
Darth Caedus (A)	SITH	Darth_Caedus_A	D	Character	Dark Jedi - Sith Master	8	60	4	7	R	4		Caedus gets -10 speed and +1 power for each damage counter on him. | Choose a Battle or Mission card in your opponent's discard pile, pay its costs (if any) and remove it from the game -> Get the effects of that card once this turn. Play only when that card could be played. | Pay 3 Force -> Evade 2		NEW, NJO, LEG
Darth Krayt (A)	SITH	Darth_Krayt_A	D	Character	Dark Jedi - Sith Master	9	40	6	6	R	5		Upkeep: Put 1 damage counter on Darth Krayt or discard a Sith card from your hand. | Armor | As long as you have at least X other Sith in any arenas, Darth Krayt gets each of the following abilities up to X:  * 3: Parry 1 and Fury 3. * 5: +20 Speed and Accuracy 1. * 6: +2 Power and "Bounty: Remove 1 damage counter form Krayt."		LEG
Darth Krayt's Lightsaber (A)	SITH	Darth_Krayts_Lightsabers_A	D	Equipment	Character - Lightsaber Weapon	2				R	6		Pay 2 Force -> Equip | Equipped Jedi or Sith gets "Pay 2 Force -> This unit gets +2 power for this attack." | Equipped Darth Krayt also gets "Whenever Krayt would be damaged, you may put any number of damage counters on one of your other Sith Characters. If you do, prevent that much damage to Krayt."		LEG
Darth Krayt's Tower	SITH	Darth_Krayts_Tower	D	Location - Corruscant	Character - Coruscant	1				R	7		Each of your Dark Jedi and Sith gets "Pay 1 Force -> This unit gets +2 power until end of turn."		LEG
Darth Malgus (B)	SITH	Darth_Malgus_B	D	Ground/Character	Dark Jedi - Sith Master	9	40	6	5	R	8		Switch: +1 healthl/Critical Hit 2  | Darth Malgus gets Critical Hit 1 as long as he is attacking a Light Side unit. | Pay 3 Force -> Evade 3		TOR
Darth Revan (A)	SITH	Darth_Revan_A	D	Character	Dark Jedi - Sith Master	10	70	7	7	R	9		Armor | Whenever damage from Revan causes a unit to be discarded, untap Revan. | Pay 2 Force -> Evade 2		TOR
Darth Sidious (L)	SITH	Darth_Sidious_L	D	Character	Dark Jedi - Sith Master	7	40	6	6	R	10	The corruption counter placement effect works any time your opponent reveals his or her hand, not just when the first effect causes him or her to do so.	Whenever Darth Sidious would be damaged, prevent that damage unless your opponent reveals his or her hand. | Whenever your opponent reveals his or her hand, put 1 corruption counter on a unit. | Remove 2 corruption counters from one of your opponent's units -> Evade 2		REP, CW
Darth Sidious's Lightsaber (A)	SITH	Darth_Sidiouss_Lightsaber_A	D	Equipment	Character - Lightsaber Weapon	2				R	11		Pay 2 Force -> Equip | You may attach Darth Sidious's Lightsaber to Darth Sidious during the battle phase. | Whenever you attach Darth Sidious's Lightsaber to Darth Sidious, Darth Sidious does 2 damage to one of your opponent's Characters. | Equipped Jedi or Sith gets +2 power and Fury 2.		REP, CW
Darth Tyranus (L)	SITH	Darth_Tyranus_L	D	Character	Dark Jedi Master - Sith Lord	9	50	5	5	R	12	The 1 damage of the first effect is added to the total damage for the attack. It is not separate damage.	Whenever you play a Mission card, you may choose an arena. If you do, whenever one of your Sith units would damage a unit in that arena this turn, it does 1 more damage. Play only once per turn. | Discard 2 cards -> Retaliate 4		REP, CW
Darth Tyranus's Lightsaber (B)	SITH	Darth_Tyranuss_Lightsaber_B	D	Equipment	Character - Lightsaber Weapon	3				R	13	Lightsaber refers to Equipment with the Lightsaber subtype. Several Equipment produced by the IDC has received errata with the Lightsaber subtype. It is searchable in Lackey. | The damage creates its own damage POP when the attack is declared. It is not added to attack damage.	Pay 2 Force, discard a card from your hand -> Equip | Equipped Jedi or Sith gets +2 power and Accuracy 1. | Equipped Darth Tyranus also gets "Whenever Darth Tyranus attacks a unit without a Lightsaber attached, Darth Tyranus does 2 damage to that unit unless your opponent pays 1 Force."		REP, CW
Darth Vader's Armor (A)	SITH	Darth_Vaders_Armor_A	D	Equipment	Character - Armor Defense	2				R	14		Whenever Darth Vader would be discarded, remove all damage counters from him and attach Darth Vader's Armor to him instead. | Darth Vader's Armor can't be detached or discarded from Darth Vader. | Equipped Darth Vader gets Armor and "Upkeep: Pay 1 Force or tap Darth Vader."		REB
Deceived	SITH	Deceived	D	Battle						R	15	This card does not cause you to control the arena that your opponent can't control. It only prevents them from being able to control it with an effect or while you have no units in that arena.	Pay 3 Force -> Choose an arena. Your opponent can't control that arena this turn. Play only if you have a Sith in any arena and there is at least 2 corruption counters on any of your opponent's units in the chosen arena.		TOR
Leviathan (A)	SITH	Leviathan_A	D	Space	Dark Jedi - Sith Capital Ship - Flagship	9	20	7	6	R	16		Armor | [tap], pay X Force -> Discard a Location from any arena. Leviathan does X dice of damage to each unit in that arena, where X is the build cost of that Location. Play only when Leviathan would attack.		TOR
Lumiya (A)	SITH	Lumiya_A	D	Character	Dark Jedi - Sith Master	7	40	5	5	R	17		Stealth | Pay 3 Force -> Choose a Sith unit in each arena. Each of those units gets +2 power until end of turn unless your opponent puts a corruption counter on one of his or her units in each arena.		NEW, NJO, LEG
Palpatine's Influence	SITH	Palpatines_Influence	D	Mission		3				R	18		This turn, whenever you play a non-unit card (including this one) or use an activated ability, move 1 corruption counter from one unit to another unit. (Move it only after the card or ability is fulfilled.)		REP
Sith-Imperial Starfighter Wing	SITH	Sith_Imperial_Starfighter_Wing	D	Space	Dark Jedi - Sith Squadron	6	70	5	5	R	19		Hidden Cost 5		LEG
Sith Invasion Force	SITH	Sith_Invasion_Force	D	Space/Ground/Character	Dark Jedi - Sith	10	30	7	7	R	20		Switch: +2 power, +2 health/+10 speed, Accuracy 1/Fury 3 | Pay 6 Force -> Move this unit to another arena during that arena's battle step. If it's tapped, untap it. You may play this once for each battle step. | Pay 2 Force -> Evade 2		TOR
Sith Lightning	SITH	Sith_Lightning	D	Equipment	Character - Skill	2				R	21		Pay 2 Force -> Equip | This Equipment can't be detached. | Equipped Dark Jedi Master or Sith Master gets "[tap], pay 2 Force -> Choose one of your opponent's units in the character arena. This unit does 3 damage to that unit. This damage can only be prevented by a Jedi Master or Sith Master. Play only when this unit would attack."		TOR
Sith Master and Apprentice (C)	SITH	Sith_Master_and_Apprentice_C	D	Ground	Dark Jedi - Sith	7	60	5	5	R	22		Remove 2 Sith units in your discard pile from the game -> Untap Sith Master and Apprentice. Until end of turn, Sith Master and Apprentice gets -2 power and Double Strike. Play only once per turn. | Pay 4 Force -> Evade 4 | Pay 3 Force -> Retaliate 3		TOR
Tyranus's Training	SITH	Tyranuss_Training	D	Battle						R	23	This creates its own damage prevention POP separate from the damage prevention POP of the attack.	Pay 4 Force, discard 1 card from your hand -> Remove 2 damage counters from the attacking Sith and it does 2 damage to the defending unit. Play only if the attacking unit has at least 2 damage counters on it. 		REP, CW
Tyranus's Wisdom	SITH	Tyranuss_Wisdom	D	Mission		4				R	24		Put 2 damage counters on one of your opponent's units in any arena. When the battle step ends, if that unit is still in any arena or the build zone, put this card in your hand.		REP, CW
