Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Atton Rand (A)	SMUG	SMUG001_Atton_Rand_A	N	Character	Independent Smuggler	7	40	5	5	R	1		When you deploy Atton, choose one: Atton gets the Jedi subtype until end of game. Or: Atton gets the Sith subtype until end of game. | Accuracy 1 | Pay 2 build points -> Move 1 counter from your opponent's Resource to your Resource. Play only during your build step. | Pay 1 Force -> Evade 1		TOR
Black Market	SMUG	SMUG002_Black_Market	N	Resource		4				R	2		Add 2 counters -> Each player draws a card. Play only during your build step.| Remove 1 counter -> Draw a card. Play only during your build step. | Remove 3 counters -> Search your deck for a unit card with the same name as one of your units in any arena, show it to your opponent and put it into your hand. Shuffle your deck. Play only during your build step.		TOR
Booster Terrik (A)	SMUG	SMUG003_Booster_Terrik_A	N	Character	Corellian Smuggler	5	30	3	5	R	3		Reserves: [TAP] -> Draw 2 cards, then shuffle one of those cards into your deck. Play only during your build step. | Reserves: [TAP] -> Your opponent draws 2 cards and then discards 2 cards at random from his or her hand. Play during your build step.		REB
Col Serra (A)	SMUG	SMUG004_Col_Serra_A	L	Character	Rebel Officer - Smuggler	7	40	5	5	R	4		When you deploy Col, you may search your deck for a Renegade Squadron unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck. | [Pilot] Squad Pilot. The Squad gets: - +20 speed. - Whenever this unit attacks, roll a die. If you roll a 5 or 6, damage from this unit can't be prevented for this attack.		REB
Dash's Snowspeeder (A)	SMUG	SMUG005_Dash_s_Snowspeeder_A	L	Ground	Rebel Arctic Smuggler Speeder	3	60	2	3	R	5		Upkeep: Pay 1 build point or tap Dash's Snowspeeder. | Lucky 1 | Double Strike		REB
Ebon Hawk (A)	SMUG	SMUG006_Ebon_Hawk_A	N	Space	Smuggler Transport	5	50	3	4	R	6		Accuracy 1 | Pay 1 build point -> Ebon Hawk gets +1 power and Critical Hit 1 until end of game. Play only during your build step and only if this is the only card in the Ebon Hawk's stack. | Pay 1 Force -> Evade 1		TOR
Errant Venture (A)	SMUG	SMUG007_Errant_Venture_A	N	Space	Smuggler Capital Ship	9	30	8	7	R	7		Armor | Whenever one of your other Smugglers would be damaged, you may prevent up to 2 of that damage. If you do, put 1 damage counter on the Errant Venture.		NEW, LEG
Falcon Bridge Crew (A)	SMUG	SMUG008_Falcon_Bridge_Crew_A	L	Character	Rebel Diplomat - Smuggler - Wookiee	5	30	4	5	R	8		Stack: Chewbacca, Han Solo and any Character with "Leia" in its name.  | [Pilot] Transport Pilot. The Transport gets: - +1 power. - +1 health.  - This unit can't have an extra Pilot. - Pay 2 Force -> Choose another card with a Pilot ability in Falcon Bridge Crew's stack. This unit gets that card's Pilot abilities until end of turn.		REB, EP456
Gambler's Fate	SMUG	SMUG009_Gambler_s_Fate	N	Mission		1				R	9		Roll 2 dice. If their total is 10 or more, set aside the cards in your opponent's hand face up. Choose one of those cards and discard it. Then your opponent chooses one of those cards and puts it into his or her hand. Repeat until no cards remain set aside. | Enhance: If there is at least 2 extra build counters on Gambler's Fate, roll 3 dice instead.		REB
Han Solo (N)	SMUG	SMUG010_Han_Solo_N	N	Character	Independent Smuggler	7	40	5	6	R	10		Accuracy 1 | Lucky 1 | Whenever Han attacks, roll a die. If you roll a 5, Han gets Critical Hit 1 for this attack. If you roll a 6, Han gets Double Strike until the second attack ends.		REB, NEW
Hylo Visz (A)	SMUG	SMUG011_Hylo_Visz_A	N	Character	Mirialan Independent Smuggler	6	50	5	5	R	11		Accuracy 1 | Bounty: Gain 2 build points. | Whenever Hylo would be damaged by an attacking unit, roll a die. If you roll a 5 or 6, prevent up to 2 of that damage.		TOR
Lando Calrissian (L)	SMUG	SMUG012_Lando_Calrissian_L	N	Character	Bespin Smuggler - Gambler	7	50	5	5	R	12		Lucky 2 | [tap], Pay 2 build points -> Each player chooses one of his or her units in the Space or Ground arena, shuffles hir os her deck, and reveals its top 5 cards. If a player revealed cards with a higher total build cost, he or she gains control of his or her opponent's chosen unit until end of turn. Each player shuffles his or her revealed cards into his or her deck. Play only if each deck has at least 5 cards in it and only during your build step.		REB
Lando Calrissian's DL-44 Blaster Pistol (A)	SMUG	SMUG013_Lando_Calrissian_s_DL_44_Blaster_A	N	Equipment	Character - Blaster Weapon	1				R	13		Pay 1 build point, 1 Force -> Equip | Equipped Character gets Lucky 2. | Equipped Lando Calrissian also gets “Whenever Lando does X damage to a unit (after damage prevention), roll a die. If you roll a 5 or 6, draw X cards.”		REB
Leia Organa Solo (N)	SMUG	SMUG014_Leia_Organa_Solo_N	L	Character	New Republic Diplomat	6	40	4	4	R	14		Treat Leia as a Force Sensitive | Stealth | Each of your Smugglers costs 1 less build counter to deploy.		NEW, LEG
Mazzic (A)	SMUG	SMUG015_Mazzic_A	N	Character	Myke Smuggler	6	50	5	5	R	15		Lucky 1 | Pay 1 Force -> Roll a die. If you roll a 4 or more, disrupt an attack against Mazzic and retreat him.		NEW, LEG
Millennium Falcon (O)	SMUG	SMUG016_Millennium_Falcon_O	N	Space	Smuggler Transport	7	60	5	4	R	16		The Millennium Falcon can have an extra Pilot. | Critical Hit 1 | Shields 1 | Pay 2 Force -> Evade 2		REB, NEW
Renegade Squadron (B)	SMUG	SMUG017_Renegade_Squadron_B	L	Space	Rebel Smuggler Squadron	7	50	6	6	R	17		Whenever Renegade Squadron damages one of your opponent's units (after damage prevention), that unit doesn't untap during your opponent's next untap step unless he os she pays 2 Force.		REB
Smuggler Hideout	SMUG	SMUG018_Smuggler_Hideout	N	Location	Space/Ground/Character - Smuggler Faciltiy	1				R	18		When the battle phase starts, you may remove up to 2 damage counters from one of your Smugglers in this arena.		TOR, REP, CW, REB, NEW, LEG
Smuggler's Bluff	SMUG	SMUG019_Smuggler_s_Bluff	N	Mission		1				R	19		Choose a card type. Then reveal the top card from your deck. If the revealed card is of the chosen type, your opponent loses 2 build points when his or her next build step starts. Then put the revealed card into your hand.		REB, EP456
Smuggler's Guile	SMUG	SMUG020_Smuggler_s_Guile	N	Battle		1				R	20		Pay 5 Force -> Remove up to 3 damage counters from one of your Smugglers. Play only when no unit is attacking. | Enhance: Pay 1 more Force -> Also, if that Smuggler has printed power 6 or less, untap it.		TOR
Stealth Package	SMUG	SMUG021_Stealth_Package	N	Equipment	Space/Ground - Device	2				R	21		Pay 1 build point -> Equip | Equipped Space or Ground unit with total speed 40 or higher gets Stealth and "When this unit is discarded from any arena, discard any Stealth Packages attached to this unit."		REP, CW
Stun Cuffs	SMUG	SMUG022_Stun_Cuffs	N	Equipment	Character - Device	1				R	22		You may attach Stun Cuffs to your opponent's Characters. | Pay 2 build points-> Equip | Equipped Character loses each of its abilities except Upkeep and gets "Tap one of your other Characters -> Detach a Stun Cuffs from this unit when the battle phase ends."		NEW
Talon Karrde (A)	SMUG	SMUG023_Talon_Karrde_A	N	Character	Independent Smuggler - Spy	6	40	2	6	R	23		Lucky 2 | When your build step starts, you may add 1 counter to your Resource. | Remove a counter from your Resource -> Look at your opponent's hand.		NEW
Wild Karrde (A)	SMUG	SMUG024_Wilde_Karrde_A	N	Space	Independent Smuggler Transport	6	30	4	4	R	24		Critical Hit 1 | Armor |  Pay 1 build point -> Roll a die. If you roll 3 or less, you may draw a card. If you roll a 4 or more, whenever Wild Karrde would be damaged by an attacking unit this turn, prevent up to 2 of that damage. Play only during your build step.		NEW
Ysalamir	SMUG	SMUG025_Ysalamir	N	Equipment	Ground/Character - Biological Defense	1				R	25		Pay 1 build point, 1 Force -> Equip | Treat this Equipment as if it has 3 health, can be attacked as if it is a unit, and when this Equipment has no remaining health, discard it. | Equipped Ground unit or Character gets “Unit's can't use their Force-activated abilities in this arena."		NEW
Barricade	SMUG	SMUG026_Barricade	N	Battle						U	26		Pay 4 Force -> Choose an arena and roll a die. If you roll 4 or less, tap one of your opponent's units in the chosen arena. If you roll a 5 or 6, tap up to two of your opponent's units in the chosen arena instead. Play only before any unit attacks in the chosen arena.		REB
Chewbacca (P)	SMUG	SMUG027_Chewbacca_P	N	Character	Independent Wookiee	8	40	7	7	U	27		When the battle phase starts, roll a die. If you roll a 4 or more, you may remove up to 3 damage counters from a Space or Ground unit. | Pay 3 Force -> Retaliate 6 | INSERT: Treat Chewbacca as a Smuggler.		REB, NEW
Cut Off Their Supplies	SMUG	SMUG028_Cut_Off_Their_Supplies	N	Battle						U	28		Pay 3 Force -> Disrupt a Resource effect. That effect can't be activated next turn. | Enhance: Pay 4 more Force -> Also, discard your opponent's Resource. Play only when no unit  is attacking.		REP, CW
Dash Rendar (D)	SMUG	SMUG029_Dash_Rendar_D	N	Character	Independent Smuggler	5	40	5	5	U	29		Upkeep: Pay 1 build point or tap Dash. | Accuracy 1 | Bounty: You may search your deck for a Transport unit card. If you do, show it to your opponent and put it in your build zone with 3 build counters on it. Shuffle your deck.		REB
Distant Rainbow (A)	SMUG	SMUG030_Distant_Rainbow_A	N	Space	Smuggler Transport	5	50	4	4	U	30		Bounty: Gain 1 build point. | Critical Hit 1		REB
Errant Venture (B)	SMUG	SMUG031_Errant_Venture_B	N	Space	Smuggler Capital Ship	8	30	7	7	U	31		Armor | Pay 1 build point -> Remove all build counters from a partially built card in your build zone and return that card to your hand. Gain that many build points this turn. Play only during your build step.		NEW
Fusion Cutter	SMUG	SMUG032_Fusion_Cutter	N	Equipment	Character - Device	0				U	32		Pay 2 Force - Equip | Equipped Character gets the Mechanic subtype and “Pay X build points -> Remove X damage counters from one of your Space units, Ground units or Droids. Play only during your build step.”		REB, EP456
Gambler's Resolve	SMUG	SMUG033_Gambler_s_Resolve	N	Mission		2				U	33		Roll 2 dice. If their total is 10 or more, do 6 damage divided as you choose between 2 of your opponent's units in the same arena with at least 1 damage to each of them. | Enhance: If there are at least 2 more build counters on Gambler's Resolve, roll 3 dice instead.		TOR, REP, CW, REB, NEW, LEG
Gambling	SMUG	SMUG034_Gambling	N	Equipment	Space/Ground/Character - Skill	1				U	34		Pay 1 build point -> Equip | Equipped Gambler or Smuggler gets “When each turn starts, you and your opponent each guess a different total result of rolling 2 dice. Then roll 2 dice. The one who guesses closer gains 1 build point and 2 Force, and draws a card. The other loses 1 build point, and 2 Force, and discards a card from his or her hand."		REB
Han Solo's DL-44 Blaster (B)	SMUG	SMUG035_Han_Solo_s_DL_44_Blaster_B	N	Equipment	Character - Blaster Weapon	1				U	35		Discard a card from your hand -> Equip | Equipped Han Solo gets “When the Character battle step starts, you may have Han attack first."		REB, EP456
Han's Rescue	SMUG	SMUG036_Han_s_Rescue	N	Mission		2				U	36		Choose a card type. Then reveal the top card of your deck. If that card is of the chosen type, put it into your hand, and search your deck for any 2 cards and put them into your hand. Shuffle your deck.		REB
Illegal Goods	SMUG	SMUG037_Illegal_Goods	N	Equipment	Space/Ground/Character - Device	1				U	37		Pay 1 build point, 1 Force -> Equip | Equipped unit may only have one Illegal Goods attached to it. | Equipped Smuggler gets “When the roll for build points is made, gain 1 build point.” and "When this unit is discarded, shuffle any Illegal Goods attached to this unit into your deck."		TOR, REP, CW, REB, NEW, LEG
Jabba the Hutt (E)	SMUG	SMUG038_Jabba_the_Hutt_E	N	Character	Tatooine Hutt Crime Lord	6	20	3	6	U	38		INSERT: Each of your Smugglers get +1 power,  “Upkeep: Pay 1 Force or tap this unit." and “Bounty: Gain 2 build points.”		REB
Millennium Falcon (P)	SMUG	SMUG039_Millennium_Falcon_P	N	Space	Independent Transport	6	50	5	5	U	39		Accuracy 1 | Shields 1 | INSERT: Treat the Millennium Falcon as a Smuggler.		REB, NEW
