Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
20-T Railcrawler Conveyex (A)	SOLO	SOLO001_20_T_Railcrawler_Conveyex_A	D	Ground	Imperial Arctic Train Transport	10	70	5	10	R	1		Each of your Trains gets Armor. | Tap, Pay 2 build points -> Take 1 10/1/3 Cargo Container Car Subordinate with "Upkeep: Gain 1 build point or add 1 counter to your Resource." and put it into the Ground arena. Play only during your build step.	<s><l>Tap and pay 2 BP to spawn Cargo Container Car</l><f>/spawn Cargo Container Car;/player stat2 -2;/cr90;/s pays 2BP to spawn a Cargo Container Car Subordinate using 20-T Railcrawler Conveyex (A)</f></s>	REB
Aemon Gremm (A)	SOLO	SOLO002_Aemon_Gremm_A	N	Ground/Character	Kylobon Crime Gang Bodyguard	6	40	4	4	R	2		Cunning (Roll Aemon's attack dice secretly. Show them to your opponent after damage prevention.) | Whenever you complete a Trap card, you may tap a unit in this arena. | Pay 1 Force -> Ambush 2		REB
Are We Going Somewhere?	SOLO	SOLO003_Are_We_Going_Somewhere	N	Battle						R	3		Pay 4 Force -> Choose one: Retreat one of your units from any arena. Play only when no unit is attacking. Or: Move a unit from your build zone into its arena untapped. Play only when that arena's battle step starts.		REB
Beckett's Y-45 AT-Hauler (A)	SOLO	SOLO005_Beckett_s_Y_45_AT_Hauler_A	N	Space/Ground	Crime Gang Thief Transport	8	50	3	7	R	5		Switch: Shields 1/Resilience 2 | Tap -> Remove up to 3 counters from your opponent's Resource. Then you may add 1 counter to your Resource. Play only when Becket's Y-45 AT-Hauler would attack.		REB
Beckett's Gang (A)	SOLO	SOLO004_Beckett_s_Gang_A	N	Ground	Crime Gang Thief Squad	8	40	5	5	R	4		Hidden Cost 5 | Lucky 2 | Whenever you remove 1 or more counters from your opponent's Resource, gain 1 build point when your next build step starts.		REB
Bis Refinery	SOLO	SOLO006_Bis_Refinery	N	Resource		4				R	6		Add 2 counters -> One of your Space or Ground units gets +20 speed and Precision until end of turn. Play only when no unit is attacking. | Remove 7 counters -> Gain 2 build points. Play only during your build step.		REB
Bringing Peace and Prosperity	SOLO	SOLO007_Bringing_Peace_and_Prosperity	D	Battle						R	7		Choose an arena. Tap all units in the chosen arena, and tap any unit deployed, moved, or put into the chosen arena this turn. Each player gains 1 build point and may add 1 counter to his or her Resource during his or her next build step. Play only when the battle phase starts.		REB
Captain Denwade Banevans (A)	SOLO	SOLO008_Captain_Denwade_Banevans_A	D	Character	Imperial Arctic Stormtrooper Officer	6	50	5	5	R	8		Armor | Each of your Stormtroopers gets Damage Control 1 | Pay 4 build points -> Take 2 50/2/2 Elite Range Trooper Subordinates with "Switch: +10 speed/+1 power" and "Armor" and put them into the Ground and/or Character arena. Play only during your build step.	<s><l>Pay 4 BP to spawn 2 Elite Range Troopers</l><f>/spawn Elite Range Trooper;/spawn Elite Range Trooper;/player stat2 -4;/s pays 4BP to spawn 2 Elite Range Trooper Subordinates using Captain Denwade Banevans (A)</f></s>	REB
Chewbacca (B2)	SOLO	SOLO009_Chewbacca_B2	N	Character	Wookiee Independent Slave	6	30	5	6	R	9		Whenever you remove 1 or more captivity counters from one of your units in the Ground or Character arena, you may put 1 damage counter on one of your opponent's units in the same arena.		REB
Chewbacca (C2)	SOLO	SOLO010_Chewbacca_C2	N	Character	Wookiee Independent Thief	7	30	6	7	R	10		Resilience 2 | Tap, Pay 1 Force -> Choose one: Tap a Ground unit. Play only when no unit is attacking. Or: Discard a card stacked beneath a unique Ground unit. Play only when no unit is attacking.		REB
Cloud-Riders (A)	SOLO	SOLO011_Cloud_Riders_A	L	Ground	Rebel Pirate Speeder Squad	6	60	4	5	R	11		Hidden Cost 4 | When your opponent's build step starts, roll a die. If you roll a 5 or 6, your opponent loses 1 build point, and you gain 1 build point. | Pay 2 Force -> Ambush 4		REB
Coaxium	SOLO	SOLO012_Coaxium	N	Resource		4				R	12		When there are 5 or more counters on this Resource, discard it. | Add 1 counter -> One of your Space units gets +30 speed, +2 power, Accuracy 1, and Overkill until end of turn. Play only when the battle phase starts.		REB
Dryden Vos (A)	SOLO	SOLO013_Dryden_Vos_A	N	Character	Crime Lord	8	40	5	6	R	13		Each of your opponent's Characters costs 1 more build counters to deploy. | Tap, Discard one of your units from any arena -> Gain 4 build points. Dryden doesn't untap during your next untap step unless you pay 2 Force. Play only during your build step.		REB
Dryden Vos's Kyuzo Petars (A)	SOLO	SOLO014_Dryden_Vos_s_Kyuzo_Petars_A	N	Equipment	Character - Melee Weapon	1				R	14		Pay 1 build point, discard a card from your hand -> Equip | Equipped Crime Lord gets +1 power and Critical Hit 1. | Equipped Dryden Vos also gets Fury 1 and "Detach Dryden Vos's Kyuzo Petars from Dryden -> Choose one: Disrupt an attack against Dryden. Or: Prevent all damage to Dryden."		REB
Enfys Nest (A)	SOLO	SOLO015_Enfys_Nest_A	L	Character	Rebel Pirate Queen	6	40	4	6	R	15		Speeder Pilot. The Speeder gets:  -Riposte 2  - As long as this unit is unique, it gets Inspiration.  - Pay 1 Force -> Ambush 3		REB
Enfys Nest (B)	SOLO	SOLO016_Enfys_Nest_B	L	Character	Rebel Pirate Queen	7	40	5	5	R	16		Hidden Cost 4 | Each of your other Pirates gets +1 power and "Pay 2 Force -> Ambush 4." | Pay 7 Force ->Meditate		REB
Enfy's Swoop Bike (A)	SOLO	SOLO017_Enfys_s_Swoop_Bike_A	L	Ground	Rebel Pirate Speeder	5	70	2	5	R	17		Hidden Cost 3 | Whenever Enfys's Swoop Bike damages one of your opponent's units (after damage prevention), you may remove 1 counter from your opponent's Resource. If you do, you may add 1 counter to your Resource.		REB
Fair and Square	SOLO	SOLO018_Fair_and_Square	N	Mission		2				R	18		This turn, non-unit cards can't be completed or played. Play only when the roll for build points is made. | Pay 2 build points -> Meditate		REB
First Light (A)	SOLO	SOLO019_First_Light_A	N	Space/Ground	Crime Lord Transport	7	40	3	7	R	19		Switch: Shields 1/Stealth | Tap -> Search your deck for a Crime Lord unit card, show it to your opponent, and put it into your build zone with 1 build counter on it.  Shuffle your deck. Play only during your build step.		REB
Good Feeling About This	SOLO	SOLO020_Good_Feeling_About_This	N	Battle						R	20		Pay 2 Force, roll a die -> Prevent up to X damage to one of your Space units, where X is the number you rolled this way. You may also remove up to half of X damage counters (rounded down) from it.		REB
Green Sylop	SOLO	SOLO021_Green_Sylop	N	Mission - Trap		2				R	21		When your opponent completes or plays a non-unit card, disrupt that card. | Pay 4 Force -> Meditate		REB
Han Solo (A2)	SOLO	SOLO022_Han_Solo_A2	N	Character	Corellian Crime Gang Thief	5	60	4	4	R	22		When you deploy Han, you may gain control of one of your opponent's Speeders or Ground Subordinates until end of turn.  | Speeder Pilot. The Speeder gets:  - +20 Speed  - Each of your Thieves gets Damage Control 1.		REB
Han Solo (B2)	SOLO	SOLO023_Han_Solo_B2	N	Character	Corellian Crime Gang Thief - Smuggler	7	70	4	4	R	23		Lucky 2 | Transport Pilot. The Transport gets:  - +20 speed - Parry 1 - Pay 1 Force -> Deflect 1  - Pay 2 Force -> Evade 2		REB
Han's M-68 Speeder (A)	SOLO	SOLO024_Han_s_M_68_Speeder_A	N	Ground	Corellian Thief Speeder	3	60	2	4	R	24		Resilience 2 | Put 1 damage counter on Han's M-68 Speeder -> Prevent up to 2 damage to one of your Thieves in the Character arena.		REB
Han Solo's Dice (B)	SOLO	SOLO025_Han_Solo_s_Dice_B	N	Equipment	Ground/Character - Device	1				R	25		Pay 2 Force -> Equip | Equipped Smuggler, Speeder or Thief gets "Whenever this unit is attacked, you may pay 1 Force. If you do, roll a die. If you roll 5 or 6, put 1 damage counter on the attacking unit and disrupt that attack."		REB
Hell of a Pilot	SOLO	SOLO026_Hell_of_a_Pilot	N	Equipment	Space/Ground - Skill	2				R	26		Pay 2 Force -> Equip | Equipped Space or Ground unit with a Pilot gets Fortitude, Resilience 2, and "Pay 1 Force -> Evade 2."		REB
Is It a Good Day?	SOLO	SOLO027_Is_It_a_Good_Day	N	Mission - Trap		1				R	27		When you remove X counters from your opponent's Resource, choose one: Gain X build points when your next build step starts. Or:  Draw up to X cards. Or:  Shuffle up to X cards of the same type from your discard pile into your deck.		REB
Is This Seat Taken?	SOLO	SOLO028_Is_This_Seat_Taken	N	Mission - Trap		0				R	28		To complete Is This Seat Taken?, you may also remove X counters from your Resource. | When one of your Gamblers is discarded from any arena, put a Gambler unit card with printed build X from your hand into its arena untapped.		REB
Kessel Run	SOLO	SOLO029_Kessel_Run	N	Event						R	29		Each unit without a Pilot in the Space arena gets -10 speed and loses Stealth. | Each unit with a Pilot in the Space arena gets +10 speed and +1 health.		REB
