Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ahsoka Tano (I)	SOR	SOR001_Ahsoka_Tano_I	L	Character	Togruta Rebel Force Sensitive	9	60	7	6	R	1		Fortitude | Ahsoka gets Ferocity when attacking a Dark Jedi. | Avenge X, where X is your opponent's Force total. | Pay 2 Force -> Evade 3 | Pay 1 Force -> Retaliate 2		REB
Alexsandr Kallus (A)	SOR	SOR002_Alexsandr_Kallus_A	D	Character	Imperial Officer - Agent	7	30	4	4	R	2		Armor | Kallus gets +2 power when attacking a Rebel. | Each of your Imperials gets "Pay 1 Force -> Ambush 2" and "Pay 1 Force -> Retaliate 2."		REB
Call to Action	SOR	SOR003_Call_to_Action	L	Mission		X				R	3		X of your Rebels each gets +2 power and Stun 1 until end of turn.		REB
Captain Rex (D)	SOR	SOR004_Captain_Rex_D	L	Character	Rebel Clone Officer	6	20	4	4	R	4		Alternative Cost: Pay 2 Force, tap 2 of your Clones. | Armor | Resilience 2 | As long as Ahsoka Tano is in the Character arena, Rex gets Inspiration.		REB
Chopper Base	SOR	SOR005_Chopper_Base	L	Location	Character - Lothal Rebel Attolon Facility	3				R	5		Hidden Cost 1 | The first unit you deploy gets +1 power and Lucky 1 until it is discarded.		REB
Commander Jun Sato (A)	SOR	SOR006_Commander_Jun_Sato	L	Character	Rebel Officer	6	30	4	4	R	6		Tap, Pay 2 Force -> Take 2 60/2/2 Phoenix Trooper Subordinates with "Stun 2" and put them into the Ground or Character arena. Then roll a die. If you roll 4 or more, look at your opponent's hand. If you roll a 3 or less, Jun can't untap next turn. Play only during your build step.	<s><l>Tap and Pay 2 Force to spawn 2 Phoenix Troopers</l><f>/spawn Phoenix Trooper;/spawn Phoenix Trooper;/cr90;/player stat1 -2;/s taps Commander Jun Sato (A) and pays 2 Force to spawn 2 Phoenix Trooper subordinates</f></s>	REB
Darth Vader (C2)	SOR	SOR007_Darth_Vader_C2	D	Character	Imperial Dark Jedi Knight - Sith Lord	11	40	7	7	R	7		Armor | Forewarning: Gain 1 Force. | Resilience 1 | Vader gets Ferocity and Fury 1 when attacking a Force Sensitive or Jedi. | Pay 2 Force -> Evade 2		REB
Deflector Shield Generator	SOR	SOR008_Deflector_Shield_Generator	N	Equipment	Space - Device	1				R	8		Pay 1 build point -> Equip | Equipped Capital Ship, Cruiser, or Transport gets Shields 1 and "Remove 1 counter from your Resource -> One of your other Capital Ships, Cruisers, or Transports gets Shields 1 until end of turn.   Play only when that unit would be attacked."		REB
Divide and Conquer	SOR	SOR009_Divide_and_Conquer	D	Resource		3				R	9		When your build step starts, add X counters to this Resource, where X is the number of Agents and Inquisitors you have in any arena. | Remove 2 counters -> Units can't use intercept or Protect until end of turn. | Remove 6 counters -> Each of your Agents and Inquisitors gets +2 power until end of turn.		REB
Empire Day	SOR	SOR010_Empire_Day	D	Event						R	10		Whenever you deploy or put an Imperial into any arena, each player gains 1 Force.		REB
Ezra Bridger (A)	SOR	SOR011_Ezra_Bridger_A	L	Character	Lothal Rebel Jedi Padawan	6	60	4	4	R	11		Critical Hit 1 | Focus 1 | Whenever Ezra attacks, you may remove 1 counter of any type from one of your Lothal Rebels in the Ground or Character arena. | Pay 1 Force -> Evade 1		REB
Ezra Bridger (B)	SOR	SOR012_Ezra_Bridger_B	L	Character	Lothal Rebel Jedi Padawan	5	50	4	4	R	12		Pay 4 Force -> Meditate | Creature Pilot. The Creature gets:  - +2 power  - Forewarning: Gain 2 Force.   - Pay 2 Force -> Protect 5		REB
Ezra Bridger's Lightsaber-Blaster (A)	SOR	SOR013_Ezra_Bridger_s_Lightsaber_Blaster_A	L	Equipment	Character - Lightsaber Weapon - Blaster Weapon	2				R	13		Pay 2 Force -> Equip | Equipped Force Sensitive or Jedi gets Stun 2 and "Pay 1 Force -> Deflect 1." | Equipped Ezra Bridger also gets Parry 1 and "Whenever Stun granted by Ezra Bridger's Lightsaber-Blaster causes one of your opponent's units to lose power, Ezra gets +1 power until he is discarded.		REB
Ezra's Intervention	SOR	SOR014_Ezra_s_Intervention	L	Battle						R	14		Pay 4 Force -> Prevent all damage, including unpreventable damage, to one of your Characters. If that Character is a Lothal Rebel, it also gets Fortitude and Lucky X until end of turn, where X is the amount of damage prevented this way.		REB
Fire Across the Galaxy 	SOR	SOR015_Fire_Across_the_Galaxy	L	Mission - Campaign		2				R	15		When each turn starts, if damage from your Rebels caused 1 or more of your opponent's units to be discarded last turn, choose an arena. Each of your Rebels in the chosen arena gets +10 speed and +1 power until end of turn. 		REB
Fyrnock Matriarch 	SOR	SOR016_Fyrnock_Matriarch	N	Ground/Character	Fyrnock Creature	10	40	8	5	R	16		Switch: Stun 4/Ferocity, Fury 3 | Upkeep: Put 1 corruption counter on one of your Force Sensitive or Jedi Characters or tap this unit. | Whenever 1 or more corruption counters are put on one of your Force Sensitives or Jedi, you may pay 1 Force. If you do, take 1 30/3/1 Fyrnock Swarm Subordinate and put it into the Ground or Character arena. 	<s><l>Pay 1 Force to spawn Fyrnock Swarm</l><f>/spawn Fyrnock Swarm;/player stat1 -1;/s pays 1 Force to spawn a Fyrnock Swarm subordinate using Fyrnock Matriach when 1 or more corruption counters are put on one of their Force Sensitives or Jedi</f></s>	REB
Garazeb "Zeb" Orrelios (A)	SOR	SOR017_Garazeb_Zeb_Orrelios_A	L	Character	Lasat Lothal Rebel Warrior	7	40	5	6	R	17		Fury 2 | Zeb gets Double Damage and Overkill when attacking a Stormtrooper or Subordinate. | As long as Ezra Bridger is in any arena, Zeb gets Lucky 1 and "Pay 0 Force -> Protect 1." | Pay 3 Force -> Retaliate 6		REB
Ghost (B)	SOR	SOR018_Ghost_B	L	Space/Ground	Lothal Rebel Transport	7	50	5	5	R	18		Switch: Shields 1, Stun 1 / Armor, Lucky 1| When you deploy Ghost, you may pay 3 Force. If you do, take 1 50/3/3 Phantom Subordinate with "Switch: Shields 1, Stun 1/Armor, Lucky 1" and put it into the Space or Ground arena. | Pay 2 Force -> Ghost and Phantom each get +10 speed and Accuracy 1 until end of turn. Play only when the battle phase starts.	<s><l>Pay 3 Force to spawn Phantom (A)</l><f>/spawn Phantom (A);/player stat1 -3;/s pays 3 Force to spawn a Phantom (A) subordinate upon deployment of Ghost (B)</f></s>	REB
Ghost Crew (A)	SOR	SOR019_Ghost_Crew_A	L	Ground	Lothal Rebel Squad	8	50	6	6	R	19		Stack: Any unique Lothal Rebel Character. | When the battle phase starts, you may choose an ability and subtype on up to 2 other cards in Ghost Crew's stack. If you do, Ghost Crew gets the choosen abilities and subtypes until end of turn.		REB
Ghost Crew (B)	SOR	SOR020_Ghost_Crew_B	L	Ground/Character	Lothal Rebel Squad	7	50	6	6	R	20		Stack: any unique Lothal Rebel Character. | Transport Pilot. The Transport gets:  - + X power and +X health, where X is the number of cards in Ghost Crew's stack.  - As long as this unit is unique, it gets Inspiration. 		REB
Grand Inquisitor (A)	SOR	SOR021_Grand_Inquisitor_A	D	Character	Pau'an Imperial Dark Jedi Inquisitor	8	50	6	6	R	21		Fury 2 | Grand Inquisitor gets +1 power for each Weapon attached to him and for each of your opponent's Jedi in the Character arena. | Pay 1 Force -> Deflect 1.		REB
Grand Moff Tarkin (J)	SOR	SOR022_Grand_Moff_Tarkin_J	D	Character	Imperial Officer - Diplomat	6	30	4	4	R	22		Armor | Flagship and Gunship Pilot. The Flagship or Gunship gets:  -Each of your Imperial Pilots costs 1 less build counter to deploy.  - Pay X Foce -> Evade X  - Pay 1 Force -> Retaliate 3		REB
Gravity Lock	SOR	SOR023_Gravity_Lock	N	Equipment	Space - Device	2				R	23		You can equip this Equipment to your opponent's Space units. | Remove 1 counter from your Resource -> Equip | Equipped Space unit loses its speed and Stealth,can't gain speed, and gets -3 power and "Pay 5 Force, tap one of your unique Characters -> Detach a Gravity Lock Equipment from this unit and remove it from the game."		REB
Hera Syndulla (A)	SOR	SOR024_Hera_Syndulla_A	L	Character	Twi'lek Lothal Rebel Officer	5	50	4	5	R	24		Accuracy 1 | Transport Pilot. The Transport gets:  -+40 speed  -Accuracy 1  -Pay 0 Force -> Evade 1		REB
Imperial AT-AT	SOR	SOR025_Imperial_AT_AT	D	Ground/Character	Imperial Walker	5	40	4	4	R	25		Switch:  Overkill/Critical Hit 2 | Armor | Whenever this unit is attacked, you may remove 3 counters from your Resource. If you do, untap this unit. 		REB
Imperial Interdictor	SOR	SOR026_Imperial_Interdictor	D	Space	Imperial Capital Ship	7	30	6	5	R	26		Pay 1 build point -> Take 1 20/1/1 Imperial Interdictor Technician Subordinate with "Tap -> One of your Capital Ships gets +2 power for this attack." and put it into the Character arena. Play only during your build step. | Remove 2 counters from your Resource -> Tap one of your opponent's units in the Space arena with total speed 60 or more.	<s><l>Pay 1BP to spawn Imperial Interdictor Technician</l><f>/spawn Imperial Interdictor Technician;/player stat2 -1;/s pays 1BP to spawn an Imperial Interdictor Technician subordinate using Imperial Interdictor</f></s>	REB
Inquisitor Strike Team (A)	SOR	SOR027_Inquisitor_Strike_Team_A	D	Ground	Imperial Dark Jedi Inquisitor Squad	8	50	6	6	R	27		Stack: Any unique Inquisitor Character. | When the battle phase starts, you may choose an ability and subtype on up to 2 other cards in Inquisitor Strike Team's stack. If you do, Inquisitor Strike Team gets the chosen abilities and subtypes until end of turn.		REB
Inquisitor's Lightsaber	SOR	SOR028_Inquisitor_s_Lightsaber	D	Equipment	Ground/Character - Lightsaber Weapon	2				R	28		Pay 2 Force -> Equip | Equipped Inquisitor gets Critical Hit 2 and "Pay 1 Force -> Retaliate 2." | Equipped Grand Inquisitor also gets Parry 1 and "Whenever Grand Inquisitor damages one of your opponent's units (after damage prevention) using Critical Hit, he gets +1 power until he is discarded. Treat this ability as an isolated effect."		REB
Inquisitor's Trap	SOR	SOR029_Inquisitor_s_Trap	D	Mission - Trap		2				R	29		When the battle phase starts, if your opponent has a unit card in his or her discard pile, reveal a partially built Character unit card in your build zone to your opponent. The revealed card gets Hidden Cost 4, +2 power, and Overkill until end of turn. | Remove 3 counters from your Resource -> Meditate		REB
Kanan Jarrus (A)	SOR	SOR030_Kanan_Jarrus_A	L	Character	Lothal Rebel Jedi Padawan	7	50	6	6	R	30		Accuracy 1 | Pay 2 Force -> Choose a Weapon attached to one of your other Characters. Kanan gets the abilities granted by the chosen Weapon as if he were that Character for this attack. | Pay 2 Force -> Evade 2		REB
Liberator (A)	SOR	SOR031_Liberator_A	L	Space	Rebel Capital Ship - Flagship	7	50	5	5	R	31		Shields 1 | Pay 2 Force -> Choose one: Disrupt a Space unit's activated ability. Or: Disrupt a Battle card. Play only during the Space battle step. | Pay 2 Force -> Protect 2, and you may remove up to 2 captivity counters divided as you choose from Liberator and the defending unit.		REB
Lira San System	SOR	SOR032_Lira_San_System	L	Location	Space - Lira San Star System	2				R	32		When your build step starts, gain 1 Force. You may also search your deck for a Lasat unit card. If you do, show it to your opponent and put it into your hand. That card gets Hidden Cost 2 until it is discarded. Shuffle your deck.		REB
Lothal Jedi Temple	SOR	SOR033_Lothal_Jedi_Temple	L	Location	Character - Jedi Lothal Facility	2				R	33		Whenever you predict correctly for one of your Jedi's Foresights, that Jedi gets Focus 1 until it is discarded. | Each of your Jedi gets "Foresight: Gain 1 Force."		REB
Lothal System	SOR	SOR034_Lothal_System	N	Location	Space - Lothal Star System	5				R	34		Each Lothal unit costs 1 less build counter to deploy. | Each Lothal unit can have more than 4 cards in its stack.		REB
Malachor Sith Temple	SOR	SOR035_Malachor_Sith_Temple	D	Location	Character - Sith Malachor Facility	2				R	35		Whenever you predict correctly for one of your Dark Jedi or Sith's Foresights, that Dark Jedi or Sith gets Fury 1 until it is discarded. | Each of your Dark Jedi or Sith gets "Foresight: Gain 1 Force."		REB
Maul (N)	SOR	SOR036_Maul_N	N	Character	Zabrak Dark Jedi - Nightbrother	8	50	6	6	R	36		Parry 2 | Resilience 2 | Maul gets Precision and Overkill when attacking a Jedi. | Tap -> Ambush 6 and gain 1 Force.  | Pay 7 Force -> Meditate.		REB
Maul's Return	SOR	SOR037_Maul_s_Return	N	Mission		2				R	37		Search your deck for a Maul unit card, show it to your opponent, and put it into your hand. Gain 2 Force, and that card gets Hidden Cost 2 until it is discarded. Shuffle your deck.		REB
Obi-Wan's Message	SOR	SOR038_Obi_Wan_s_Message	L	Mission		2				R	38		This turn, whenever any of your Jedi would be damaged (before damage prevention), gain 1 Force.		REB
Princess Leia (C2)	SOR	SOR039_Princess_Leia_C2	L	Character	Rebel Force Sensitive Diplomat	7	50	5	5	R	39		Stealth | When your build step starts, you may tap 2 of your other Rebels in the Character arena. If you do, gain control of one of your opponent's Transports in any arena until end of turn. | Tap -> Gain 1 build point , and you may add 1 counter to your Resource. Play only during your build step.	<s><l>Tap to gain 1BP</l><f>/cr90;/player stat2 +1;/s taps Princess Leia (C2) to gain 1 BP and may add 1 counter to their Resource</f></s>	REB
Prototype B6	SOR	SOR040_Prototype_B6	L	Space	Mon Calamari Rebel Starfighter	5	60	4	3	R	40		Alternative Cost: Remove 3 counters from your Resource, tap Quarrie. | This unit can have up to 2 Pilots. | Precision | This unit gets Critical Hit 4 when attacking a Capital Ship or Cruiser.		REB
Purrgil	SOR	SOR041_Purrgil	N	Space	Purrgil Force Sensitive Creature	7	20	6	7	R	41		Bounty: Gain 2 Force. | Pay 2 Force -> This unit gets +40 speed and Stun 2 until end of turn. Play only when the Space battle step starts. | Pay 3 Force -> Retaliate 6		REB
Quarrie (A)	SOR	SOR042_Quarrie_A	L	Character	Mon Calamari Rebel Mechanic	4	30	2	4	R	42		Reserves: Tap, Remove X counters from your Resource -> Search your deck for a Starfighter unit card, show it to your opponent, and put it into your build zone with X divided by 2 (rounded down) build counters on it. Shuffle your deck. Play only during your build step.		REB
Rebel AT-TE	SOR	SOR043_Rebel_AT_TE	L	Ground/Character	Rebel Clone Walker	5	40	4	4	R	43		Switch: Damage Control 1/Critical Hit 2 | Armor | Whenever this unit is attacked, you may remove 3 counters from your Resource.  If you do, untap this unit.		REB
Relentless (A)	SOR	SOR044_Relentless_A	D	Space	Imperial Dark Jedi Inquisitor Capital Ship	10	30	7	7	R	44		Shields 1 | Resilience 1| Whenever damage from Relentless causes one of your opponent's Space units to be discarded, you may search your opponent's deck for a Space unit card and discard it. Your opponent shuffles his or her deck. | Pay 2 Force -> Ambush 5		REB
Rise Together	SOR	SOR045_Rise_Together	L	Resource		3				R	45		When your build step starts, add X counters to this Resource, where X is the number of Lothal Rebels you have in any arena. | Remove 2 counters -> One of your Lothal Rebels gets +2 power until end of turn. | Remove 6 counters -> Choose an activated ability of one of your Lothal Rebels. Each of your Lothal Rebels gets the chosen ability until end of turn.		REB
Ryder Azadi (A)	SOR	SOR046_Ryder_Azadi_A	L	Character	Lothal Rebel Diplomat	8	30	3	5	R	46		Inspiration | Each of your Lothal Rebel Characters costs 1 less build counter to deploy. | Each of your other Lothal Rebel Characters gets Damage Control 1. | Tap, Pay 2 Force -> Put 3 damage counters on a Speeder or Transport in the Ground arena. Play only when Ryder would attack.		REB
Sabine Wren (B)	SOR	SOR047_Sabine_Wren_B	L	Character	Mandalorian Lothal Rebel	6	40	5	4	R	47		Armor | Bounty: One of your Lothal Rebel Characters gets +1 power and Focus 1 until it is discarded. | Pay 2 Force -> Ambush 4		REB
Seventh Sister (A)	SOR	SOR048_Seventh_Sister_A	D	Character	Mirialan Independent Dark Jedi Inquisitor	7	40	6	5	R	48		Precision | Stealth | Whenever Seventh Sister uses Ambush, you may pay 2 Force. If you do, take 1 70/2/1 ID9 Seeker Droid Subordinate with "Stun 2" and "Tap -> Tap a Character with Stealth." and put it into the Character arena. | Pay X Force -> Ambush X+2	<s><l>Pay 2 Force to spawn ID9 Seeker Droid</l><f>/spawn ID9 Seeker Droid;/player stat1 -2;/s pays 2 Force to spawn an ID9 Seeker Droid subordinate when Seventh Sister (A) uses Ambush</f></s>	REB
