Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Aayla Secura (A)	SR	SR001_Aayla_Secura_A	L	Character	Twi'lek Jedi Knight	4.0	60.0	3.0	3.0	R	1.0		Pay 3 Force -> Evade 2 | When the battle phase starts, if Aayla is in the Character arena, remove all damage counters from her.		WOTC, REP, CW	
Anakin Skywalker (E)	SR	SR002_Anakin_Skywalker_E	L	Character	Jedi Padawan	6.0	50.0	6.0	4.0	R	2.0		When Anakin attacks, you may give him +5 power for that attack. If you do, when the attack ends, Anakin does 2 damage to himself. | Pay 3 force -> Evade 2		WOTC, REP, CW	
Aurra Sing (A)	SR	SR003_Aurra_Sing_A	D	Character	Bounty Hunter	6.0	50.0	5.0	5.0	R	3.0	Text erratum	Treat Aurra as a Dark Jedi. | When damage from Aurra causes a Jedi to be discarded, untap Aurra. | Pay 2 force -> Deflect 1		WOTC, REP, CW	
Chancellor Palpatine (B)	SR	SR004_Chancellor_Palpatine_B	L	Character	Coruscant Diplomat	5.0	40.0	3.0	4.0	R	4.0		As long as Palpatine is in the Character arena, each of your Opponent's Characters gets -1 Power.		WOTC, REP	
Clone Captain	SR	SR005_Clone_Captain	L	Character	Clone Soldier	4.0	40.0	5.0	2.0	R	5.0	Text erratum	Put any number of damage counters on one of your other clones in any arena -> Prevent That much damage to this unit. Play only once each time damage would be done to this unit.		WOTC, REP, CW	
Clone Facility	SR	SR006_Clone_Facility	L	Ground	Kaminoan Fortification	7.0	10.0	2.0	5.0	R	6.0		[tap] -> Search your deck. You may take a clone card from your deck. Show it to your opponent and put it face-down in your build zone with 1 build counter on it. Then shuffle your deck. Play only during your build step.		WOTC, REP, CW	
Darth Maul (A)	SR	SR007_Darth_Maul_A	D	Character	Dark Jedi - Sith Apprentice	9.0	70.0	6.0	6.0	R	7.0		When Maul attacks you may give him +5 power for that attack. If you do, Maul does 2 damage to himself when the attack ends. | Pay 3 force -> Evade 2		WOTC, REP	
Darth Maul (C)	SR	SR008_Darth_Maul_C	D	Character	Dark Jedi - Sith Apprentice	8.0	60.0	7.0	5.0	R	8.0	Maul's first ability only stops your opponent from playing the Evade keyword ability for his attack. They may still use other types of damage prevention.	Pay 3 Force -> Your opponent can't use Evade to prevent damage from Maul for this attack. | Pay 3 force -> Evade 1		WOTC, REP	
Darth Sidious (B)	SR	SR009_Darth_Sidious_B	D	Character	Dark Jedi - Sith Master	7.0	40.0	3.0	5.0	R	9.0		Pay 1 Force -> Evade 2 | Pay 4 Force, discard one of your other Characters from the Character arena -> You get a number of build points equal to that Character's total build cost. Play only during your build step.		WOTC, REP, CW	
Darth Tyranus (D)	SR	SR010_Darth_Tyranus_D	D	Character	Dark Jedi Master - Sith Lord	8.0	50.0	6.0	6.0	R	10.0	Tyranus's first ability only prevents your opponent from using Evade against the effect. Other battle cards and abilities that prevent damage can still be used for units that are not Masters.	[tap], Pay 2 Force -> Choose one of your opponent's units in the Character arena. Tyranus does 4 damage to that Character. Your opponent can't use Evade to prevent that damage unless that Character is a Jedi Master. Play only when Tyranus would attack. | Pay 3 Force -> Evade 3		WOTC, REP, CW	
Geonosian Picadors	SR	SR011_Geonosian_Picadors	D	Ground	Geonosian Soldier	2.0	40.0	1.0	2.0	R	11.0		As long as this unit is in the Ground arena, each of your Creatures gets +1 power.		WOTC, REP, CW	
Impossible Victory	SR	SR012_Impossible_Victory	L	Battle						R	12.0		Pay 12 Force -> Untap up to two of your units in one arena. (Those units may attack again.)		WOTC, REP, CW	
Jango Fett (E)	SR	SR013_Jango_Fett_E	D	Character	Bounty Hunter	8.0	60.0	7.0	6.0	R	13.0		Each Jedi gets -3 power as long as that Jedi is attacking Jango.		WOTC, REP	
Jedi Bravery	SR	SR014_Jedi_Bravery	L	Battle						R	14.0		Pay 6 Force -> Choose an arena. Each of your units in that arena gets +2 power until the end of battle.		WOTC, REP, CW	
