Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ajunta Pall (A) (Starter)	START	Oldrepstarter_Ajunta_Pall_A	D	Character	Dark Jedi Master - Sith Lord	7	40	6	6	U	85		Whenever you deploy a Sith, Ajunta gets +1 power until end of turn. | Each of your Locations costs 1 less build counter to complete. | Pay 2 Force -> Evade 2		
Ancient Coruscant (Starter)	START	Oldrepstarter_Ancient_Coruscant	L	Location	Character - Old Republic Coruscant City	4				R	1		As long as you have a Historian in the Character arena, this location costs 1 less build counter to complete and can't be discarded from the Character arena. | Each of your Old Republic units costs 1 less build counter to deploy.		
Ancient Korriban (Starter)	START	Oldrepstarter_Ancient_Korriban	D	Location	Ground - Sith Korriban Settlement	3				U	87		Each of your Sith Space and Ground units with printed build cost 6 or less costs 1 less build counter to deploy. | Each Sith in the Ground arena gets +1 power.		
Aurek-Class Strikefigher (Starter)	START	Oldrepstarter_Aurek_Class_Strikefighter	L	Space	Old Republic Jedi Starfighter	2	40	1	2	C	53		Shields 1 | As long as your Force total is higher than your opponent's, this unit gets +20 speed and +2 power.		
Call for Aid (Starter)	START	Oldrepstarter_Call_for_Aid	L	Mission		2				C	62		Search your deck for a Space unit card, a Ground unit card, and a Character unit card, show them to your opponent, and put them into your hand. Shuffle your deck. 		
Dantooine Enclave (Starter)	START	Oldrepstarter_Dantooine_Enclave	L	Location	Ground - Dantoonine Jedi Facility	2				U	28		Each of your opponent's units without Stealth gets -10 speed. | Each of your opponent's units get -1 power.		
Darth Revan (B) (Starter)	START	Oldrepstarter_Darth_Revan_B	D	Character	Dark Jedi Master - Sith Lord	6	50	5	4	C	59	The first activated ability causes an immediate damage prevention POP before the normal damage prevention POP for the attack.	Armor | Pay 1 Force -> Revan does 1 damage to the defending unit.  Play only when Revan is attacking. | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 1		
Double-Bladed Lightsaber (Starter)	START	Oldrepstarter_Double_Bladed_Lightsaber	N	Equipment	Ground/Character - Lightsaber Weapon	1				U	29		Pay 2 Force -> Equip | Equipped unit may only have one Lightsaber Weapon attached to it. | Equipped Jedi or Sith gets +2 power and "Pay 1 Force -> Retaliate 3."		
Dueling Ambitions (Promo) (Starter)	START	Oldrepstarterpromo_Dueling_Ambitions	N	Battle						P			One of your units in the Space or Ground arena gets +30 speed until end of turn. | Enhance: Pay 2 Force -> That unit also gets +2 power until end of turn.		
Dueling Ambitions (Starter)	START	Oldrepstarter_Dueling_Ambitions	N	Battle						C	109		One of your units in the Space or Ground arena gets +30 speed until end of turn. | Enhance: Pay 2 Force -> That unit also gets +2 power until end of turn.		
Fairwind (B) (Starter)	START	Oldrepstarter_Fairwind_B	L	Space	Old Republic Jedi Gunship - Flagship	6	50	6	5	U	41		Shields 2 | Pay 1 Force -> Retailiate 2		
Fear and Uncertainty (Starter)	START	Oldrepstarter_Fear_and_Uncertainty	N	Mission		2				C	85		Search your deck for between 2 and 5 cards with different names and show them to your opponent. Your opponent puts them into 2 piles. Put 1 pile into your hand and discard the other pile. Shuffle your deck. 		
Foray-Class Blockade Runner (Starter)	START	Oldrepstarter_Foray_Class_Blockade_Runner	L	Space	Old Republic Capital Ship	5	40	4	4	C	86		Shields 1 | Pay 2 Force -> Retaliate 4		
Force Evasion (Promo) (Starter)	START	Oldrepstarterpromo_Force_Evasion	N	Battle						P			Pay X Force-> Prevent X damage to one of your units.		
Force Evasion (Starter)	START	Oldrepstarter_Force_Evasion	N	Battle						C	87		Pay X Force-> Prevent X damage to one of your units.		
Githany (A) (Starter)	START	Oldrepstarter_Githany_A	D	Character	Dark Jedi - Sith Lord	4	60	4	3	C	70		Pay 1 Force -> Githany gets Critical Hit 2 for this attack. | Put 1 damage counter on one of your other Sith in the Character arena -> Evade 2		
Gloom Walkers (A) (Starter)	START	Oldrepstarter_Gloom_Walkers_A	D	Ground	Sith Soldier Squad	6	40	5	5	R	12		Treat this unit as Force Sensitive. | Accuracy 1 | Armor | Pay 1 Force -> Evade 1		
Hammerhead IV-Class Cruiser Starter	START	Oldrepstarter_Hammerhead_IV_Class_Cruiser	L	Space	Old Republic Capital Ship - Cruiser	6	40	5	6	C	71		Shields 2		
Jedi Airhooks (Starter)	START	Oldrepstarter_Jedi_Airhooks	L	Ground	Old Republic Jedi Speeder Squad	4	60	2	2	U	47		Accuracy 2 | Pay 1 Force -> Evade 2		
Jedi Battle Veterans (Starter)	START	Oldrepstarter_Jedi_Battle_Veterans	L	Ground	Old Republic Jedi Squad	5	40	4	4	U	48		Armor | Pay 1 Force -> Evade 1 | Pay 1 Force -> Retaliate 2		
Jedi Defender (Starter)	START	Oldrepstarter_Jedi_Defender	L	Character	Old Republic Jedi Knight	3	30	3	3	C	75		Armor | Pay 2 Force -> Evade 1		
Jedi Encampment (Starter)	START	Oldrepstarter_Jedi_Encampment	L	Ground	Old Republic Jedi Fortification	7	10	*	10	R	13		This unit's power is equal to the total number of Jedi you have in the Ground arena. | Tap -> Remove 1 damage counter from each of your Jedi in the Ground arena. Play only when this unit would attack.		
Jedi Guardian (Starter)	START	Oldrepstarter_Jedi_Guardian	L	Character	Old Republic Jedi Knight	5	50	4	4	U	56		Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept | Pay 2 Force -> Retaliate 3		
Jedi Gunship (Starter)	START	Oldrepstarter_Jedi_Gunship	L	Space	Old Republic Jedi Gunship	5	40	5	5	U	49		Bombard 4 | Pay 1 Force -> This unit gets Critical Hit 2 for this attack.		
Jedi Speeder Bike (Starter)	START	Oldrepstarter_Jedi_Speeder_Bike	L	Ground	Jedi Speeder	3	60	2	2	C	67		Pay 1 Force -> Evade 1		
Korriban (Starter)	START	Oldrepstarter_Korriban	D	Location	Space - Korriban	2				C	60		When your build step starts, you may search your deck for a Sith unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.		
Meetra Surik (A) (Starter)	START	Oldrepstarter_Meetra_Surik_A	L	Character	Old Republic Jedi Master	7	50	6	5	U	40		Whenever damage from Meetra causes a unit to be discarded, put that unit face-down beneath Meetra. | Meetra gets + 1 power and +1 health for each face-down beneath her. | Pay 1 Force -> Evade 2		
Mical (A) (Starter)	START	Oldrepstarter_Mical_A	L	Character	Old Republic Jedi Master - Historian	4	30	3	3	U	97		Parry 1 | Discard a card from your hand -> Gain 2 Force | Pay 3 Force -> Protect 3		
Nightfall (A) (Starter)	START	Oldrepstarter_Nightfall_A	D	Space	Dark Jedi - Sith Capital Ship - Flagship	7	30	6	6	U	55		Each of your Sith Squadrons and Starfighters gets Accuracy 1 and Critical Hit 1.		
Old Republic Defense Squad (Starter)	START	Oldrepstarter_Old_Republic_Defense_Squad	L	Ground	Old Republic Soldier Squad	6	30	6	5	C	99		As long as you have a Location in any arena, this unit gets Armor.		
Old Republic Trooper (Starter)	START	Oldrepstarter_Old_Republic_Trooper	L	Character	Old Republic Soldier	3	40	2	3	C	101		As long as a Jedi is in the Character arena, this unit gets +1 power | Pay 1 Force -> Intercept 		
Sith Apprentice (Starter)	START	Oldrepstarter_Sith_Apprentice	D	Character	Dark Jedi - Sith Apprentice	3	60	3	2	C	65		Pay 2 Force -> Evade 1 | Pay 1 Force -> Retaliate 3		
Sith Assault Team (Starter)	START	Oldrepstarter_Sith_Assault_Team	D	Ground	Dark Jedi - Sith Warrior Squad	4	40	4	3	C	82		Armor | Whenever this unit attacks, you may give it +4 power for that attack. If you do, this unit does 2 damage to itself when the attack ends.		
Sith Attacker (Starter)	START	Oldrepstarter_Sith_Attacker	D	Character	Dark Jedi Knight - Sith Warrior	3	30	3	3	C	88		Armor | Pay 2 Force -> This unit gets Fury 2 for this attack.		
Sith Lord (Starter)	START	Oldrepstarter_Sith_Lord	D	Character	Dark Jedi - Sith Lord	5	50	4	4	U	44		Pay 1 Force -> Choose a Sith. That Sith gets "Pay 1 Force -> Retaliate 3" until end of turn. | Pay 2 Force -> Evade 2		
Sith Battle Force (Starter)	START	Oldrepstarter_Sith_Battle_Force	D	Ground	Dark Jedi - Sith Squad	4	60	3	3	C	66		When this unit attacks, your opponent may put 1 damage counter on the defending unit. If he or she does, the attack ends. | Pay 1 Force -> Evade 1		
Sith Dreadnaught (Starter)	START	Oldrepstarter_Sith_Dreadnaught	D	Space	Dark Jedi - Sith Capital Ship	5	40	6	4	U	58		Bombard 4 | Pay 1 Force -> Retaliate 2		
Sith Fighter LS-05-80 (Starter)	START	Oldrepstarter_Sith_Fighter_LS_05_80	D	Space	Dark Jedi - Sith Starfighter	3	60	3	2	C	67		Whenever you gain Force during the battle step, do 1 damage to one of your opponent's units in the Space arena.		
Sith Flier Swarm (Starter)	START	Oldrepstarter_Sith_Flier_Swarm	D	Ground	Dark Jedi - Sith Speeder Squad	6	60	6	4	C	84		Pay 3 Force -> Evade 2 | Pay 1 Force -> Intercept		
Sith Interceptor LS-05-77 (Starter)	START	Oldrepstarter_Sith_Interceptor_LS_05_77	D	Space	Dark Jedi - Sith Starfighter	3	50	2	2	C	70		This unit gets +3 power as long as it's attacking a damaged unit. | Pay 1 Force -> Intercept		
