Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ancient Coruscant	TAL	TAL001_Ancient_Coruscant	L	Location	Character - Old Republic Coruscant City	4				R	1		As long as you have a Historian in the Character arena, this location costs 1 less build counter to complete and can't be discarded from the Character arena. | Each of your Old Republic units costs 1 less build counter to deploy.		TOR
Birth of the Republic	TAL	TAL002_Birth_of_the_Republic	L	Mission		X				R	2		Choose X of your units in any arena. Each of the chosen units gains the Old Republic subtype and gets +1 health until end of game. Each of the chosen units also gets +10 speed and +1 power until end of turn..		TOR
Butch (A)	TAL	TAL003_Butch_A	L	Ground/Character	Jedi Dragon Creature	12	40	7	9	R	3		Switch: +30 speed/+2 power | As long as you have Quan-Jang or Shae Koda in any arena, Butch costs 1 less build counter to deploy. | INSERT: Damage from Butch can't be prevented.		TOR
Corsair (A)	TAL	TAL004_Corsair_A	D	Space	Dark Jedi - Sith Capital Ship - Flagship	18	20	12	15	R	4		As long as Naga Sadow is in any arena or your build zone, Corsair costs 2 less build counters to deploy. | Whenever Corsair attacks, you may discard a Location from any arena. | Damage from Corsair can't be prevented. | Tap -> Choose up to 4 of your opponent's units in the Space arena. Put 2 damage counters on each of the chosen units. Corsair doesn't untap during your next untap step.		TOR
Daegen Lok (A)	TAL	TAL005_Daegen_Lok_A	N	Character	Independent Dark Jedi	8	60	5	5	R	5		Hidden Cost 6 | Daegen gets +1 power and Accuracy 1 when attacking a Dark Side unit. | As long as Daegen has 2 or more Equipment attached, he gets Double Damage. | Overkill | Pay 3 Force -> Deflect 2		TOR
Daragon Family (A)	TAL	TAL006_Daragon_Family_A	N	Ground	Old Republic Force Sensitive Explorer Squad	6	40	4	4	R	6		Stack: Gav Daragon and Jori Daragon | Transport Pilot. The Transport gets:  - +1 health for each card in Daragon Family's stack.   - When the battle phase ends, gain 2 Force.		TOR
Daritha Xim (A)	TAL	TAL007_Daritha_Xim_A	N	Character	Independent Despot	9	50	7	7	R	7		Bounty: Add or remove 1 counter of any type from one of your Space units. | Armor | Each of your Neutral units gets Fury 1 and Stun 1. | Pay 2 build points -> Take 1 60/2/2 Tionese Raiders Subordinate with "Double Damage" and put it into the Space arena. Play only during your build step.	<s><l>Pay 2BP to spawn Tionese Raiders</l><f>/spawn Tionese Raiders;/player stat2 -2;/s pays 2 BP to spawn Tionese Raiders subordinate using Daritha Xim (A)</f></s>	TOR
Dha Werda Verda	TAL	TAL008_Dha_Werda_Verda	N	Battle						R	8		Discard a card from the bottom of your opponent's deck -> Choose an arena. Each of your units in the chosen arena gets +10 speed, Precision, and Avenge 1 until end of turn.		TOR
Empress Teta (A)	TAL	TAL009_Empress_Teta_A	L	Character	Old Republic Officer - Diplomat	9	40	6	6	R	9		Armor | Capital Ship and Fleet Pilot. The Capital Ship or Fleet gets:   - As long as this unit is unique, it gets Inspiration. | Pay 2 Force -> Take 2 60/1/1 Kros Starfighter Subordinates with "Accuracy 1" and put them into the Space arena. Play only during your build step.	<s><l>Pay 2 Force to spawn 2 Koros Starfighter2</l><f>/spawn Koros Starfighter;/spawn Koros Starfighter;/player stat1 -2;/s pays 2 Force  to spawn 2 Koros Starfighter subordinates using Empress Teta (A) as a pilot</f></s>	TOR
Exar Kun (A)	TAL	TAL010_Exar_Kun_A	D	Character	Dark Jedi Knight - Sith Lord	11	50	9	6	R	10		Whenever you deploy a Sith, gain 1 Force. | Whenever one of your Sith would be discarded from any arena, you may pay 1 Force. If you do, return that Sith to your hand instead. | Pay 3 Force -> Evade 3		TOR
