Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Arc Hammer (A)	TDT	TDT001_Arc_Hammer_A	D	Space	Imperial Capital Ship - Flagship	10	20	4	10	R	1		Shields 1 | Tap, Pay 3 build points -> Take 1 40/3/4 Phase III Dark Trooper Subordinate with "Switch: Critical Hit 3/Accuracy 1" and "Armor" and put it into the Ground or Character arena. | Put 2 damage counters on Arc Hammer -> Remove up to 4 damage counters from one of your Imperial Droids.	<s><l>Tap and pay 3BP to spawn Phase III Dark Trooper</l><f>/spawn Phase III Dark Trooper;/cr90;/player stat2 -3;/s taps Arc Hammer (A) and pays 3BP to spawn a Phase III Dark Trooper subordinate</f></s>	REB
Baron Tarko (A)	TDT	TDT002_Baron_Tarko_A	D	Character	Imperial Officer	8	30	3	4	R	2		When you deploy Tarko, take 1 40/4/4 AT-MP Subordinate and put it into the Ground arena. | Tap, Pay 4 build points -> Take 1 60/5/5 Nemisis-Class Gunship Subordinate with "Overkill" and put it into the Ground or Character arena.	<s><a>y</a><l>Spawn AT-MP</l><f>/spawn AT-MP;/s spawns an AT-MP subordinate upon deployment of Baron Tarko (A)</f></s><s><l>Tap and pay 4BP to spawn Nemesis-Class Gunship</l><f>/spawn Nemesis-Class Gunship;/cr90;/player stat2 -4;/s taps Baron Tarko (A) and pays 4BP to spawn a Nemesis-Class Gunship subordinate</f></s>	REB
Beyghor Sahdett (A)	TDT	TDT003_Beyghor_Sahdett_A	L	Character	Verpine Jedi Master	8	80	4	4	R	3		Elude | Beyghor gets Accuracy 3 when attacking a non-unique unit. | Double Strike | Pay 1 Force -> Deflect 1 | Pay 1 Force -> Evade 2		REB
Biggs Darklighter (B)	TDT	TDT004_Biggs_Darklighter_B	L	Character	Rebel Officer	7	40	4	4	R	4		When you deploy Biggs, you may add or remove 1 captivity counter from a unit in any arena. | Tap -> Discard a non-unique Starfighter from the Space arena. Play only when Biggs would attack. | Remove 1 captivity counter from one of your opponent's Space units -> Take 2 50/2/1 Captured Tie Fighter Subordinates and put them into the Space arena.	<s><l>Spawn 2 Captured TIE Fighters</l><f>/spawn Captured TIE Fighter;/spawn Captured TIE Fighter;/s spawns 2 Captured TIE Fighter subordinates using Biggs Darklighter (B) and MUST remove 1 captivity counter from one of their opponent's Space units</f></s>	REB
Black Dagger (A)	TDT	TDT005_Black_Dagger_A	L	Space	Rebel Starfighter	5	40	4	4	R	5		When the Space battle step starts, choose one: Black Dagger gets +20 speed until end of turn. Or: Black Dagger gets +2 power until end of turn. Or: Black Dagger gets Accuracy 2 until end of turn.		REB
Black Eight Squadron (A)	TDT	TDT006_Black_Eight_Squadron_A	D	Space	Imperial Squadron	10	60	6	6	R	6		Accuracy 2 | Elude | As long as you have Darth Vader in any arena, Black Eight Squadron gets Double Strike.		REB
Boba Fett (O)	TDT	TDT007_Boba_Fett_O	N	Character	Clone Mandalorian Bounty Hunter	8	40	6	5	R	7		Armor | Each of your Stormtroopers costs 1 less build counter to deploy. | Damage from Boba can't be prevented.		REB
Bull Rancor	TDT	TDT008_Bull_Rancor	N	Character	Felucian Creature	13	50	10	7	R	8		Armor | Each Jedi or Sith gets Critical Hit 3 when attacking this unit. | Damage from this unit can't be prevented.		REB
Captain Ozzik Sturn (A)	TDT	TDT009_Captain_Ozzik_Sturn_A	D	Character	Imperial Officer	8	30	4	5	R	9		Each of your Imperials gets +2 power and Stun 2 when attacking a Wookiee. | When you deploy Ozzik, take 3 30/1/2 Wookiee Slave Subordinates with "Your opponent may pay 2 Force to gain control of this unit until end of game." and put them into the Ground or Character arena. | Walker Pilot. The Walker gets:  +1 power for each of your Wookiee Slaves,  +2 health	<s><a>y</a><l>Spawn 3 Wookiee Slaves</l><f>/spawn Wookiee Slave;/spawn Wookiee Slave;/spawn Wookiee Slave;/s spawns 3 Wookiee Slave subordinates upon deployment of Captain Ozzik Sturn (A)</f></s>	REB
Captain Schurk-Heren (A)	TDT	TDT010_Captain_Schurk_Heren_A	L	Character	Yarkora Smuggler	5	50	3	3	R	10		Reserves: Tap -> Prevent up to 2 damage to one of your Characters. Play only if that Character would be discarded. You may also discard 3 cards from your hand. If you do, remove all damage counters from that Character.		REB
Celeste Morne (A)	TDT	TDT011_Celeste_Morne_A	N	Character	Jedi Master	7	50	5	5	R	11		Each unit gets Accuracy -1 when attacking Celeste. | Each of your Creatures gets +1 power. | Pay 2 Force -> Evade 3		REB
Celeste Morne (B)	TDT	TDT012_Celeste_Morne_B	N	Character	Jedi Master	7	40	5	5	R	12		Pay 5 Force -> Choose one of your opponent's untapped non-Jedi in the Ground or Character arena. The chosen non-Jedi must attack this turn, and you may have it attack a unit of your choice in the same arena. | Pay 3 Force -> Evade 3		REB
Crowded Skylanes	TDT	TDT013_Crowded_Skylanes	N	Mission		2				R	13		Each player searches his or her deck for any number of Space unit cards with a combined build cost of 9 or less and puts them into the Space arena tapped. Each player then shuffles his or her deck. Play only once per game.		REB
Dagger Squadron (A)	TDT	TDT014_Dagger_Squadron_A	L	Space	Rebel Squadron	7	50	5	5	R	14		Critical Hit 3 | As long as you have an Officer in the Character arena, Dagger Squadron gets Accuracy 1.		REB
Dark Trooper Legion	TDT	TDT015_Dark_Trooper_Legion	D	Ground	Imperial Droid Squad - Cyborg Army	14	40	10	10	R	15		Critical Hit 3 | Armor | Overkill		REB
Dark Woman (B)	TDT	TDT016_Dark_Woman_B	L	Character	Jedi Master	5	50	4	4	R	16		Hidden Cost 1 | Critical Hit 1 | Foresight: Gain 1 Force | Parry 1 | Pay 1 Force -> Deflect 1		REB
Darth Vader (Y)	TDT	TDT017_Darth_Vader_Y	D	Character	Imperial Dark Jedi Knight - Sith Lord	12	50	7	7	R	17		Armor | Each of your Stormtroopers gets Accuracy 1. | Your opponent's units lose Inspiration. | Each of your opponent's Jedi costs 1 more build counter to deploy. | Pay 3 Force -> Deflect 2		REB
Darth Vader (Z)	TDT	TDT018_Darth_Vader_Z	D	Character	Imperial Dark Jedi Knight - Sith Lord	9	50	6	6	R	18		Armor | When you deploy Vader, you may pay X Force. If you do, search your deck for up to X Galen Marek unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. | Put X damage counters on one of your Sith Apprentices -> Vaders gets +X power, Fury X, and Stun X for this attack. | INSERT: Pay 3 Force -> Retaliate 6		REB
Dass Jennir (A)	TDT	TDT019_Dass_Jennir_A	L	Character	Jedi Master - Republic Officer	9	50	6	6	R	19		Accuracy 1 | Inspiration | Pay 3 Force -> Dass gets Accuracy 1, Critical Hit 1, and "Damage from Dass can't be prevented." when attacking a Neutral unit until end of turn. | Pay 2 Force -> Evade 2		REB
Dass Jennir (B)	TDT	TDT020_Dass_Jennir_B	L	Character	Jedi Master - Rebel Officer	8	60	6	5	R	20		Accuracy 1 | Critical Hit 2 | Pay 2 Force -> Evade 2 | Pay 1 Force -> Intercept | Pay X Force -> Prevent X damage to one of your other units in the Character arena.		REB
Death Star (D)	TDT	TDT021_Death_Star_D	D	Space	Imperial Battle Station	12	10	0	12	R	21		When you deploy the Death Star, you may search your deck or discard pile for up to 3 Space unit cards. If you do, show them to your opponent and put them into your hand. Shuffle your deck. | Reserves: Tap, Pay 4 Force -> Choose one: Take 1 40/4/4 Shadow Squad Subordinate with "Stealth" and put it into the Ground arena. Or: Take 1 50/4/5 Elite Stormtrooper Commander Subordinate and put it into the Character arena. 	<s><l>Tap and pay 4 Force to spawn Shadow Squad</l><f>/spawn Shadow Squad;/cr90;/player stat1 -4;/s taps Death Star (D) and pays 4 Force to spawn a Shadow Squad subordinate</f></s><s><l>Tap and pay 4 Force to spawn Elite Stormtrooper Commander</l><f>/spawn Elite Stormtrooper Commander;/cr90;/player stat1 -4;/s taps Death Star (D) and pays 4 Force to spawn an Elite Stormtrooper Commander</f></s>	REB
Deena Shan (A)	TDT	TDT022_Deena_Shan_A	L	Character	Rebel Officer	5	40	4	4	R	22		Critical Hit 1 | Fury 2 | As long as you have a Jedi in the Character arena, Deena gets Lucky 1 and Parry 1.		REB
Den Dhur (A)	TDT	TDT023_Den_Dhur_A	L	Character	Sullustan Journalist 	4	30	2	4	R	23		Whenever your opponent uses Alternative Cost or Hidden Cost to deploy a unit, put 1 credit counter on Den. | Remove X credit counters from Den -> Draw X cards. Play during your build step. | Tap -> Take 1 40/1/3 Cam Droid Subordinate with "Each player plays with her or her hand revealed." and put it into the Character arena. Play only once per game.	<s><l>Tap to spawn Cam Droid</l><f>/spawn Cam Droid;/cr90;/s taps Den Dhur (A) to spawn a Cam Droid subordinate</f></s>	REB
Devastator (B)	TDT	TDT024_Devastator_B	D	Space	Imperial Capital Ship	9	20	8	7	R	24		Armor | When you deploy Devastator, take 2 60/1/1 Imperial TIE Fighter Subordinates and put them into the Space arena. | As long as your opponent has no Subordinates in any arena, each of your Subordinates in the Space arena gets Stun 2.	<s><a>y</a><l>Spawn 2 Imperial TIE Fighters</l><f>/spawn Imperial TIE Fighter;/spawn Imperial TIE Fighter;/s spawns 2 Imperial TIE Fighter subordinates upon deployment of Devastator (B)</f></s>	REB
Dunlan (A)	TDT	TDT025_Dunlan_A	L	Character	Ahakistan Rebel	8	50	5	5	R	25		Inspiration | When you deploy Dunlan, you may take 1 40/4/3 Ahakistan Underground Subordinate and put it into the Ground arena.	<s><l>Spawn Ahakistan Underground</l><f>/spawn Ahakistan Underground;/s spawns Ahakistan Underground subordinate upon deployment of Dunlan (A)</f></s>	REB
Emperor Palpatine (L)	TDT	TDT026_Emperor_Palpatine_L	D	Character	Dark Jedi Master - Sith Lord	9	40	6	6	R	26		Hidden Cost 4 | Foresight: Gain 4 Force. | when you deploy Palpatine, gain 2 Force. | Each of your Imperial Characters gets "Bounty: Put 1 captivity counter on a unit in any arena." | Pay 4 Force -> Untap a Subordinate. | Pay 4 Force -> Tap a Subordinate. | Pay 2 Force -> Evade 4.		REB
Empirical (A)	TDT	TDT027_Empirical_A	D	Space	Imperial Facility	7	10	3	6	R	27		Shields 2 | Tap -> Remove up to 3 damage counters from one of your Assassins or Sith Apprentices and put 3 corruption counters on that Assassin or Sith Apprentice has 6 or less corruption counters on it and only during your build step.		REB
Executor (D)	TDT	TDT028_Executor_D	D	Space	Imperial Capital Ship	6	10	5	4	R	28		Armor | As long as Darth Vader is in any arena, Executor gets +2 health and "Each of your Assassin unit cards gets Hidden Cost 3."		REB
Falcon Bridge Crew (B)	TDT	TDT029_Falcon_Bridge_Crew_B	L	Ground 	Diplomat - Jedi - Smuggler - Wookiee	8	40	6	6	R	29		Stack: Chewbacca, Han Solo, Luke Skywalker, and Princess Leia. | Falcon Bridge Crew's stack can have 1 extra card in it. | Pay X Force -> Remove X damage counters from one of your Transports in the Space arena. Play only when no unit is attacking. | Pay 2 Force -> Evade 2		REB
Ferus Olin (A)	TDT	TDT030_Ferus_Olin_A	L	Character	Jedi Padawan - Rebel Officer	11	60	7	6	R	30		Inspiration | Each of your other Jedi gets Accuracy 1. | Each of your Jedi costs 1 less build counter to deploy. | Pay 3 Force -> Evade 3 | Pay 2 Force -> Prevent up to 3 damage to one of your other Characters.		REB
Flame (A)	TDT	TDT031_Flame_A	D	Character	Imperial Agent - Spy	6	40	4	4	R	31		Accuracy 1 | Stealth | Flame can attack Characters in your opponent's build zone. | Flame can attack untapped Characters with Stealth.		REB
