Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Pirate Gang	TEN	AGDpromo_Pirate_Gang	N	Ground/Character	Weequay Pirate Squad	8	50	5	5	R			"Switch: +1 power/+1 health | When you deploy this unit, you may reveal a partially built Pirate unit card in your build zone to your opponent. If you do, put 2 build counters on the revealed card. | Pay 0 Force -> Retaliate 3"		CW
Separatist Droid Army (A)	TEN	AGDpromo_Separatist_Droid_Army_A	D	Space/Ground/Character	Separatist Droid Army	14	20	10	10	R			"Switch: Bombard 10/Ion Cannon 10/Overkill | As long as the number of Droids you have in the Ground arena is greater than the number of Clones your opponent has in the Ground arena , Separatist Droid Army gets +4 power and Elude. | Pay 0 Force -> Retaliate 2"		CW
Clan Fett (A)	TEN	BHpromo_Clan_Fett_A	N	Ground	Mandalorian Bounty Hunter - Clone Boy	7	60	5	5	R			"Stack: Boba Fett and Jango Fett | Critical Hit 2 | Whenever you play a Mission card with build cost 2 or more, put 1 mastery counter on Clan Fett. | Clan Fett gets +1 power and +1 health for each mastery counter on it. | Pay 0 Force -> Retaliate 4"		
On the Hunt	TEN	BHpromo_On_the_Hunt	N	Mission		2				R			"You may complete On the Hunt during the battle phase. Choose one of your opponent's units in any arena or build zone. Each of your Bounty Hunters gets Accuracy 1 and ""Bounty: Gain 2 build points"" when attacking that unit until end of turn."		
Blade Squadron (A)	TEN	BOEpromo_Blade_Squadron_A	L	Space	Rebel Squadron	6	30	6	5	R			Hidden Cost 3 | Shields 1 | Blade Squadron gets +3 power when attacking a Capital Ship or Fleet.		
Rebel Victory	TEN	BOEpromo_Rebel_Victory	L	Mission		3				R			"Gain X Force and your opponent loses X Force, where X is the number of Rebels you have in the Space arena. If your opponent has no units in the Space arena and no multi-arena units in the Ground arena, you may also draw X cards."		
Lord Starkiller Attacks	TEN	BOHpromo_Lord_Starkiller_Attacks	D	Mission		3				R			Put 2 corruption counters and 2 damage counters on Luke Skywalker. Each of your Assassins gets Double Strike when attacking Luke Skywalker until end of turn.		
Wedge's Snowspeeder (B)	TEN	BOHpromo_Wedge_s_Snowspeeder_B	L	Ground	Arctic Rebel Speeder 	5	60	3	3	R			INSERT: Wedge's Snowspeeder can have up to 2 Pilots on it. | INSERT: Pay 1 build point -> Wedge's Snowspeeder gets Double Strike until end of turn.		
Clone Superiority	TEN	CADpromo_Clone_Superiority	L	Battle						R			Tap X of your untapped Clones in the Ground or Character arena -> Put X damage counters on one of your opponent's non-Jedi or non-Sith in the Ground or Character arena. Play only when no unit is attacking.		CW
Droid Swarm	TEN	CADpromo_Droid_Swarm	D	Mission		X				R			"To complete Droid Swarm, you must also have X Battle Cards in your discard pile. | Search your deck for up to X Droid unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. Droid Swarm also does X damage divided between your opponent's units in any arena."		CW
