Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Ahch-To Island	TLJ	TLJ001_Ahch_To_Island	L	Location	Ground - Jedi Ahch-To Settlement	4				R	1		When your build step starts, you may choose one: Search your deck for a Jedi Ground or Character unit card, show it to your opponent, and put it face-down beneath this Location. Shuffle your deck. Or:  Pay X+1 Force -> Take 1 face-down Jedi Ground or Character unit card with printed build cost X from beneath this Location and put it into its arena tapped.		RES
Ahch-To Jedi Library	TLJ	TLJ002_Ahch_To_Jedi_Library	L	Resource		3				R	2		Add 1 counter -> One of your Jedi gets Parry 1 until end of turn. | Remove 4 counters -> One of your Jedi gets "Each of this unit's Force-activated abilities costs 1 less Force to play. Abilities that cost 1 or more Force can't cost less than 1 Force." until end of turn. Play only during your build step.		RES
Anakin Skywalker's Lightsaber (D)	TLJ	TLJ003_Anakin_Skywalker_s_Lightsaber_D	N	Equipment	Character - Lightsaber Weapon	2				R	3		Each player gains 2 Force -> Equip | Equipped Force Sensitive or Jedi gets "Each unit gets Backfire 4 (If you roll at least one natural 3 for this unit's attack, this unit does 4 dice of damage to itself when the attack ends.) when attacking this unit." and "Discard Anakin Skywalker's Lightsaber from this unit -> Your opponent loses 4 Force."		RES
At What Cost?	TLJ	TLJ004_At_What_Cost	N	Mission - Trap		3				R	4		When the Space battle step ends, if at least 1 of each player's units were discarded from the Space arena this turn, choose one: Untap each unit in the Space arena. There is another Space battle step. Or: Your opponent loses 6 Force. | Pay 6 Force -> Meditate.		RES
Burning Temple	TLJ	TLJ005_Burning_Temple	D	Location	Character - Jedi Facility	2				R	5		Each of your opponent's Light Side Characters gets Backfire 2 (If your roll at least one natural 3 for this unit's attack, this unit does 2 dice of damage to itself when the attack ends.)		RES
Captain Edrison Peavey (A)	TLJ	TLJ006_Captain_Edrison_Peavey_A	D	Character	First Order Officer	5	20	3	4	R	6		Each of your Capital Ships gets Resilience 2 and "Attacks from this unit can't be disrupted."		RES
Cobalt Hammer (A)	TLJ	TLJ007_Cobalt_Hammer_A	L	Space	Resistance Heavy Starfighter	8	30	5	6	R	7		Bombard 4 | Discard Cobalt Hammer from the Space arena -> Put 4 damage counters on one of your opponent's Space units. Play only when Cobalt Hammer would attack.		RES
Cobalt Squadron (A)	TLJ	TLJ008_Cobalt_Squadron_A	L	Space	Resistance Squadron	8	30	6	7	R	8		Bombard 6 | Tap -> Do 4 damage to one of your opponent's Space units. Play only when Cobalt Squadron would attack. | Pay 3 Force -> Ambush 3		RES
Crait Base (A)	TLJ	TLJ009_Crait_Base_A	L	Ground	Resistance Fortification	10	10	6	10	R	9		Upkeep: Put 1 damage counter on Crait Base. | When you deploy Crait Base, you may pay 2 Force. If you do, search your deck for up to 2 Resistance Ground or Character unit cards, show them to your opponent, and put them into your hand. Shuffle your deck. | Each of your Resistance Ground units gets Armor. | Pay 0 Force -> Intercept.		RES
Crazy Stunt	TLJ	TLJ010_Crazy_Stunt	L	Battle						R	10		Discard 3 cards from your hand -> One of your Starfighters with a Pilot gets +1 power, Accuracy 3, and Overkill for this attack. | Discard 3 cards from your hand -> Meditate.		RES
