Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
All Memorized	TM	TM001_All_Memorized	N	Mission		2				R	1		Set aside up to 5 cards from your hand and then draw a card for each card set aside this way. When the turn ends, choose one: Discard your hand and put each card set aside this way into your hand. Or: Discard each card set aside this way.		NEW, MV
Arvala Jawa Tribe (A)	TM	TM002_Arvala_Jawa_Tribe_A	N	Ground/Character	Jawa Arvala Desert Scavenger Squad	5	40	*	5	R	2		Switch: Area Damage 1/Stun 2 | Arvala Jawa Tribe's power is equal to the number of Jawas in this Arena | Tap -> Take 1 40/1/2 Arvala Jawa Subordinate with "Stun 1" and put it into the Character arena. Play only during your build step. | Pay 1 Force -> Ambush 2	<s><l>Tap to spawn Arvala Jawa</l><f>/spawn Arvala Jawa;/cr90;/s taps Arvala Jawa Tribe (A) to spawn 1 Arvala Jawa subordinate</f></s>	NEW, MV
Bounty Hunter Gang (D)	TM	TM003_Bounty_Hunter_Gang_D	N	Ground	Bounty Hunter Squad - Droid - Mandalorian	8	40	6	6	R	3		Bounty Hunter Gang can have up to 6 cards in its stack. | Bounty: Draw 2 cards. | Armor | Pay 1 -> Retaliate 2 | INSERT: Stack: Din Djarin and IG-11		NEW, MV
Bounty Hunter Guild Squad (A)	TM	TM004_Bounty_Hunter_Guild_Squad_A	N	Ground/Character	Trandoshan Bounty Hunter Squad	8	50	5	5	R	4		Bounty: Take 1 40/2/2 Trandoshan Bounty Hunter Subordinate with "Cunning" and put it into the Character arena. | Cunning | Parry 1 | Tap -> Ambush 5	<s><l>Spawn Trandoshan Bounty Hunter</l><f>/spawn Trandoshan Bounty Hunter;/s spawn Trandoshan Bounty Hunter subordinate as a Bounty earned by Bounty Hunter Guild Squad (A)</f></s>	NEW, MV
Bounty Hunter Guild Squad (B)	TM	TM005_Bounty_Hunter_Guild_Squad_B	N	Ground/Character	Nevarro Bounty Hunter Squad	9	50	6	6	R	5		Switch: Overkill/Intimidation | Bounty: You may discard the top 2 cards from your opponent's deck. | Tap -> Ambush 7		NEW, MV
Burg (A)	TM	TM006_Burg_A	N	Ground/Character	Devaronian Crime Gang Warrior	9	30	7	6	R	6		Switch: Fury 2/Critical Hit 2 | Tap -> Put 4 damage counters on one of your opponent's non-unique units in this arena. Play only when Burg would attack. | Discard a card from your hand -> Retaliate 4		NEW, MV
Cara Dune (A)	TM	TM007_Cara_Dune_A	L	Ground/Character	Alderaanian Warrior	7	40	4	6	R	7		Switch: Stealth/Armor | Accuracy 1 | Bounty: Put 2 mastery counters on Cara. | Pay 2 Force -> Ambush X+1, where X is the number of mastery counters on Cara.		NEW, MV
Cara Dune (B)	TM	TM008_Cara_Dune_B	L	Ground/Character	Alderaanian Warrior	7	30	5	6	R	8		Switch: Area Damage 3/Critical Hit 1 | As long as you have a Location in this arena, Cara gets Damage Control 2 | Pay 5 -> Cara gets Double Strike until end of turn.		NEW, MV
Cara Dune's Heavy Machine Gun (A)	TM	TM009_Cara_Dune_s_Heavy_Machine_Gun_A	N	Equipment	Ground/Character - Blaster Weapon	3				R	9		Reduced Cost 2: If Cara Dune is in any arena. | Remove a card from your hand from the game -> Equip | Equipped Ground unit or Character gets Critical Hit 2, "This unit gets +2 power when attacking a multi-arena unit.", and "Pay 2 Force -> Retaliate 5."		NEW, MV
Causing All the Fuss	TM	TM010_Causing_All_the_Fuss	L	Event						R	10		Each unit gets Backfire 2 when attacking a Force Sensitive Child. | Whenever a Force Sensitive Child is discarded from any arena, lose 1 Force. | Grogu gets +1 health.		NEW, MV
Cell Two-Two-One (A)	TM	TM011_Cell_Two_Two_One_A	L	Equipment	Space/Ground/Character - Device	2				R	11		Pay 1 build point -> Equip | Equipped Police gets "When your build step starts, you may put 2 captivity counters on one of your opponent's units in the Ground or Character arena."		NEW, MV
Come to Mama	TM	TM012_Come_to_Mama	N	Battle						R	12		Tap on of your units with total build cost 6 or more in the Character arena -> Put 3 damage counters on an attacking unit in the Ground arena. | Enhance: Pay 2 Force -> Also, Come to Mama can't be disrupted		NEW, MV
Din Djarin (A)	TM	TM013_Din_Djarin_A	N	Character	Mandalorian Bounty Hunter	7	50	4	6	R	13		Armor | Lucky X, where X is the number of units your opponent has in the Character arena. | As long as your opponent has more units in the Character arena than you do, Din gets Double Strike.		NEW, MV
Din Djarin (B)	TM	TM014_Din_Djarin_B	N	Ground/Character	Mandalorian Bounty Hunter	8	50	6	5	R	14		Switch: Riposte 2/Armor, Fury 2 | Pay 1 Force -> Take a Grogu unit card from your hand or discard pile, show it your opponent, and put it into your build zone with 1 build counter on it. Play only during your build step. | Pay 0 Force -> Intercept		NEW, MV
Din's Clan (A)	TM	TM015_Din_s_Clan_A	L	Ground	Mandalorian Bounty Hunter Squad	6	40	5	5	R	15		Stack: Din Djarin and Grogu. | Armor | As long as a Grogu unit card is in Din's Clan's stack, Din's Clan gets the Force Sensitive Child subtype, Parry 2, and "Pay 1 Force -> Deflect 1."		NEW, MV
Din's Strike Team (A)	TM	TM016_Din_s_Strike_Team_A	N	Ground	Mandalorian Bounty Hunter Warrior Squad	8	50	4	6	R	16		Treat Din's Strike Team as Farmer Creature. | Area Damage 2 | Double Strike | INSERT: Resilience 1		NEW, MV
Din's Strike Team (B)	TM	TM017_Din_s_Strike_Team_B	N	Ground	Mandalorian Bounty Hunter Warrior Squad	9	40	6	7	R	17		Din's Strike Team can attack your opponent's Starfighters in any arena or build zone. | Bounty: You may put 1 damage counter on a Starfighter or Pilot piloting a unit | Critical Hit 1 | INSERT: Armor		NEW, MV
Din Djarin's Amban Sniper Rifle (A)	TM	TM018_Din_Djarin_s_Amban_Sniper_Rifle_A	N	Equipment	Ground/Character - Blaster Weapon	2				R	18		Pay 1 build point -> Equip | Equipped Ground unit or Character gets +1 power and Precision. | Equipped Din Djarin also gets "Din can attack your opponent's units in the Ground or Character arena."		NEW, MV
Din Djarin's Clan Insignia (A)	TM	TM019_Din_Djarin_s_Clan_Insignia_A	N	Equipment	Ground/Character - Device	3				R	19		Pay 1 build point -> Equip | Equipped Din Djarin or Din's Clan gets +1 health , Inspiration, and "Upkeep: You may remove 1 counter of any type from Din Djarin, Din's Clan, or Grogu”		NEW, MV
Din Djarin's Redemption (A)	TM	TM020_Din_Djarin_s_Redemption_A	L	Equipment	Ground/Character - Trait	3				R	20		When Grogu taps, attach Din Djarin's Redemption to Din Djarin. | Equipped Din Djarin gets "Whenever Din is attacked, if Grogu is in any arena, choose one: Gain 1 Force. Or: Put 1 redemption counter on Din." and "Pay 3 Force -> Protect X, where X is the number of redemption counters on Din."		NEW, MV
Din Djarin's Vambrace Flamethrower (A)	TM	TM021_Din_Djarin_s_Vambrace_Flamethrower_A	N	Equipment	Ground/Character - Weapon Modification	1				R	21		Pay 2 build points -> Equip | Equipped Ground unit or Character gets Critical Hit 2 and Area Damage 2. | Equipped Din Djarin also gets "Each non-unique unit gets Backfire 1 when attacking Din."		NEW, MV
Din Djarin's Whistling Birds (A)	TM	TM022_Din_Djarin_s_Whistling_Birds_A	N	Equipment	Ground/Character - Projectile Weapon	3				R	22		Pay 1 build point -> Equip | Equipped Ground unit or Character gets +1 power, Area Damage 3, Overkill. | Equipped Din Djarin also gets Ferocity when attacking a non-unique unit.		NEW, MV
