Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification	DraftRarity
Axe's Cruiser (A)	TMR	TMR001_Axe_s_Cruiser_A	N	Space	Mandalorian Mercenary Capital Ship	6	50	5	5	R	1		Bounty: Search your deck for a non-unit card, reveal it, and either put it face-down in your build zone with 1 build counter on it or into your hand. | Armor		NEW, MV	UR
Bo-Katan Kryze (G)	TMR	TMR002_Bo_Katan_Kryze_G	N	Ground/Character	Mandalorian Warrior - Mandalore	8	50	6	6	R	2		Upkeep: Put 1 redemption counter on a unit, or tap Bo-Katan. | Armor | Each of your units with 1 or more redemption counters on it gets +1 power and +1 health.		NEW, MV	UR
Bo-Katan Walks Both Worlds	TMR	TMR003_Bo_Katan_Walks_Both_Worlds_A	N	Equipment	Ground/Character - Trait	2				R	3		When one of your Mandalorians retreats, attach this Trait to it. | Equipped Mandalorian gets "If this unit has 1 or more redemption counters on it and no corruption counters, it gets Critical Hit 2." | Equipped Bo-Katan Kryze or a unit with a Bo-Katan Kryze card in its stack also gets "Reserves: When the battle phase starts, you may move this unit into an arena matching its type untapped."		NEW, MV	NR
Carson Teva (B)	TMR	TMR004_Carson_Teva_B	L	Character	New Republic Police Officer	2	30	2	2	R	4		Deploy: You may pay 2 Force to give a Starfighter +2 power until end of turn. | [Pilot] Starfighter Pilot, The Starfighter gets: *Bounty: Choose a partially built card in your opponent's build zone. Reveal that card. *Focus 2 *Your opponent can't use Hidden Cost in this arena during the battle phase.		NEW, MV	UR
Commmandant Hux (A)	TMR	TMR005_Commandant_Hux_A	D	Character	Imperial Remnant Officer	2	40	3	3	R	5		When you deploy a Clone into the Character arena, you may give that card "Pay X Force, where | X is this card's printed build cost -> Meditate." Play only once per game.		NEW, MV	UR
Commisioner Helgait (A)	TMR	TMR006_Commissioner_Helgait_A	N	Character	Plazir Police Officer	2	40	1	4	R	6		[tap] -> Add or subtract 1 to or from any die roll result. Play only during the battle phase.		NEW, MV	UR
Din Djarin (L)	TMR	TMR007_Din_Djarin_L	L	Character	Mandalorian Bounty Hunter	8	60	6	6	R	7		Adapt: Surge 2/Bombard 6 | Armor | Each of your units with 1 or more redemption counters on it gets "Adapt: +10 speed/+1 power." | Pay 2 Force -> Intercept 		NEW, MV	UR
Din's Clan (E)	TMR	TMR008_Din_s_Clan_E	N	Ground	Mandalorian Squad	6	50	4	4	R	8		Treat Din's Clan as a Force Sensitive Child. | Stack: Bo-Katan Kryze, Din Djarin, and Grogu. | Shields 2 | When Din's Clan is attacked with Bombard, it gets Shields X-1, where X is the number of cards in its stack. | Pay 5 Force -> Deflect 2 | Pay 2 Force -> Evade 2		NEW, MV	UR
Din's N1 Starfighter (D)	TMR	TMR009_Din_s_N_1_D	N	Space/Ground	Mandalorian Naboo Starfighter	5	60	3	3	R	9		Switch: Lucky 2/-20 speed | Hidden Cost 3 | Velocity 10 | When Din's N1 attacks a unit which caused damage to one of your units this turn, Din's N1 gets Accuracy 2 for the attack.		NEW, MV	UR
Dinosaur Turtle	TMR	TMR010_Dinosaur_Turtle	N	Ground	Aquatic Creature	8	10	15	15	R	10		Hidden Cost 5 | Area Damage 3 | Barrage 8 | When this unit retreats, remove it from the game. | When the battle phase ends, if this unit was in play at the beginning of the turn, retreat it.		NEW, MV	UR
