Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
3rd Generation Dark Troopers Platoon	TMW	TMW001_3rd_Generation_Dark_Trooper_Platoon	D	Space/Ground/Character	Imperial Remnant Droid Squad	12	40	9	8	R	1		Switch: -4 power, Bombard 8/Ferocity/Critical Hit 2 | Armor | Pay 3 Force -> Persuade 2		NEW, MV
Ahsoka Tano (M)	TMW	TMW002_Ahsoka_Tano_M	L	Character	Togruta Force Sensitive	8	50	5	5	R	2		Parry 2 | Riposte 2 | Your opponent's units in the Character arena can't retreat or move to another arena. | As long as your opponent has a unit in this arena, it must attack Ahsoka unless Ahsoka has already been attacked this turn. | Pay 2 Force -> Evade 2		NEW, MV
Ahsoka Tano's Lightsabers (D)	TMW	TMW003_Ahsoka_Tano_s_Lightsabers_D	L	Equipment	Character - Lightsaber Weapon	2				R	3		Pay 3 Force -> Equip | Equipped Force Sensitive or Jedi gets "Pay 2 Force -> Absorb 2." | Equipped Ahsoka Tano also gets "When the battle phase starts, choose one: Ahsoka can attack units in the Ground arena until end of turn. Or: Ahsoka gets Stealth, her speed is 40, and she can't gain or lose speed until end of turn."		NEW, MV
Ancient Temple Ruins	TMW	TMW004_Ancient_Temple_Ruins	L	Location	Ground - Jedi Tython Ruin	2				R	4		Each of your opponent’s Meditate abilities and Meditate effects cost 1 more Force to play. | Whenever you use an ability or effect which costs 3 or more Force, you may draw a card.		NEW, MV
Axe Woves (A)	TMW	TMW005_Axe_Woves_A	N	Character	Mandalorian Nite Owl Warrior	5	50	4	5	R	5		Axe gets +1 power for each card with “Nite Owl” in its name or subtype in your discard pile. | Bombard 3. | INSERT: Parry 1		NEW, MV
Bo-Katan Kryze (E)	TMW	TMW006_Bo_Katan_Kryze_E	N	Character	Mandalorian Nite Owl Warrior	9	60	6	6	R	6		Critical Hit 2 | Surge 1 | Armor | Inspiration | As long as another unit has the Darksaber attached, Bo-Katan gets -1 power. | If the Darksaber is attached to Bo-Katan, Bo-Katan gets +1 power.		NEW, MV
Boba Fett (W)	TMW	TMW007_Boba_Fett_W	N	Character	Mandalorian Clone Bounty Hunter	7	50	5	6	R	7		Alternative Cost: Remove 7 build counters from cards in your build zone. Discard any cards with no build counters on them from your build zone. | Fury 2 | Forewarning: Boba gets Surge 2 until end of turn. | Parry 1 | Avenge 2		NEW, MV
Boba Fett (X)	TMW	TMW008_Boba_Fett_X	N	Ground/Character	Mandalorian Clone Bounty Hunter	9	50	6	6	R	8		Switch: Surge 2/Bombard 4 | Hidden Cost 6 | Armor | Area Damage 4 | INSERT: Overkill		NEW, MV
Boba Fett's Armor (B)	TMW	TMW009_Boba_Fett_s_Armor_B	N	Equipment	Ground/Character - Armor Defense	2				R	9		Pay 1 build point, discard 2 cards from your hand -> Equip | Equipped Bounty Hunter gets Armor and "Remove a card from your discard pile from the game -> Absorb 1." | Equipped Boba Fett also gets "Whenever Boba is attacked, you may choose up to 2 of the attacking unit's abilities. If you do, the attacking unit loses those 2 abilities for this attack."		NEW, MV
Camtono of Silicax Crystals	TMW	TMW010_Camtono_of_Silicax_Crystals	N	Equipment	Ground/Character - Device	2				R	10		Pay 1 Force -> Equip | Equipped Villager gets Stealth and “This unit's speed is 40, and it can't gain or lose speed.” | Equipped Sandcrawler gets “[tap], Remove 1 counter from your Resource -> Search your deck for an Equipment card, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck. Play only during your build step.”		NEW, MV
Cobb Vanth (A)	TMW	TMW011_Cobb_Vanth_A	N	Character	Tatooine Villager - Marshal	5	50	4	4	R	11		Armor | Lucky 1 | Whenever a Marshal damages a unit, put 1 captivity counter on that damaged unit. | Your opponent can't disrupt your Equipment cards and can't detach or discard Equipment from your units.		NEW, MV
