Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
Annihilation Droid XRR-3 (A)	TOR	TOR001_Annihilation_Droid_XRR_3_A	N	Ground	Rakatan Droid	12	20	10	10	R	1		Armor | Stun 2 | Tap, Pay 6 Force -> Annihilation Droid XRR-3 does 10 damage divided as you choose between your opponent's units in the Ground arena. Annihilation Droid XRR-3 doesn't untap during your next untap step. Play only when Annihilation Droid XRR-3 would attack.		TOR
BT-7 Thunderclap	TOR	TOR002_BT_7_Thunderclap	L	Space/Ground	Old Republic Assault Transport	6	50	4	4	R	2		Switch: Parry 1 / Critical Hit 1, Precision | When you deploy this unit, you may pay 1 Force. If you do,  take 1 70/3/3 Old Republic Special Forces Subordinate and put it into the Ground arena. 	<s><l>Pay 1 Force to spawn Old Republic Special Forces</l><f>/spawn Old Republic Special Forces;/player stat1 -1;/s pays 1 Force to spawn Old Republic Special Forces subordinate upon deployment of BT-7 Thunderclap</f></s>	TOR
Carth Onasi (A)	TOR	TOR003_Carth_Onasi_A	L	Character	Old Republic Officer	5	60	4	4	R	3		[Pilot]Starfighter and Transport Pilot. The Starfighter or Transport gets:  +10 speed,  +1 power, Shields 1, Pay 1 Force -> Retaliate 3		TOR
Confront	TOR	TOR004_Confront	N	Battle						R	4		Pay 4 Force -> Disrupt a Battle card. | Pay 7 Force -> Meditate (You may play Confront from the discard pile without paying the printed cost. When Confront would be discarded, remove it from the game instead.)		TOR
Darth Malgus (C)	TOR	TOR005_Darth_Malgus_C	D	Character	Imperial Dark Jedi Master - Sith Lord	8	40	6	6	R	5		Pay 3 Force -> Rearrange the cards in Malgus's stack. Play only during a chance to prevent damage. | Pay 2 Force -> Disrupt a Character's activated ability. | Pay 3 Force -> Evade 2		TOR
Darth Malgus's Lightsaber (A)	TOR	TOR006_Darth_Malgus_s_Lightsaber_A	D	Equipment	Character - Lightsaber Weapon	1				R	6		Pay 3 Force -> Equip | Equipped Jedi or Sith gets +1 health. | Equipped Darth Malgus also gets "When the battle phase starts, choose one: Malgus gets Critical Hit 2 until end of turn. Or: Malgus gets Parry 2 until end of turn."		TOR
Darth Revan (C)	TOR	TOR007_Darth_Revan_C	D	Character	Imperial Dark Jedi Master - Sith Lord	10	60	6	6	R	7		Armor | As long as your Force total is 5 or more, each of your other Sith gets +10 speed and +1 power. | As long as your Force total is 10 or more, each of your other Sith gets Fury 2. | As long as your Force total is 20 or more, each of your other Sith gets Critical Hit 2. | Pay 3 Force -> Evade 3		TOR
Ebon Hawk (B)	TOR	TOR008_Ebon_Hawk_B	L	Space	Old Republic Jedi Transport	4	60	4	4	R	8		Pay X build points, discard a card from your hand -> Search your deck for a Space Equipment card with printed build cost X or less and attach it to Ebon Hawk without paying the equip cost. Shuffle your deck. Play only during your build step.		TOR
Ebon Hawk (C)	TOR	TOR009_Ebon_Hawk_C	D	Space	Dark Jedi - Sith Transport	5	50	4	4	R	9		Critical Hit 1 | Pay 2 Force -> One of your Neutral Characters gets +2 power, Critical Hit 1, and "Whenever this unit attacks, put 1 corruption counter on it." until end of turn.		TOR
Eleena Daru (A)	TOR	TOR010_Eleena_Daru_A	D	Character	Twi'lek Warrior	5	50	4	3	R	10		When you deploy Eleena, you may remove up to 2  damage counters from Darth Malgus. | Discard Eleena from the Character arena, put 1 damage counter on Darth Malgus -> Darth Malgus gets +5 power until end of turn.		TOR
Emperor Vitiate (A)	TOR	TOR011_Emperor_Vitiate_A	D	Character	Imperial Dark Jedi Master - Sith Lord	10	30	6	6	R	11		Stack: Any Character. | Vitatie can have more than 4 cards in his stack. Each of your opponent's Characters loses Stealth. | Pay 3 Force -> Deflect 1 | Pay 2 Force -> Evade 2		TOR
Faulty Information	TOR	TOR012_Faulty_Information	N	Battle						R	12		Pay 5 Force, discard a card at random from your hand -> Disrupt a unit deployment unless your opponent pays 1  more build point. Play only during your opponent's build step or when your opponent would deploy a unit using Hidden Cost.		TOR
Hylo Visz (B)	TOR	TOR013_Hylo_Visz_B	N	Character	Mirialan Independent Smuggler	5	40	4	5	R	13		Lucky 2 | [Pilot] Starfighter and Transport Pilot. The Starfighter or Transport gets:  Bounty: Gain 3 build points  -Lucky 2		TOR
Jace Malcom (A)	TOR	TOR014_Jace_Malcom_A	L	Character	Old Republic Officer	8	40	6	5	R	14		Critical Hit 2 | Armor | When you deploy Jace, you may pay 3 Force. If you do, take 2 50/2/1 Old Republic Soldier Subordinates with "Critical Hit 1" and put them into the Character arena.	<s><l>Pay 3 Force to Spawn 2 Old Republic Soldiers</l><f>/spawn Old Republic Soldier;/spawn Old Republic Soldier;/player stat1 -3;/s pays 3 Force to spawn 2 Old Republic Soldier subordinates upon deployment of Jace Malcom (A)</f></s>	TOR
Kao Cen Darach (A)	TOR	TOR015_Kao_Cen_Darach_A	L	Character	Zabrak Old Republic Jedi Master	8	40	7	5	R	15		Critical Hit 1 | Armor | Parry 1 | Pay 4 Force -> Deflect 2		TOR
Korriban Academy	TOR	TOR016_Korriban_Academy	D	Location	Character - Imperial Sith Korriban Facility	2				R	16		Discard one of your Sith from any arena -> Take a Sith unit card with printed build cost less than the discarded Sith from your hand and put it into its arena untapped. Play only during your build step.		TOR
Lord Adraas (A)	TOR	TOR017_Lord_Adraas_A	D	Character	Imperial Dark Jedi Master - Sith Lord	7	50	5	5	R	17		Hidden Cost 4  | When you deploy Adraas, if you have a unit card with "Invaders" in its name in your build zone with at least 1 build counter on it, you may pay Force equal to that unit card's remaining build cost. If you do, remove all counters from that unit card and put it into its arena untapped. | Pay 3 Force -> Evade 2		TOR
Lord Vindican (A)	TOR	TOR018_Lord_Vindican_A	D	Character	Imperial Dark Jedi Master - Sith Lord	6	50	3	6	R	18		Fury 3 | Tap, Pay 1 Force -> Vindican does 3 damage to one of your opponent's units in the Character arena. | Your opponent can't use Evade to prevent that damage unless that unit is a Jedi Master. Play only when Vindican would attack. | Pay 2 Force -> Evade 2		TOR
Malgus's Wrath	TOR	TOR019_Malgus_s_Wrath	D	Battle						R	19		Pay 3 Force -> One of your Dark side units gets +30 speed and Fury 4 until end of turn. | Pay 2 Force, discard a card from your hand -> Meditate (You may play Malgus's Wrath from the discard pile without paying the printed cost. When Malgus's Wrath would be discarded, remove it from the game instead.)		TOR
Mandalore the Lesser (A)	TOR	TOR020_Mandalore_the_Lesser_A	N	Character	Mandalorian - Mandalore	8	50	6	5	R	20		Armor | As long as you have a Sith in the Character arena, Mandalore the Lesser gets +10 speed and +2 power. | Remove 2 cards from your opponent's discard pile from the game -> Tap one of your opponent's units with a total build cost 7 or less in the Space arena unless he or she pays 2 Force. Play only during your build step.		TOR
Mandalore the Vindicated (A)	TOR	TOR021_Mandalore_the_Vindicated_A	N	Character	Mandalorian - Mandalore	8	50	7	6	R	21		Armor | When you deploy Mandalore the Vindicated, retreat Mandalore the Lesser from the Character arena unless your opponent discards the top 5 cards from his or her deck. | Discard the top card of your opponent's deck -> Mandalore the Vindicated gets Critical Hit 2 for this attack.		TOR
Mandalorian Blockade	TOR	TOR022_Mandalorian_Blockade	N	Mission						R	22		You can complete Mandalorian Blockade only when your opponent's build step starts. | Each of your opponent's units cost 1 more build counter to deploy, and your opponent can't deploy units using Hidden Cost until end of turn.		TOR
Nico Okarr (A)	TOR	TOR023_Nico_Okarr_A	N	Character	Independent Smuggler	8	40	4	5	R	23		Accuracy 1 | Fury 1 | Double Strike		TOR
Political Unrest	TOR	TOR024_Political_Unrest	N	Mission		2				R	24		This turn, whenever one of your opponent's units attacks, your opponent must discard a card at random from his or her hand unless he or she pays 2 Force. | Pay 2 build points, 2 Force -> Mediate (You may play Political Unrest from the discard pile without paying the printed cost. When Political Unrest would be discarded, remove it from the game instead.)		TOR
Resource Shortage	TOR	TOR025_Resource_Shortage	N	Mission		X				R	25		Choose one: Discard a Resource with a printed build cost X from your opponent's Resource zone. Or: Remove half of X build counters (rounded down) from a face-down card in your opponent's build zone.		TOR
Revan (B)	TOR	TOR026_Revan_B	L	Character	Old Republic Jedi Master	10	70	7	7	R	26		Overkill | Pay 7 Force -> Deflect 4 | Pay 2 Force -> Evade 3		TOR
Revan (C)	TOR	TOR027_Revan_C	L	Character	Old Republic Jedi Master	7	50	6	6	R	27		Foresight: You may remove a Mission card with printed build cost X from your discard pile from the game. If you do, look at the top 4 cards of your deck and put up to X of them into your hand. Put the rest on the top of your deck in any order. | Pay 3 Force -> Evade 3		TOR
Revan's Mask (A)	TOR	TOR028_Revan_s_Mask_A	N	Equipment	Character - Armor Defense	1				R	28		Pay 1 build point, 1 Force -> Equip | Equipped Jedi or Sith gets +1 health | Equipped Darth Revan or Revan also gets "When the battle phase starts, you may choose an ability on another card in Revan's stack. If you do, Revan gets the chosen ability until end of turn."		TOR
Satele Shan (C)	TOR	TOR029_Satele_Shan_C	L	Character	Old Republic Jedi Knight	10	80	6	6	R	29		When the Character battle step starts, you may give Satele -3 power until end of turn. If you do, gain 3 Force. | Pay 4 Force -> Choose an arena. Each of your units in the chosen arena gets +1 power until end of turn, and each of your opponent's units in the chosen arena gets -1 power until end of turn. | Pay 2 Force -> Evade 3		TOR
Satele Shan's Lightsaber (A)	TOR	TOR030_Satele_Shan_s_Lightsaber_A	L	Equipment	Character - Lightsaber Weapon	2				R	30		Pay 2 Force -> Equip | Equipped Jedi gets Lucky 1. | Equipped Satele Shan also gets +2 health and "Foresight: Gain 1 Force, and you may remove 1 damage counter from Satele." 		TOR
Shae Vizla (B)	TOR	TOR031_Shae_Vizla_B	D	Character	Mandalorian Bounty Hunter	6	40	6	6	R	31		Armor | Shae gets Critical Hit 2 and Overkill when attacking a Jedi or Subordinate. | Pay 2 Force -> Shae gets +40 speed until end of turn.		TOR
Signal the Victory	TOR	TOR032_Signal_the_Victory	N	Mission		2				R	32		You may complete Signal the Victory during the battle phase, only if you control an arena, and only if one of your opponent's units has been discarded from an arena this turn. Put 1 build counter on each of your partially built cards.		TOR
Sith Armada	TOR	TOR033_Sith_Armada	D	Space	Triumvirate Dark Jedi - Sith Fleet	10	10	8	7	R	33		When you deploy this unit, tap it and take 3 50/2/2 Sith Starfighter Subordinates and put them into the Space arena. | When this unit is discarded, return all Subordinates generated by this unit to your supply.	<s><a>y</a><l>Tap and Spawn 3 Sith Starfighters</l><f>/spawn Sith Starfighter;/spawn Sith Starfighter;/spawn Sith Starfighter;/cr90;/s Taps Sith Armada to spawn 3 Sith Starfighter subordinates</f></s>	TOR
Sith Master and Apprentice (F)	TOR	TOR034_Sith_Master_and_Apprentice_F	D	Ground	Imperial Dark Jedi - Sith Squad	7	50	6	5	R	34		Hidden Cost 3 | Pay 4 Force, discard one of your damaged Sith from any arena -> Your opponent must retreat one of his or her untapped units from that arena unless he or she pays 2 Force and taps that unit. | Pay 2 Force -> Evade 2		TOR
Stand-Off	TOR	TOR035_Stand_Off	N	Battle						R	35		Pay 4 Force -> Choose an arena. Units in the chosen arena can't attack this turn. Play only when the battle phase starts. | Pay 3 Force, discard a card from your hand -> Meditate (You may play Stand-Off from the discard pile without paying the printed cost. When Stand-Off would be discarded, remove it from the game instead.)		TOR
The New Mandalore	TOR	TOR036_The_New_Mandalore	N	Mission		5				R	36		You can complete The New Mandalore only during the battle phase and only when one of your Mandalores is discarded from the Character arena. | To complete The New Mandalore, you must also discard 2 cards from your hand. | Take a Mandalore unit card with a different name than the discarded Mandalore from your hand and put it into the Character arena untapped.		TOR
Treaty of Coruscant	TOR	TOR037_Treaty_of_Coruscant	N	Battle						R	37		Pay 12 Force -> The battle phase ends.		TOR
Ven Zallow (A)	TOR	TOR038_Ven_Zallow_A	L	Character	Old Republic Jedi Master	7	50	6	5	R	38		Pay 2 Force -> Evade 2 | Pay 4 Force -> Retreat one of your opponent's Character units with printed power 4 or less. Play only if no unit is attacking. 		TOR
Visas Marr (A)	TOR	TOR039_Visas_Marr_A	D	Character	Miraluka Dark Jedi - Sith Apprentice	6	50	5	4	R	39		Treat Visas as a Triumvirate Seer. | Foresight: Gain 2 Force. | Tap -> Look at the bottom 4 cards of your deck. You may pay X Force. If you do, put X of those cards on top of your deck in any order. | Pay 1 Force -> Retaliate 2		TOR
Vitiate's Power	TOR	TOR040_Vitiate's_Power	D	Battle						R	40		Pay X Force, tap one of your Sith Lords -> Untap one of your opponent's units with printed build cost X. The next time that unit would attack, choose the defending unit.		TOR
Armstech	TOR	TOR041_Armstech	N	Equipment	Character - Skill	1				U	41		Pay 1 Force -> Equip | Equipped Character gets "Each of your Equipment cost 1 less build counter to complete." and "As long as this unit has a non-Skill Equipment attached, it gets Critical Hit 1 and Precision."		TOR
Aurek-Class Tactical Starfighter	TOR	TOR042_Aurek_Class_Tactical_Starfighter	L	Space	Old Republic Starfighter	3	60	3	3	U	42		Stun 2 | As long as this unit has a Jedi Pilot, it gets the Jedi subtype and Lucky 1.		TOR
Bastila Shan (B)	TOR	TOR043_Bastila_Shan_B	L	Character	Old Republic Jedi Knight	8	50	6	6	U	43		Parry 2 | Pay 2 Force -> Evade 2 | Pay 1 Force ->Retaliate 2		TOR
Cover	TOR	TOR044_Cover	N	Equipment	Character - Skill	1				U	44		Pay 1 build point -> Equip | Equipped Agent, Bounty Hunter, Smuggler, or Soldier gets "As long as you have a Location in the Ground or Character arena, whenever this unit would be damaged by an attacking unit, prevent 1 of that damage."		TOR
D-5 Mantis Patrol Craft	TOR	TOR045_D5_Mantis_Patrol_Craft	N	Space	Independent Patrol Ship	7	30	3	5	U	45		Critical Hit 2 | Bombard 1 | Double Strike		TOR
Dark Council (A)	TOR	TOR046_Dark_Council_A	D	Ground	Imperial Dark Jedi - Sith Squad - Council Member	5	30	5	4	U	46		Pay 2 Force -> Evade 2 | Reserves: Tap -> Draw 2 cards, discard a card from your hand, and put a card from your hand on the bottom of your deck. Play only during your build step. 		TOR
Darth Malgus (D)	TOR	TOR047_Darth_Malgus_D	D	Character	Imperial Dark Jedi Master - Sith Lord	8	50	1	7	U	47		Fury 3 | Malgus gets +1 power for each damage counter on him. | Pay 2 Force -> Evade 2		TOR
Defender-Class Light Corvette	TOR	TOR048_Defender_Class_Light_Corvette	L	Space	Old Republic Jedi Transport	6	40	4	4	U	48		Lucky 1 | When the battle phase starts, choose one: This unit gets Critical Hit 2 until end of turn. Or:  This unit gets Parry 2 until end of turn.		TOR
Dromund Kaas System	TOR	TOR049_Dromund_Kaas_System	D	Location	Space - Imperial Sith Drumond Kaas Star System	3				U	49		When your build step starts, you may choose one of your Space units with total speed 40 or higher.  If you do, the chosen unit gets +1 power and Stealth until end of turn.		TOR
Espionage Droid	TOR	TOR050_Espionage_Droid	N	Character	Spy Droid	2	10	0	4	U	50		This unit doesn't count toward controlling the Character arena. | This unit can't retreat. | When your build step starts, your opponent must choose one:  Reveal his or her hand. Or:  Reveal each face-down card in his or her build zone.		TOR
Force Blast	TOR	TOR051_Force_Blast	N	Battle						U	51		Pay 4 Force -> Do 3 damage to one of your opponent's Ground units or Characters. | Pay 6 Force -> Meditate (You may play Force Blast from the discard pile without paying the printed cost. When Force Blast would be discarded, remove it from the game instead.)		TOR
