Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
A Thousand Generations	TROS	TROS001_A_Thousand_Generations	L	Mission - Campaign		2				R	1		When each battle phase starts, choose a card type. If there are 2 or more cards of the chosen type in your discard pile, one of your units of the chose type gets +1 power, Focus 2, and "This unit can't lose power or it's game text." until end of turn.		RES
Absorb Power	TROS	TROS002_Absorb_Power	N	Battle						R	2		One of your units gets Fortitude and "Pay 2 Force -> Absorb 2" until end of turn. | Pay 2 Force -> Meditate		RES
Alliegiant General Enric Pryde (A)	TROS	TROS003_Allegiant_General_Enric_Pryde_A	D	Character	Final Order Officer	5	30	4	4	R	3		Cunning | Each of your First Order units in the Space and Ground arena gets the Final Order subtype. | Each of your Final Order units gets +1 power. | Pay 0 Force -> Redirect		RES
Anakin Skywalker's Lightsaber	TROS	TROS004_Anakin_Skywalker_s_Lightsaber_E	L	Equipment	Character - Lightsaber Weapon	2				R	4		When one of your Jedi causes one of your opponent's units to be discarded, you may attach Anakin Skywalker's Lightsaber to that Jedi. If you do, gain 1 Force. | Equipped Jedi gets +2 power and "Whenever this unit causes one of your opponent's units to be discarded, put 2 mastery counters on this unit."		RES
At Last	TROS	TROS005_At_Last	D	Event						R	5		When each player's first build step starts, he or she gains 9 Force.		RES
Axial Superlaser	TROS	TROS006_Axial_Superlaser	D	Equipment	Space - Blaster Weapon	2				R	6		Pay 2 build points -> Equip | Equipped Capital Ship gets "Tap -> Choose an arena. Discard the Location (if any) from the chosen arena. Then put 1 damage counter on each of your opponent's units with the chosen arena's type in their type lines. Play only when this unit would attack."		RES
Babu Frik (A)	TROS	TROS007_Babu_Frik_A	N	Character	Anzellan Crime Gang Merchant - Mechanic	3	20	2	2	R	7		Reserves: Tap -> Choose one: Draw a card. Play only during your build step. Or: Gain control of a Droid in the Character arena until end of turn. Play only during your build step. Or: Take 1 10/0/2 Deactivated Droid Subordinate and put into the Character arena. Play only during your build step.	<s><l>Tap to spawn a Deactivated Droid</l><f>/spawn Deactivated Droid;/cr90;/s taps Babu Frik (A) to spawn Deactivated Droid subordinate</f></s>	RES
Ben Solo (B)	TROS	TROS008_Ben_Solo_B	L	Character	Resistance Jedi Padawan	7	30	4	6	R	8		Inspiration | When Ben is discarded, gain 3 Force. | Rey gets +1 health and Damage Control 1. | Put 2 damage counters on Ben -> Remove up to 3 damage counters from one of your other Characters. Play only when no unit is attacking. | INSERT: Put 1 damage counter on Ben -> Protect 2		RES
Ben's Redemption	TROS	TROS009_Ben_s_Redemption	L	Battle						R	9		Gain 2 Force | Enhance: Discard one of your Jedi Padawans from any arena -> Gain 4 Force instead. Then choose one: Put 1 redemption counter on a unit in any arena. Or: Return a unit card from your discard pile to your hand.		RES
Bring Back the Balance	TROS	TROS010_Bring_Back_the_Balance	N	Event						R	10		When the roll for build points is made, add both player's Force totals and divide it by 2. Round that number up, and each player loses or gains Force until each player's Force total is equal to that number. If a player has a Resource that replaces Force gains and losses, treat that player's total number of Resource counters as his or her Force total.		RES
