Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	Script	Classification
All is One	TUF	TUF001_All_is_One	N	Event						R	1		When each turn starts, each player gains 4 more Force. | When the sixth turn of the game ends, if no player has won the game, both players win the game.		NEW, LEG
Amphistaff Armor	TUF	TUF002_Amphistaff_Armor	N	Equipment	Ground/Character - Biological Armor Defense - Melee Weapon	2				R	2		Pay 3 Force -> Equip | Equipped Jedi or Yuuzhan Vong gets Armor and Parry 1. | Equipped Jacen Solo also gets +10 speed, +2 power, and Riposte 1.		NEW, LEG
Chimaera (D)	TUF	TUF003_Chimaera_D	N	Space	Imperial Remnant Capital Ship - Flagship	9	30	6	7	R	3		Armor | Inspiration | Each of your Imperial and Galactic Alliance Space units gets "Pay 1 Force -> Protect 1."		NEW, LEG
Destiny's Way	TUF	TUF004_Destiny_s_Way	N	Battle						R	4		Remove a card stacked beneath one of your unique units from the game -> That unit gets Fortitude and Inspiration until it is discarded.		NEW, LEG
Dhuryam World Brain	TUF	TUF005_Dhuryam_World_Brain	Y	Equipment	Location - Biological Weapon	4				R	5		As long as this Equipment is attached to a Location, treat this Equipment as if it has 9 health, can be attacked, and when it has no remaining health, discard it. | Discard a card from your hand -> Equip | Equipped Location gets "This Location can't be discarded from this arena." and "When your build step starts, add 2 counters to your Resource."		NEW, LEG
Elite Yuuzhan Vong Shaper	TUF	TUF006_Elite_Yuuzhan_Vong_Shaper	Y	Character	Yuuzhan Vong Master Shaper	6	40	3	5	R	6		Reduced Cost 5: If a Shaper is in any arena. | Upkeep: Put 1 counter of any type on a unit in the Character arena. | Stealth | Remove 1 corruption counter from a Character -> That Character gets Backfire 2 until end of turn. | Remove 1 mastery  counter from a Character -> That Character gets Critical Hit 1 for this attack.		NEW, LEG
Galactic Alliance	TUF	TUF007_Galactic_Alliance	L	Resource		3				R	7		When your build step starts, add X counters to this Resource, where X is the number of Galactic Alliance, New Republic, and Remnant units in any arena. | Remove 3 counters -> One of your units gets Accuracy 1, Focus 1, and Resilience 1 until end of turn. | Remove 6 counters -> Each of your units gets "Pay X Force -> Protect X" and "Pay 1 Force -> Redirect (If this unit is attacked, choose one of your other units that can be attacked and damaged in this arena. The attacking unit attacks the chosen unit instead.)" until end of turn.		NEW, LEG
Ganner Rhysode (B)	TUF	TUF008_Ganner_Rhysode_B	L	Character	New Republic Jedi Knight	9	50	5	5	R	8		Intimidation (Ganner gets +10 speed, +1 power, and +1 health for each of your opponent's units in this arena.) | When Ganner is discarded, you may choose one of your unique Characters. If you do, the chosen Character gets Inspiration until it is discarded. | Pay 2 Force -> Deflect 2		NEW, LEG
Grand Admiral Gilad Pellaeon (C)	TUF	TUF009_Grand_Admiral_Gilad_Pellaeon_C	N	Character	Imperial Remnant Officer	5	20	4	5	R	9		Capital Ship and Fleet Pilot. The Capital Ship or Fleet gets:  -Damage Control 2  -Pay 0 Force -> Retaliate 4		NEW, LEG
Han Solo (Y)	TUF	TUF010_Han_Solo_Y	L	Character	Galactic Alliance Officer	6	40	4	6	R	10		Transport Pilot. The Transport gets:  -Fortitude  -Whenever this unit attacks, you may reroll any number of attack dice once.   -Pay 2 Force -> Evade 3		NEW, LEG
Intimidation	TUF	TUF011_Intimidation	N	Equipment	Space/Ground/Character - Skill	4				R	11		Discard a card at random from your opponent's hand -> Equip | Equipped unique unit gets Ferocity and Intimidation (This unit gets +10 speed, +1 power and +1 health for each of your opponent's units in this arena.)		NEW, LEG
Jacen Solo (D)	TUF	TUF012_Jacen_Solo_D	L	Character	Galactic Alliance Jedi Knight	10	60	6	7	R	12		Hidden Cost 8 | Stun 2 | Whenever Jacen attacks or is attacked, gain 1 Force. | Pay 1 Force -> Deflect 1 | Pay 3 Force -> Protect 4		NEW, LEG
Jade Shadow (B)	TUF	TUF013_Jade_Shadow_B	L	Space	Galactic Alliance Jedi Transport	7	40	4	5	R	13		Reduced Cost 6: If Mara Jade Skywalker is in any arena. | Focus 1 | Shields 1 | Stealth | Pay 1 Force -> Ambush 2 | Pay 1 Force -> Prevent 1 damage to one of your Ground units or Characters.		NEW, LEG
Luke Skywalker (F2)	TUF	TUF014_Luke_Skywalker_F2	L	Character	Galactic Alliance Jedi Master	12	40	8	8	R	14		Alternative Cost: Pay 12 Force. | Upkeep: Gain 1 Force. | Each of your units with "Force" in its game text costs 1 less build counter to deploy. | Pay x Force -> Evade X+1		NEW, LEG
Mara Jade Skywalker (K)	TUF	TUF015_Mara_Jade_Skywalker_K	L	Character	Galactic Alliance Jedi Master	9	50	7	6	R	15		Riposte 2 | Whenever you complete a Mission or play a Battle card, you may pay 1 Force. If you do, search your deck for a unit card with "Force" in its game text, show it to your opponent, and put it into your hand. Shuffle your deck. | Pay 1 Force -> Evade 2		NEW, LEG
Millennium Falcon (Z)	TUF	TUF016_Millennium_Falcon_Z	L	Space	Galactic Alliance Transport	7	60	5	5	R	16		Damage Control 1 | Forewarning: Gain 1 Force. | Whenever damage from the Millennium Falcon causes a unit to be discarded, untap it.		NEW, LEG
Mqaaq'it Implants	TUF	TUF017_Mqaaq_it_Implants	Y	Equipment	Character - Biological Weapon	1				R	17		Remove 2 counters from your Resource -> Equip | Equipped Yuuzhan Vong gets "When your build step starts, you may remove 2 counters from your Resource. If you do, search your deck for any card and put it into your hand. Shuffle your deck." | Equipped Supreme Leader also gets Stun 2.		NEW, LEG
Nas Choka (A)	TUF	TUF018_Nas_Choka_A	Y	Ground/Character	Yuuzhan Vong Officer	9	50	7	7	R	18		Switch: Focus 2/Damage Control 2 | When the Ground battle step ends, you may choose one of your opponent's unique Ground units. If you do, the chosen unit gets the Character card type until end of turn. Then move the chosen unit and Nas to the Character arena untapped.		NEW, LEG
